['diagnoses', 'augments', 'coexists_with', 'causes']
['affects', 'associated_with', 'interacts_with', 'affects']
['affects', 'compared_with', 'affects', 'associated_with']
['affects', 'inhibits', 'coexists_with']
['affects', 'compared_with', 'disrupts', 'isa']
['affects', 'location_of', 'compared_with', 'causes']
['affects', 'produces', 'coexists_with', 'affects']
['affects', 'coexists_with', 'augments', 'occurs_in']
['affects', 'coexists_with', 'stimulates']
['part_of', 'same_as', 'part_of']
['part_of', 'coexists_with', 'treats', 'inhibits']
['part_of', 'part_of', 'augments', 'produces']
['part_of', 'coexists_with', 'part_of', 'stimulates']
['part_of', 'disrupts', 'coexists_with']
['part_of', 'disrupts', 'associated_with', 'inhibits']
['part_of', 'coexists_with', 'produces', 'affects']
['part_of', 'stimulates', 'stimulates', 'part_of']
['part_of', 'augments', 'augments', 'part_of']
['part_of', 'coexists_with', 'disrupts', 'occurs_in']
['complicates', 'affects', 'location_of', 'disrupts']
['complicates', 'produces', 'isa', 'prevents']
['complicates', 'inhibits', 'disrupts']
['complicates', 'isa', 'coexists_with', 'causes']
['complicates', 'interacts_with', 'causes', 'associated_with']
['complicates', 'coexists_with', 'stimulates', 'prevents']
['complicates', 'part_of', 'isa', 'affects']
['complicates', 'inhibits', 'isa', 'disrupts']
['complicates', 'interacts_with', 'coexists_with']
['complicates', 'interacts_with', 'treats', 'complicates']
['compared_with', 'compared_with', 'affects', 'inhibits']
['compared_with', 'affects', 'associated_with', 'affects']
['compared_with', 'treats', 'associated_with', 'inhibits']
['compared_with', 'complicates', 'affects', 'part_of']
['compared_with', 'part_of', 'part_of', 'inhibits']
['compared_with', 'interacts_with', 'associated_with', 'disrupts']
['compared_with', 'coexists_with', 'isa', 'interacts_with']
['compared_with', 'affects', 'associated_with', 'produces']
['compared_with', 'stimulates', 'part_of', 'coexists_with']
['compared_with', 'stimulates', 'produces']
['stimulates', 'affects', 'same_as', 'coexists_with']
['stimulates', 'stimulates', 'affects', 'interacts_with']
['stimulates', 'coexists_with', 'inhibits', 'isa']
['stimulates', 'part_of', 'location_of', 'affects']
['stimulates', 'location_of', 'compared_with', 'inhibits']
['stimulates', 'augments', 'part_of', 'produces']
['stimulates', 'same_as', 'inhibits', 'stimulates']
['stimulates', 'disrupts', 'associated_with', 'stimulates']
['stimulates', 'interacts_with', 'location_of', 'inhibits']
['stimulates', 'isa', 'compared_with', 'coexists_with']
['interacts_with', 'part_of', 'part_of', 'compared_with']
['interacts_with', 'disrupts', 'location_of', 'interacts_with']
['interacts_with', 'coexists_with', 'treats', 'causes']
['interacts_with', 'disrupts', 'affects', 'stimulates']
['interacts_with', 'isa', 'causes', 'location_of']
['interacts_with', 'inhibits', 'stimulates', 'coexists_with']
['interacts_with', 'inhibits', 'coexists_with', 'affects']
['interacts_with', 'affects', 'location_of', 'interacts_with']
['interacts_with', 'coexists_with', 'interacts_with', 'associated_with']
['interacts_with', 'isa', 'interacts_with', 'coexists_with']
['location_of', 'compared_with', 'part_of', 'associated_with']
['location_of', 'location_of', 'part_of', 'location_of']
['location_of', 'location_of', 'same_as', 'causes']
['location_of', 'location_of', 'coexists_with', 'produces']
['location_of', 'location_of', 'part_of', 'augments']
['location_of', 'stimulates', 'coexists_with', 'associated_with']
['location_of', 'produces', 'disrupts']
['location_of', 'location_of', 'occurs_in', 'affects']
['location_of', 'coexists_with', 'stimulates', 'associated_with']
['location_of', 'interacts_with', 'produces', 'causes']
