['diagnoses', 'prevents', 'complicates', 'inhibits']
['diagnoses', 'associated_with', 'occurs_in', 'causes']
['diagnoses', 'compared_with', 'associated_with', 'affects']
['diagnoses', 'isa', 'part_of', 'complicates']
['diagnoses', 'augments', 'augments', 'prevents']
['diagnoses', 'stimulates', 'complicates', 'produces']
['occurs_in', 'inhibits', 'disrupts', 'prevents']
['occurs_in', 'occurs_in', 'part_of', 'stimulates']
['occurs_in', 'complicates', 'interacts_with', 'inhibits']
['occurs_in', 'complicates', 'isa', 'interacts_with']
['occurs_in', 'affects', 'diagnoses', 'causes']
['occurs_in', 'location_of', 'treats', 'causes']
['occurs_in', 'same_as', 'disrupts', 'associated_with']
['occurs_in', 'complicates', 'diagnoses', 'disrupts']
['occurs_in', 'causes', 'stimulates', 'interacts_with']
['occurs_in', 'causes', 'part_of', 'occurs_in']
['occurs_in', 'stimulates', 'location_of', 'occurs_in']
['occurs_in', 'location_of', 'inhibits', 'part_of']
['occurs_in', 'compared_with', 'coexists_with', 'isa']
['occurs_in', 'coexists_with', 'treats', 'inhibits']
['occurs_in', 'isa', 'diagnoses', 'coexists_with']
['occurs_in', 'treats', 'occurs_in', 'occurs_in']
['occurs_in', 'produces', 'augments', 'affects']
['occurs_in', 'coexists_with', 'stimulates', 'coexists_with']
['occurs_in', 'disrupts', 'part_of', 'diagnoses']
['occurs_in', 'isa', 'disrupts', 'associated_with']
['occurs_in', 'part_of', 'inhibits', 'affects']
['occurs_in', 'part_of', 'augments', 'diagnoses']
['occurs_in', 'part_of', 'disrupts', 'location_of']
['occurs_in', 'augments', 'affects', 'interacts_with']
['occurs_in', 'produces', 'augments', 'prevents']
['occurs_in', 'occurs_in', 'coexists_with', 'disrupts']
['occurs_in', 'affects', 'treats', 'coexists_with']
['occurs_in', 'interacts_with', 'isa', 'stimulates']
['occurs_in', 'coexists_with', 'part_of', 'causes']
['occurs_in', 'occurs_in', 'part_of', 'disrupts']
['occurs_in', 'coexists_with', 'compared_with', 'coexists_with']
['occurs_in', 'prevents', 'inhibits', 'stimulates']
['occurs_in', 'diagnoses', 'diagnoses', 'associated_with']
['occurs_in', 'compared_with', 'interacts_with', 'augments']
['occurs_in', 'interacts_with', 'stimulates', 'interacts_with']
['occurs_in', 'augments', 'augments', 'interacts_with']
['occurs_in', 'produces', 'isa', 'augments']
['occurs_in', 'interacts_with', 'produces', 'affects']
['occurs_in', 'disrupts', 'inhibits', 'interacts_with']
['occurs_in', 'disrupts', 'compared_with', 'interacts_with']
['occurs_in', 'interacts_with', 'associated_with', 'isa']
['occurs_in', 'augments', 'stimulates', 'coexists_with']
['occurs_in', 'prevents', 'part_of', 'compared_with']
['occurs_in', 'diagnoses', 'location_of', 'compared_with']
['occurs_in', 'augments', 'interacts_with', 'treats']
['occurs_in', 'coexists_with', 'same_as', 'inhibits']
['occurs_in', 'prevents', 'compared_with', 'diagnoses']
['occurs_in', 'inhibits', 'inhibits', 'part_of']
['occurs_in', 'augments']
['occurs_in', 'causes', 'location_of', 'isa']
['occurs_in', 'coexists_with', 'same_as', 'diagnoses']
['occurs_in', 'associated_with', 'complicates', 'diagnoses']
['occurs_in', 'coexists_with', 'prevents', 'prevents']
['occurs_in', 'interacts_with', 'treats', 'produces']
['occurs_in']
['occurs_in', 'compared_with', 'disrupts', 'occurs_in']
['occurs_in', 'disrupts']
['occurs_in', 'associated_with', 'same_as']
['occurs_in', 'inhibits', 'inhibits', 'augments']
['occurs_in', 'causes', 'compared_with', 'disrupts']
['occurs_in', 'part_of', 'prevents', 'occurs_in']
['occurs_in', 'same_as', 'occurs_in', 'disrupts']
['occurs_in', 'inhibits', 'causes', 'isa']
['occurs_in', 'produces', 'part_of', 'associated_with']
['occurs_in', 'inhibits', 'disrupts', 'location_of']
['occurs_in', 'isa', 'stimulates', 'stimulates']
['occurs_in', 'interacts_with', 'isa', 'part_of']
['occurs_in', 'affects', 'treats', 'complicates']
['occurs_in', 'associated_with', 'associated_with', 'complicates']
['occurs_in', 'occurs_in', 'affects', 'produces']
['occurs_in', 'location_of', 'stimulates', 'stimulates']
['occurs_in', 'same_as', 'compared_with', 'treats']
['occurs_in', 'coexists_with', 'same_as', 'same_as']
['occurs_in', 'compared_with', 'diagnoses', 'compared_with']
['occurs_in', 'compared_with', 'location_of', 'affects']
['occurs_in', 'disrupts', 'inhibits', 'disrupts']
['occurs_in', 'compared_with', 'isa', 'complicates']
['occurs_in', 'part_of', 'coexists_with', 'produces']
['occurs_in', 'isa', 'coexists_with', 'prevents']
['occurs_in', 'prevents', 'coexists_with', 'associated_with']
['occurs_in', 'interacts_with', 'produces']
['occurs_in', 'location_of', 'augments']
['occurs_in', 'isa', 'compared_with', 'produces']
['occurs_in', 'affects', 'diagnoses', 'affects']
['occurs_in', 'interacts_with', 'compared_with', 'part_of']
['occurs_in', 'occurs_in', 'prevents']
['occurs_in', 'location_of', 'part_of', 'coexists_with']
['occurs_in', 'stimulates', 'location_of', 'coexists_with']
['occurs_in', 'same_as', 'same_as', 'affects']
['occurs_in', 'interacts_with', 'coexists_with', 'stimulates']
['occurs_in', 'occurs_in', 'isa', 'coexists_with']
['occurs_in', 'occurs_in', 'part_of', 'isa']
['occurs_in', 'stimulates', 'treats']
['occurs_in', 'same_as', 'augments', 'causes']
['occurs_in', 'prevents']
['occurs_in', 'complicates', 'disrupts', 'prevents']
['occurs_in', 'prevents', 'disrupts', 'causes']
['occurs_in', 'stimulates', 'part_of', 'stimulates']
['same_as', 'prevents', 'disrupts', 'inhibits']
['same_as', 'treats', 'augments', 'isa']
['same_as', 'affects', 'same_as', 'interacts_with']
['same_as', 'isa', 'compared_with', 'compared_with']
['same_as', 'stimulates', 'causes', 'compared_with']
['same_as', 'part_of', 'prevents', 'isa']
['same_as', 'stimulates', 'affects', 'interacts_with']
['same_as', 'compared_with', 'interacts_with', 'interacts_with']
['same_as', 'produces', 'complicates', 'produces']
['same_as', 'compared_with', 'same_as', 'inhibits']
['same_as', 'compared_with', 'causes', 'part_of']
['same_as', 'diagnoses', 'stimulates', 'disrupts']
['same_as', 'complicates', 'interacts_with', 'inhibits']
['same_as', 'produces', 'inhibits', 'diagnoses']
['same_as', 'location_of', 'occurs_in', 'affects']
['same_as', 'interacts_with', 'associated_with', 'prevents']
['same_as', 'isa', 'location_of', 'treats']
['same_as', 'diagnoses', 'part_of', 'isa']
['same_as', 'coexists_with', 'occurs_in', 'inhibits']
['same_as', 'occurs_in', 'causes', 'occurs_in']
['same_as', 'stimulates', 'prevents', 'isa']
['same_as', 'occurs_in', 'affects', 'causes']
['same_as', 'affects', 'prevents', 'treats']
['same_as', 'inhibits', 'prevents', 'inhibits']
['same_as', 'treats', 'interacts_with', 'produces']
['same_as', 'diagnoses', 'prevents', 'disrupts']
['same_as', 'isa', 'occurs_in', 'same_as']
['same_as', 'causes', 'coexists_with', 'prevents']
['same_as', 'part_of', 'augments', 'interacts_with']
['same_as', 'associated_with']
['same_as', 'augments', 'diagnoses', 'inhibits']
['same_as', 'augments', 'location_of', 'prevents']
['same_as', 'augments', 'same_as', 'augments']
['same_as', 'inhibits', 'prevents', 'prevents']
['same_as', 'same_as', 'inhibits', 'affects']
['same_as', 'prevents', 'inhibits', 'location_of']
['same_as', 'associated_with', 'part_of', 'isa']
['same_as', 'coexists_with', 'diagnoses', 'compared_with']
['same_as', 'produces', 'part_of', 'coexists_with']
['same_as', 'same_as', 'inhibits', 'disrupts']
['same_as', 'coexists_with', 'disrupts']
['same_as', 'interacts_with', 'same_as', 'interacts_with']
['same_as', 'causes', 'causes', 'affects']
['same_as', 'associated_with', 'associated_with', 'coexists_with']
['same_as', 'disrupts', 'treats', 'complicates']
['same_as', 'isa', 'prevents', 'inhibits']
['same_as', 'diagnoses', 'augments', 'disrupts']
['same_as', 'compared_with', 'treats', 'coexists_with']
['same_as', 'causes', 'augments', 'complicates']
['same_as', 'produces', 'part_of', 'stimulates']
['same_as', 'stimulates', 'complicates', 'location_of']
['same_as', 'associated_with', 'part_of', 'diagnoses']
['same_as', 'occurs_in', 'causes', 'coexists_with']
['same_as', 'causes', 'complicates', 'isa']
['same_as', 'augments', 'location_of', 'coexists_with']
['same_as', 'associated_with', 'complicates', 'augments']
['same_as', 'diagnoses', 'same_as', 'isa']
['same_as']
['same_as', 'affects', 'causes', 'compared_with']
['same_as', 'stimulates', 'diagnoses', 'interacts_with']
['same_as', 'augments', 'stimulates', 'disrupts']
['same_as', 'location_of', 'coexists_with', 'treats']
['same_as', 'part_of', 'coexists_with', 'interacts_with']
['same_as', 'affects', 'prevents', 'occurs_in']
['same_as', 'treats', 'prevents', 'interacts_with']
['same_as', 'diagnoses', 'location_of', 'inhibits']
['same_as', 'part_of', 'diagnoses', 'part_of']
['same_as', 'same_as', 'location_of', 'diagnoses']
['same_as', 'causes', 'disrupts', 'interacts_with']
['same_as', 'stimulates', 'stimulates', 'inhibits']
['same_as', 'location_of', 'prevents', 'inhibits']
['same_as', 'isa', 'same_as', 'compared_with']
['same_as', 'location_of']
['same_as', 'disrupts', 'isa', 'stimulates']
['same_as', 'same_as', 'disrupts', 'same_as']
['same_as', 'disrupts', 'compared_with', 'interacts_with']
['same_as', 'affects', 'same_as', 'stimulates']
['same_as', 'interacts_with', 'interacts_with', 'prevents']
['same_as', 'part_of', 'produces', 'compared_with']
['same_as', 'produces', 'complicates', 'interacts_with']
['same_as', 'inhibits', 'disrupts', 'part_of']
['same_as', 'prevents', 'same_as', 'stimulates']
['same_as', 'augments', 'same_as', 'causes']
['same_as', 'coexists_with', 'location_of', 'same_as']
['same_as', 'treats', 'diagnoses', 'part_of']
['same_as', 'prevents', 'prevents', 'part_of']
['same_as', 'disrupts', 'occurs_in', 'causes']
['same_as', 'augments', 'treats', 'complicates']
['same_as', 'causes', 'complicates', 'coexists_with']
['same_as', 'inhibits', 'isa', 'stimulates']
['same_as', 'causes', 'isa', 'stimulates']
['same_as', 'part_of', 'prevents', 'causes']
['same_as', 'causes', 'produces', 'prevents']
['same_as', 'diagnoses', 'coexists_with', 'treats']
['same_as', 'prevents', 'interacts_with', 'complicates']
['same_as', 'complicates', 'prevents', 'occurs_in']
['same_as', 'produces', 'produces', 'stimulates']
['same_as', 'stimulates', 'diagnoses', 'affects']
['same_as', 'augments', 'part_of', 'diagnoses']
['complicates', 'isa', 'compared_with', 'same_as']
['complicates', 'compared_with', 'compared_with', 'causes']
['complicates', 'location_of', 'diagnoses', 'affects']
['complicates', 'complicates', 'interacts_with', 'stimulates']
['complicates', 'treats', 'interacts_with', 'interacts_with']
['complicates', 'inhibits', 'diagnoses', 'complicates']
['complicates', 'associated_with', 'disrupts', 'inhibits']
['complicates', 'associated_with', 'associated_with']
['complicates', 'part_of', 'causes', 'prevents']
['complicates', 'disrupts', 'isa']
['complicates', 'prevents']
['complicates', 'stimulates', 'stimulates', 'associated_with']
['complicates', 'same_as', 'prevents', 'disrupts']
['complicates', 'diagnoses', 'occurs_in', 'prevents']
['complicates', 'inhibits', 'associated_with', 'produces']
['complicates', 'isa', 'same_as', 'interacts_with']
['complicates', 'isa', 'causes', 'disrupts']
['complicates', 'compared_with', 'treats', 'location_of']
['complicates', 'complicates']
['complicates', 'causes', 'part_of', 'causes']
['complicates', 'part_of', 'prevents', 'coexists_with']
['complicates', 'treats', 'disrupts', 'treats']
['complicates', 'associated_with', 'disrupts', 'disrupts']
['complicates', 'compared_with', 'affects', 'inhibits']
['complicates', 'diagnoses', 'interacts_with', 'associated_with']
['complicates', 'associated_with', 'augments', 'treats']
['complicates', 'disrupts', 'inhibits', 'causes']
['complicates', 'complicates', 'same_as', 'disrupts']
['complicates', 'disrupts', 'treats', 'prevents']
['complicates', 'treats', 'diagnoses', 'diagnoses']
['complicates', 'occurs_in', 'affects', 'part_of']
['complicates', 'location_of', 'stimulates', 'interacts_with']
['complicates', 'stimulates', 'same_as', 'associated_with']
['complicates', 'occurs_in', 'produces', 'causes']
['complicates', 'complicates', 'occurs_in', 'inhibits']
['complicates', 'coexists_with', 'stimulates', 'interacts_with']
['complicates', 'occurs_in', 'causes', 'coexists_with']
['complicates', 'treats', 'coexists_with', 'location_of']
['complicates', 'affects', 'coexists_with', 'complicates']
['complicates', 'augments', 'interacts_with', 'complicates']
['complicates', 'coexists_with', 'part_of', 'compared_with']
['complicates', 'compared_with', 'causes', 'disrupts']
['complicates', 'location_of', 'causes', 'occurs_in']
['complicates', 'same_as', 'part_of', 'coexists_with']
['complicates', 'treats', 'complicates', 'prevents']
['complicates', 'compared_with', 'disrupts', 'augments']
['complicates', 'isa', 'associated_with', 'part_of']
['complicates', 'same_as', 'compared_with', 'produces']
['complicates', 'occurs_in', 'produces', 'stimulates']
['complicates', 'stimulates', 'treats', 'compared_with']
['complicates', 'diagnoses', 'diagnoses', 'diagnoses']
['complicates', 'isa', 'disrupts', 'produces']
['complicates', 'interacts_with', 'augments', 'same_as']
['complicates', 'stimulates', 'occurs_in', 'augments']
['complicates', 'coexists_with', 'affects', 'compared_with']
['complicates', 'isa', 'disrupts', 'occurs_in']
['complicates', 'stimulates', 'affects', 'location_of']
['complicates', 'location_of', 'diagnoses', 'part_of']
['complicates', 'causes', 'causes', 'treats']
['complicates', 'associated_with', 'augments']
['complicates', 'compared_with', 'inhibits', 'coexists_with']
['complicates', 'same_as', 'causes', 'diagnoses']
['complicates']
['complicates', 'disrupts', 'treats', 'augments']
['complicates', 'affects', 'stimulates', 'interacts_with']
['complicates', 'produces']
['complicates', 'part_of', 'inhibits', 'stimulates']
['complicates', 'affects', 'augments', 'prevents']
['complicates', 'isa', 'associated_with', 'disrupts']
['complicates', 'occurs_in', 'stimulates', 'causes']
['complicates', 'prevents', 'isa', 'interacts_with']
['complicates', 'prevents', 'part_of', 'stimulates']
['complicates', 'complicates', 'causes', 'compared_with']
['complicates', 'associated_with']
['complicates', 'same_as', 'inhibits', 'produces']
['complicates', 'occurs_in', 'interacts_with', 'associated_with']
['complicates', 'disrupts', 'augments', 'causes']
['complicates', 'inhibits', 'inhibits', 'occurs_in']
['complicates', 'complicates', 'part_of', 'coexists_with']
['complicates', 'interacts_with', 'produces', 'affects']
['complicates', 'isa', 'augments', 'occurs_in']
['complicates', 'inhibits', 'coexists_with', 'disrupts']
['complicates', 'interacts_with', 'stimulates', 'stimulates']
['complicates', 'complicates', 'location_of', 'occurs_in']
['complicates', 'inhibits', 'compared_with', 'location_of']
['complicates', 'prevents', 'occurs_in', 'isa']
['complicates', 'produces', 'associated_with', 'interacts_with']
['complicates', 'treats', 'compared_with', 'prevents']
['complicates', 'associated_with', 'prevents', 'coexists_with']
['complicates', 'coexists_with', 'augments', 'prevents']
['complicates', 'same_as', 'causes', 'interacts_with']
['complicates', 'associated_with', 'diagnoses', 'produces']
['complicates', 'disrupts', 'occurs_in', 'prevents']
['complicates', 'affects', 'stimulates', 'location_of']
['complicates', 'stimulates', 'affects', 'produces']
['complicates', 'part_of', 'isa', 'coexists_with']
['complicates', 'prevents', 'part_of', 'treats']
['complicates', 'treats', 'produces', 'isa']
['complicates', 'occurs_in', 'associated_with', 'coexists_with']
['complicates', 'occurs_in', 'isa', 'stimulates']
['prevents', 'part_of', 'affects', 'isa']
['prevents', 'complicates', 'occurs_in', 'interacts_with']
['prevents']
['prevents', 'inhibits', 'prevents', 'augments']
['prevents', 'causes', 'complicates', 'causes']
['prevents', 'compared_with', 'coexists_with', 'causes']
['prevents', 'interacts_with', 'occurs_in', 'augments']
['prevents', 'compared_with', 'augments', 'treats']
['prevents', 'associated_with', 'treats', 'stimulates']
['prevents', 'same_as', 'affects', 'disrupts']
['prevents', 'diagnoses', 'occurs_in', 'causes']
['prevents', 'same_as', 'interacts_with', 'isa']
['prevents', 'interacts_with', 'prevents', 'prevents']
['prevents', 'interacts_with', 'disrupts', 'prevents']
['prevents', 'location_of', 'location_of', 'causes']
['prevents', 'prevents', 'causes', 'diagnoses']
['prevents', 'inhibits', 'causes', 'occurs_in']
['prevents', 'affects', 'occurs_in', 'treats']
['prevents', 'disrupts', 'occurs_in', 'augments']
['prevents', 'compared_with', 'causes', 'inhibits']
['prevents', 'causes', 'prevents', 'occurs_in']
['prevents', 'location_of', 'augments', 'part_of']
['prevents', 'coexists_with', 'location_of', 'disrupts']
['prevents', 'complicates', 'compared_with', 'associated_with']
['prevents', 'occurs_in', 'compared_with', 'coexists_with']
['prevents', 'interacts_with', 'occurs_in', 'disrupts']
['prevents', 'interacts_with', 'isa', 'part_of']
['prevents', 'part_of', 'stimulates', 'location_of']
['prevents', 'inhibits', 'same_as', 'diagnoses']
['prevents', 'complicates', 'occurs_in', 'diagnoses']
['prevents', 'affects', 'prevents', 'inhibits']
['prevents', 'augments', 'produces']
['prevents', 'part_of', 'complicates', 'coexists_with']
['prevents', 'same_as', 'disrupts', 'produces']
['prevents', 'occurs_in', 'coexists_with', 'coexists_with']
['prevents', 'diagnoses', 'occurs_in', 'occurs_in']
['prevents', 'treats', 'same_as', 'coexists_with']
['prevents', 'disrupts', 'coexists_with', 'produces']
['prevents', 'location_of', 'disrupts', 'interacts_with']
['prevents', 'inhibits', 'occurs_in', 'part_of']
['prevents', 'associated_with', 'coexists_with', 'inhibits']
['prevents', 'treats', 'location_of']
['prevents', 'produces', 'interacts_with', 'isa']
['prevents', 'occurs_in', 'same_as', 'stimulates']
['prevents', 'disrupts', 'causes', 'diagnoses']
['prevents', 'prevents', 'produces', 'disrupts']
['prevents', 'inhibits', 'coexists_with', 'affects']
['prevents', 'location_of', 'affects', 'produces']
['prevents', 'diagnoses', 'stimulates', 'same_as']
['prevents', 'associated_with', 'treats', 'occurs_in']
['prevents', 'occurs_in', 'affects', 'isa']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'location_of', 'inhibits', 'produces']
['prevents', 'complicates', 'causes', 'produces']
['prevents', 'coexists_with', 'produces', 'diagnoses']
['prevents', 'disrupts', 'affects', 'complicates']
['prevents', 'treats', 'complicates', 'part_of']
['prevents', 'occurs_in', 'diagnoses', 'isa']
['prevents', 'complicates', 'associated_with', 'same_as']
['prevents', 'inhibits', 'disrupts', 'augments']
['prevents', 'inhibits', 'produces', 'treats']
['prevents', 'part_of', 'coexists_with', 'diagnoses']
['prevents', 'coexists_with', 'coexists_with', 'causes']
['prevents', 'interacts_with', 'compared_with', 'diagnoses']
['prevents', 'produces', 'coexists_with', 'augments']
['prevents', 'produces', 'inhibits', 'augments']
['prevents', 'prevents', 'prevents', 'complicates']
['prevents', 'same_as', 'causes', 'part_of']
['prevents', 'affects', 'associated_with', 'prevents']
['prevents', 'coexists_with', 'augments', 'affects']
['prevents', 'location_of', 'diagnoses', 'causes']
['prevents', 'complicates', 'occurs_in', 'disrupts']
['prevents', 'compared_with', 'location_of', 'coexists_with']
['prevents', 'augments', 'disrupts', 'part_of']
['prevents', 'interacts_with', 'associated_with', 'isa']
['prevents', 'prevents', 'part_of', 'interacts_with']
['prevents', 'interacts_with', 'affects', 'isa']
['prevents', 'associated_with', 'augments', 'interacts_with']
['prevents', 'stimulates', 'interacts_with', 'causes']
['prevents', 'compared_with', 'produces', 'causes']
['prevents', 'augments', 'occurs_in']
['prevents', 'produces', 'treats', 'complicates']
['prevents', 'prevents', 'stimulates', 'stimulates']
['prevents', 'associated_with', 'complicates', 'produces']
['prevents', 'affects', 'affects', 'causes']
['prevents', 'compared_with', 'inhibits', 'associated_with']
['prevents', 'part_of', 'location_of', 'augments']
['prevents', 'treats', 'same_as', 'diagnoses']
['prevents', 'diagnoses', 'inhibits', 'isa']
['prevents', 'inhibits', 'inhibits', 'isa']
['prevents', 'location_of', 'stimulates', 'same_as']
['prevents', 'causes', 'same_as', 'causes']
['prevents', 'associated_with', 'part_of', 'treats']
['prevents', 'coexists_with', 'location_of', 'inhibits']
['prevents', 'isa', 'isa', 'produces']
['prevents', 'interacts_with', 'part_of', 'complicates']
['prevents', 'part_of', 'coexists_with', 'associated_with']
['disrupts', 'occurs_in', 'isa', 'same_as']
['disrupts', 'coexists_with', 'interacts_with', 'augments']
['disrupts', 'same_as', 'complicates', 'coexists_with']
['disrupts', 'interacts_with', 'interacts_with', 'occurs_in']
['disrupts', 'location_of', 'interacts_with', 'disrupts']
['disrupts', 'affects', 'augments', 'isa']
['disrupts', 'stimulates']
['disrupts', 'interacts_with', 'isa', 'coexists_with']
['disrupts', 'complicates', 'affects', 'interacts_with']
['disrupts', 'affects', 'coexists_with', 'interacts_with']
['disrupts', 'isa', 'prevents', 'complicates']
['disrupts', 'isa', 'prevents', 'isa']
['disrupts', 'produces', 'associated_with', 'augments']
['disrupts', 'same_as', 'affects', 'same_as']
['disrupts', 'compared_with', 'diagnoses', 'produces']
['disrupts', 'compared_with', 'prevents', 'produces']
['disrupts', 'occurs_in', 'affects', 'occurs_in']
['disrupts', 'augments', 'stimulates', 'causes']
['disrupts', 'part_of', 'location_of', 'prevents']
['disrupts', 'isa']
['disrupts', 'location_of']
['disrupts', 'occurs_in', 'augments', 'coexists_with']
['disrupts', 'stimulates', 'stimulates', 'coexists_with']
['disrupts', 'associated_with', 'interacts_with', 'part_of']
['disrupts', 'isa', 'same_as', 'prevents']
['disrupts', 'part_of', 'prevents', 'associated_with']
['disrupts', 'prevents', 'occurs_in', 'augments']
['disrupts', 'associated_with', 'complicates', 'treats']
['disrupts', 'interacts_with', 'diagnoses', 'stimulates']
['disrupts', 'augments', 'augments', 'augments']
['disrupts', 'isa', 'occurs_in', 'inhibits']
['disrupts', 'location_of', 'coexists_with', 'associated_with']
['disrupts', 'interacts_with', 'produces', 'part_of']
['disrupts', 'stimulates', 'inhibits', 'coexists_with']
['disrupts', 'diagnoses', 'causes', 'occurs_in']
['disrupts', 'causes', 'produces', 'part_of']
['disrupts', 'associated_with', 'location_of']
['disrupts', 'treats', 'inhibits', 'produces']
['disrupts', 'produces', 'stimulates', 'same_as']
['disrupts', 'interacts_with', 'compared_with']
['disrupts', 'disrupts', 'part_of', 'augments']
['disrupts', 'treats', 'isa', 'complicates']
['disrupts', 'coexists_with', 'location_of', 'interacts_with']
['disrupts', 'isa', 'affects', 'isa']
['disrupts', 'associated_with', 'affects', 'produces']
['disrupts', 'interacts_with', 'interacts_with', 'stimulates']
['disrupts', 'isa', 'stimulates', 'same_as']
['disrupts', 'coexists_with', 'augments', 'occurs_in']
['disrupts', 'associated_with', 'affects', 'isa']
['disrupts', 'prevents', 'occurs_in', 'prevents']
['disrupts', 'produces', 'diagnoses', 'location_of']
['disrupts', 'inhibits', 'stimulates', 'associated_with']
['disrupts', 'inhibits', 'disrupts', 'coexists_with']
['disrupts', 'occurs_in', 'treats', 'coexists_with']
['disrupts', 'causes', 'occurs_in', 'occurs_in']
['disrupts', 'produces', 'produces', 'coexists_with']
['disrupts', 'produces', 'same_as', 'part_of']
['disrupts', 'complicates', 'interacts_with', 'same_as']
['disrupts', 'augments', 'stimulates', 'associated_with']
