['diagnoses', 'part_of', 'affects', 'prevents']
['diagnoses', 'disrupts', 'prevents', 'treats']
['diagnoses', 'stimulates', 'produces', 'stimulates']
['diagnoses', 'complicates', 'part_of']
['diagnoses', 'augments', 'causes', 'disrupts']
['diagnoses', 'location_of', 'treats']
['diagnoses', 'occurs_in', 'occurs_in', 'affects']
['diagnoses', 'prevents', 'prevents', 'causes']
['diagnoses', 'occurs_in', 'occurs_in', 'part_of']
['diagnoses', 'interacts_with', 'same_as', 'complicates']
['diagnoses', 'coexists_with', 'occurs_in', 'interacts_with']
['diagnoses', 'diagnoses', 'produces', 'diagnoses']
['diagnoses', 'prevents', 'same_as', 'isa']
['diagnoses', 'occurs_in', 'occurs_in', 'same_as']
['occurs_in', 'isa', 'diagnoses', 'occurs_in']
['occurs_in', 'diagnoses', 'inhibits', 'location_of']
['occurs_in', 'location_of', 'causes', 'compared_with']
['occurs_in', 'same_as', 'diagnoses', 'stimulates']
['occurs_in', 'complicates', 'isa', 'isa']
['occurs_in', 'complicates', 'complicates', 'isa']
['occurs_in', 'causes', 'location_of', 'complicates']
['occurs_in', 'augments', 'affects', 'compared_with']
['occurs_in', 'occurs_in', 'location_of', 'location_of']
['occurs_in', 'augments', 'interacts_with', 'complicates']
['occurs_in', 'associated_with', 'associated_with', 'prevents']
['occurs_in', 'disrupts', 'location_of', 'isa']
['occurs_in', 'same_as', 'associated_with', 'prevents']
['occurs_in', 'produces', 'inhibits', 'complicates']
['occurs_in', 'augments', 'compared_with', 'occurs_in']
['occurs_in', 'treats', 'same_as', 'location_of']
['occurs_in', 'stimulates', 'complicates', 'same_as']
['occurs_in', 'isa', 'location_of', 'causes']
['occurs_in', 'complicates', 'coexists_with', 'isa']
['occurs_in', 'disrupts', 'isa', 'isa']
['occurs_in', 'diagnoses', 'compared_with', 'complicates']
['occurs_in', 'treats']
['occurs_in', 'isa']
['occurs_in', 'same_as', 'compared_with', 'treats']
['occurs_in', 'associated_with', 'compared_with', 'produces']
['occurs_in', 'part_of', 'occurs_in', 'location_of']
['occurs_in', 'complicates', 'occurs_in', 'associated_with']
['occurs_in', 'complicates', 'associated_with', 'causes']
['occurs_in', 'produces', 'complicates', 'complicates']
['occurs_in', 'compared_with', 'interacts_with', 'treats']
['occurs_in', 'inhibits', 'associated_with', 'produces']
['occurs_in', 'isa', 'compared_with', 'stimulates']
['occurs_in', 'isa', 'prevents', 'disrupts']
['occurs_in', 'associated_with', 'occurs_in', 'associated_with']
['occurs_in', 'location_of', 'diagnoses', 'occurs_in']
['occurs_in', 'isa', 'augments']
['occurs_in', 'associated_with', 'complicates', 'location_of']
['occurs_in', 'stimulates', 'isa', 'stimulates']
['occurs_in', 'location_of', 'treats', 'affects']
['occurs_in', 'inhibits', 'coexists_with', 'compared_with']
['occurs_in', 'part_of', 'treats', 'associated_with']
['occurs_in', 'causes', 'disrupts', 'occurs_in']
['occurs_in', 'compared_with', 'interacts_with', 'complicates']
['occurs_in', 'treats', 'stimulates', 'interacts_with']
['occurs_in', 'location_of', 'coexists_with', 'inhibits']
['occurs_in', 'same_as', 'location_of', 'prevents']
['occurs_in', 'part_of', 'interacts_with', 'location_of']
['occurs_in', 'associated_with', 'causes', 'interacts_with']
['occurs_in', 'augments', 'inhibits', 'causes']
['occurs_in', 'coexists_with', 'associated_with', 'complicates']
['occurs_in', 'prevents', 'prevents', 'stimulates']
['occurs_in', 'causes', 'part_of', 'affects']
['occurs_in', 'diagnoses', 'treats', 'same_as']
['occurs_in', 'causes', 'complicates', 'produces']
['occurs_in', 'augments']
['occurs_in', 'coexists_with', 'isa', 'prevents']
['occurs_in', 'interacts_with', 'coexists_with', 'same_as']
['occurs_in', 'augments', 'diagnoses', 'augments']
['occurs_in', 'interacts_with', 'affects', 'part_of']
['occurs_in', 'complicates', 'same_as', 'inhibits']
['occurs_in', 'location_of', 'inhibits', 'occurs_in']
['occurs_in', 'occurs_in', 'associated_with', 'associated_with']
['occurs_in', 'disrupts', 'complicates', 'disrupts']
['occurs_in', 'complicates', 'disrupts', 'produces']
['occurs_in', 'inhibits', 'augments', 'augments']
['occurs_in', 'causes', 'produces', 'isa']
['occurs_in', 'treats', 'interacts_with', 'associated_with']
['occurs_in', 'same_as', 'location_of', 'diagnoses']
['occurs_in', 'compared_with', 'causes', 'augments']
['occurs_in', 'associated_with', 'interacts_with']
['occurs_in', 'disrupts', 'same_as', 'stimulates']
['occurs_in', 'diagnoses', 'interacts_with', 'interacts_with']
['occurs_in', 'same_as', 'augments', 'prevents']
['occurs_in', 'complicates', 'part_of', 'occurs_in']
['occurs_in']
['occurs_in', 'affects', 'produces', 'stimulates']
['occurs_in', 'interacts_with']
['occurs_in', 'interacts_with', 'produces', 'compared_with']
['occurs_in', 'augments', 'causes', 'stimulates']
['occurs_in', 'treats', 'associated_with', 'location_of']
['occurs_in', 'stimulates', 'compared_with', 'affects']
['occurs_in', 'treats', 'augments', 'causes']
['occurs_in', 'same_as', 'coexists_with', 'same_as']
['occurs_in', 'causes', 'causes', 'affects']
['occurs_in', 'occurs_in', 'interacts_with', 'same_as']
['occurs_in', 'part_of', 'isa', 'compared_with']
['occurs_in', 'compared_with', 'produces', 'associated_with']
['occurs_in', 'complicates', 'produces', 'location_of']
['occurs_in', 'affects', 'stimulates', 'augments']
['occurs_in', 'coexists_with', 'coexists_with', 'compared_with']
['occurs_in', 'prevents', 'same_as', 'causes']
['occurs_in', 'inhibits', 'complicates', 'causes']
['occurs_in', 'location_of', 'same_as', 'complicates']
['occurs_in', 'stimulates', 'same_as']
['occurs_in', 'augments', 'disrupts', 'augments']
['occurs_in', 'coexists_with', 'inhibits', 'augments']
['occurs_in', 'augments', 'augments', 'inhibits']
['occurs_in', 'stimulates', 'complicates', 'isa']
['same_as', 'affects', 'prevents', 'interacts_with']
['same_as', 'prevents', 'diagnoses', 'augments']
['same_as', 'treats', 'diagnoses', 'causes']
['same_as', 'part_of', 'part_of', 'stimulates']
['same_as', 'compared_with', 'prevents', 'inhibits']
['same_as', 'prevents', 'isa', 'inhibits']
['same_as', 'location_of', 'prevents', 'same_as']
['same_as', 'produces', 'interacts_with', 'disrupts']
['same_as', 'augments', 'location_of', 'compared_with']
['same_as', 'treats', 'associated_with']
['same_as', 'isa', 'stimulates', 'interacts_with']
['same_as', 'interacts_with', 'diagnoses', 'associated_with']
['same_as', 'diagnoses', 'affects', 'produces']
['same_as', 'stimulates', 'compared_with', 'associated_with']
['same_as', 'coexists_with', 'occurs_in', 'same_as']
['same_as', 'part_of', 'causes', 'compared_with']
['same_as', 'augments', 'produces', 'inhibits']
['same_as', 'part_of', 'produces', 'isa']
['same_as', 'same_as', 'affects', 'interacts_with']
['same_as', 'diagnoses', 'treats', 'produces']
['same_as', 'stimulates', 'augments', 'same_as']
['same_as', 'isa', 'same_as', 'occurs_in']
['same_as', 'associated_with', 'disrupts', 'same_as']
['same_as', 'location_of', 'stimulates', 'same_as']
['same_as', 'produces', 'location_of', 'complicates']
['same_as', 'prevents', 'occurs_in', 'causes']
['same_as', 'coexists_with', 'inhibits', 'compared_with']
['same_as', 'associated_with', 'complicates', 'treats']
['same_as', 'part_of', 'produces', 'augments']
['same_as', 'same_as', 'inhibits', 'same_as']
['same_as', 'causes', 'treats', 'compared_with']
['same_as', 'diagnoses', 'produces', 'associated_with']
['same_as', 'diagnoses', 'complicates', 'isa']
['same_as', 'associated_with', 'same_as', 'causes']
['same_as', 'diagnoses', 'complicates', 'causes']
['same_as', 'produces', 'complicates']
['same_as', 'occurs_in', 'interacts_with', 'prevents']
['same_as', 'complicates', 'coexists_with', 'associated_with']
['same_as', 'stimulates', 'interacts_with', 'isa']
['same_as', 'prevents', 'interacts_with', 'isa']
['same_as', 'causes', 'diagnoses', 'diagnoses']
['same_as', 'interacts_with', 'affects', 'coexists_with']
['same_as', 'stimulates', 'augments', 'diagnoses']
['same_as', 'occurs_in', 'stimulates', 'prevents']
['same_as', 'part_of', 'coexists_with', 'prevents']
['same_as', 'complicates', 'location_of', 'produces']
['same_as', 'compared_with', 'occurs_in', 'stimulates']
['same_as', 'occurs_in', 'location_of', 'prevents']
['same_as', 'causes', 'coexists_with', 'occurs_in']
['same_as', 'part_of', 'occurs_in', 'prevents']
['same_as', 'occurs_in', 'affects', 'produces']
['same_as', 'affects', 'stimulates', 'produces']
['same_as', 'prevents', 'compared_with', 'causes']
['same_as', 'produces', 'part_of', 'occurs_in']
['same_as', 'disrupts', 'stimulates', 'associated_with']
['same_as', 'prevents', 'causes', 'location_of']
['same_as', 'associated_with']
['same_as', 'location_of', 'diagnoses', 'coexists_with']
['same_as', 'isa', 'occurs_in', 'produces']
['same_as', 'prevents', 'affects', 'causes']
['same_as', 'treats', 'associated_with', 'diagnoses']
['same_as', 'prevents', 'complicates']
['same_as', 'location_of', 'coexists_with', 'treats']
['same_as', 'stimulates', 'interacts_with']
['same_as', 'causes', 'inhibits', 'part_of']
['same_as', 'complicates', 'location_of', 'same_as']
['same_as', 'occurs_in', 'location_of', 'disrupts']
['same_as', 'diagnoses']
['same_as', 'occurs_in', 'prevents', 'associated_with']
['same_as', 'prevents', 'inhibits', 'coexists_with']
['same_as', 'interacts_with', 'stimulates', 'stimulates']
['same_as']
['same_as', 'occurs_in', 'part_of', 'causes']
['same_as', 'associated_with', 'disrupts', 'affects']
['same_as', 'same_as', 'treats', 'part_of']
['same_as', 'causes', 'part_of', 'produces']
['same_as', 'compared_with', 'stimulates', 'location_of']
['same_as', 'stimulates', 'location_of', 'complicates']
['same_as', 'compared_with', 'diagnoses', 'diagnoses']
['same_as', 'same_as', 'prevents', 'same_as']
['same_as', 'compared_with']
['same_as', 'prevents', 'treats', 'prevents']
['same_as', 'causes', 'same_as', 'diagnoses']
['same_as', 'augments', 'treats', 'complicates']
['same_as', 'disrupts', 'disrupts', 'compared_with']
['same_as', 'stimulates', 'occurs_in', 'location_of']
['same_as', 'same_as', 'occurs_in', 'occurs_in']
['same_as', 'interacts_with']
['same_as', 'associated_with', 'diagnoses', 'inhibits']
['same_as', 'diagnoses', 'interacts_with', 'same_as']
['same_as', 'causes', 'causes', 'associated_with']
['same_as', 'affects', 'causes', 'causes']
['same_as', 'complicates', 'part_of', 'same_as']
['complicates', 'same_as', 'produces', 'prevents']
['complicates', 'location_of', 'stimulates', 'part_of']
['complicates', 'disrupts', 'interacts_with', 'prevents']
['complicates', 'interacts_with', 'affects', 'isa']
['complicates', 'prevents', 'causes', 'interacts_with']
['complicates', 'stimulates', 'isa', 'augments']
['complicates', 'compared_with', 'prevents', 'causes']
['complicates', 'stimulates', 'prevents', 'part_of']
['complicates']
['complicates', 'location_of', 'isa', 'complicates']
['complicates', 'inhibits', 'interacts_with', 'inhibits']
['complicates', 'compared_with', 'causes', 'stimulates']
['complicates', 'isa', 'location_of', 'affects']
['complicates', 'compared_with', 'treats', 'augments']
['complicates', 'stimulates', 'treats', 'coexists_with']
['complicates', 'part_of', 'same_as', 'treats']
['complicates', 'interacts_with', 'diagnoses', 'augments']
['complicates', 'associated_with', 'part_of', 'diagnoses']
['complicates', 'treats', 'interacts_with', 'stimulates']
['complicates', 'inhibits', 'treats', 'causes']
['complicates', 'treats', 'isa', 'diagnoses']
['complicates', 'same_as', 'produces', 'produces']
['complicates', 'produces', 'coexists_with', 'disrupts']
['complicates', 'coexists_with', 'treats', 'treats']
['complicates', 'inhibits', 'diagnoses', 'disrupts']
['complicates', 'diagnoses', 'interacts_with', 'disrupts']
['complicates', 'part_of']
['complicates', 'part_of', 'isa', 'prevents']
['complicates', 'isa', 'occurs_in', 'affects']
['complicates', 'compared_with', 'stimulates', 'stimulates']
['complicates', 'part_of', 'part_of', 'isa']
['complicates', 'complicates', 'interacts_with', 'diagnoses']
['complicates', 'coexists_with', 'augments', 'compared_with']
['complicates', 'occurs_in', 'associated_with', 'location_of']
['complicates', 'complicates', 'interacts_with', 'causes']
['complicates', 'diagnoses', 'location_of', 'affects']
['complicates', 'disrupts', 'treats', 'coexists_with']
['complicates', 'complicates', 'produces', 'associated_with']
['complicates', 'complicates', 'treats', 'causes']
['complicates', 'stimulates', 'interacts_with', 'stimulates']
['complicates', 'affects', 'coexists_with', 'prevents']
['complicates', 'complicates', 'prevents', 'augments']
['complicates', 'part_of', 'treats', 'causes']
['complicates', 'inhibits', 'stimulates', 'interacts_with']
['complicates', 'interacts_with', 'diagnoses', 'causes']
['complicates', 'coexists_with', 'isa', 'prevents']
['complicates', 'produces', 'stimulates', 'occurs_in']
['complicates', 'diagnoses']
['complicates', 'affects', 'associated_with', 'isa']
['complicates', 'associated_with', 'causes', 'prevents']
['complicates', 'diagnoses', 'disrupts', 'prevents']
['complicates', 'occurs_in', 'compared_with', 'complicates']
['complicates', 'prevents', 'treats', 'inhibits']
['complicates', 'inhibits', 'complicates', 'inhibits']
['complicates', 'part_of', 'same_as', 'complicates']
['complicates', 'compared_with', 'causes', 'part_of']
['complicates', 'isa', 'coexists_with', 'compared_with']
['complicates', 'complicates', 'complicates', 'complicates']
['complicates', 'associated_with', 'location_of', 'complicates']
['complicates', 'disrupts', 'associated_with']
['complicates', 'interacts_with', 'causes', 'treats']
['complicates', 'produces', 'stimulates']
['complicates', 'part_of', 'affects', 'associated_with']
['complicates', 'occurs_in', 'complicates', 'affects']
['complicates', 'coexists_with', 'part_of', 'isa']
['complicates', 'augments', 'coexists_with', 'location_of']
['complicates', 'disrupts', 'treats', 'treats']
['complicates', 'produces', 'location_of', 'augments']
['complicates', 'coexists_with', 'augments', 'location_of']
['complicates', 'stimulates', 'affects', 'causes']
['complicates', 'occurs_in', 'same_as', 'inhibits']
['complicates', 'inhibits']
['complicates', 'isa', 'treats', 'location_of']
['complicates', 'isa', 'occurs_in', 'augments']
['complicates', 'coexists_with', 'interacts_with', 'produces']
['complicates', 'causes', 'interacts_with', 'compared_with']
['complicates', 'treats', 'part_of', 'affects']
['complicates', 'occurs_in', 'same_as', 'prevents']
['complicates', 'disrupts', 'causes', 'diagnoses']
['complicates', 'isa', 'compared_with', 'disrupts']
['complicates', 'isa', 'disrupts', 'diagnoses']
['complicates', 'disrupts', 'inhibits', 'complicates']
['complicates', 'treats', 'prevents', 'coexists_with']
['complicates', 'produces', 'disrupts', 'affects']
['complicates', 'interacts_with', 'part_of', 'diagnoses']
['complicates', 'coexists_with', 'disrupts', 'prevents']
['complicates', 'stimulates', 'disrupts', 'produces']
['complicates', 'inhibits', 'inhibits', 'diagnoses']
['complicates', 'diagnoses', 'interacts_with', 'augments']
['complicates', 'coexists_with', 'occurs_in', 'part_of']
['complicates', 'occurs_in', 'coexists_with', 'inhibits']
['complicates', 'location_of', 'prevents', 'coexists_with']
['complicates', 'interacts_with', 'interacts_with', 'prevents']
['complicates', 'inhibits', 'diagnoses', 'occurs_in']
['complicates', 'complicates', 'part_of', 'disrupts']
['complicates', 'complicates', 'coexists_with', 'part_of']
['complicates', 'complicates', 'causes', 'diagnoses']
['prevents', 'interacts_with', 'produces', 'inhibits']
['prevents', 'disrupts', 'disrupts', 'diagnoses']
['prevents', 'disrupts']
['prevents', 'compared_with', 'compared_with', 'compared_with']
['prevents', 'diagnoses', 'prevents', 'interacts_with']
['prevents', 'complicates', 'interacts_with', 'disrupts']
['prevents', 'location_of', 'disrupts', 'stimulates']
['prevents', 'diagnoses', 'coexists_with']
['prevents', 'occurs_in', 'prevents', 'affects']
['prevents', 'complicates', 'produces', 'compared_with']
['prevents', 'causes', 'causes', 'coexists_with']
['prevents', 'complicates', 'compared_with', 'same_as']
['prevents', 'interacts_with']
['prevents', 'occurs_in', 'inhibits', 'complicates']
['prevents', 'prevents', 'diagnoses', 'inhibits']
['prevents', 'causes', 'compared_with', 'affects']
['prevents', 'complicates', 'complicates', 'inhibits']
['prevents', 'prevents', 'coexists_with', 'occurs_in']
['prevents', 'interacts_with', 'produces', 'produces']
['prevents', 'prevents', 'treats', 'associated_with']
['prevents', 'coexists_with', 'associated_with', 'affects']
['prevents', 'augments']
['prevents', 'disrupts', 'complicates']
['prevents', 'diagnoses', 'complicates', 'part_of']
['prevents', 'complicates', 'associated_with', 'complicates']
['prevents', 'inhibits', 'part_of', 'augments']
['prevents', 'interacts_with', 'diagnoses', 'isa']
['prevents', 'complicates']
['prevents', 'part_of']
['prevents', 'produces', 'occurs_in', 'diagnoses']
['prevents', 'complicates', 'complicates', 'treats']
['prevents', 'complicates', 'same_as', 'produces']
['prevents', 'stimulates', 'produces', 'complicates']
['prevents', 'location_of', 'diagnoses', 'part_of']
['prevents', 'coexists_with', 'produces', 'interacts_with']
['prevents', 'coexists_with', 'inhibits']
['prevents', 'inhibits', 'produces', 'interacts_with']
['prevents', 'isa', 'prevents', 'location_of']
['prevents', 'augments', 'augments', 'treats']
['prevents', 'produces', 'complicates', 'compared_with']
['prevents', 'treats', 'compared_with', 'augments']
['prevents', 'treats', 'affects', 'disrupts']
['prevents', 'inhibits', 'part_of', 'stimulates']
['prevents', 'interacts_with', 'complicates', 'treats']
['prevents', 'causes', 'same_as', 'augments']
['prevents', 'interacts_with', 'diagnoses', 'same_as']
['prevents', 'same_as', 'location_of', 'disrupts']
['prevents', 'location_of', 'isa', 'augments']
['prevents', 'augments', 'interacts_with', 'part_of']
['prevents', 'occurs_in', 'stimulates', 'part_of']
['prevents', 'inhibits', 'prevents', 'disrupts']
['prevents', 'complicates', 'compared_with', 'disrupts']
['prevents', 'location_of', 'causes', 'isa']
['prevents', 'location_of', 'part_of', 'occurs_in']
['prevents', 'interacts_with', 'disrupts', 'augments']
['prevents', 'interacts_with', 'produces', 'complicates']
['prevents', 'augments', 'inhibits', 'interacts_with']
['prevents', 'prevents', 'treats', 'stimulates']
['prevents', 'affects', 'occurs_in', 'coexists_with']
['prevents', 'coexists_with', 'treats', 'augments']
['prevents', 'compared_with', 'location_of', 'same_as']
['prevents', 'same_as', 'causes', 'causes']
['prevents', 'disrupts', 'diagnoses', 'causes']
['prevents', 'treats', 'same_as', 'occurs_in']
['prevents', 'compared_with', 'affects', 'disrupts']
['prevents', 'associated_with', 'augments', 'isa']
['prevents', 'diagnoses', 'compared_with', 'location_of']
['prevents', 'diagnoses', 'diagnoses', 'interacts_with']
['prevents', 'causes', 'inhibits', 'location_of']
['prevents', 'isa', 'treats', 'treats']
['prevents', 'compared_with', 'prevents', 'part_of']
['prevents', 'inhibits', 'affects', 'causes']
['prevents', 'interacts_with', 'affects', 'complicates']
['prevents', 'same_as', 'disrupts', 'coexists_with']
['prevents', 'interacts_with', 'same_as', 'coexists_with']
['prevents', 'associated_with', 'associated_with', 'complicates']
['prevents', 'produces', 'associated_with', 'inhibits']
['prevents', 'isa', 'location_of', 'inhibits']
['prevents', 'coexists_with', 'disrupts', 'affects']
['prevents']
['prevents', 'associated_with', 'treats', 'disrupts']
['prevents', 'disrupts', 'part_of', 'compared_with']
['prevents', 'inhibits', 'interacts_with', 'augments']
['prevents', 'isa', 'same_as']
['prevents', 'interacts_with', 'prevents', 'stimulates']
['prevents', 'causes', 'stimulates', 'stimulates']
['prevents', 'stimulates', 'diagnoses', 'produces']
['prevents', 'part_of', 'prevents', 'diagnoses']
['prevents', 'augments', 'occurs_in', 'part_of']
['prevents', 'produces', 'interacts_with']
['prevents', 'augments', 'affects', 'produces']
['prevents', 'affects', 'treats', 'location_of']
['prevents', 'affects', 'part_of', 'part_of']
['prevents', 'location_of', 'inhibits', 'coexists_with']
['prevents', 'associated_with']
['prevents', 'interacts_with', 'interacts_with', 'treats']
['prevents', 'part_of', 'produces', 'augments']
['prevents', 'part_of', 'diagnoses', 'associated_with']
['disrupts', 'location_of', 'compared_with', 'coexists_with']
['disrupts', 'inhibits', 'same_as', 'diagnoses']
['disrupts', 'affects', 'disrupts', 'augments']
['disrupts', 'stimulates', 'treats', 'causes']
['disrupts', 'coexists_with', 'affects', 'diagnoses']
['disrupts', 'augments', 'isa', 'treats']
['disrupts', 'associated_with', 'complicates', 'produces']
['disrupts', 'complicates', 'interacts_with', 'location_of']
['disrupts', 'diagnoses', 'occurs_in', 'stimulates']
['disrupts', 'prevents', 'stimulates', 'augments']
['disrupts', 'location_of', 'same_as', 'causes']
['disrupts', 'isa', 'affects', 'inhibits']
['disrupts', 'complicates', 'same_as', 'produces']
['disrupts', 'interacts_with', 'associated_with', 'augments']
['disrupts', 'stimulates', 'part_of', 'associated_with']
['disrupts', 'inhibits', 'same_as', 'associated_with']
['disrupts', 'interacts_with', 'augments', 'interacts_with']
['disrupts', 'part_of', 'disrupts', 'causes']
['disrupts', 'stimulates', 'augments', 'affects']
['disrupts', 'coexists_with', 'interacts_with', 'interacts_with']
['disrupts', 'occurs_in', 'coexists_with', 'complicates']
['disrupts', 'location_of', 'augments']
['disrupts', 'interacts_with', 'stimulates', 'inhibits']
['disrupts', 'part_of', 'treats', 'compared_with']
['disrupts', 'augments', 'coexists_with', 'stimulates']
['disrupts', 'augments', 'augments', 'prevents']
['disrupts', 'diagnoses', 'occurs_in', 'part_of']
['disrupts', 'disrupts', 'same_as', 'disrupts']
['disrupts', 'coexists_with', 'prevents', 'produces']
['disrupts', 'diagnoses', 'prevents', 'interacts_with']
['disrupts', 'diagnoses', 'treats', 'diagnoses']
['disrupts', 'inhibits', 'isa', 'treats']
['disrupts', 'diagnoses', 'augments', 'causes']
['disrupts', 'same_as', 'coexists_with', 'prevents']
['disrupts', 'stimulates']
['disrupts', 'part_of', 'complicates', 'location_of']
['disrupts', 'augments', 'occurs_in', 'prevents']
['disrupts', 'causes', 'part_of', 'compared_with']
['disrupts', 'compared_with', 'isa', 'disrupts']
['disrupts', 'augments', 'part_of', 'augments']
['disrupts', 'diagnoses', 'augments', 'coexists_with']
['disrupts', 'coexists_with', 'location_of', 'interacts_with']
['disrupts', 'disrupts', 'causes', 'occurs_in']
['disrupts', 'same_as', 'augments', 'affects']
['disrupts', 'produces', 'augments', 'diagnoses']
['disrupts', 'complicates', 'treats', 'augments']
['disrupts', 'occurs_in', 'part_of', 'produces']
['disrupts', 'associated_with', 'stimulates', 'occurs_in']
['disrupts', 'produces', 'diagnoses', 'occurs_in']
['disrupts', 'interacts_with', 'part_of', 'interacts_with']
['disrupts', 'isa', 'same_as', 'isa']
['disrupts', 'same_as', 'inhibits', 'causes']
['disrupts', 'complicates', 'augments', 'produces']
['disrupts', 'occurs_in', 'coexists_with', 'affects']
['disrupts', 'stimulates', 'produces', 'occurs_in']
['disrupts', 'isa', 'location_of', 'same_as']
['disrupts']
['disrupts', 'part_of', 'diagnoses', 'produces']
['disrupts', 'interacts_with', 'diagnoses', 'augments']
['disrupts', 'affects', 'interacts_with', 'part_of']
['disrupts', 'compared_with', 'affects', 'associated_with']
['disrupts', 'treats', 'associated_with', 'inhibits']
['disrupts', 'isa', 'complicates', 'same_as']
['disrupts', 'augments', 'part_of', 'produces']
['disrupts', 'disrupts', 'stimulates', 'compared_with']
['disrupts', 'associated_with', 'coexists_with', 'inhibits']
['disrupts', 'occurs_in', 'part_of', 'treats']
['disrupts', 'isa', 'interacts_with', 'interacts_with']
['disrupts', 'causes', 'coexists_with', 'isa']
['disrupts', 'isa', 'compared_with', 'occurs_in']
['disrupts', 'inhibits', 'isa', 'associated_with']
['disrupts', 'location_of', 'part_of', 'causes']
['disrupts', 'affects', 'augments']
['disrupts', 'augments', 'occurs_in', 'produces']
['disrupts', 'compared_with', 'associated_with', 'disrupts']
['disrupts', 'inhibits', 'stimulates', 'prevents']
['disrupts', 'treats', 'isa', 'treats']
['disrupts', 'augments', 'affects', 'causes']
['disrupts', 'prevents', 'complicates', 'location_of']
