['diagnoses', 'causes', 'associated_with', 'interacts_with']
['occurs_in', 'produces', 'part_of', 'compared_with']
['occurs_in', 'stimulates', 'location_of', 'coexists_with']
['occurs_in', 'augments', 'affects', 'interacts_with']
['occurs_in', 'affects', 'treats', 'coexists_with']
['occurs_in', 'interacts_with', 'isa', 'stimulates']
['occurs_in', 'treats', 'occurs_in', 'occurs_in']
['occurs_in', 'interacts_with', 'produces']
['occurs_in', 'coexists_with', 'associated_with', 'causes']
['occurs_in', 'interacts_with', 'compared_with', 'part_of']
['occurs_in', 'isa', 'diagnoses', 'compared_with']
['occurs_in', 'disrupts', 'compared_with', 'interacts_with']
['occurs_in', 'treats', 'compared_with', 'produces']
['occurs_in', 'causes', 'compared_with', 'compared_with']
['occurs_in', 'occurs_in', 'isa', 'coexists_with']
['occurs_in', 'causes', 'part_of', 'occurs_in']
['occurs_in', 'augments', 'stimulates', 'coexists_with']
['occurs_in', 'prevents', 'disrupts', 'diagnoses']
['occurs_in', 'inhibits', 'same_as', 'augments']
['occurs_in', 'coexists_with', 'same_as', 'inhibits']
['occurs_in', 'prevents', 'compared_with', 'diagnoses']
['occurs_in', 'compared_with', 'treats', 'complicates']
['occurs_in', 'diagnoses', 'part_of', 'disrupts']
['occurs_in', 'isa', 'stimulates', 'stimulates']
['occurs_in', 'causes', 'location_of', 'isa']
['occurs_in', 'associated_with', 'complicates', 'diagnoses']
['same_as', 'stimulates', 'diagnoses', 'interacts_with']
['same_as', 'causes', 'disrupts', 'interacts_with']
['same_as', 'augments', 'location_of', 'coexists_with']
['same_as', 'affects', 'same_as', 'interacts_with']
['same_as', 'affects', 'causes', 'compared_with']
['same_as', 'coexists_with', 'occurs_in', 'same_as']
['same_as', 'diagnoses', 'interacts_with', 'complicates']
['same_as', 'location_of', 'coexists_with', 'treats']
['same_as', 'stimulates', 'affects', 'interacts_with']
['same_as', 'compared_with', 'interacts_with', 'interacts_with']
['same_as', 'diagnoses', 'location_of', 'inhibits']
['same_as', 'produces', 'complicates', 'produces']
['same_as', 'associated_with', 'produces', 'compared_with']
['same_as', 'inhibits', 'prevents', 'prevents']
['same_as', 'compared_with', 'causes', 'part_of']
['same_as', 'stimulates']
['same_as', 'diagnoses', 'stimulates', 'disrupts']
['same_as', 'same_as', 'location_of', 'diagnoses']
['same_as', 'complicates', 'interacts_with', 'inhibits']
['same_as', 'produces', 'inhibits', 'diagnoses']
['same_as', 'interacts_with', 'associated_with', 'part_of']
['same_as', 'isa', 'location_of', 'treats']
['same_as', 'associated_with', 'diagnoses', 'isa']
['same_as', 'occurs_in', 'causes', 'occurs_in']
['same_as', 'causes', 'complicates', 'coexists_with']
['same_as', 'compared_with', 'treats', 'complicates']
['same_as', 'augments', 'same_as', 'augments']
['same_as', 'causes', 'isa', 'stimulates']
['same_as', 'isa', 'same_as', 'compared_with']
['same_as', 'occurs_in', 'affects', 'causes']
['same_as', 'disrupts', 'treats', 'compared_with']
['same_as', 'affects', 'prevents', 'treats']
['same_as', 'prevents', 'produces', 'part_of']
['same_as', 'disrupts', 'isa', 'stimulates']
['same_as', 'same_as', 'disrupts', 'same_as']
['same_as', 'treats', 'interacts_with', 'produces']
['same_as', 'disrupts', 'compared_with', 'interacts_with']
['same_as', 'diagnoses', 'prevents', 'disrupts']
['same_as', 'location_of', 'same_as', 'inhibits']
['same_as', 'affects', 'same_as', 'stimulates']
['same_as', 'part_of', 'augments', 'interacts_with']
['same_as', 'isa', 'prevents', 'inhibits']
['same_as', 'coexists_with', 'occurs_in', 'inhibits']
['same_as', 'isa', 'treats', 'same_as']
['same_as', 'stimulates', 'complicates', 'location_of']
['same_as', 'causes', 'treats', 'prevents']
['same_as', 'causes', 'complicates', 'isa']
['same_as', 'prevents', 'disrupts', 'inhibits']
['same_as', 'same_as', 'inhibits', 'affects']
['same_as', 'compared_with', 'causes', 'affects']
['same_as', 'augments', 'part_of', 'diagnoses']
['same_as', 'coexists_with', 'disrupts']
['same_as', 'inhibits', 'isa', 'stimulates']
['same_as', 'affects', 'interacts_with', 'coexists_with']
['same_as', 'associated_with', 'associated_with', 'coexists_with']
['same_as', 'part_of', 'coexists_with', 'interacts_with']
['same_as', 'stimulates', 'diagnoses', 'affects']
['same_as', 'occurs_in', 'associated_with', 'coexists_with']
['same_as', 'isa']
['same_as', 'produces', 'part_of', 'stimulates']
['same_as', 'associated_with', 'part_of', 'diagnoses']
['same_as', 'disrupts', 'occurs_in', 'interacts_with']
['same_as', 'causes', 'produces', 'prevents']
['same_as', 'associated_with']
['same_as', 'treats', 'diagnoses', 'part_of']
['same_as', 'associated_with', 'complicates', 'augments']
['same_as', 'augments', 'treats', 'complicates']
['same_as', 'diagnoses', 'same_as', 'isa']
['same_as', 'causes', 'augments', 'complicates']
['same_as', 'augments', 'location_of', 'compared_with']
['same_as']
['same_as', 'inhibits', 'prevents', 'inhibits']
['same_as', 'interacts_with', 'same_as', 'interacts_with']
['same_as', 'isa', 'compared_with', 'compared_with']
['same_as', 'augments', 'stimulates', 'disrupts']
['same_as', 'stimulates', 'causes', 'compared_with']
['same_as', 'affects', 'prevents', 'occurs_in']
['same_as', 'treats', 'prevents', 'interacts_with']
['same_as', 'compared_with', 'same_as', 'inhibits']
['same_as', 'part_of', 'diagnoses', 'part_of']
['same_as', 'same_as', 'affects', 'isa']
['same_as', 'same_as', 'prevents', 'isa']
['same_as', 'prevents', 'same_as', 'stimulates']
['same_as', 'prevents', 'inhibits', 'location_of']
['same_as', 'location_of', 'occurs_in', 'affects']
['same_as', 'complicates', 'prevents', 'occurs_in']
['same_as', 'occurs_in', 'stimulates', 'inhibits']
['same_as', 'produces', 'complicates', 'interacts_with']
['same_as', 'inhibits', 'disrupts', 'part_of']
['same_as', 'augments', 'same_as', 'causes']
['same_as', 'isa', 'inhibits', 'part_of']
['same_as', 'coexists_with', 'diagnoses', 'compared_with']
['same_as', 'same_as', 'inhibits', 'disrupts']
['same_as', 'diagnoses', 'coexists_with', 'treats']
['same_as', 'produces', 'produces', 'stimulates']
['same_as', 'diagnoses', 'augments', 'disrupts']
['same_as', 'produces', 'part_of', 'coexists_with']
['same_as', 'augments', 'diagnoses', 'inhibits']
['same_as', 'treats', 'augments', 'isa']
['complicates', 'isa', 'compared_with', 'same_as']
['complicates', 'compared_with', 'compared_with', 'causes']
['complicates', 'stimulates', 'occurs_in', 'augments']
['complicates', 'location_of', 'diagnoses', 'affects']
['complicates', 'complicates', 'part_of', 'compared_with']
['complicates', 'isa', 'disrupts', 'occurs_in']
['complicates', 'stimulates', 'affects', 'location_of']
['complicates', 'part_of']
['complicates', 'associated_with', 'augments']
['complicates', 'compared_with', 'inhibits', 'coexists_with']
['complicates', 'associated_with', 'associated_with']
['complicates', 'same_as', 'causes', 'diagnoses']
['complicates', 'disrupts', 'treats', 'augments']
['complicates', 'disrupts', 'inhibits', 'causes']
['complicates', 'location_of', 'stimulates', 'interacts_with']
['complicates', 'affects', 'augments', 'prevents']
['complicates', 'diagnoses', 'occurs_in', 'prevents']
['complicates', 'augments', 'interacts_with', 'treats']
['complicates', 'treats', 'interacts_with']
['complicates', 'isa', 'same_as', 'interacts_with']
['complicates', 'treats', 'diagnoses', 'diagnoses']
['complicates', 'compared_with', 'treats', 'location_of']
['complicates', 'complicates']
['complicates', 'part_of', 'inhibits', 'stimulates']
['complicates', 'disrupts', 'occurs_in', 'prevents']
['complicates', 'compared_with', 'location_of', 'occurs_in']
['complicates', 'prevents', 'part_of', 'treats']
['complicates', 'complicates', 'same_as', 'disrupts']
['complicates', 'complicates', 'part_of', 'diagnoses']
['complicates', 'occurs_in', 'affects', 'part_of']
['complicates', 'occurs_in', 'produces', 'causes']
['complicates']
['complicates', 'prevents', 'occurs_in', 'isa']
['complicates', 'produces', 'associated_with', 'interacts_with']
['complicates', 'affects', 'stimulates', 'same_as']
['complicates', 'same_as', 'inhibits', 'produces']
['complicates', 'compared_with', 'causes', 'disrupts']
['complicates', 'diagnoses', 'diagnoses', 'diagnoses']
['complicates', 'part_of', 'same_as', 'coexists_with']
['complicates', 'same_as', 'causes', 'interacts_with']
['complicates', 'same_as', 'part_of', 'coexists_with']
['complicates', 'location_of', 'treats', 'occurs_in']
['complicates', 'treats', 'disrupts', 'treats']
['complicates', 'occurs_in', 'produces', 'stimulates']
['complicates', 'affects', 'associated_with', 'disrupts']
['complicates', 'associated_with', 'augments', 'treats']
['complicates', 'isa', 'disrupts', 'produces']
['complicates', 'interacts_with', 'augments', 'same_as']
['complicates', 'coexists_with', 'affects', 'compared_with']
['complicates', 'causes', 'part_of', 'causes']
['complicates', 'associated_with', 'disrupts', 'inhibits']
['complicates', 'location_of', 'diagnoses', 'part_of']
['complicates', 'associated_with', 'diagnoses', 'produces']
['complicates', 'affects', 'part_of', 'stimulates']
['complicates', 'disrupts', 'isa']
['complicates', 'stimulates', 'stimulates', 'associated_with']
['complicates', 'same_as', 'prevents', 'disrupts']
['complicates', 'treats', 'produces', 'isa']
['complicates', 'occurs_in', 'causes', 'coexists_with']
['complicates', 'occurs_in', 'causes', 'treats']
['complicates', 'interacts_with', 'stimulates', 'stimulates']
['complicates', 'occurs_in', 'isa', 'stimulates']
['complicates', 'associated_with']
['complicates', 'isa', 'causes', 'disrupts']
['complicates', 'associated_with', 'prevents', 'coexists_with']
['complicates', 'disrupts', 'augments', 'causes']
['complicates', 'inhibits', 'inhibits', 'occurs_in']
['complicates', 'associated_with', 'disrupts', 'disrupts']
['complicates', 'same_as', 'associated_with', 'produces']
['complicates', 'occurs_in', 'stimulates', 'causes']
['complicates', 'interacts_with', 'produces', 'affects']
['complicates', 'compared_with', 'affects', 'inhibits']
['complicates', 'prevents', 'isa', 'interacts_with']
['complicates', 'disrupts', 'treats', 'prevents']
['complicates', 'inhibits', 'coexists_with', 'disrupts']
['complicates', 'stimulates', 'same_as', 'associated_with']
['complicates', 'coexists_with', 'diagnoses', 'prevents']
['complicates', 'same_as', 'compared_with', 'produces']
['complicates', 'treats', 'coexists_with', 'location_of']
['complicates', 'affects', 'coexists_with', 'complicates']
['complicates', 'complicates', 'stimulates', 'compared_with']
['complicates', 'complicates', 'interacts_with', 'stimulates']
['complicates', 'inhibits', 'compared_with', 'location_of']
['complicates', 'treats', 'compared_with', 'prevents']
['complicates', 'produces']
['complicates', 'occurs_in', 'interacts_with', 'associated_with']
['complicates', 'complicates', 'occurs_in', 'inhibits']
['complicates', 'coexists_with', 'stimulates', 'interacts_with']
['complicates', 'compared_with', 'disrupts', 'augments']
['complicates', 'isa', 'associated_with', 'part_of']
['complicates', 'part_of', 'causes', 'prevents']
['complicates', 'isa', 'augments', 'occurs_in']
['complicates', 'affects', 'stimulates', 'location_of']
['complicates', 'diagnoses', 'interacts_with', 'associated_with']
['complicates', 'part_of', 'isa', 'coexists_with']
['complicates', 'stimulates', 'affects', 'produces']
['complicates', 'stimulates', 'treats', 'compared_with']
['complicates', 'occurs_in', 'associated_with', 'coexists_with']
['complicates', 'treats', 'complicates', 'prevents']
['prevents', 'complicates', 'occurs_in', 'interacts_with']
['prevents']
['prevents', 'interacts_with', 'occurs_in', 'augments']
['prevents', 'part_of', 'stimulates']
['prevents', 'same_as', 'affects', 'disrupts']
['prevents', 'disrupts', 'occurs_in', 'augments']
['prevents', 'complicates', 'associated_with', 'same_as']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'part_of', 'coexists_with', 'diagnoses']
['prevents', 'treats', 'same_as', 'diagnoses']
['prevents', 'location_of', 'location_of', 'causes']
['prevents', 'diagnoses', 'occurs_in', 'diagnoses']
['prevents', 'diagnoses', 'compared_with', 'diagnoses']
['prevents', 'complicates', 'diagnoses', 'causes']
['prevents', 'occurs_in', 'affects', 'isa']
['prevents', 'compared_with', 'interacts_with', 'causes']
['prevents', 'same_as', 'produces', 'causes']
['prevents', 'location_of', 'augments', 'part_of']
['prevents', 'associated_with', 'augments', 'affects']
['prevents', 'prevents', 'causes', 'diagnoses']
['prevents', 'diagnoses', 'causes', 'diagnoses']
['prevents', 'occurs_in', 'location_of', 'disrupts']
['prevents', 'causes', 'prevents', 'occurs_in']
['prevents', 'produces', 'same_as', 'causes']
['prevents', 'affects', 'occurs_in', 'treats']
['prevents', 'prevents', 'associated_with', 'part_of']
['prevents', 'occurs_in', 'same_as', 'stimulates']
['prevents', 'complicates', 'causes', 'produces']
['prevents', 'inhibits', 'prevents', 'augments']
['prevents', 'occurs_in', 'same_as', 'coexists_with']
['prevents', 'associated_with', 'part_of', 'treats']
['prevents', 'location_of', 'disrupts', 'interacts_with']
['prevents', 'inhibits', 'occurs_in', 'part_of']
['prevents', 'affects', 'affects', 'causes']
['prevents', 'part_of', 'location_of', 'augments']
['prevents', 'produces', 'coexists_with', 'augments']
['prevents', 'diagnoses', 'inhibits', 'isa']
['prevents', 'disrupts', 'coexists_with', 'produces']
['prevents', 'location_of', 'affects', 'produces']
['prevents', 'compared_with', 'diagnoses', 'inhibits']
['prevents', 'inhibits', 'causes', 'occurs_in']
['prevents', 'compared_with', 'augments', 'treats']
['prevents', 'associated_with', 'augments', 'interacts_with']
['prevents', 'coexists_with', 'location_of', 'inhibits']
['prevents', 'same_as', 'interacts_with', 'part_of']
['prevents', 'part_of', 'affects', 'isa']
['prevents', 'disrupts', 'affects', 'complicates']
['prevents', 'complicates', 'produces', 'disrupts']
['prevents', 'treats', 'complicates', 'part_of']
['prevents', 'inhibits', 'disrupts', 'augments']
['prevents', 'inhibits', 'produces', 'treats']
['prevents', 'interacts_with', 'part_of', 'complicates']
['prevents', 'same_as', 'interacts_with', 'isa']
['prevents', 'location_of', 'inhibits', 'produces']
['prevents', 'part_of', 'complicates', 'coexists_with']
['prevents', 'disrupts', 'part_of', 'interacts_with']
['prevents', 'treats', 'same_as', 'compared_with']
['prevents', 'interacts_with', 'occurs_in', 'disrupts']
['prevents', 'inhibits', 'same_as', 'diagnoses']
['prevents', 'affects', 'associated_with', 'prevents']
['prevents', 'complicates', 'compared_with', 'associated_with']
['prevents', 'location_of', 'diagnoses', 'causes']
['prevents', 'complicates', 'occurs_in', 'disrupts']
['prevents', 'compared_with', 'location_of', 'coexists_with']
['prevents', 'interacts_with', 'disrupts', 'prevents']
['prevents', 'occurs_in', 'compared_with', 'coexists_with']
['prevents', 'augments', 'disrupts', 'part_of']
['prevents', 'augments', 'inhibits', 'augments']
['prevents', 'treats', 'diagnoses', 'complicates']
['prevents', 'interacts_with', 'isa', 'part_of']
['prevents', 'affects', 'prevents', 'inhibits']
['prevents', 'interacts_with', 'associated_with', 'isa']
['prevents', 'diagnoses', 'occurs_in', 'occurs_in']
['prevents', 'augments', 'produces']
['prevents', 'interacts_with', 'affects', 'isa']
['prevents', 'same_as', 'disrupts', 'produces']
['prevents', 'associated_with', 'complicates', 'affects']
['prevents', 'coexists_with', 'produces', 'diagnoses']
['prevents', 'diagnoses', 'isa', 'affects']
['prevents', 'augments', 'occurs_in']
['prevents', 'produces', 'treats', 'complicates']
['prevents', 'associated_with', 'treats', 'occurs_in']
['prevents', 'treats', 'location_of']
['prevents', 'compared_with', 'inhibits', 'associated_with']
['prevents', 'produces', 'interacts_with', 'isa']
['prevents', 'stimulates', 'interacts_with', 'causes']
['prevents', 'interacts_with', 'prevents', 'prevents']
['prevents', 'complicates', 'occurs_in', 'diagnoses']
['prevents', 'inhibits', 'inhibits', 'isa']
['prevents', 'location_of', 'stimulates', 'same_as']
['prevents', 'diagnoses', 'stimulates', 'same_as']
['prevents', 'associated_with', 'treats', 'stimulates']
['prevents', 'associated_with']
['prevents', 'occurs_in', 'diagnoses', 'isa']
['prevents', 'isa', 'isa', 'produces']
['prevents', 'part_of', 'coexists_with', 'associated_with']
['disrupts', 'augments', 'stimulates', 'associated_with']
['disrupts', 'disrupts', 'coexists_with', 'same_as']
['disrupts', 'occurs_in', 'affects', 'occurs_in']
['disrupts', 'disrupts', 'compared_with', 'stimulates']
['disrupts', 'treats', 'interacts_with', 'part_of']
['disrupts', 'occurs_in', 'interacts_with', 'stimulates']
['disrupts', 'stimulates', 'location_of', 'augments']
['disrupts', 'interacts_with', 'isa', 'coexists_with']
['disrupts', 'affects', 'coexists_with', 'interacts_with']
['disrupts', 'occurs_in', 'augments', 'occurs_in']
['disrupts', 'diagnoses', 'isa', 'occurs_in']
['disrupts', 'stimulates', 'inhibits', 'coexists_with']
['disrupts', 'treats', 'affects']
['disrupts', 'produces', 'diagnoses', 'location_of']
['disrupts', 'treats', 'causes', 'interacts_with']
['disrupts', 'isa']
['disrupts', 'affects', 'occurs_in', 'interacts_with']
['disrupts', 'occurs_in', 'isa', 'same_as']
['disrupts', 'treats', 'compared_with', 'inhibits']
['disrupts', 'stimulates', 'augments', 'disrupts']
['disrupts', 'associated_with', 'interacts_with', 'part_of']
['disrupts', 'isa', 'same_as', 'prevents']
['disrupts', 'prevents', 'occurs_in', 'augments']
['disrupts', 'occurs_in', 'associated_with', 'augments']
['disrupts', 'affects']
['disrupts', 'produces', 'stimulates', 'same_as']
['disrupts', 'associated_with', 'location_of']
['disrupts', 'treats', 'inhibits', 'produces']
['disrupts', 'affects', 'produces', 'produces']
['disrupts', 'coexists_with', 'part_of']
['disrupts', 'causes', 'coexists_with']
['disrupts', 'stimulates', 'same_as', 'causes']
['disrupts', 'interacts_with', 'compared_with']
['disrupts', 'causes', 'produces', 'part_of']
['disrupts', 'treats', 'isa', 'complicates']
['disrupts', 'coexists_with', 'location_of', 'interacts_with']
['disrupts', 'associated_with', 'affects', 'isa']
['disrupts', 'isa', 'part_of', 'part_of']
['disrupts', 'interacts_with', 'diagnoses', 'stimulates']
['disrupts', 'inhibits', 'stimulates', 'associated_with']
['disrupts', 'isa', 'same_as', 'same_as']
['disrupts', 'occurs_in', 'treats', 'coexists_with']
['disrupts', 'produces', 'same_as', 'diagnoses']
['disrupts', 'augments', 'stimulates', 'causes']
['disrupts', 'complicates']
['disrupts', 'produces', 'produces', 'coexists_with']
['disrupts', 'treats', 'occurs_in', 'prevents']
['disrupts', 'complicates', 'interacts_with', 'same_as']
['disrupts', 'coexists_with', 'interacts_with', 'augments']
['disrupts', 'interacts_with', 'location_of', 'augments']
['disrupts', 'compared_with', 'diagnoses', 'produces']
['disrupts', 'interacts_with', 'interacts_with', 'occurs_in']
['disrupts', 'location_of', 'interacts_with', 'disrupts']
['disrupts', 'affects', 'augments', 'isa']
['disrupts', 'occurs_in', 'coexists_with', 'coexists_with']
['disrupts', 'stimulates', 'treats', 'coexists_with']
['disrupts', 'isa', 'disrupts', 'prevents']
['disrupts', 'complicates', 'affects', 'interacts_with']
['disrupts', 'location_of', 'occurs_in', 'stimulates']
['disrupts', 'affects', 'causes', 'location_of']
['disrupts', 'same_as', 'affects', 'same_as']
['disrupts', 'part_of', 'disrupts', 'treats']
['disrupts', 'occurs_in', 'interacts_with', 'treats']
['disrupts', 'same_as', 'augments', 'coexists_with']
