['diagnoses', 'diagnoses', 'location_of', 'stimulates']
['diagnoses', 'location_of', 'associated_with', 'occurs_in']
['diagnoses']
['diagnoses', 'treats', 'disrupts']
['diagnoses', 'augments', 'augments', 'prevents']
['diagnoses', 'treats', 'complicates', 'part_of']
['diagnoses', 'augments', 'diagnoses', 'associated_with']
['diagnoses', 'location_of', 'occurs_in', 'part_of']
['diagnoses', 'augments', 'coexists_with', 'associated_with']
['diagnoses', 'prevents', 'treats', 'complicates']
['diagnoses', 'compared_with', 'coexists_with', 'treats']
['diagnoses', 'occurs_in', 'part_of', 'produces']
['diagnoses', 'disrupts', 'produces', 'affects']
['diagnoses', 'compared_with', 'associated_with', 'affects']
['diagnoses', 'inhibits', 'stimulates', 'same_as']
['diagnoses', 'interacts_with', 'occurs_in', 'treats']
['diagnoses', 'treats', 'interacts_with', 'same_as']
['diagnoses', 'location_of', 'diagnoses', 'compared_with']
['diagnoses', 'prevents', 'location_of', 'causes']
['diagnoses', 'affects', 'inhibits', 'diagnoses']
['diagnoses', 'prevents', 'produces', 'disrupts']
['diagnoses', 'treats', 'same_as', 'associated_with']
['diagnoses', 'causes', 'associated_with', 'interacts_with']
['diagnoses', 'occurs_in', 'disrupts', 'complicates']
['diagnoses', 'augments', 'isa', 'treats']
['diagnoses', 'part_of', 'causes', 'interacts_with']
['diagnoses', 'interacts_with', 'stimulates', 'associated_with']
['diagnoses', 'prevents']
['diagnoses', 'produces', 'affects', 'associated_with']
['diagnoses', 'interacts_with', 'location_of', 'interacts_with']
['diagnoses', 'compared_with', 'occurs_in', 'diagnoses']
['diagnoses', 'same_as', 'part_of', 'causes']
['diagnoses', 'augments', 'augments', 'affects']
['diagnoses', 'diagnoses', 'augments', 'stimulates']
['diagnoses', 'treats', 'augments', 'disrupts']
['diagnoses', 'complicates', 'inhibits', 'affects']
['diagnoses', 'prevents', 'stimulates', 'associated_with']
['diagnoses', 'inhibits', 'inhibits', 'coexists_with']
['diagnoses', 'affects', 'complicates', 'part_of']
['diagnoses', 'stimulates', 'complicates', 'produces']
['diagnoses', 'same_as', 'inhibits', 'part_of']
['diagnoses', 'affects', 'interacts_with', 'diagnoses']
['diagnoses', 'causes', 'stimulates', 'part_of']
['diagnoses', 'disrupts', 'occurs_in', 'compared_with']
['diagnoses', 'prevents', 'compared_with', 'prevents']
['diagnoses', 'interacts_with', 'produces', 'inhibits']
['diagnoses', 'coexists_with', 'same_as', 'treats']
['diagnoses', 'same_as', 'augments', 'disrupts']
['diagnoses', 'compared_with', 'stimulates', 'associated_with']
['diagnoses', 'coexists_with', 'causes', 'coexists_with']
['diagnoses', 'location_of', 'complicates', 'isa']
['diagnoses', 'associated_with', 'coexists_with', 'compared_with']
['diagnoses', 'isa', 'compared_with', 'disrupts']
['diagnoses', 'treats', 'stimulates', 'augments']
['diagnoses', 'isa', 'part_of', 'complicates']
['diagnoses', 'prevents', 'interacts_with', 'isa']
['occurs_in', 'interacts_with', 'treats', 'produces']
['occurs_in', 'produces', 'part_of', 'compared_with']
['occurs_in', 'compared_with', 'disrupts', 'occurs_in']
['occurs_in', 'isa', 'coexists_with', 'affects']
['occurs_in', 'same_as', 'disrupts', 'associated_with']
['occurs_in', 'location_of', 'inhibits', 'part_of']
['occurs_in', 'coexists_with', 'treats', 'inhibits']
['occurs_in', 'disrupts']
['occurs_in', 'associated_with', 'same_as']
['occurs_in', 'disrupts', 'inhibits', 'treats']
['occurs_in', 'same_as', 'occurs_in', 'disrupts']
['occurs_in', 'part_of', 'coexists_with', 'produces']
['occurs_in', 'prevents', 'coexists_with', 'associated_with']
['occurs_in', 'disrupts', 'part_of', 'diagnoses']
['occurs_in', 'interacts_with', 'stimulates', 'interacts_with']
['occurs_in', 'interacts_with', 'isa', 'part_of']
['occurs_in', 'interacts_with', 'produces', 'affects']
['occurs_in', 'part_of', 'augments', 'diagnoses']
['occurs_in', 'part_of', 'disrupts', 'location_of']
['occurs_in', 'stimulates', 'location_of', 'coexists_with']
['occurs_in', 'same_as', 'compared_with', 'treats']
['occurs_in', 'coexists_with', 'same_as', 'same_as']
['occurs_in', 'compared_with', 'diagnoses', 'compared_with']
['occurs_in', 'coexists_with', 'same_as']
['occurs_in', 'diagnoses', 'diagnoses', 'associated_with']
['occurs_in', 'interacts_with', 'produces']
['occurs_in', 'location_of', 'augments']
['occurs_in', 'occurs_in', 'part_of', 'stimulates']
['occurs_in', 'affects', 'diagnoses', 'affects']
['occurs_in', 'occurs_in', 'prevents']
['occurs_in', 'location_of', 'part_of', 'coexists_with']
['occurs_in', 'treats', 'compared_with', 'produces']
['occurs_in', 'causes', 'stimulates', 'interacts_with']
['occurs_in', 'occurs_in', 'isa', 'coexists_with']
['occurs_in', 'stimulates', 'location_of', 'occurs_in']
['occurs_in', 'occurs_in', 'part_of', 'isa']
['occurs_in', 'prevents', 'disrupts', 'diagnoses']
['occurs_in', 'same_as', 'augments', 'causes']
['occurs_in', 'inhibits', 'causes', 'isa']
['occurs_in', 'produces', 'part_of', 'associated_with']
['occurs_in', 'compared_with', 'treats', 'affects']
['occurs_in', 'inhibits', 'inhibits', 'part_of']
['occurs_in', 'diagnoses', 'part_of', 'disrupts']
['occurs_in', 'causes', 'location_of', 'isa']
['occurs_in', 'same_as', 'coexists_with', 'stimulates']
['occurs_in', 'complicates', 'isa', 'interacts_with']
['occurs_in', 'affects', 'diagnoses', 'causes']
['occurs_in', 'location_of', 'treats', 'causes']
['occurs_in', 'complicates', 'diagnoses', 'disrupts']
['occurs_in', 'interacts_with', 'associated_with', 'same_as']
['occurs_in', 'compared_with', 'coexists_with', 'isa']
['occurs_in', 'inhibits', 'inhibits', 'augments']
['occurs_in', 'produces', 'augments', 'affects']
['occurs_in', 'inhibits', 'disrupts', 'location_of']
['occurs_in', 'isa', 'disrupts', 'associated_with']
['occurs_in', 'treats', 'inhibits', 'stimulates']
['occurs_in', 'part_of', 'inhibits', 'affects']
['occurs_in', 'produces', 'isa', 'augments']
['occurs_in', 'affects', 'treats', 'complicates']
['occurs_in', 'associated_with', 'associated_with', 'complicates']
['occurs_in', 'produces', 'augments', 'compared_with']
['occurs_in', 'augments', 'affects', 'interacts_with']
['occurs_in', 'augments']
['occurs_in', 'occurs_in', 'coexists_with', 'disrupts']
['occurs_in', 'affects', 'treats', 'coexists_with']
['occurs_in', 'coexists_with', 'stimulates', 'coexists_with']
['occurs_in', 'interacts_with', 'isa', 'stimulates']
['occurs_in', 'same_as', 'stimulates', 'stimulates']
['occurs_in', 'coexists_with', 'compared_with', 'coexists_with']
['occurs_in', 'complicates', 'disrupts', 'prevents']
['occurs_in']
['occurs_in', 'treats', 'occurs_in', 'occurs_in']
['occurs_in', 'stimulates', 'part_of', 'stimulates']
['occurs_in', 'compared_with', 'interacts_with', 'augments']
['occurs_in', 'coexists_with', 'prevents', 'prevents']
['occurs_in', 'inhibits', 'disrupts', 'prevents']
['occurs_in', 'augments', 'augments', 'interacts_with']
['occurs_in', 'coexists_with', 'associated_with', 'causes']
['occurs_in', 'interacts_with', 'compared_with', 'part_of']
['occurs_in', 'isa', 'diagnoses', 'compared_with']
['occurs_in', 'disrupts', 'compared_with', 'interacts_with']
['occurs_in', 'causes', 'compared_with', 'compared_with']
['occurs_in', 'same_as', 'same_as', 'affects']
['occurs_in', 'causes', 'part_of', 'occurs_in']
['occurs_in', 'augments', 'stimulates', 'coexists_with']
['occurs_in', 'diagnoses', 'location_of', 'compared_with']
['occurs_in', 'associated_with', 'complicates', 'diagnoses']
['occurs_in', 'stimulates', 'treats']
['occurs_in', 'part_of', 'prevents', 'occurs_in']
['occurs_in', 'augments', 'affects', 'treats']
['occurs_in', 'prevents']
['occurs_in', 'prevents', 'compared_with', 'diagnoses']
['occurs_in', 'compared_with', 'treats', 'complicates']
['occurs_in', 'isa', 'stimulates', 'stimulates']
['occurs_in', 'coexists_with', 'same_as', 'diagnoses']
['occurs_in', 'occurs_in', 'affects', 'isa']
['same_as', 'associated_with', 'part_of', 'diagnoses']
['same_as', 'augments', 'location_of', 'coexists_with']
['same_as', 'associated_with']
['same_as', 'associated_with', 'complicates', 'augments']
['same_as', 'affects', 'same_as', 'interacts_with']
['same_as', 'stimulates', 'diagnoses', 'interacts_with']
['same_as', 'affects', 'prevents', 'occurs_in']
['same_as', 'stimulates', 'affects', 'interacts_with']
['same_as', 'compared_with', 'interacts_with', 'interacts_with']
['same_as', 'diagnoses', 'location_of', 'inhibits']
['same_as', 'inhibits', 'prevents', 'prevents']
['same_as', 'same_as', 'prevents', 'isa']
['same_as', 'stimulates']
['same_as', 'diagnoses', 'stimulates', 'disrupts']
['same_as', 'same_as', 'location_of', 'diagnoses']
['same_as', 'complicates', 'interacts_with', 'inhibits']
['same_as', 'prevents', 'same_as', 'stimulates']
['same_as', 'interacts_with', 'associated_with', 'part_of']
['same_as', 'isa', 'location_of', 'treats']
['same_as']
['same_as', 'causes', 'complicates', 'coexists_with']
['same_as', 'compared_with', 'treats', 'complicates']
['same_as', 'isa']
['same_as', 'disrupts', 'treats', 'compared_with']
['same_as', 'disrupts', 'isa', 'stimulates']
['same_as', 'treats', 'interacts_with', 'produces']
['same_as', 'disrupts', 'compared_with', 'interacts_with']
['same_as', 'diagnoses', 'prevents', 'disrupts']
['same_as', 'location_of', 'same_as', 'inhibits']
['same_as', 'isa', 'prevents', 'inhibits']
['same_as', 'causes', 'treats', 'prevents']
['same_as', 'causes', 'complicates', 'isa']
['same_as', 'same_as', 'inhibits', 'affects']
['same_as', 'isa', 'inhibits', 'part_of']
['same_as', 'coexists_with', 'diagnoses', 'compared_with']
['same_as', 'disrupts', 'occurs_in', 'causes']
['same_as', 'affects', 'interacts_with', 'coexists_with']
['same_as', 'produces', 'complicates', 'interacts_with']
['same_as', 'associated_with', 'associated_with', 'coexists_with']
['same_as', 'diagnoses', 'coexists_with', 'treats']
['same_as', 'produces', 'complicates', 'produces']
['same_as', 'stimulates', 'diagnoses', 'affects']
['same_as', 'augments', 'part_of', 'diagnoses']
['same_as', 'produces', 'inhibits', 'diagnoses']
['same_as', 'causes', 'disrupts', 'interacts_with']
['same_as', 'treats', 'diagnoses', 'part_of']
['same_as', 'diagnoses', 'same_as', 'isa']
['same_as', 'causes', 'augments', 'complicates']
['same_as', 'augments', 'location_of', 'compared_with']
['same_as', 'inhibits', 'prevents', 'inhibits']
['same_as', 'causes', 'location_of', 'prevents']
['same_as', 'isa', 'compared_with', 'compared_with']
['same_as', 'affects', 'causes', 'compared_with']
['same_as', 'stimulates', 'causes', 'compared_with']
['same_as', 'augments', 'stimulates', 'disrupts']
['same_as', 'diagnoses', 'interacts_with', 'complicates']
['same_as', 'location_of', 'coexists_with', 'treats']
['same_as', 'compared_with', 'same_as', 'inhibits']
['same_as', 'affects', 'produces', 'compared_with']
['same_as', 'compared_with', 'causes', 'part_of']
['same_as', 'part_of', 'diagnoses', 'part_of']
['same_as', 'same_as', 'affects', 'isa']
['same_as', 'prevents', 'inhibits', 'location_of']
['same_as', 'location_of', 'occurs_in', 'affects']
['same_as', 'prevents', 'prevents', 'part_of']
['same_as', 'causes', 'causes', 'affects']
['same_as', 'causes', 'isa', 'stimulates']
['same_as', 'isa', 'same_as', 'compared_with']
['same_as', 'occurs_in', 'affects', 'causes']
['same_as', 'affects', 'prevents', 'treats']
['same_as', 'same_as', 'disrupts', 'same_as']
['same_as', 'part_of', 'augments', 'interacts_with']
['same_as', 'affects', 'same_as', 'stimulates']
['same_as', 'complicates', 'prevents', 'occurs_in']
['same_as', 'coexists_with', 'occurs_in', 'inhibits']
['same_as', 'occurs_in', 'causes', 'occurs_in']
['same_as', 'augments', 'diagnoses', 'inhibits']
['same_as', 'isa', 'treats', 'same_as']
['same_as', 'augments', 'same_as', 'augments']
['same_as', 'produces', 'part_of', 'stimulates']
['same_as', 'stimulates', 'complicates', 'location_of']
['same_as', 'inhibits', 'disrupts', 'part_of']
['same_as', 'prevents', 'disrupts', 'inhibits']
['same_as', 'associated_with', 'part_of', 'isa']
['same_as', 'augments', 'same_as', 'causes']
['same_as', 'coexists_with', 'location_of', 'same_as']
['same_as', 'augments', 'treats', 'complicates']
['same_as', 'same_as', 'inhibits', 'disrupts']
['same_as', 'occurs_in', 'stimulates', 'inhibits']
['same_as', 'coexists_with', 'disrupts']
['same_as', 'inhibits', 'isa', 'stimulates']
['same_as', 'interacts_with', 'same_as', 'interacts_with']
['same_as', 'part_of', 'coexists_with', 'interacts_with']
['same_as', 'treats', 'prevents', 'interacts_with']
['same_as', 'produces', 'produces', 'stimulates']
['same_as', 'diagnoses', 'augments', 'disrupts']
['same_as', 'produces', 'part_of', 'coexists_with']
['same_as', 'occurs_in', 'associated_with', 'coexists_with']
['same_as', 'treats', 'augments', 'isa']
['complicates', 'compared_with', 'compared_with', 'causes']
['complicates', 'stimulates', 'occurs_in', 'augments']
['complicates', 'location_of', 'diagnoses', 'affects']
['complicates', 'coexists_with', 'affects', 'compared_with']
['complicates', 'complicates', 'part_of', 'compared_with']
['complicates', 'isa', 'disrupts', 'occurs_in']
['complicates', 'stimulates', 'affects', 'location_of']
['complicates', 'associated_with', 'augments']
['complicates', 'same_as', 'associated_with', 'produces']
['complicates', 'same_as', 'causes', 'diagnoses']
['complicates', 'disrupts', 'inhibits', 'causes']
['complicates', 'stimulates', 'stimulates', 'associated_with']
['complicates', 'location_of', 'stimulates', 'interacts_with']
['complicates', 'affects', 'augments', 'prevents']
['complicates', 'isa', 'associated_with', 'disrupts']
['complicates', 'diagnoses', 'occurs_in', 'prevents']
['complicates', 'isa', 'same_as', 'interacts_with']
['complicates', 'treats', 'diagnoses', 'diagnoses']
['complicates', 'compared_with', 'treats', 'location_of']
['complicates', 'associated_with', 'prevents', 'coexists_with']
['complicates', 'part_of', 'inhibits', 'stimulates']
['complicates', 'same_as', 'affects', 'part_of']
['complicates', 'occurs_in', 'stimulates', 'causes']
['complicates', 'compared_with', 'affects', 'inhibits']
['complicates', 'prevents', 'isa', 'interacts_with']
['complicates', 'prevents', 'part_of', 'treats']
['complicates', 'complicates', 'same_as', 'disrupts']
['complicates', 'complicates', 'part_of', 'diagnoses']
['complicates', 'inhibits', 'inhibits', 'occurs_in']
['complicates', 'stimulates', 'same_as', 'associated_with']
['complicates', 'coexists_with', 'diagnoses', 'prevents']
['complicates', 'treats', 'coexists_with', 'location_of']
['complicates', 'inhibits', 'compared_with', 'location_of']
['complicates', 'treats', 'compared_with', 'prevents']
['complicates', 'compared_with', 'causes', 'disrupts']
['complicates', 'diagnoses', 'diagnoses', 'diagnoses']
['complicates', 'same_as', 'causes', 'interacts_with']
['complicates', 'same_as', 'part_of', 'coexists_with']
['complicates', 'occurs_in', 'produces', 'causes']
['complicates', 'treats', 'disrupts', 'treats']
['complicates', 'complicates', 'occurs_in', 'inhibits']
['complicates', 'compared_with', 'disrupts', 'augments']
['complicates', 'isa', 'associated_with', 'part_of']
['complicates', 'stimulates', 'affects', 'diagnoses']
['complicates', 'affects', 'stimulates', 'location_of']
['complicates', 'associated_with']
['complicates', 'part_of', 'isa', 'coexists_with']
['complicates']
['complicates', 'stimulates', 'treats', 'compared_with']
['complicates', 'occurs_in', 'causes', 'treats']
['complicates', 'interacts_with', 'augments', 'same_as']
['complicates', 'isa', 'compared_with', 'same_as']
['complicates', 'isa', 'associated_with', 'interacts_with']
['complicates', 'causes', 'part_of', 'causes']
['complicates', 'associated_with', 'disrupts', 'inhibits']
['complicates', 'location_of', 'diagnoses', 'part_of']
['complicates', 'part_of']
['complicates', 'compared_with', 'inhibits', 'coexists_with']
['complicates', 'associated_with', 'associated_with']
['complicates', 'interacts_with', 'produces', 'affects']
['complicates', 'disrupts', 'treats', 'augments']
['complicates', 'affects', 'part_of', 'stimulates']
['complicates', 'disrupts', 'isa']
['complicates', 'produces']
['complicates', 'same_as', 'prevents', 'disrupts']
['complicates', 'treats', 'produces', 'isa']
['complicates', 'interacts_with', 'stimulates', 'stimulates']
['complicates', 'occurs_in', 'isa', 'stimulates']
['complicates', 'treats', 'interacts_with']
['complicates', 'complicates', 'causes', 'compared_with']
['complicates', 'isa', 'causes', 'disrupts']
['complicates', 'same_as', 'inhibits', 'produces']
['complicates', 'occurs_in', 'interacts_with', 'associated_with']
['complicates', 'disrupts', 'augments', 'causes']
['complicates', 'associated_with', 'disrupts', 'disrupts']
['complicates', 'disrupts', 'occurs_in', 'prevents']
['complicates', 'compared_with', 'location_of', 'occurs_in']
['complicates', 'isa', 'augments', 'occurs_in']
['complicates', 'diagnoses', 'interacts_with', 'associated_with']
['complicates', 'augments', 'interacts_with', 'treats']
['complicates', 'associated_with', 'augments', 'treats']
['complicates', 'disrupts', 'treats', 'prevents']
['complicates', 'inhibits', 'coexists_with', 'disrupts']
['complicates', 'affects', 'coexists_with', 'complicates']
['complicates', 'complicates', 'interacts_with', 'stimulates']
['complicates', 'prevents', 'occurs_in', 'isa']
['complicates', 'affects', 'stimulates', 'same_as']
['complicates', 'part_of', 'same_as', 'coexists_with']
['complicates', 'location_of', 'treats', 'occurs_in']
['complicates', 'coexists_with', 'stimulates', 'interacts_with']
['complicates', 'associated_with', 'diagnoses', 'produces']
['complicates', 'part_of', 'causes', 'prevents']
['complicates', 'same_as', 'compared_with', 'produces']
['complicates', 'occurs_in', 'produces', 'stimulates']
['complicates', 'complicates']
['complicates', 'isa', 'disrupts', 'produces']
['complicates', 'occurs_in', 'associated_with', 'coexists_with']
['complicates', 'treats', 'complicates', 'prevents']
['prevents', 'compared_with', 'coexists_with', 'causes']
['prevents', 'part_of', 'stimulates']
['prevents', 'compared_with', 'augments', 'treats']
['prevents', 'associated_with', 'treats', 'stimulates']
['prevents', 'same_as', 'affects', 'disrupts']
['prevents', 'interacts_with', 'part_of', 'complicates']
['prevents', 'diagnoses', 'occurs_in', 'causes']
['prevents', 'location_of', 'inhibits', 'produces']
['prevents', 'part_of', 'complicates', 'coexists_with']
['prevents', 'location_of', 'location_of', 'causes']
['prevents', 'occurs_in', 'affects', 'isa']
['prevents', 'compared_with', 'causes', 'inhibits']
['prevents', 'location_of', 'augments', 'part_of']
['prevents', 'complicates', 'compared_with', 'associated_with']
['prevents', 'prevents', 'stimulates', 'stimulates']
['prevents', 'compared_with', 'location_of', 'coexists_with']
['prevents', 'prevents', 'causes', 'diagnoses']
['prevents', 'occurs_in', 'compared_with', 'coexists_with']
['prevents', 'treats', 'prevents', 'complicates']
['prevents', 'interacts_with', 'occurs_in', 'disrupts']
['prevents', 'occurs_in', 'location_of', 'disrupts']
['prevents', 'inhibits', 'same_as', 'diagnoses']
['prevents', 'causes', 'prevents', 'occurs_in']
['prevents', 'interacts_with', 'associated_with', 'isa']
['prevents', 'prevents', 'produces', 'disrupts']
['prevents']
['prevents', 'interacts_with', 'affects', 'isa']
['prevents', 'associated_with', 'augments', 'interacts_with']
['prevents', 'same_as', 'disrupts', 'produces']
['prevents', 'augments', 'inhibits', 'augments']
['prevents', 'diagnoses', 'causes', 'diagnoses']
['prevents', 'complicates', 'causes', 'produces']
['prevents', 'coexists_with', 'produces', 'diagnoses']
['prevents', 'diagnoses', 'isa', 'affects']
['prevents', 'treats', 'same_as', 'coexists_with']
['prevents', 'affects', 'affects', 'causes']
['prevents', 'isa', 'isa', 'produces']
['prevents', 'stimulates', 'interacts_with', 'causes']
['prevents', 'part_of', 'location_of', 'augments']
['prevents', 'produces', 'coexists_with', 'augments']
['prevents', 'diagnoses', 'inhibits', 'isa']
['prevents', 'location_of', 'affects', 'produces']
['prevents', 'diagnoses', 'compared_with', 'diagnoses']
['prevents', 'causes', 'same_as', 'causes']
['prevents', 'inhibits', 'causes', 'occurs_in']
['prevents', 'diagnoses', 'stimulates', 'same_as']
['prevents', 'associated_with', 'part_of', 'treats']
['prevents', 'associated_with']
['prevents', 'occurs_in', 'diagnoses', 'isa']
['prevents', 'coexists_with', 'location_of', 'inhibits']
['prevents', 'produces', 'interacts_with', 'isa']
['prevents', 'part_of', 'affects', 'isa']
['prevents', 'disrupts', 'affects', 'complicates']
['prevents', 'treats', 'complicates', 'part_of']
['prevents', 'affects', 'occurs_in', 'part_of']
['prevents', 'complicates', 'associated_with', 'same_as']
['prevents', 'inhibits', 'disrupts', 'augments']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'inhibits', 'produces', 'treats']
['prevents', 'part_of', 'coexists_with', 'diagnoses']
['prevents', 'same_as', 'interacts_with', 'isa']
['prevents', 'treats', 'same_as', 'diagnoses']
['prevents', 'interacts_with', 'occurs_in', 'augments']
['prevents', 'complicates', 'coexists_with', 'causes']
['prevents', 'same_as', 'causes', 'part_of']
['prevents', 'disrupts', 'occurs_in', 'augments']
['prevents', 'affects', 'associated_with', 'prevents']
['prevents', 'same_as', 'produces', 'causes']
['prevents', 'associated_with', 'augments', 'affects']
['prevents', 'location_of', 'diagnoses', 'causes']
['prevents', 'complicates', 'occurs_in', 'disrupts']
['prevents', 'interacts_with', 'disrupts', 'prevents']
['prevents', 'augments', 'disrupts', 'part_of']
['prevents', 'interacts_with', 'isa', 'part_of']
['prevents', 'complicates', 'occurs_in', 'diagnoses']
['prevents', 'affects', 'prevents', 'inhibits']
['prevents', 'diagnoses', 'occurs_in', 'occurs_in']
['prevents', 'augments', 'produces']
['prevents', 'affects', 'occurs_in', 'treats']
['prevents', 'associated_with', 'complicates', 'affects']
['prevents', 'complicates', 'occurs_in', 'interacts_with']
['prevents', 'augments', 'occurs_in']
['prevents', 'produces', 'treats', 'complicates']
['prevents', 'occurs_in', 'same_as', 'coexists_with']
['prevents', 'location_of', 'disrupts', 'interacts_with']
['prevents', 'associated_with', 'treats', 'occurs_in']
['prevents', 'prevents', 'part_of', 'interacts_with']
['prevents', 'treats', 'location_of']
['prevents', 'compared_with', 'inhibits', 'associated_with']
['prevents', 'occurs_in', 'same_as', 'stimulates']
['prevents', 'interacts_with', 'prevents', 'prevents']
['prevents', 'inhibits', 'inhibits', 'isa']
['prevents', 'disrupts', 'coexists_with', 'produces']
['prevents', 'location_of', 'stimulates', 'same_as']
['prevents', 'part_of', 'coexists_with', 'associated_with']
['disrupts', 'treats', 'occurs_in', 'prevents']
['disrupts', 'complicates', 'interacts_with', 'same_as']
['disrupts', 'compared_with', 'produces', 'part_of']
['disrupts', 'augments', 'stimulates', 'associated_with']
['disrupts', 'interacts_with', 'location_of', 'augments']
['disrupts', 'stimulates', 'location_of', 'same_as']
['disrupts', 'same_as', 'complicates', 'coexists_with']
['disrupts', 'affects', 'augments', 'isa']
['disrupts', 'produces', 'produces', 'coexists_with']
['disrupts', 'occurs_in', 'associated_with', 'augments']
['disrupts', 'isa', 'disrupts', 'prevents']
['disrupts', 'interacts_with', 'isa', 'coexists_with']
['disrupts', 'same_as', 'affects', 'same_as']
['disrupts', 'stimulates', 'inhibits', 'coexists_with']
['disrupts', 'treats', 'affects']
['disrupts', 'compared_with', 'diagnoses', 'produces']
['disrupts', 'occurs_in', 'interacts_with', 'treats']
['disrupts', 'affects', 'produces', 'produces']
['disrupts', 'isa']
['disrupts', 'stimulates', 'augments', 'disrupts']
['disrupts', 'location_of', 'location_of', 'location_of']
['disrupts', 'associated_with', 'interacts_with', 'part_of']
['disrupts', 'occurs_in', 'augments']
['disrupts', 'isa', 'same_as', 'prevents']
['disrupts', 'prevents', 'interacts_with', 'augments']
['disrupts', 'affects', 'occurs_in', 'interacts_with']
['disrupts', 'interacts_with', 'causes']
['disrupts', 'augments', 'augments', 'augments']
['disrupts', 'associated_with', 'location_of']
['disrupts', 'prevents', 'occurs_in', 'augments']
['disrupts', 'isa', 'interacts_with', 'stimulates']
['disrupts', 'stimulates', 'same_as', 'causes']
['disrupts', 'interacts_with', 'compared_with']
['disrupts', 'disrupts', 'prevents', 'associated_with']
['disrupts', 'causes', 'produces', 'part_of']
['disrupts', 'disrupts', 'part_of', 'augments']
['disrupts', 'treats', 'isa', 'complicates']
['disrupts', 'isa', 'affects', 'isa']
['disrupts', 'associated_with', 'affects', 'produces']
['disrupts', 'isa', 'part_of', 'part_of']
['disrupts', 'location_of']
['disrupts', 'isa', 'prevents', 'compared_with']
['disrupts', 'inhibits', 'stimulates', 'associated_with']
['disrupts', 'occurs_in', 'treats', 'coexists_with']
['disrupts', 'occurs_in', 'augments', 'diagnoses']
['disrupts', 'produces', 'same_as', 'diagnoses']
['disrupts', 'complicates']
['disrupts', 'coexists_with', 'interacts_with', 'augments']
['disrupts', 'disrupts', 'coexists_with', 'same_as']
['disrupts', 'location_of', 'isa', 'stimulates']
['disrupts', 'occurs_in', 'affects', 'occurs_in']
['disrupts', 'disrupts', 'compared_with', 'stimulates']
['disrupts', 'location_of', 'interacts_with', 'disrupts']
['disrupts', 'causes', 'occurs_in', 'occurs_in']
['disrupts', 'occurs_in', 'coexists_with', 'coexists_with']
['disrupts', 'stimulates', 'treats', 'coexists_with']
['disrupts', 'occurs_in', 'interacts_with', 'stimulates']
['disrupts', 'complicates', 'affects', 'interacts_with']
['disrupts', 'affects', 'coexists_with', 'interacts_with']
['disrupts', 'diagnoses', 'isa', 'occurs_in']
['disrupts', 'affects', 'causes', 'location_of']
['disrupts', 'part_of', 'disrupts', 'treats']
['disrupts', 'treats', 'causes', 'interacts_with']
['disrupts', 'treats', 'interacts_with', 'part_of']
['disrupts', 'occurs_in', 'isa', 'same_as']
['disrupts', 'same_as', 'augments', 'coexists_with']
['disrupts', 'augments', 'part_of']
['disrupts', 'coexists_with', 'coexists_with', 'occurs_in']
['disrupts', 'compared_with', 'prevents', 'produces']
['disrupts', 'treats', 'compared_with', 'inhibits']
['disrupts', 'affects']
['disrupts', 'interacts_with', 'diagnoses', 'stimulates']
