['diagnoses', 'disrupts', 'produces', 'produces']
['diagnoses', 'stimulates', 'treats', 'affects']
['diagnoses', 'disrupts', 'disrupts', 'compared_with']
['diagnoses', 'same_as', 'augments', 'augments']
['diagnoses', 'occurs_in', 'same_as', 'stimulates']
['diagnoses', 'prevents', 'disrupts', 'stimulates']
['diagnoses', 'causes', 'produces', 'coexists_with']
['diagnoses', 'occurs_in', 'part_of', 'treats']
['diagnoses', 'produces', 'occurs_in', 'treats']
['diagnoses', 'stimulates', 'stimulates', 'complicates']
['diagnoses', 'location_of', 'treats', 'part_of']
['diagnoses', 'diagnoses', 'disrupts', 'disrupts']
['diagnoses', 'complicates', 'treats', 'complicates']
['diagnoses', 'causes', 'coexists_with', 'compared_with']
['diagnoses', 'location_of', 'produces', 'same_as']
['diagnoses', 'occurs_in', 'stimulates', 'isa']
['diagnoses', 'isa', 'interacts_with', 'occurs_in']
['diagnoses', 'affects', 'associated_with', 'isa']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'same_as', 'produces', 'same_as']
['diagnoses', 'diagnoses', 'prevents', 'causes']
['diagnoses', 'inhibits', 'occurs_in', 'prevents']
['occurs_in', 'part_of', 'disrupts', 'disrupts']
['occurs_in', 'inhibits', 'stimulates', 'location_of']
['occurs_in', 'interacts_with', 'stimulates', 'prevents']
['occurs_in', 'stimulates', 'coexists_with', 'part_of']
['occurs_in', 'produces', 'treats', 'compared_with']
['occurs_in', 'associated_with', 'associated_with', 'treats']
['occurs_in', 'occurs_in', 'part_of', 'produces']
['occurs_in', 'stimulates', 'compared_with']
['occurs_in', 'same_as', 'affects', 'coexists_with']
['occurs_in', 'causes', 'location_of', 'treats']
['occurs_in', 'treats', 'interacts_with', 'associated_with']
['occurs_in', 'isa', 'produces', 'interacts_with']
['occurs_in', 'diagnoses', 'diagnoses', 'disrupts']
['occurs_in', 'disrupts', 'diagnoses', 'augments']
['occurs_in', 'occurs_in', 'prevents', 'affects']
['occurs_in', 'produces', 'stimulates', 'affects']
['occurs_in', 'prevents', 'stimulates', 'prevents']
['occurs_in', 'coexists_with', 'coexists_with', 'isa']
['occurs_in', 'prevents', 'interacts_with', 'disrupts']
['occurs_in', 'part_of', 'diagnoses', 'causes']
['occurs_in', 'causes', 'treats', 'diagnoses']
['occurs_in', 'coexists_with', 'coexists_with', 'produces']
['occurs_in', 'stimulates', 'coexists_with', 'augments']
['occurs_in', 'produces', 'produces', 'prevents']
['occurs_in', 'part_of', 'part_of', 'coexists_with']
['occurs_in', 'coexists_with', 'complicates', 'location_of']
['occurs_in', 'coexists_with', 'treats', 'associated_with']
['occurs_in', 'prevents', 'diagnoses', 'part_of']
['occurs_in', 'affects', 'occurs_in', 'causes']
['occurs_in', 'diagnoses', 'diagnoses', 'location_of']
['occurs_in', 'interacts_with', 'causes', 'causes']
['occurs_in', 'coexists_with', 'prevents', 'location_of']
['occurs_in', 'part_of', 'causes', 'coexists_with']
['occurs_in', 'isa', 'augments']
['occurs_in', 'diagnoses', 'treats', 'occurs_in']
['occurs_in', 'coexists_with']
['occurs_in', 'occurs_in', 'complicates', 'isa']
['occurs_in', 'diagnoses', 'location_of', 'coexists_with']
['occurs_in', 'inhibits']
['occurs_in', 'prevents', 'part_of', 'compared_with']
['occurs_in', 'occurs_in', 'causes', 'produces']
['occurs_in', 'treats', 'prevents', 'disrupts']
['occurs_in', 'produces', 'stimulates', 'compared_with']
['occurs_in', 'stimulates', 'coexists_with', 'isa']
['occurs_in']
['occurs_in', 'complicates', 'augments', 'coexists_with']
['occurs_in', 'prevents', 'prevents', 'stimulates']
['occurs_in', 'associated_with', 'coexists_with', 'coexists_with']
['occurs_in', 'causes', 'interacts_with', 'prevents']
['occurs_in', 'augments', 'produces', 'associated_with']
['occurs_in', 'complicates', 'augments', 'part_of']
['occurs_in', 'coexists_with', 'produces', 'occurs_in']
['occurs_in', 'causes', 'disrupts', 'produces']
['occurs_in', 'causes']
['occurs_in', 'affects', 'diagnoses', 'causes']
['occurs_in', 'disrupts', 'location_of', 'stimulates']
['occurs_in', 'occurs_in', 'stimulates', 'coexists_with']
['occurs_in', 'complicates', 'associated_with', 'part_of']
['occurs_in', 'same_as', 'interacts_with', 'disrupts']
['occurs_in', 'stimulates', 'occurs_in', 'affects']
['occurs_in', 'part_of', 'occurs_in', 'diagnoses']
['occurs_in', 'same_as', 'isa', 'produces']
['occurs_in', 'diagnoses', 'diagnoses', 'causes']
['occurs_in', 'occurs_in', 'same_as', 'causes']
['occurs_in', 'disrupts', 'stimulates', 'same_as']
['occurs_in', 'associated_with', 'diagnoses', 'prevents']
['occurs_in', 'affects', 'stimulates', 'affects']
['occurs_in', 'causes', 'diagnoses', 'treats']
['occurs_in', 'interacts_with', 'treats', 'prevents']
['occurs_in', 'treats', 'stimulates', 'diagnoses']
['occurs_in', 'prevents', 'interacts_with', 'compared_with']
['occurs_in', 'produces', 'same_as', 'associated_with']
['occurs_in', 'compared_with', 'complicates', 'inhibits']
['occurs_in', 'complicates', 'inhibits', 'interacts_with']
['occurs_in', 'associated_with', 'produces', 'produces']
['occurs_in', 'associated_with', 'treats', 'isa']
['occurs_in', 'interacts_with', 'coexists_with', 'causes']
['occurs_in', 'augments', 'same_as', 'occurs_in']
['occurs_in', 'location_of', 'isa']
['occurs_in', 'disrupts', 'complicates', 'part_of']
['occurs_in', 'treats', 'prevents', 'augments']
['occurs_in', 'prevents', 'prevents', 'complicates']
['occurs_in', 'interacts_with', 'coexists_with', 'disrupts']
['occurs_in', 'isa', 'part_of', 'affects']
['occurs_in', 'interacts_with', 'causes', 'inhibits']
['occurs_in', 'causes', 'associated_with', 'interacts_with']
['occurs_in', 'location_of', 'compared_with', 'diagnoses']
['occurs_in', 'isa', 'stimulates', 'location_of']
['occurs_in', 'affects', 'isa', 'treats']
['occurs_in', 'occurs_in', 'augments', 'produces']
['occurs_in', 'inhibits', 'associated_with', 'complicates']
['occurs_in', 'produces', 'prevents', 'produces']
['occurs_in', 'affects', 'affects', 'part_of']
['occurs_in', 'inhibits', 'causes', 'disrupts']
['occurs_in', 'stimulates', 'compared_with', 'location_of']
['occurs_in', 'compared_with', 'causes', 'compared_with']
['occurs_in', 'occurs_in', 'treats', 'prevents']
['occurs_in', 'coexists_with', 'causes', 'same_as']
['occurs_in', 'isa', 'inhibits', 'interacts_with']
['same_as', 'coexists_with', 'coexists_with', 'part_of']
['same_as', 'causes', 'stimulates', 'complicates']
['same_as', 'causes', 'causes', 'interacts_with']
['same_as', 'part_of', 'same_as', 'augments']
['same_as', 'complicates', 'stimulates', 'diagnoses']
['same_as', 'location_of', 'occurs_in', 'same_as']
['same_as', 'complicates']
['same_as', 'coexists_with', 'associated_with', 'occurs_in']
['same_as', 'complicates', 'coexists_with', 'stimulates']
['same_as', 'treats', 'same_as', 'compared_with']
['same_as', 'occurs_in', 'causes', 'diagnoses']
['same_as', 'inhibits', 'prevents']
['same_as', 'same_as', 'isa', 'coexists_with']
['same_as', 'disrupts', 'complicates', 'isa']
['same_as', 'complicates', 'treats', 'produces']
['same_as', 'affects', 'stimulates', 'treats']
['same_as', 'affects', 'augments', 'produces']
['same_as', 'augments', 'disrupts', 'coexists_with']
['same_as', 'prevents', 'augments', 'same_as']
['same_as', 'treats', 'complicates', 'associated_with']
['same_as', 'causes', 'stimulates', 'isa']
['same_as', 'causes', 'diagnoses', 'affects']
['same_as', 'stimulates', 'complicates', 'prevents']
['same_as', 'part_of', 'same_as', 'produces']
['same_as', 'stimulates', 'associated_with', 'prevents']
['same_as', 'augments', 'causes', 'compared_with']
['same_as', 'coexists_with', 'associated_with', 'location_of']
['same_as', 'treats', 'augments', 'same_as']
['same_as', 'occurs_in', 'affects', 'coexists_with']
['same_as', 'isa', 'causes', 'isa']
['same_as', 'coexists_with', 'complicates', 'interacts_with']
['same_as', 'isa', 'same_as', 'augments']
['same_as', 'inhibits', 'same_as', 'causes']
['same_as', 'produces', 'causes', 'diagnoses']
['same_as', 'coexists_with', 'location_of', 'interacts_with']
['same_as', 'occurs_in', 'isa', 'associated_with']
['same_as', 'inhibits', 'treats', 'disrupts']
['same_as', 'inhibits', 'part_of', 'augments']
['same_as', 'causes', 'complicates', 'associated_with']
['same_as', 'causes', 'disrupts', 'treats']
['same_as', 'compared_with', 'associated_with', 'treats']
['same_as', 'compared_with']
['same_as', 'interacts_with', 'disrupts', 'occurs_in']
['same_as', 'causes', 'coexists_with', 'part_of']
['same_as']
['same_as', 'causes', 'part_of', 'produces']
['same_as', 'treats', 'stimulates', 'occurs_in']
['same_as', 'produces', 'prevents', 'coexists_with']
['same_as', 'prevents', 'isa', 'affects']
['same_as', 'inhibits', 'part_of', 'disrupts']
['same_as', 'affects', 'complicates']
['same_as', 'disrupts', 'occurs_in', 'interacts_with']
['same_as', 'prevents', 'location_of']
['same_as', 'causes', 'prevents', 'location_of']
['same_as', 'location_of', 'stimulates', 'stimulates']
['same_as', 'coexists_with', 'complicates', 'produces']
['same_as', 'part_of', 'causes', 'augments']
['same_as', 'causes', 'coexists_with', 'associated_with']
['same_as', 'isa', 'produces', 'isa']
['same_as', 'augments', 'part_of', 'complicates']
['same_as', 'complicates', 'stimulates', 'isa']
['same_as', 'coexists_with', 'causes', 'produces']
['same_as', 'produces', 'treats', 'treats']
['same_as', 'prevents', 'part_of', 'affects']
['same_as', 'causes', 'interacts_with', 'complicates']
['same_as', 'stimulates', 'part_of', 'interacts_with']
['same_as', 'location_of', 'produces', 'causes']
['same_as', 'occurs_in', 'affects', 'augments']
['same_as', 'diagnoses', 'produces', 'occurs_in']
['same_as', 'treats', 'isa', 'occurs_in']
['same_as', 'interacts_with', 'part_of', 'occurs_in']
['same_as', 'prevents', 'diagnoses', 'occurs_in']
['same_as', 'prevents', 'produces', 'stimulates']
['same_as', 'compared_with', 'same_as', 'produces']
['same_as', 'causes', 'stimulates', 'occurs_in']
['same_as', 'inhibits', 'treats', 'prevents']
['same_as', 'associated_with', 'part_of', 'inhibits']
['same_as', 'isa', 'prevents', 'treats']
['same_as', 'same_as', 'part_of', 'isa']
['same_as', 'causes', 'location_of', 'prevents']
['same_as', 'augments', 'complicates', 'treats']
['same_as', 'interacts_with', 'produces', 'interacts_with']
['same_as', 'coexists_with', 'affects', 'prevents']
['same_as', 'augments', 'same_as', 'augments']
['same_as', 'diagnoses', 'disrupts', 'augments']
['same_as', 'prevents', 'produces', 'location_of']
['same_as', 'produces', 'disrupts', 'occurs_in']
['same_as', 'produces', 'interacts_with', 'interacts_with']
['same_as', 'complicates', 'part_of', 'associated_with']
['same_as', 'prevents', 'coexists_with']
['same_as', 'disrupts', 'diagnoses', 'interacts_with']
['same_as', 'disrupts', 'isa', 'disrupts']
['same_as', 'location_of', 'part_of', 'occurs_in']
['same_as', 'stimulates', 'treats', 'prevents']
['same_as', 'coexists_with', 'diagnoses', 'causes']
['same_as', 'prevents', 'affects', 'produces']
['same_as', 'disrupts', 'compared_with', 'inhibits']
['complicates', 'produces', 'causes', 'associated_with']
['complicates', 'associated_with', 'part_of', 'prevents']
['complicates', 'part_of', 'produces', 'affects']
['complicates', 'occurs_in', 'interacts_with', 'prevents']
['complicates', 'isa', 'affects', 'coexists_with']
['complicates', 'disrupts', 'coexists_with', 'diagnoses']
['complicates', 'part_of', 'diagnoses', 'compared_with']
['complicates', 'part_of', 'stimulates', 'coexists_with']
['complicates', 'augments', 'prevents', 'produces']
['complicates', 'causes', 'part_of', 'diagnoses']
['complicates', 'produces', 'complicates', 'interacts_with']
['complicates', 'diagnoses', 'produces', 'causes']
['complicates', 'treats', 'affects', 'affects']
['complicates', 'isa', 'disrupts', 'produces']
['complicates', 'interacts_with', 'diagnoses', 'stimulates']
['complicates', 'disrupts', 'location_of', 'treats']
['complicates', 'associated_with', 'complicates', 'prevents']
['complicates', 'causes', 'interacts_with', 'disrupts']
['complicates', 'compared_with', 'treats', 'augments']
['complicates', 'augments', 'inhibits', 'part_of']
['complicates', 'occurs_in', 'prevents', 'augments']
['complicates', 'compared_with', 'causes', 'augments']
['complicates', 'occurs_in', 'part_of', 'augments']
['complicates', 'compared_with', 'affects', 'stimulates']
['complicates', 'prevents', 'stimulates', 'treats']
['complicates', 'causes', 'prevents', 'location_of']
['complicates', 'same_as', 'stimulates', 'treats']
['complicates', 'produces', 'disrupts', 'occurs_in']
['complicates', 'causes', 'associated_with', 'produces']
['complicates', 'occurs_in', 'same_as', 'produces']
['complicates', 'location_of', 'diagnoses', 'compared_with']
['complicates', 'affects', 'interacts_with', 'prevents']
['complicates', 'produces', 'isa', 'isa']
['complicates', 'complicates', 'associated_with', 'disrupts']
['complicates', 'interacts_with', 'produces', 'compared_with']
['complicates', 'associated_with', 'inhibits', 'diagnoses']
['complicates', 'inhibits', 'interacts_with', 'compared_with']
['complicates', 'produces', 'causes', 'prevents']
['complicates', 'affects', 'affects', 'diagnoses']
['complicates', 'complicates', 'produces', 'associated_with']
['complicates', 'associated_with', 'stimulates', 'prevents']
['complicates', 'affects', 'prevents', 'causes']
['complicates', 'interacts_with', 'treats', 'affects']
['complicates', 'same_as', 'inhibits', 'augments']
['complicates', 'associated_with', 'same_as', 'occurs_in']
['complicates', 'affects', 'complicates', 'treats']
['complicates', 'causes', 'occurs_in', 'interacts_with']
['complicates', 'same_as', 'interacts_with', 'augments']
['complicates', 'interacts_with', 'same_as', 'isa']
['complicates', 'affects', 'part_of', 'affects']
['complicates', 'stimulates']
['complicates', 'isa', 'same_as', 'prevents']
['complicates', 'augments', 'disrupts', 'compared_with']
['complicates', 'diagnoses', 'part_of', 'treats']
['complicates', 'isa', 'disrupts', 'part_of']
['complicates', 'interacts_with', 'coexists_with', 'occurs_in']
['complicates', 'causes', 'causes', 'augments']
['complicates', 'affects', 'causes', 'complicates']
['complicates', 'occurs_in', 'disrupts', 'inhibits']
['complicates', 'interacts_with', 'inhibits', 'stimulates']
['complicates', 'prevents', 'stimulates', 'augments']
['complicates', 'affects', 'produces', 'causes']
['complicates', 'stimulates', 'interacts_with', 'stimulates']
['complicates', 'occurs_in', 'produces', 'associated_with']
['complicates', 'augments', 'disrupts', 'interacts_with']
['complicates', 'location_of', 'occurs_in', 'isa']
['complicates', 'disrupts', 'same_as', 'complicates']
['complicates', 'produces', 'interacts_with', 'coexists_with']
['complicates', 'occurs_in']
['complicates', 'causes', 'complicates', 'augments']
['complicates', 'compared_with', 'interacts_with', 'compared_with']
['complicates', 'treats', 'location_of']
['complicates', 'complicates', 'interacts_with', 'complicates']
['complicates', 'coexists_with', 'stimulates', 'part_of']
['complicates', 'prevents', 'disrupts', 'occurs_in']
['complicates', 'part_of', 'augments', 'part_of']
['complicates', 'augments', 'augments', 'coexists_with']
['complicates', 'stimulates', 'augments', 'diagnoses']
['complicates', 'coexists_with', 'prevents', 'disrupts']
['complicates', 'complicates', 'isa', 'same_as']
['complicates', 'treats']
['complicates', 'occurs_in', 'causes', 'coexists_with']
['complicates']
['complicates', 'same_as', 'prevents', 'diagnoses']
['complicates', 'compared_with', 'same_as', 'isa']
['complicates', 'causes', 'affects', 'augments']
['complicates', 'same_as']
['complicates', 'augments', 'treats', 'affects']
['complicates', 'disrupts', 'occurs_in', 'disrupts']
['complicates', 'produces']
['complicates', 'complicates', 'same_as', 'treats']
['complicates', 'interacts_with', 'treats', 'location_of']
['complicates', 'produces', 'isa', 'occurs_in']
['complicates', 'part_of', 'affects', 'produces']
['complicates', 'causes']
['complicates', 'compared_with', 'causes', 'causes']
['complicates', 'coexists_with', 'occurs_in', 'treats']
['complicates', 'coexists_with', 'affects', 'stimulates']
['prevents', 'coexists_with', 'prevents', 'coexists_with']
['prevents', 'disrupts', 'disrupts', 'diagnoses']
['prevents', 'stimulates', 'occurs_in', 'affects']
['prevents', 'complicates', 'stimulates', 'interacts_with']
['prevents', 'produces', 'part_of', 'same_as']
['prevents', 'occurs_in', 'compared_with', 'prevents']
['prevents', 'stimulates', 'part_of', 'disrupts']
['prevents', 'associated_with', 'part_of', 'complicates']
['prevents', 'coexists_with', 'isa', 'interacts_with']
['prevents', 'causes', 'diagnoses', 'treats']
['prevents', 'stimulates', 'inhibits', 'interacts_with']
['prevents', 'diagnoses', 'same_as', 'associated_with']
['prevents', 'compared_with', 'produces', 'location_of']
['prevents', 'same_as', 'part_of', 'stimulates']
['prevents', 'prevents', 'part_of', 'occurs_in']
['prevents', 'compared_with', 'prevents', 'same_as']
['prevents', 'coexists_with', 'treats', 'causes']
['prevents', 'occurs_in', 'same_as', 'causes']
['prevents', 'isa', 'coexists_with', 'treats']
['prevents', 'coexists_with', 'location_of', 'complicates']
['prevents', 'isa', 'treats', 'complicates']
['prevents', 'coexists_with', 'same_as', 'occurs_in']
['prevents', 'isa', 'produces', 'diagnoses']
['prevents', 'location_of', 'associated_with', 'complicates']
['prevents', 'treats', 'inhibits', 'same_as']
['prevents', 'causes', 'stimulates', 'coexists_with']
['prevents', 'complicates', 'stimulates', 'isa']
['prevents', 'prevents', 'same_as', 'diagnoses']
['prevents', 'treats', 'isa', 'isa']
['prevents', 'disrupts', 'causes', 'diagnoses']
['prevents', 'disrupts', 'coexists_with', 'isa']
['prevents', 'prevents']
['prevents', 'interacts_with']
['prevents', 'treats', 'isa', 'coexists_with']
['prevents', 'prevents', 'inhibits', 'occurs_in']
['prevents', 'stimulates', 'compared_with', 'produces']
['prevents', 'diagnoses', 'part_of', 'prevents']
['prevents', 'compared_with', 'prevents', 'diagnoses']
['prevents', 'part_of', 'augments', 'complicates']
['prevents', 'disrupts', 'occurs_in', 'location_of']
['prevents', 'prevents', 'occurs_in', 'interacts_with']
['prevents', 'treats', 'disrupts', 'same_as']
['prevents', 'inhibits', 'stimulates', 'complicates']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'occurs_in', 'occurs_in', 'coexists_with']
['prevents', 'produces', 'prevents', 'causes']
['prevents', 'compared_with', 'diagnoses', 'produces']
['prevents', 'complicates', 'inhibits', 'coexists_with']
['prevents', 'prevents', 'produces', 'same_as']
['prevents', 'treats', 'associated_with', 'causes']
['prevents', 'produces', 'location_of', 'produces']
['prevents', 'coexists_with', 'affects', 'affects']
['prevents', 'disrupts', 'stimulates', 'same_as']
['prevents', 'part_of', 'produces', 'interacts_with']
['prevents', 'complicates', 'affects', 'affects']
['prevents', 'isa', 'causes', 'prevents']
['prevents', 'treats', 'isa', 'affects']
['prevents', 'complicates', 'stimulates', 'disrupts']
['prevents', 'complicates', 'coexists_with', 'part_of']
['prevents', 'prevents', 'interacts_with', 'part_of']
['prevents', 'treats', 'disrupts', 'prevents']
['prevents', 'associated_with', 'isa', 'prevents']
['prevents', 'interacts_with', 'disrupts', 'isa']
['prevents', 'complicates', 'affects', 'prevents']
['prevents', 'causes', 'occurs_in', 'coexists_with']
['prevents', 'prevents', 'location_of', 'diagnoses']
['prevents', 'associated_with', 'augments', 'treats']
['prevents', 'stimulates', 'produces', 'causes']
['prevents', 'same_as', 'same_as', 'affects']
['prevents']
['prevents', 'same_as', 'causes', 'coexists_with']
['prevents', 'part_of', 'causes', 'treats']
['prevents', 'diagnoses', 'interacts_with', 'causes']
['prevents', 'part_of', 'location_of', 'stimulates']
['prevents', 'causes', 'disrupts', 'augments']
['prevents', 'produces', 'diagnoses', 'causes']
['prevents', 'compared_with', 'augments', 'augments']
['prevents', 'interacts_with', 'produces', 'same_as']
['prevents', 'treats', 'coexists_with', 'inhibits']
['prevents', 'treats', 'produces', 'treats']
['prevents', 'location_of', 'coexists_with', 'same_as']
['prevents', 'produces', 'interacts_with']
['prevents', 'inhibits', 'diagnoses', 'same_as']
['prevents', 'complicates', 'produces', 'prevents']
['prevents', 'prevents', 'isa', 'causes']
['prevents', 'causes', 'coexists_with', 'disrupts']
['prevents', 'complicates', 'same_as', 'compared_with']
['prevents', 'isa', 'affects', 'stimulates']
['prevents', 'stimulates', 'prevents', 'same_as']
['prevents', 'inhibits', 'location_of', 'same_as']
['prevents', 'augments', 'same_as', 'coexists_with']
['prevents', 'prevents', 'isa', 'occurs_in']
['prevents', 'treats', 'causes', 'treats']
['prevents', 'affects', 'location_of', 'isa']
['prevents', 'isa', 'isa', 'inhibits']
['prevents', 'treats', 'prevents', 'associated_with']
['prevents', 'disrupts', 'interacts_with', 'part_of']
['prevents', 'part_of', 'stimulates', 'produces']
['prevents', 'diagnoses', 'affects', 'treats']
['disrupts', 'treats', 'complicates', 'isa']
['disrupts', 'diagnoses', 'causes', 'associated_with']
['disrupts', 'coexists_with', 'prevents', 'interacts_with']
['disrupts', 'causes', 'treats', 'coexists_with']
['disrupts', 'stimulates', 'complicates', 'prevents']
['disrupts', 'augments', 'treats', 'inhibits']
['disrupts', 'compared_with', 'associated_with', 'associated_with']
['disrupts', 'occurs_in', 'produces', 'inhibits']
['disrupts', 'stimulates']
['disrupts', 'prevents', 'associated_with', 'causes']
['disrupts', 'causes', 'isa', 'treats']
['disrupts', 'stimulates', 'coexists_with', 'produces']
['disrupts', 'part_of', 'disrupts', 'interacts_with']
['disrupts', 'isa', 'augments', 'disrupts']
['disrupts', 'produces', 'associated_with', 'treats']
['disrupts', 'inhibits', 'part_of', 'associated_with']
['disrupts', 'prevents', 'same_as', 'produces']
['disrupts', 'treats', 'occurs_in', 'associated_with']
['disrupts', 'augments', 'prevents', 'stimulates']
['disrupts', 'location_of', 'occurs_in', 'isa']
['disrupts', 'location_of', 'produces', 'location_of']
['disrupts', 'inhibits', 'same_as', 'affects']
['disrupts', 'part_of', 'location_of', 'treats']
['disrupts', 'diagnoses', 'part_of', 'treats']
['disrupts', 'coexists_with', 'affects', 'compared_with']
['disrupts', 'isa', 'augments', 'diagnoses']
['disrupts', 'complicates', 'affects', 'disrupts']
['disrupts', 'causes', 'produces', 'occurs_in']
['disrupts', 'treats', 'causes', 'diagnoses']
['disrupts', 'augments', 'diagnoses', 'causes']
['disrupts', 'diagnoses', 'stimulates', 'part_of']
['disrupts', 'interacts_with', 'compared_with', 'augments']
['disrupts', 'associated_with', 'location_of', 'augments']
['disrupts', 'prevents', 'affects', 'part_of']
['disrupts', 'isa', 'associated_with', 'coexists_with']
['disrupts', 'prevents', 'causes', 'occurs_in']
['disrupts', 'interacts_with', 'interacts_with', 'occurs_in']
['disrupts', 'prevents', 'compared_with', 'diagnoses']
['disrupts', 'causes', 'causes', 'augments']
['disrupts', 'treats', 'interacts_with', 'prevents']
['disrupts', 'causes', 'produces']
['disrupts', 'complicates', 'stimulates', 'occurs_in']
['disrupts', 'treats', 'associated_with', 'treats']
['disrupts', 'affects', 'occurs_in', 'compared_with']
['disrupts', 'diagnoses', 'diagnoses', 'treats']
['disrupts', 'causes', 'disrupts', 'occurs_in']
['disrupts', 'diagnoses', 'compared_with', 'diagnoses']
['disrupts', 'treats', 'diagnoses', 'prevents']
['disrupts', 'same_as', 'isa', 'stimulates']
['disrupts', 'location_of', 'prevents', 'treats']
['disrupts', 'interacts_with', 'interacts_with', 'produces']
['disrupts', 'occurs_in', 'diagnoses', 'treats']
['disrupts', 'same_as', 'treats', 'disrupts']
['disrupts', 'location_of', 'prevents', 'prevents']
['disrupts', 'prevents', 'part_of', 'diagnoses']
['disrupts', 'same_as', 'affects', 'complicates']
['disrupts', 'inhibits', 'inhibits']
['disrupts', 'affects', 'treats', 'part_of']
['disrupts', 'prevents', 'occurs_in', 'coexists_with']
['disrupts', 'disrupts', 'produces', 'causes']
['disrupts', 'prevents', 'interacts_with', 'stimulates']
['disrupts', 'affects', 'associated_with', 'complicates']
['disrupts', 'occurs_in', 'complicates', 'affects']
['disrupts', 'isa', 'affects', 'same_as']
['disrupts', 'stimulates', 'isa', 'causes']
['disrupts', 'coexists_with', 'isa', 'part_of']
['disrupts', 'coexists_with', 'causes', 'complicates']
