['diagnoses', 'stimulates', 'affects', 'complicates']
['same_as', 'isa', 'produces', 'prevents']
['same_as', 'stimulates', 'isa', 'diagnoses']
['same_as', 'associated_with', 'stimulates', 'causes']
['same_as', 'stimulates', 'diagnoses', 'stimulates']
['same_as', 'compared_with', 'occurs_in', 'prevents']
['same_as', 'affects']
['same_as', 'interacts_with', 'stimulates', 'prevents']
['same_as', 'interacts_with', 'part_of', 'occurs_in']
['same_as', 'diagnoses', 'inhibits', 'produces']
['same_as', 'associated_with', 'compared_with', 'occurs_in']
['same_as', 'part_of']
['same_as', 'same_as', 'part_of', 'complicates']
['same_as', 'prevents', 'stimulates', 'disrupts']
['same_as', 'location_of', 'affects', 'isa']
['same_as', 'stimulates', 'inhibits', 'causes']
['same_as', 'part_of', 'coexists_with', 'treats']
['same_as', 'compared_with', 'complicates', 'location_of']
['same_as', 'augments', 'part_of', 'diagnoses']
['same_as', 'isa', 'isa', 'affects']
['same_as', 'same_as']
['same_as', 'diagnoses', 'occurs_in', 'stimulates']
['same_as', 'associated_with', 'inhibits', 'part_of']
['same_as', 'compared_with', 'diagnoses', 'interacts_with']
['same_as', 'stimulates', 'same_as', 'location_of']
['same_as', 'affects', 'disrupts', 'affects']
['same_as', 'compared_with', 'associated_with', 'produces']
['same_as', 'isa', 'location_of', 'interacts_with']
['same_as', 'diagnoses', 'occurs_in', 'coexists_with']
['same_as', 'prevents']
['same_as', 'causes']
['same_as', 'produces', 'interacts_with', 'causes']
['same_as', 'stimulates', 'complicates', 'interacts_with']
['same_as', 'diagnoses', 'affects', 'diagnoses']
['same_as', 'prevents', 'associated_with', 'complicates']
['same_as', 'complicates', 'same_as', 'isa']
['same_as', 'causes', 'disrupts', 'causes']
['same_as', 'inhibits', 'causes', 'inhibits']
['same_as', 'prevents', 'location_of', 'prevents']
['same_as', 'occurs_in', 'stimulates', 'diagnoses']
['same_as', 'causes', 'augments', 'diagnoses']
['same_as', 'inhibits', 'compared_with', 'stimulates']
['same_as', 'diagnoses', 'isa', 'prevents']
['same_as', 'prevents', 'disrupts', 'diagnoses']
['same_as', 'compared_with', 'stimulates', 'complicates']
['same_as', 'occurs_in', 'prevents', 'associated_with']
['same_as', 'diagnoses', 'augments', 'part_of']
['same_as', 'interacts_with']
['same_as', 'complicates', 'inhibits']
['same_as', 'coexists_with', 'interacts_with', 'augments']
['same_as', 'prevents', 'isa', 'isa']
['same_as', 'produces', 'augments', 'compared_with']
['same_as', 'compared_with', 'prevents', 'occurs_in']
['same_as', 'part_of', 'prevents', 'occurs_in']
['same_as', 'affects', 'inhibits', 'disrupts']
['same_as', 'isa', 'disrupts', 'location_of']
['same_as', 'complicates', 'inhibits', 'same_as']
['same_as', 'associated_with', 'affects', 'occurs_in']
['same_as', 'location_of', 'same_as', 'isa']
['same_as', 'isa', 'part_of', 'coexists_with']
['same_as', 'diagnoses', 'associated_with', 'produces']
['same_as', 'same_as', 'disrupts', 'causes']
['same_as', 'affects', 'isa', 'compared_with']
['same_as', 'same_as', 'causes']
['same_as', 'treats', 'causes', 'stimulates']
['same_as', 'associated_with', 'associated_with']
['same_as', 'associated_with', 'stimulates', 'affects']
['same_as', 'inhibits']
['same_as', 'complicates', 'interacts_with', 'stimulates']
['same_as', 'compared_with', 'produces']
['same_as', 'interacts_with', 'causes', 'treats']
['same_as', 'disrupts', 'location_of', 'coexists_with']
['same_as', 'location_of', 'prevents', 'associated_with']
['same_as']
['same_as', 'disrupts', 'same_as', 'complicates']
['same_as', 'complicates']
['same_as', 'isa', 'stimulates', 'compared_with']
['same_as', 'coexists_with', 'prevents', 'compared_with']
['same_as', 'isa']
['complicates', 'isa', 'disrupts', 'augments']
['complicates', 'interacts_with', 'prevents', 'same_as']
['complicates', 'complicates', 'augments', 'causes']
['complicates', 'coexists_with', 'affects', 'produces']
['complicates', 'interacts_with', 'inhibits', 'affects']
['complicates', 'same_as', 'part_of', 'augments']
['complicates', 'inhibits', 'affects', 'associated_with']
['complicates', 'compared_with', 'produces', 'causes']
['complicates', 'isa', 'affects', 'coexists_with']
['complicates', 'occurs_in', 'disrupts', 'part_of']
['complicates', 'isa', 'prevents', 'coexists_with']
['complicates', 'disrupts', 'location_of', 'part_of']
['complicates', 'prevents', 'produces', 'occurs_in']
['complicates', 'interacts_with', 'compared_with', 'complicates']
['complicates', 'causes', 'affects', 'part_of']
['complicates', 'disrupts', 'diagnoses', 'isa']
['complicates', 'associated_with', 'part_of', 'coexists_with']
['complicates', 'part_of', 'occurs_in', 'stimulates']
['complicates', 'causes', 'diagnoses', 'coexists_with']
['complicates', 'stimulates', 'part_of', 'augments']
['complicates', 'causes', 'coexists_with', 'stimulates']
['complicates', 'affects', 'location_of', 'prevents']
['complicates', 'part_of', 'part_of', 'coexists_with']
['complicates', 'coexists_with', 'augments', 'augments']
['complicates', 'diagnoses', 'stimulates', 'prevents']
['complicates', 'inhibits', 'treats', 'inhibits']
['complicates', 'interacts_with', 'same_as', 'prevents']
['complicates', 'inhibits', 'occurs_in', 'isa']
['complicates', 'complicates', 'causes', 'prevents']
['complicates', 'disrupts', 'diagnoses', 'coexists_with']
['complicates', 'augments', 'inhibits', 'coexists_with']
['complicates', 'occurs_in', 'coexists_with', 'occurs_in']
['complicates', 'produces', 'causes', 'coexists_with']
['complicates', 'part_of', 'interacts_with', 'stimulates']
['complicates', 'coexists_with', 'location_of', 'part_of']
['complicates', 'coexists_with', 'produces', 'associated_with']
['complicates', 'causes', 'compared_with', 'stimulates']
['complicates', 'location_of', 'location_of', 'stimulates']
['complicates', 'isa', 'part_of', 'isa']
['complicates', 'location_of', 'stimulates', 'occurs_in']
['complicates', 'associated_with', 'interacts_with', 'diagnoses']
['complicates', 'same_as', 'coexists_with', 'diagnoses']
['complicates', 'diagnoses', 'treats', 'disrupts']
['complicates', 'treats', 'augments', 'stimulates']
['complicates', 'stimulates', 'affects', 'produces']
['complicates', 'isa', 'causes', 'compared_with']
['complicates', 'disrupts', 'treats', 'causes']
['complicates', 'interacts_with', 'isa', 'part_of']
['complicates', 'diagnoses', 'occurs_in', 'produces']
['complicates', 'inhibits', 'causes', 'affects']
['complicates', 'compared_with', 'prevents', 'causes']
['complicates', 'part_of', 'produces', 'coexists_with']
['complicates', 'part_of', 'complicates', 'inhibits']
['complicates', 'disrupts', 'inhibits', 'produces']
['complicates', 'interacts_with', 'stimulates', 'coexists_with']
['complicates', 'isa', 'coexists_with', 'coexists_with']
['complicates', 'coexists_with', 'causes', 'stimulates']
['complicates', 'stimulates', 'associated_with', 'inhibits']
['complicates', 'inhibits', 'coexists_with', 'location_of']
['complicates', 'disrupts', 'complicates', 'compared_with']
['complicates', 'produces', 'occurs_in', 'prevents']
['complicates', 'causes', 'stimulates', 'prevents']
['complicates', 'occurs_in']
['complicates', 'stimulates', 'occurs_in', 'part_of']
['complicates', 'affects', 'disrupts', 'disrupts']
['complicates', 'affects', 'coexists_with', 'same_as']
['complicates', 'associated_with', 'complicates', 'isa']
['complicates', 'disrupts', 'compared_with', 'causes']
['complicates', 'compared_with', 'inhibits', 'augments']
['complicates', 'augments', 'diagnoses']
['complicates', 'isa', 'isa', 'location_of']
['complicates', 'causes', 'inhibits', 'diagnoses']
['complicates', 'affects', 'produces', 'inhibits']
['complicates', 'augments', 'stimulates', 'same_as']
['complicates', 'interacts_with', 'associated_with', 'occurs_in']
['complicates', 'produces', 'inhibits', 'causes']
['complicates', 'prevents', 'disrupts', 'location_of']
['complicates', 'produces', 'diagnoses', 'part_of']
['complicates', 'augments', 'occurs_in', 'complicates']
['complicates']
['complicates', 'isa', 'disrupts', 'coexists_with']
['complicates', 'prevents', 'disrupts', 'occurs_in']
['complicates', 'augments', 'complicates', 'affects']
['complicates', 'occurs_in', 'affects', 'isa']
['complicates', 'complicates', 'causes', 'affects']
['complicates', 'augments', 'location_of', 'produces']
['complicates', 'same_as', 'interacts_with', 'compared_with']
['complicates', 'affects', 'isa', 'produces']
['complicates', 'causes', 'inhibits', 'occurs_in']
['complicates', 'coexists_with', 'produces', 'compared_with']
['complicates', 'part_of', 'produces', 'augments']
['complicates', 'affects', 'compared_with', 'augments']
['complicates', 'compared_with', 'associated_with', 'stimulates']
['complicates', 'location_of', 'occurs_in', 'complicates']
['prevents', 'augments', 'diagnoses', 'occurs_in']
['prevents', 'complicates', 'treats', 'inhibits']
['prevents', 'produces', 'coexists_with', 'coexists_with']
['prevents', 'same_as', 'affects', 'occurs_in']
['prevents', 'coexists_with', 'augments', 'treats']
['prevents', 'part_of', 'complicates', 'coexists_with']
['prevents', 'location_of', 'affects', 'inhibits']
['prevents', 'diagnoses', 'stimulates']
['prevents', 'affects', 'isa', 'disrupts']
['prevents', 'compared_with', 'complicates', 'diagnoses']
['prevents', 'disrupts', 'augments', 'disrupts']
['prevents', 'treats', 'isa', 'affects']
['prevents', 'augments', 'affects', 'location_of']
['prevents', 'isa', 'location_of', 'inhibits']
['prevents', 'produces', 'produces', 'augments']
['prevents', 'location_of', 'complicates', 'same_as']
['prevents', 'complicates', 'same_as', 'augments']
['prevents', 'disrupts', 'occurs_in', 'compared_with']
['prevents', 'stimulates', 'compared_with', 'disrupts']
['prevents', 'part_of', 'stimulates', 'interacts_with']
['prevents', 'location_of', 'compared_with', 'location_of']
['prevents', 'diagnoses', 'complicates', 'augments']
['prevents', 'diagnoses', 'augments', 'coexists_with']
['prevents', 'inhibits', 'disrupts', 'affects']
['prevents', 'stimulates', 'occurs_in', 'stimulates']
['prevents', 'complicates', 'disrupts', 'inhibits']
['prevents', 'produces', 'affects', 'compared_with']
['prevents', 'treats', 'coexists_with', 'prevents']
['prevents', 'occurs_in', 'affects', 'inhibits']
['prevents', 'isa', 'augments', 'prevents']
['prevents', 'diagnoses', 'augments', 'produces']
['prevents', 'inhibits', 'location_of', 'causes']
['prevents', 'stimulates', 'augments', 'interacts_with']
['prevents', 'complicates', 'coexists_with', 'inhibits']
['prevents', 'causes', 'interacts_with', 'affects']
['prevents', 'augments', 'occurs_in', 'complicates']
['prevents', 'location_of', 'disrupts', 'coexists_with']
['prevents', 'interacts_with', 'same_as', 'augments']
['prevents', 'same_as', 'same_as', 'disrupts']
['prevents', 'location_of', 'complicates', 'diagnoses']
['prevents', 'prevents', 'occurs_in', 'isa']
['prevents', 'causes', 'same_as', 'inhibits']
['prevents', 'prevents', 'inhibits', 'inhibits']
['prevents', 'inhibits', 'associated_with', 'part_of']
['prevents', 'coexists_with', 'part_of', 'diagnoses']
['prevents', 'associated_with', 'coexists_with', 'disrupts']
['prevents', 'diagnoses', 'diagnoses', 'same_as']
['prevents', 'occurs_in', 'complicates', 'prevents']
['prevents', 'causes', 'affects', 'augments']
['prevents', 'diagnoses', 'part_of', 'part_of']
['prevents', 'location_of', 'occurs_in', 'disrupts']
['prevents', 'stimulates', 'inhibits', 'produces']
['prevents', 'isa', 'stimulates', 'inhibits']
['prevents', 'diagnoses', 'compared_with', 'part_of']
['prevents', 'prevents', 'part_of', 'prevents']
['prevents', 'causes']
['prevents', 'causes', 'coexists_with']
['prevents', 'compared_with', 'same_as', 'augments']
['prevents', 'treats', 'treats', 'same_as']
['prevents', 'produces', 'location_of', 'stimulates']
['prevents', 'same_as', 'causes', 'same_as']
['prevents', 'associated_with', 'disrupts', 'occurs_in']
['prevents', 'inhibits', 'disrupts', 'same_as']
['prevents', 'prevents', 'isa', 'associated_with']
['prevents', 'disrupts', 'occurs_in', 'associated_with']
['prevents', 'affects', 'causes', 'disrupts']
['prevents', 'interacts_with', 'associated_with', 'isa']
['prevents', 'location_of', 'associated_with', 'coexists_with']
['prevents', 'treats', 'treats', 'associated_with']
['prevents', 'causes', 'interacts_with', 'compared_with']
['prevents', 'coexists_with', 'compared_with', 'prevents']
['prevents', 'part_of', 'produces', 'coexists_with']
['prevents', 'inhibits', 'diagnoses', 'diagnoses']
['prevents', 'same_as', 'treats', 'diagnoses']
['prevents', 'produces', 'stimulates', 'augments']
['prevents', 'part_of', 'produces', 'same_as']
['prevents', 'treats', 'inhibits', 'affects']
['prevents', 'inhibits', 'inhibits', 'augments']
['prevents', 'inhibits', 'compared_with', 'diagnoses']
['prevents', 'diagnoses', 'stimulates', 'produces']
['prevents', 'disrupts', 'occurs_in', 'produces']
['prevents', 'causes', 'affects', 'affects']
['prevents', 'produces', 'diagnoses', 'disrupts']
['prevents', 'inhibits', 'same_as', 'complicates']
['prevents', 'affects', 'complicates', 'stimulates']
['prevents', 'location_of', 'affects', 'treats']
['prevents']
['prevents', 'produces', 'disrupts', 'interacts_with']
['prevents', 'causes', 'same_as', 'causes']
['prevents', 'affects', 'disrupts', 'stimulates']
['prevents', 'location_of', 'diagnoses', 'inhibits']
['prevents', 'causes', 'augments', 'coexists_with']
['prevents', 'affects', 'produces', 'treats']
['prevents', 'occurs_in', 'complicates', 'affects']
['prevents', 'compared_with', 'treats', 'treats']
['prevents', 'stimulates', 'occurs_in', 'associated_with']
['disrupts', 'isa', 'augments', 'causes']
['disrupts', 'inhibits', 'produces', 'produces']
['disrupts', 'coexists_with', 'interacts_with', 'causes']
['disrupts', 'causes', 'coexists_with', 'disrupts']
['disrupts', 'interacts_with', 'inhibits', 'part_of']
['disrupts', 'associated_with', 'location_of', 'causes']
['disrupts', 'treats', 'associated_with', 'stimulates']
['disrupts', 'complicates', 'disrupts', 'occurs_in']
['disrupts', 'occurs_in', 'affects', 'augments']
['disrupts', 'occurs_in']
['disrupts', 'interacts_with', 'interacts_with', 'coexists_with']
['disrupts', 'associated_with', 'diagnoses', 'occurs_in']
['disrupts', 'complicates', 'diagnoses', 'produces']
['disrupts', 'compared_with', 'produces', 'affects']
['disrupts', 'occurs_in', 'treats', 'affects']
['disrupts', 'stimulates', 'affects', 'prevents']
['disrupts', 'produces', 'augments', 'occurs_in']
['disrupts', 'part_of', 'diagnoses', 'diagnoses']
['disrupts', 'disrupts', 'same_as', 'occurs_in']
['disrupts', 'interacts_with', 'isa']
['disrupts', 'augments', 'inhibits', 'augments']
['disrupts', 'causes', 'diagnoses', 'diagnoses']
['disrupts', 'coexists_with', 'augments', 'diagnoses']
['disrupts', 'same_as', 'same_as', 'part_of']
['disrupts', 'causes', 'stimulates', 'treats']
['disrupts', 'compared_with', 'diagnoses', 'treats']
['disrupts', 'associated_with', 'disrupts', 'interacts_with']
['disrupts', 'isa', 'coexists_with', 'causes']
['disrupts', 'stimulates']
['disrupts', 'disrupts', 'augments', 'complicates']
['disrupts', 'isa', 'augments', 'affects']
['disrupts', 'associated_with', 'part_of', 'complicates']
['disrupts', 'inhibits', 'affects', 'prevents']
['disrupts', 'compared_with', 'same_as', 'coexists_with']
['disrupts', 'prevents', 'interacts_with', 'inhibits']
['disrupts', 'produces', 'disrupts', 'diagnoses']
['disrupts', 'prevents', 'treats', 'complicates']
['disrupts', 'associated_with', 'occurs_in', 'produces']
['disrupts', 'isa', 'stimulates', 'location_of']
['disrupts', 'inhibits', 'same_as', 'coexists_with']
['disrupts', 'interacts_with', 'treats']
['disrupts', 'causes', 'disrupts', 'augments']
['disrupts', 'affects', 'coexists_with', 'complicates']
['disrupts', 'stimulates', 'treats', 'augments']
['disrupts', 'diagnoses', 'interacts_with', 'inhibits']
['disrupts', 'produces', 'disrupts', 'interacts_with']
['disrupts', 'stimulates', 'associated_with', 'interacts_with']
['disrupts', 'diagnoses', 'disrupts', 'stimulates']
['disrupts', 'inhibits', 'coexists_with', 'complicates']
['disrupts', 'treats', 'disrupts', 'isa']
['disrupts', 'produces', 'compared_with', 'interacts_with']
['disrupts', 'augments', 'diagnoses', 'affects']
['disrupts', 'diagnoses', 'compared_with', 'complicates']
['disrupts', 'same_as', 'compared_with', 'diagnoses']
['disrupts', 'causes', 'causes', 'prevents']
['disrupts', 'diagnoses', 'treats', 'interacts_with']
['disrupts', 'prevents', 'stimulates', 'prevents']
['disrupts', 'affects', 'inhibits', 'compared_with']
['disrupts', 'associated_with', 'isa', 'stimulates']
['disrupts', 'stimulates', 'produces', 'inhibits']
['disrupts', 'produces', 'occurs_in', 'disrupts']
['disrupts', 'treats', 'causes', 'produces']
['disrupts', 'isa', 'disrupts', 'compared_with']
['disrupts', 'part_of', 'diagnoses', 'part_of']
['disrupts', 'part_of', 'complicates', 'affects']
['disrupts', 'affects', 'interacts_with', 'augments']
['disrupts', 'affects', 'coexists_with', 'coexists_with']
['disrupts', 'isa', 'occurs_in', 'stimulates']
['disrupts', 'disrupts', 'affects', 'causes']
['disrupts', 'inhibits', 'part_of', 'location_of']
['disrupts', 'prevents', 'produces', 'complicates']
['disrupts', 'produces', 'compared_with', 'location_of']
['disrupts', 'location_of', 'augments', 'treats']
['disrupts', 'diagnoses', 'same_as', 'treats']
['disrupts', 'location_of', 'part_of']
['disrupts', 'stimulates', 'stimulates', 'compared_with']
['disrupts', 'same_as', 'inhibits', 'occurs_in']
['disrupts', 'inhibits', 'affects', 'isa']
['disrupts']
['disrupts', 'diagnoses', 'complicates', 'location_of']
['disrupts', 'associated_with', 'prevents', 'compared_with']
['disrupts', 'location_of', 'treats', 'stimulates']
['disrupts', 'prevents', 'produces', 'diagnoses']
['disrupts', 'affects', 'affects', 'stimulates']
['disrupts', 'complicates', 'treats', 'produces']
