['diagnoses', 'produces', 'location_of', 'inhibits']
['occurs_in', 'produces', 'complicates', 'same_as']
['occurs_in', 'location_of', 'disrupts', 'produces']
['occurs_in', 'complicates', 'part_of', 'associated_with']
['occurs_in', 'affects', 'causes', 'diagnoses']
['occurs_in', 'location_of', 'disrupts', 'treats']
['occurs_in', 'compared_with', 'part_of', 'treats']
['occurs_in', 'stimulates', 'prevents', 'causes']
['occurs_in', 'complicates', 'compared_with', 'interacts_with']
['occurs_in', 'diagnoses', 'inhibits', 'location_of']
['occurs_in', 'same_as', 'causes', 'stimulates']
['occurs_in', 'inhibits', 'prevents', 'inhibits']
['occurs_in', 'causes', 'isa', 'inhibits']
['occurs_in', 'treats', 'augments', 'diagnoses']
['occurs_in', 'augments', 'augments', 'interacts_with']
['occurs_in', 'coexists_with', 'diagnoses', 'augments']
['occurs_in', 'complicates', 'part_of', 'causes']
['occurs_in', 'disrupts', 'coexists_with', 'same_as']
['occurs_in', 'occurs_in', 'same_as', 'stimulates']
['occurs_in', 'complicates', 'treats', 'same_as']
['occurs_in', 'diagnoses', 'associated_with', 'inhibits']
['occurs_in', 'causes', 'location_of', 'isa']
['occurs_in', 'part_of', 'inhibits', 'occurs_in']
['occurs_in', 'affects', 'causes', 'inhibits']
['occurs_in', 'augments', 'causes', 'prevents']
['occurs_in', 'affects', 'affects', 'compared_with']
['occurs_in', 'diagnoses', 'treats', 'same_as']
['occurs_in', 'produces', 'interacts_with', 'interacts_with']
['occurs_in', 'occurs_in', 'complicates', 'complicates']
['occurs_in', 'occurs_in', 'occurs_in', 'treats']
['occurs_in', 'prevents', 'disrupts', 'causes']
['occurs_in', 'prevents', 'location_of', 'isa']
['occurs_in', 'location_of', 'affects', 'location_of']
['occurs_in', 'associated_with', 'stimulates', 'augments']
['occurs_in', 'compared_with', 'prevents', 'diagnoses']
['occurs_in', 'prevents', 'diagnoses', 'inhibits']
['occurs_in', 'same_as', 'prevents', 'diagnoses']
['occurs_in', 'stimulates', 'causes', 'causes']
['same_as', 'causes']
['same_as', 'produces', 'interacts_with', 'causes']
['same_as', 'same_as', 'disrupts', 'prevents']
['same_as', 'compared_with', 'occurs_in', 'augments']
['same_as', 'location_of', 'inhibits', 'interacts_with']
['same_as', 'inhibits', 'coexists_with', 'affects']
['same_as', 'inhibits', 'treats', 'augments']
['same_as', 'stimulates', 'affects', 'produces']
['same_as', 'complicates']
['same_as', 'coexists_with', 'prevents', 'prevents']
['same_as', 'same_as', 'treats', 'interacts_with']
['same_as', 'treats', 'same_as', 'stimulates']
['same_as', 'prevents', 'augments', 'associated_with']
['same_as', 'location_of', 'coexists_with', 'treats']
['same_as', 'causes', 'associated_with', 'same_as']
['same_as', 'prevents', 'prevents', 'compared_with']
['same_as', 'augments', 'coexists_with', 'associated_with']
['same_as']
['same_as', 'part_of', 'interacts_with', 'produces']
['same_as', 'compared_with', 'complicates', 'disrupts']
['same_as', 'augments', 'compared_with', 'treats']
['same_as', 'disrupts', 'diagnoses', 'part_of']
['same_as', 'location_of', 'disrupts', 'isa']
['same_as', 'treats', 'disrupts', 'part_of']
['same_as', 'prevents', 'location_of', 'diagnoses']
['same_as', 'causes', 'compared_with', 'diagnoses']
['same_as', 'prevents', 'inhibits', 'stimulates']
['same_as', 'occurs_in']
['same_as', 'interacts_with', 'stimulates', 'produces']
['same_as', 'part_of', 'same_as', 'same_as']
['same_as', 'affects', 'occurs_in', 'associated_with']
['same_as', 'stimulates', 'disrupts', 'location_of']
['same_as', 'location_of', 'coexists_with', 'inhibits']
['same_as', 'part_of', 'compared_with', 'inhibits']
['same_as', 'location_of', 'disrupts', 'coexists_with']
['same_as', 'affects', 'interacts_with', 'isa']
['same_as', 'produces', 'stimulates', 'produces']
['same_as', 'part_of', 'diagnoses', 'part_of']
['same_as', 'diagnoses', 'same_as', 'disrupts']
['same_as', 'diagnoses', 'same_as', 'produces']
['same_as', 'compared_with', 'compared_with', 'location_of']
['same_as', 'affects', 'occurs_in', 'diagnoses']
['same_as', 'disrupts', 'stimulates', 'location_of']
['same_as', 'occurs_in', 'isa', 'associated_with']
['same_as', 'prevents', 'associated_with', 'compared_with']
['same_as', 'complicates', 'produces', 'diagnoses']
['same_as', 'prevents', 'diagnoses', 'produces']
['same_as', 'associated_with', 'occurs_in', 'prevents']
['same_as', 'inhibits', 'part_of', 'augments']
['same_as', 'disrupts', 'location_of', 'inhibits']
['same_as', 'treats', 'part_of', 'location_of']
['same_as', 'coexists_with', 'same_as', 'diagnoses']
['same_as', 'treats', 'same_as', 'causes']
['same_as', 'causes', 'complicates', 'compared_with']
['same_as', 'causes', 'part_of', 'location_of']
['same_as', 'isa', 'affects', 'prevents']
['same_as', 'complicates', 'part_of', 'produces']
['same_as', 'occurs_in', 'diagnoses', 'treats']
['same_as', 'compared_with', 'compared_with', 'stimulates']
['same_as', 'interacts_with', 'location_of', 'same_as']
['same_as', 'disrupts', 'location_of', 'associated_with']
['same_as', 'complicates', 'occurs_in', 'part_of']
['same_as', 'isa', 'coexists_with']
['same_as', 'treats', 'treats', 'compared_with']
['same_as', 'augments', 'associated_with', 'prevents']
['same_as', 'diagnoses', 'same_as', 'affects']
['same_as', 'stimulates', 'causes', 'compared_with']
['same_as', 'stimulates', 'inhibits', 'same_as']
['same_as', 'causes', 'coexists_with', 'augments']
['same_as', 'part_of', 'treats', 'causes']
['same_as', 'associated_with', 'isa', 'treats']
['same_as', 'treats', 'diagnoses', 'augments']
['same_as', 'isa', 'occurs_in', 'diagnoses']
['same_as', 'disrupts', 'produces', 'prevents']
['same_as', 'stimulates', 'complicates', 'compared_with']
['same_as', 'treats', 'prevents', 'produces']
['same_as', 'disrupts', 'interacts_with', 'diagnoses']
['same_as', 'same_as', 'isa', 'part_of']
['same_as', 'occurs_in', 'treats', 'complicates']
['same_as', 'part_of', 'location_of', 'inhibits']
['same_as', 'disrupts', 'same_as', 'part_of']
['same_as', 'complicates', 'affects', 'location_of']
['same_as', 'coexists_with', 'complicates', 'disrupts']
['same_as', 'stimulates', 'inhibits', 'disrupts']
['same_as', 'augments', 'inhibits', 'stimulates']
['same_as', 'affects', 'same_as']
['same_as', 'isa', 'produces', 'disrupts']
['same_as', 'occurs_in', 'causes', 'inhibits']
['same_as', 'affects', 'treats', 'compared_with']
['same_as', 'interacts_with', 'prevents', 'causes']
['same_as', 'disrupts', 'inhibits', 'same_as']
['same_as', 'augments', 'occurs_in', 'prevents']
['same_as', 'associated_with', 'affects', 'produces']
['same_as', 'stimulates', 'compared_with', 'interacts_with']
['complicates', 'coexists_with', 'coexists_with', 'same_as']
['complicates', 'stimulates', 'stimulates', 'location_of']
['complicates', 'compared_with', 'inhibits', 'occurs_in']
['complicates', 'occurs_in', 'augments', 'part_of']
['complicates', 'stimulates', 'associated_with', 'complicates']
['complicates', 'affects', 'location_of', 'diagnoses']
['complicates', 'coexists_with', 'disrupts', 'inhibits']
['complicates', 'occurs_in', 'produces', 'affects']
['complicates', 'associated_with', 'isa', 'causes']
['complicates', 'part_of', 'isa', 'augments']
['complicates', 'complicates', 'occurs_in', 'part_of']
['complicates', 'prevents', 'location_of', 'isa']
['complicates', 'occurs_in', 'prevents', 'diagnoses']
['complicates', 'disrupts', 'occurs_in', 'same_as']
['complicates', 'compared_with', 'interacts_with', 'causes']
['complicates', 'same_as', 'isa', 'part_of']
['complicates', 'same_as', 'associated_with', 'complicates']
['complicates', 'diagnoses', 'stimulates', 'location_of']
['complicates', 'causes', 'part_of', 'isa']
['complicates', 'causes', 'produces', 'location_of']
['complicates', 'occurs_in', 'diagnoses', 'diagnoses']
['complicates', 'associated_with', 'stimulates', 'same_as']
['complicates', 'treats', 'same_as', 'diagnoses']
['complicates', 'treats', 'prevents', 'part_of']
['complicates', 'inhibits', 'occurs_in', 'inhibits']
['complicates', 'stimulates', 'compared_with']
['complicates', 'causes', 'compared_with', 'affects']
['complicates', 'produces', 'location_of', 'augments']
['complicates', 'affects', 'interacts_with', 'treats']
['complicates', 'stimulates', 'disrupts', 'diagnoses']
['complicates', 'isa', 'affects', 'diagnoses']
['complicates', 'treats', 'disrupts']
['complicates', 'interacts_with', 'interacts_with', 'location_of']
['complicates', 'inhibits', 'diagnoses', 'compared_with']
['complicates', 'interacts_with', 'augments', 'augments']
['complicates', 'disrupts', 'stimulates', 'augments']
['complicates', 'diagnoses', 'isa', 'isa']
['complicates', 'prevents', 'coexists_with', 'stimulates']
['complicates', 'causes', 'produces', 'compared_with']
['complicates', 'part_of', 'augments', 'location_of']
['complicates', 'isa', 'prevents', 'isa']
['complicates', 'affects', 'compared_with', 'causes']
['complicates', 'coexists_with', 'coexists_with', 'stimulates']
['complicates', 'associated_with', 'inhibits', 'treats']
['complicates', 'occurs_in']
['complicates', 'produces', 'interacts_with', 'occurs_in']
['complicates', 'augments', 'coexists_with', 'affects']
['complicates', 'prevents', 'complicates', 'disrupts']
['complicates', 'occurs_in', 'inhibits', 'complicates']
['complicates', 'augments', 'associated_with', 'stimulates']
['complicates', 'causes', 'prevents', 'causes']
['complicates', 'associated_with', 'inhibits', 'affects']
['complicates', 'prevents', 'interacts_with', 'causes']
['complicates', 'diagnoses', 'occurs_in', 'associated_with']
['complicates', 'isa', 'augments', 'inhibits']
['complicates', 'inhibits', 'location_of', 'prevents']
['complicates', 'augments', 'produces']
['complicates', 'affects', 'inhibits']
['complicates', 'augments', 'coexists_with', 'part_of']
['complicates', 'compared_with', 'inhibits', 'compared_with']
['complicates', 'produces', 'affects', 'interacts_with']
['complicates', 'same_as', 'complicates', 'disrupts']
['complicates', 'prevents', 'disrupts', 'associated_with']
['complicates', 'interacts_with', 'compared_with', 'complicates']
['complicates', 'complicates', 'treats', 'augments']
['complicates', 'produces', 'augments', 'affects']
['complicates', 'prevents', 'produces', 'diagnoses']
['complicates', 'compared_with', 'part_of', 'inhibits']
['complicates', 'augments', 'coexists_with', 'occurs_in']
['complicates', 'occurs_in', 'complicates', 'complicates']
['complicates', 'isa', 'augments', 'disrupts']
['complicates', 'affects', 'causes']
['complicates', 'associated_with', 'compared_with', 'stimulates']
['complicates', 'affects', 'produces', 'diagnoses']
['complicates', 'affects', 'causes', 'associated_with']
['complicates', 'diagnoses', 'causes', 'augments']
['complicates', 'interacts_with', 'same_as', 'affects']
['complicates', 'disrupts', 'affects', 'occurs_in']
['complicates', 'interacts_with', 'disrupts', 'prevents']
['complicates', 'interacts_with', 'same_as', 'location_of']
['complicates', 'occurs_in', 'complicates', 'inhibits']
['complicates', 'treats', 'diagnoses', 'treats']
['complicates']
['complicates', 'affects', 'occurs_in', 'disrupts']
['complicates', 'occurs_in', 'stimulates', 'compared_with']
['complicates', 'stimulates', 'associated_with', 'compared_with']
['complicates', 'compared_with', 'location_of', 'compared_with']
['complicates', 'produces', 'disrupts', 'augments']
['complicates', 'prevents', 'compared_with', 'inhibits']
['complicates', 'interacts_with', 'diagnoses', 'augments']
['complicates', 'diagnoses', 'coexists_with', 'part_of']
['complicates', 'prevents', 'same_as', 'associated_with']
['complicates', 'occurs_in', 'causes', 'interacts_with']
['complicates', 'augments', 'stimulates', 'stimulates']
['complicates', 'treats', 'isa']
['complicates', 'compared_with', 'produces', 'diagnoses']
['complicates', 'inhibits', 'compared_with', 'inhibits']
['complicates', 'same_as', 'interacts_with', 'produces']
['prevents', 'diagnoses', 'treats', 'interacts_with']
['prevents', 'affects', 'stimulates', 'disrupts']
['prevents']
['prevents', 'coexists_with']
['prevents', 'interacts_with', 'causes', 'prevents']
['prevents', 'occurs_in', 'stimulates', 'disrupts']
['prevents', 'occurs_in', 'stimulates']
['prevents', 'treats', 'disrupts', 'interacts_with']
['prevents', 'disrupts', 'occurs_in', 'treats']
['prevents', 'prevents', 'compared_with', 'causes']
['prevents', 'part_of', 'stimulates', 'associated_with']
['prevents', 'occurs_in', 'compared_with', 'augments']
['prevents', 'inhibits', 'inhibits', 'inhibits']
['prevents', 'coexists_with', 'produces', 'treats']
['prevents', 'stimulates', 'stimulates', 'associated_with']
['prevents', 'same_as', 'diagnoses', 'augments']
['prevents', 'diagnoses', 'same_as', 'part_of']
['prevents', 'associated_with', 'inhibits', 'occurs_in']
['prevents', 'occurs_in', 'disrupts', 'affects']
['prevents', 'coexists_with', 'location_of']
['prevents', 'diagnoses', 'affects', 'compared_with']
['prevents', 'affects']
['prevents', 'interacts_with', 'affects', 'augments']
['prevents', 'prevents', 'location_of', 'interacts_with']
['prevents', 'produces', 'compared_with', 'compared_with']
['prevents', 'disrupts', 'complicates', 'diagnoses']
['prevents', 'causes', 'same_as', 'diagnoses']
['prevents', 'disrupts', 'augments', 'occurs_in']
['prevents', 'occurs_in', 'location_of', 'produces']
['prevents', 'stimulates', 'produces', 'isa']
['prevents', 'part_of', 'part_of', 'diagnoses']
['prevents', 'same_as', 'compared_with', 'produces']
['prevents', 'diagnoses', 'diagnoses', 'isa']
['prevents', 'causes', 'coexists_with', 'causes']
['prevents', 'augments', 'same_as', 'treats']
['prevents', 'diagnoses', 'interacts_with', 'location_of']
['prevents', 'location_of', 'disrupts', 'augments']
['prevents', 'same_as', 'isa', 'disrupts']
['prevents', 'causes', 'coexists_with', 'disrupts']
['prevents', 'prevents', 'treats', 'complicates']
['prevents', 'prevents', 'stimulates', 'disrupts']
['prevents', 'isa', 'affects', 'produces']
['prevents', 'coexists_with', 'diagnoses', 'compared_with']
['prevents', 'isa', 'inhibits', 'causes']
['prevents', 'augments', 'stimulates', 'prevents']
['prevents', 'produces', 'occurs_in', 'compared_with']
['prevents', 'stimulates', 'part_of', 'compared_with']
['prevents', 'diagnoses', 'diagnoses', 'stimulates']
['prevents', 'stimulates', 'coexists_with', 'same_as']
['prevents', 'inhibits', 'stimulates', 'complicates']
['prevents', 'associated_with', 'part_of', 'affects']
['prevents', 'causes', 'isa', 'location_of']
['prevents', 'isa', 'diagnoses', 'augments']
['prevents', 'occurs_in', 'causes', 'affects']
['prevents', 'affects', 'stimulates', 'prevents']
['prevents', 'disrupts', 'isa', 'diagnoses']
['prevents', 'diagnoses', 'causes', 'occurs_in']
['prevents', 'diagnoses', 'affects', 'disrupts']
['prevents', 'disrupts', 'treats', 'location_of']
['prevents', 'location_of', 'affects', 'prevents']
['prevents', 'occurs_in', 'prevents']
['prevents', 'interacts_with']
['prevents', 'part_of', 'occurs_in', 'prevents']
['prevents', 'inhibits', 'same_as', 'associated_with']
['prevents', 'occurs_in', 'complicates', 'interacts_with']
['prevents', 'inhibits', 'coexists_with', 'produces']
['prevents', 'prevents', 'treats', 'disrupts']
['prevents', 'location_of', 'inhibits', 'complicates']
['prevents', 'prevents', 'produces', 'causes']
['prevents', 'affects', 'produces', 'location_of']
['prevents', 'inhibits', 'disrupts', 'treats']
['prevents', 'occurs_in']
['prevents', 'disrupts', 'complicates', 'stimulates']
['prevents', 'affects', 'isa', 'causes']
['prevents', 'complicates', 'prevents', 'location_of']
['prevents', 'disrupts', 'treats', 'disrupts']
['prevents', 'interacts_with', 'isa', 'diagnoses']
['prevents', 'stimulates', 'stimulates', 'prevents']
['prevents', 'same_as', 'diagnoses', 'stimulates']
['prevents', 'produces', 'interacts_with', 'disrupts']
['prevents', 'occurs_in', 'augments']
['prevents', 'compared_with', 'compared_with', 'interacts_with']
['prevents', 'location_of', 'same_as', 'location_of']
['prevents', 'coexists_with', 'produces', 'isa']
['prevents', 'causes']
['prevents', 'location_of', 'stimulates', 'produces']
['prevents', 'causes', 'augments', 'disrupts']
['prevents', 'affects', 'occurs_in', 'disrupts']
['prevents', 'location_of', 'augments', 'stimulates']
['prevents', 'part_of', 'produces', 'produces']
['prevents', 'stimulates', 'augments', 'prevents']
['prevents', 'location_of', 'causes', 'produces']
['prevents', 'inhibits', 'coexists_with', 'complicates']
['prevents', 'prevents', 'coexists_with', 'occurs_in']
['prevents', 'location_of', 'disrupts', 'complicates']
['prevents', 'disrupts', 'diagnoses', 'augments']
['prevents', 'associated_with', 'associated_with', 'same_as']
['disrupts', 'augments', 'causes', 'causes']
['disrupts', 'stimulates', 'occurs_in', 'part_of']
['disrupts', 'treats', 'compared_with', 'compared_with']
['disrupts', 'augments', 'prevents', 'same_as']
['disrupts', 'isa', 'prevents', 'same_as']
['disrupts', 'complicates', 'produces', 'associated_with']
['disrupts', 'coexists_with', 'diagnoses', 'coexists_with']
['disrupts', 'disrupts', 'same_as']
['disrupts']
['disrupts', 'stimulates', 'occurs_in', 'isa']
['disrupts', 'occurs_in', 'occurs_in', 'associated_with']
['disrupts', 'stimulates']
['disrupts', 'diagnoses', 'produces', 'isa']
['disrupts', 'interacts_with', 'causes', 'isa']
['disrupts', 'disrupts', 'complicates', 'isa']
['disrupts', 'treats', 'disrupts', 'part_of']
['disrupts', 'isa', 'part_of', 'inhibits']
['disrupts', 'same_as', 'augments', 'coexists_with']
['disrupts', 'occurs_in', 'inhibits', 'disrupts']
['disrupts', 'affects', 'treats', 'augments']
['disrupts', 'stimulates', 'causes', 'isa']
['disrupts', 'stimulates', 'interacts_with', 'complicates']
['disrupts', 'diagnoses', 'part_of', 'isa']
['disrupts', 'prevents', 'augments', 'isa']
['disrupts', 'interacts_with', 'inhibits', 'complicates']
['disrupts', 'occurs_in', 'diagnoses', 'augments']
['disrupts', 'occurs_in', 'augments']
['disrupts', 'affects', 'isa', 'stimulates']
['disrupts', 'coexists_with', 'complicates', 'augments']
['disrupts', 'stimulates', 'isa', 'inhibits']
['disrupts', 'occurs_in', 'produces', 'associated_with']
['disrupts', 'compared_with', 'causes', 'diagnoses']
['disrupts', 'treats', 'disrupts', 'prevents']
['disrupts', 'same_as', 'occurs_in', 'disrupts']
['disrupts', 'produces', 'augments']
['disrupts', 'location_of', 'part_of', 'treats']
['disrupts', 'interacts_with', 'isa', 'associated_with']
['disrupts', 'part_of', 'complicates', 'same_as']
['disrupts', 'location_of', 'inhibits', 'causes']
['disrupts', 'interacts_with', 'same_as', 'diagnoses']
['disrupts', 'produces', 'location_of', 'occurs_in']
['disrupts', 'location_of', 'augments', 'coexists_with']
['disrupts', 'prevents', 'augments', 'inhibits']
['disrupts', 'part_of', 'disrupts', 'prevents']
['disrupts', 'part_of', 'inhibits', 'prevents']
['disrupts', 'stimulates', 'affects', 'augments']
['disrupts', 'augments', 'location_of', 'part_of']
['disrupts', 'causes', 'affects', 'coexists_with']
['disrupts', 'augments', 'causes', 'coexists_with']
['disrupts', 'treats', 'coexists_with', 'prevents']
['disrupts', 'occurs_in', 'produces', 'affects']
['disrupts', 'complicates', 'treats', 'occurs_in']
['disrupts', 'prevents', 'same_as', 'isa']
['disrupts', 'coexists_with', 'inhibits', 'diagnoses']
['disrupts', 'location_of', 'affects', 'augments']
['disrupts', 'location_of', 'affects', 'location_of']
['disrupts', 'prevents', 'part_of', 'diagnoses']
['disrupts', 'complicates', 'causes']
['disrupts', 'location_of', 'compared_with', 'prevents']
['disrupts', 'location_of', 'compared_with', 'produces']
['disrupts', 'prevents', 'location_of', 'interacts_with']
['disrupts', 'occurs_in', 'complicates', 'complicates']
['disrupts', 'associated_with', 'same_as', 'prevents']
['disrupts', 'isa', 'diagnoses', 'inhibits']
['disrupts', 'inhibits', 'produces', 'coexists_with']
['disrupts', 'isa', 'diagnoses', 'isa']
['disrupts', 'interacts_with', 'treats', 'coexists_with']
['disrupts', 'same_as', 'produces', 'coexists_with']
['disrupts', 'interacts_with', 'produces', 'diagnoses']
['disrupts', 'disrupts', 'produces']
['disrupts', 'interacts_with', 'causes', 'causes']
['disrupts', 'interacts_with', 'prevents', 'part_of']
['disrupts', 'disrupts', 'inhibits', 'coexists_with']
['disrupts', 'occurs_in', 'stimulates', 'diagnoses']
['disrupts', 'compared_with', 'treats', 'stimulates']
