['diagnoses', 'augments', 'part_of', 'diagnoses']
['occurs_in', 'prevents', 'interacts_with', 'disrupts']
['occurs_in', 'interacts_with', 'coexists_with', 'disrupts']
['occurs_in', 'interacts_with', 'compared_with', 'diagnoses']
['occurs_in', 'stimulates', 'complicates', 'location_of']
['occurs_in', 'coexists_with', 'coexists_with', 'produces']
['occurs_in', 'occurs_in', 'augments', 'produces']
['occurs_in', 'prevents', 'diagnoses', 'part_of']
['occurs_in', 'disrupts', 'location_of', 'stimulates']
['occurs_in', 'occurs_in', 'occurs_in', 'prevents']
['occurs_in', 'diagnoses', 'diagnoses', 'location_of']
['occurs_in', 'associated_with', 'treats', 'isa']
['occurs_in', 'occurs_in', 'same_as', 'causes']
['occurs_in', 'coexists_with', 'prevents', 'location_of']
['occurs_in', 'coexists_with', 'coexists_with', 'augments']
['occurs_in', 'stimulates', 'occurs_in', 'affects']
['occurs_in', 'interacts_with', 'treats', 'prevents']
['occurs_in', 'treats', 'stimulates', 'diagnoses']
['occurs_in', 'isa', 'part_of', 'affects']
['occurs_in', 'location_of', 'compared_with', 'diagnoses']
['occurs_in', 'isa', 'stimulates', 'location_of']
['occurs_in', 'affects', 'isa', 'treats']
['occurs_in', 'inhibits']
['occurs_in', 'associated_with', 'produces']
['occurs_in', 'produces', 'prevents', 'produces']
['occurs_in', 'treats', 'prevents', 'disrupts']
['occurs_in', 'isa', 'produces', 'interacts_with']
['occurs_in', 'prevents', 'prevents', 'stimulates']
['occurs_in', 'occurs_in', 'treats', 'prevents']
['occurs_in', 'complicates', 'augments', 'part_of']
['occurs_in', 'causes', 'disrupts', 'produces']
['occurs_in', 'associated_with', 'associated_with', 'compared_with']
['occurs_in', 'diagnoses', 'diagnoses', 'disrupts']
['occurs_in', 'causes']
['occurs_in', 'occurs_in', 'complicates', 'isa']
['occurs_in', 'same_as', 'compared_with', 'produces']
['occurs_in', 'affects', 'diagnoses', 'causes']
['occurs_in', 'produces', 'treats', 'compared_with']
['occurs_in', 'same_as', 'interacts_with', 'disrupts']
['occurs_in', 'stimulates', 'coexists_with', 'stimulates']
['occurs_in', 'coexists_with']
['occurs_in', 'coexists_with', 'causes', 'same_as']
['occurs_in', 'affects', 'inhibits', 'part_of']
['occurs_in', 'disrupts', 'diagnoses', 'augments']
['occurs_in', 'prevents', 'stimulates', 'prevents']
['occurs_in', 'treats', 'prevents', 'augments']
['occurs_in', 'stimulates', 'coexists_with', 'part_of']
['occurs_in', 'complicates', 'inhibits', 'interacts_with']
['occurs_in', 'diagnoses', 'diagnoses', 'causes']
['occurs_in', 'same_as', 'affects', 'coexists_with']
['occurs_in', 'affects', 'stimulates', 'affects']
['occurs_in', 'causes', 'diagnoses', 'treats']
['occurs_in', 'associated_with', 'stimulates', 'affects']
['occurs_in', 'affects', 'occurs_in', 'causes']
['occurs_in', 'prevents', 'interacts_with', 'compared_with']
['occurs_in', 'coexists_with', 'coexists_with', 'isa']
['occurs_in', 'diagnoses', 'treats', 'occurs_in']
['occurs_in', 'compared_with', 'complicates', 'inhibits']
['occurs_in', 'complicates', 'associated_with', 'part_of']
['occurs_in', 'compared_with', 'associated_with', 'coexists_with']
['occurs_in', 'stimulates', 'coexists_with', 'augments']
['occurs_in', 'augments', 'same_as', 'occurs_in']
['occurs_in', 'location_of', 'isa']
['occurs_in']
['occurs_in', 'isa', 'augments']
['occurs_in', 'prevents', 'prevents', 'complicates']
['occurs_in', 'location_of', 'same_as', 'associated_with']
['occurs_in', 'causes', 'associated_with', 'interacts_with']
['occurs_in', 'coexists_with', 'occurs_in', 'associated_with']
['occurs_in', 'complicates', 'complicates', 'complicates']
['occurs_in', 'diagnoses', 'location_of', 'coexists_with']
['occurs_in', 'part_of', 'causes', 'coexists_with']
['occurs_in', 'coexists_with', 'complicates', 'location_of']
['occurs_in', 'occurs_in', 'part_of', 'produces']
['occurs_in', 'prevents', 'part_of', 'compared_with']
['occurs_in', 'occurs_in', 'causes', 'produces']
['occurs_in', 'causes', 'location_of', 'treats']
['occurs_in', 'interacts_with', 'causes', 'inhibits']
['occurs_in', 'associated_with', 'coexists_with', 'coexists_with']
['occurs_in', 'causes', 'interacts_with', 'prevents']
['occurs_in', 'augments', 'produces', 'associated_with']
['occurs_in', 'compared_with', 'causes', 'compared_with']
['occurs_in', 'part_of', 'diagnoses', 'causes']
['occurs_in', 'coexists_with', 'produces', 'occurs_in']
['occurs_in', 'inhibits', 'causes', 'disrupts']
['occurs_in', 'interacts_with', 'coexists_with', 'diagnoses']
['same_as', 'causes', 'stimulates', 'complicates']
['same_as', 'prevents', 'complicates', 'same_as']
['same_as', 'associated_with', 'inhibits', 'inhibits']
['same_as', 'isa', 'prevents', 'diagnoses']
['same_as', 'complicates', 'part_of', 'associated_with']
['same_as', 'augments', 'associated_with', 'coexists_with']
['same_as', 'prevents', 'location_of']
['same_as', 'complicates']
['same_as', 'location_of', 'associated_with', 'stimulates']
['same_as', 'produces', 'treats', 'disrupts']
['same_as', 'complicates', 'treats', 'interacts_with']
['same_as', 'treats', 'same_as', 'compared_with']
['same_as', 'causes', 'complicates', 'associated_with']
['same_as', 'treats', 'complicates', 'associated_with']
['same_as', 'inhibits', 'prevents']
['same_as', 'occurs_in', 'disrupts', 'diagnoses']
['same_as', 'interacts_with', 'disrupts', 'occurs_in']
['same_as', 'affects', 'stimulates', 'treats']
['same_as', 'location_of', 'occurs_in', 'complicates']
['same_as', 'inhibits', 'same_as', 'causes']
['same_as', 'same_as', 'isa', 'coexists_with']
['same_as', 'diagnoses', 'produces', 'occurs_in']
['same_as', 'treats', 'isa', 'occurs_in']
['same_as', 'coexists_with', 'associated_with', 'occurs_in']
['same_as', 'inhibits', 'treats', 'prevents']
['same_as', 'causes', 'inhibits', 'location_of']
['same_as', 'coexists_with', 'affects', 'prevents']
['same_as', 'location_of', 'complicates', 'interacts_with']
['same_as', 'coexists_with', 'complicates', 'interacts_with']
['same_as', 'causes', 'same_as', 'disrupts']
['same_as', 'coexists_with', 'coexists_with', 'part_of']
['same_as', 'prevents', 'produces', 'location_of']
['same_as', 'inhibits', 'complicates', 'disrupts']
['same_as', 'causes', 'inhibits', 'affects']
['same_as', 'complicates', 'disrupts', 'occurs_in']
['same_as', 'location_of', 'part_of', 'occurs_in']
['same_as', 'complicates', 'stimulates', 'complicates']
['same_as', 'part_of', 'causes', 'augments']
['same_as', 'inhibits', 'part_of', 'augments']
['same_as', 'disrupts', 'diagnoses', 'complicates']
['same_as', 'causes', 'disrupts', 'treats']
['same_as', 'compared_with', 'associated_with', 'treats']
['same_as', 'isa', 'produces', 'isa']
['same_as', 'produces', 'complicates', 'coexists_with']
['same_as']
['same_as', 'treats', 'stimulates', 'occurs_in']
['same_as', 'isa', 'same_as']
['same_as', 'stimulates', 'part_of', 'interacts_with']
['same_as', 'causes', 'coexists_with', 'part_of']
['same_as', 'part_of', 'same_as', 'produces']
['same_as', 'coexists_with', 'complicates', 'produces']
['same_as', 'complicates', 'coexists_with', 'stimulates']
['same_as', 'occurs_in', 'causes', 'diagnoses']
['same_as', 'causes', 'coexists_with', 'associated_with']
['same_as', 'augments', 'part_of', 'complicates']
['same_as', 'disrupts', 'complicates', 'isa']
['same_as', 'prevents', 'part_of', 'affects']
['same_as', 'causes', 'part_of', 'disrupts']
['same_as', 'inhibits', 'same_as', 'augments']
['same_as', 'causes', 'interacts_with', 'complicates']
['same_as', 'affects', 'augments', 'location_of']
['same_as', 'occurs_in', 'affects', 'augments']
['same_as', 'stimulates', 'complicates', 'prevents']
['same_as', 'disrupts', 'complicates', 'inhibits']
['same_as', 'interacts_with', 'part_of', 'occurs_in']
['same_as', 'prevents', 'diagnoses', 'occurs_in']
['same_as', 'complicates', 'stimulates', 'diagnoses']
['same_as', 'prevents', 'produces', 'stimulates']
['same_as', 'occurs_in', 'disrupts', 'associated_with']
['same_as', 'causes', 'stimulates', 'occurs_in']
['same_as', 'compared_with', 'augments', 'produces']
['same_as', 'same_as', 'part_of', 'isa']
['same_as', 'causes', 'location_of', 'prevents']
['same_as', 'stimulates', 'associated_with', 'prevents']
['same_as', 'augments', 'causes', 'compared_with']
['same_as', 'coexists_with', 'associated_with', 'location_of']
['same_as', 'augments', 'complicates', 'treats']
['same_as', 'treats', 'augments', 'same_as']
['same_as', 'coexists_with', 'causes', 'stimulates']
['same_as', 'augments', 'same_as', 'augments']
['same_as', 'prevents', 'isa', 'affects']
['same_as', 'diagnoses', 'disrupts', 'augments']
['same_as', 'complicates', 'same_as', 'disrupts']
['same_as', 'coexists_with', 'location_of', 'interacts_with']
['same_as', 'compared_with']
['same_as', 'interacts_with', 'produces', 'interacts_with']
['same_as', 'prevents', 'coexists_with']
['same_as', 'inhibits', 'treats', 'disrupts']
['same_as', 'disrupts', 'isa', 'disrupts']
['same_as', 'stimulates', 'treats', 'prevents']
['same_as', 'affects', 'complicates']
['same_as', 'coexists_with', 'diagnoses', 'causes']
['same_as', 'disrupts', 'occurs_in', 'interacts_with']
['same_as', 'prevents', 'affects', 'produces']
['same_as', 'location_of', 'disrupts', 'diagnoses']
['same_as', 'occurs_in', 'affects', 'location_of']
['same_as', 'causes', 'inhibits', 'augments']
['complicates', 'affects', 'causes', 'complicates']
['complicates', 'complicates', 'associated_with', 'disrupts']
['complicates', 'part_of', 'produces', 'affects']
['complicates', 'same_as', 'interacts_with', 'augments']
['complicates', 'disrupts', 'occurs_in', 'disrupts']
['complicates', 'occurs_in', 'interacts_with', 'prevents']
['complicates', 'interacts_with', 'same_as', 'isa']
['complicates', 'augments', 'associated_with', 'interacts_with']
['complicates', 'coexists_with', 'stimulates', 'part_of']
['complicates', 'disrupts', 'same_as', 'complicates']
['complicates', 'compared_with', 'causes', 'coexists_with']
['complicates', 'occurs_in', 'occurs_in', 'associated_with']
['complicates', 'isa', 'disrupts', 'part_of']
['complicates', 'prevents', 'associated_with', 'augments']
['complicates', 'augments', 'prevents', 'produces']
['complicates', 'interacts_with', 'inhibits', 'stimulates']
['complicates', 'occurs_in', 'same_as', 'produces']
['complicates', 'occurs_in', 'part_of', 'compared_with']
['complicates', 'complicates', 'part_of', 'affects']
['complicates', 'interacts_with', 'diagnoses', 'stimulates']
['complicates', 'location_of', 'occurs_in', 'isa']
['complicates', 'produces', 'isa', 'isa']
['complicates', 'causes', 'interacts_with', 'disrupts']
['complicates', 'occurs_in']
['complicates', 'causes', 'causes', 'augments']
['complicates', 'affects', 'complicates', 'treats']
['complicates', 'complicates', 'location_of']
['complicates', 'occurs_in', 'prevents', 'augments']
['complicates', 'augments', 'associated_with', 'part_of']
['complicates', 'affects']
['complicates', 'associated_with', 'stimulates', 'occurs_in']
['complicates', 'prevents', 'disrupts', 'occurs_in']
['complicates', 'compared_with', 'affects', 'stimulates']
['complicates', 'prevents', 'stimulates', 'treats']
['complicates', 'stimulates']
['complicates', 'treats']
['complicates', 'occurs_in', 'causes', 'coexists_with']
['complicates', 'causes', 'prevents', 'complicates']
['complicates', 'same_as', 'prevents', 'diagnoses']
['complicates', 'complicates', 'produces', 'associated_with']
['complicates', 'causes', 'affects', 'augments']
['complicates', 'augments', 'treats', 'affects']
['complicates', 'causes', 'complicates', 'augments']
['complicates', 'associated_with', 'compared_with', 'occurs_in']
['complicates', 'associated_with', 'inhibits', 'diagnoses']
['complicates', 'interacts_with', 'treats', 'location_of']
['complicates', 'disrupts', 'coexists_with', 'diagnoses']
['complicates', 'complicates', 'interacts_with', 'complicates']
['complicates', 'affects', 'affects', 'diagnoses']
['complicates', 'affects', 'occurs_in', 'prevents']
['complicates', 'interacts_with', 'coexists_with', 'occurs_in']
['complicates', 'causes']
['complicates', 'causes', 'part_of', 'diagnoses']
['complicates', 'same_as', 'inhibits', 'augments']
['complicates', 'produces', 'causes', 'associated_with']
['complicates', 'isa', 'associated_with', 'prevents']
['complicates', 'interacts_with', 'affects', 'stimulates']
['complicates', 'associated_with', 'part_of', 'prevents']
['complicates', 'causes', 'occurs_in', 'interacts_with']
['complicates', 'coexists_with', 'occurs_in', 'treats']
['complicates', 'complicates', 'same_as', 'treats']
['complicates', 'isa', 'affects', 'coexists_with']
['complicates']
['complicates', 'associated_with', 'affects', 'produces']
['complicates', 'augments', 'disrupts', 'compared_with']
['complicates', 'diagnoses', 'part_of', 'treats']
['complicates', 'part_of', 'diagnoses', 'compared_with']
['complicates', 'same_as', 'stimulates', 'treats']
['complicates', 'same_as']
['complicates', 'produces', 'complicates', 'interacts_with']
['complicates', 'diagnoses', 'produces', 'causes']
['complicates', 'treats', 'affects', 'affects']
['complicates', 'produces', 'complicates', 'prevents']
['complicates', 'stimulates', 'interacts_with', 'stimulates']
['complicates', 'disrupts', 'location_of', 'treats']
['complicates', 'inhibits', 'prevents', 'disrupts']
['complicates', 'compared_with', 'treats', 'augments']
['complicates', 'compared_with', 'interacts_with', 'compared_with']
['complicates', 'affects', 'produces']
['complicates', 'produces', 'isa', 'occurs_in']
['complicates', 'part_of', 'augments', 'part_of']
['complicates', 'augments', 'augments', 'coexists_with']
['complicates', 'stimulates', 'augments', 'diagnoses']
['complicates', 'produces', 'disrupts', 'occurs_in']
['complicates', 'occurs_in', 'disrupts', 'inhibits']
['complicates', 'causes', 'associated_with', 'produces']
['complicates', 'location_of', 'diagnoses', 'compared_with']
['complicates', 'complicates', 'isa', 'same_as']
['complicates', 'compared_with', 'same_as', 'isa']
['complicates', 'associated_with', 'complicates', 'prevents']
['complicates', 'interacts_with', 'produces', 'compared_with']
['complicates', 'inhibits', 'interacts_with', 'compared_with']
['complicates', 'part_of', 'stimulates', 'coexists_with']
['complicates', 'compared_with', 'compared_with', 'augments']
['complicates', 'complicates', 'interacts_with', 'coexists_with']
['complicates', 'isa', 'disrupts', 'produces']
['complicates', 'affects', 'prevents', 'causes']
['complicates', 'interacts_with', 'treats', 'affects']
['prevents', 'complicates', 'disrupts', 'disrupts']
['prevents', 'coexists_with', 'prevents', 'coexists_with']
['prevents', 'complicates', 'affects', 'affects']
['prevents', 'associated_with', 'diagnoses', 'prevents']
['prevents', 'prevents', 'interacts_with', 'part_of']
['prevents', 'coexists_with', 'affects', 'affects']
['prevents', 'prevents', 'inhibits', 'occurs_in']
['prevents', 'diagnoses', 'same_as', 'associated_with']
['prevents', 'diagnoses', 'interacts_with', 'causes']
['prevents', 'treats', 'prevents', 'associated_with']
['prevents', 'coexists_with', 'treats', 'stimulates']
['prevents', 'disrupts', 'augments', 'disrupts']
['prevents', 'causes']
['prevents', 'part_of', 'produces', 'interacts_with']
['prevents', 'location_of', 'coexists_with', 'occurs_in']
['prevents', 'disrupts', 'disrupts', 'diagnoses']
['prevents', 'treats', 'inhibits', 'same_as']
['prevents', 'interacts_with', 'disrupts', 'isa']
['prevents', 'compared_with', 'associated_with', 'same_as']
['prevents', 'treats', 'associated_with', 'complicates']
['prevents', 'complicates', 'same_as', 'complicates']
['prevents', 'isa', 'causes', 'complicates']
['prevents', 'isa', 'location_of', 'occurs_in']
['prevents', 'prevents', 'prevents', 'causes']
['prevents', 'treats', 'isa', 'isa']
['prevents', 'complicates', 'stimulates', 'disrupts']
['prevents', 'prevents']
['prevents', 'stimulates', 'associated_with', 'affects']
['prevents', 'inhibits', 'diagnoses', 'same_as']
['prevents', 'complicates', 'produces', 'prevents']
['prevents', 'prevents', 'diagnoses', 'causes']
['prevents', 'coexists_with', 'location_of', 'complicates']
['prevents', 'associated_with', 'same_as', 'affects']
['prevents', 'stimulates', 'inhibits', 'affects']
['prevents', 'isa', 'affects', 'stimulates']
['prevents', 'disrupts', 'produces', 'treats']
['prevents', 'diagnoses', 'part_of', 'prevents']
['prevents', 'part_of', 'augments', 'complicates']
['prevents', 'prevents', 'associated_with', 'complicates']
['prevents', 'prevents', 'location_of', 'diagnoses']
['prevents', 'treats', 'disrupts', 'compared_with']
['prevents', 'complicates', 'inhibits', 'coexists_with']
['prevents', 'interacts_with', 'disrupts', 'same_as']
['prevents', 'prevents', 'occurs_in', 'interacts_with']
['prevents', 'disrupts', 'interacts_with', 'part_of']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'associated_with', 'part_of', 'complicates']
['prevents', 'occurs_in', 'occurs_in', 'coexists_with']
['prevents', 'produces', 'prevents', 'causes']
['prevents', 'compared_with', 'diagnoses', 'produces']
['prevents', 'treats', 'disrupts', 'same_as']
['prevents', 'disrupts', 'inhibits', 'isa']
['prevents', 'coexists_with', 'same_as', 'occurs_in']
['prevents', 'complicates', 'produces', 'diagnoses']
['prevents', 'causes', 'diagnoses', 'treats']
['prevents', 'same_as', 'causes', 'coexists_with']
['prevents', 'stimulates', 'inhibits', 'interacts_with']
['prevents', 'interacts_with']
['prevents', 'part_of', 'causes', 'treats']
['prevents', 'disrupts', 'occurs_in', 'location_of']
['prevents']
['prevents', 'location_of', 'associated_with', 'complicates']
['prevents', 'inhibits', 'stimulates', 'complicates']
['prevents', 'compared_with', 'produces', 'location_of']
['prevents', 'complicates', 'affects', 'prevents']
['prevents', 'prevents', 'part_of', 'complicates']
['prevents', 'disrupts', 'stimulates', 'same_as']
['prevents', 'augments', 'associated_with', 'causes']
['prevents', 'occurs_in', 'same_as', 'causes']
['prevents', 'inhibits', 'location_of', 'location_of']
['prevents', 'stimulates', 'compared_with', 'produces']
['prevents', 'complicates', 'stimulates', 'interacts_with']
['prevents', 'causes', 'stimulates', 'coexists_with']
['prevents', 'causes', 'occurs_in', 'coexists_with']
['prevents', 'same_as', 'part_of', 'stimulates']
['prevents', 'compared_with', 'location_of', 'interacts_with']
['prevents', 'disrupts']
['prevents', 'treats', 'occurs_in', 'affects']
['prevents', 'diagnoses', 'causes', 'treats']
['prevents', 'prevents', 'same_as', 'diagnoses']
['prevents', 'compared_with', 'augments', 'augments']
['prevents', 'treats', 'coexists_with', 'inhibits']
['prevents', 'produces', 'interacts_with']
['prevents', 'stimulates', 'prevents', 'same_as']
['prevents', 'produces', 'part_of', 'same_as']
['prevents', 'compared_with', 'prevents', 'diagnoses']
['prevents', 'affects', 'location_of', 'isa']
['prevents', 'associated_with', 'location_of', 'complicates']
['prevents', 'isa', 'isa', 'inhibits']
['prevents', 'associated_with', 'associated_with', 'treats']
['prevents', 'complicates']
['prevents', 'affects', 'location_of', 'produces']
['prevents', 'occurs_in', 'compared_with', 'prevents']
['prevents', 'part_of', 'stimulates', 'produces']
['prevents', 'complicates', 'stimulates', 'isa']
['prevents', 'diagnoses', 'affects', 'treats']
['prevents', 'complicates', 'interacts_with', 'part_of']
['disrupts', 'causes', 'produces']
['disrupts', 'occurs_in', 'complicates', 'affects']
['disrupts', 'causes', 'complicates', 'occurs_in']
['disrupts', 'augments', 'causes', 'interacts_with']
['disrupts', 'prevents', 'part_of', 'diagnoses']
['disrupts', 'augments', 'treats', 'inhibits']
['disrupts', 'occurs_in', 'produces', 'inhibits']
['disrupts', 'complicates', 'stimulates', 'occurs_in']
['disrupts', 'stimulates']
['disrupts', 'isa', 'augments', 'disrupts']
['disrupts', 'coexists_with', 'causes', 'complicates']
['disrupts', 'location_of', 'associated_with', 'coexists_with']
['disrupts', 'prevents', 'same_as', 'produces']
['disrupts', 'disrupts', 'affects', 'causes']
['disrupts', 'diagnoses', 'part_of', 'compared_with']
['disrupts', 'treats', 'part_of', 'treats']
['disrupts', 'location_of', 'occurs_in', 'isa']
['disrupts', 'location_of', 'produces', 'location_of']
['disrupts', 'same_as', 'affects', 'complicates']
['disrupts', 'coexists_with', 'affects', 'compared_with']
['disrupts', 'inhibits', 'inhibits']
['disrupts', 'prevents', 'coexists_with', 'same_as']
['disrupts', 'coexists_with', 'complicates', 'part_of']
['disrupts', 'occurs_in', 'isa', 'interacts_with']
['disrupts', 'prevents', 'coexists_with', 'isa']
['disrupts', 'diagnoses', 'stimulates', 'part_of']
['disrupts', 'prevents', 'associated_with', 'diagnoses']
['disrupts', 'causes', 'isa']
['disrupts', 'coexists_with', 'augments', 'diagnoses']
['disrupts', 'interacts_with', 'interacts_with', 'produces']
['disrupts']
['disrupts', 'prevents', 'affects', 'part_of']
['disrupts', 'prevents', 'diagnoses', 'occurs_in']
['disrupts', 'diagnoses', 'occurs_in', 'associated_with']
['disrupts', 'associated_with', 'affects', 'occurs_in']
['disrupts', 'complicates', 'affects', 'disrupts']
['disrupts', 'produces', 'stimulates', 'complicates']
['disrupts', 'augments']
['disrupts', 'affects', 'occurs_in', 'compared_with']
['disrupts', 'stimulates', 'isa', 'causes']
['disrupts', 'disrupts', 'associated_with', 'produces']
['disrupts', 'compared_with', 'complicates', 'isa']
['disrupts', 'causes', 'isa', 'isa']
['disrupts', 'disrupts', 'stimulates', 'isa']
['disrupts', 'treats', 'interacts_with', 'prevents']
['disrupts', 'location_of', 'prevents', 'prevents']
['disrupts', 'coexists_with', 'prevents', 'interacts_with']
['disrupts', 'stimulates', 'complicates', 'prevents']
['disrupts', 'produces', 'associated_with', 'treats']
['disrupts', 'associated_with', 'causes', 'diagnoses']
['disrupts', 'prevents', 'occurs_in', 'coexists_with']
['disrupts', 'part_of', 'affects', 'same_as']
['disrupts', 'prevents', 'interacts_with', 'stimulates']
['disrupts', 'prevents', 'associated_with', 'causes']
['disrupts', 'inhibits', 'augments']
['disrupts', 'part_of', 'disrupts', 'interacts_with']
['disrupts', 'complicates', 'coexists_with', 'augments']
['disrupts', 'inhibits', 'part_of', 'associated_with']
['disrupts', 'complicates', 'coexists_with', 'produces']
['disrupts', 'augments', 'prevents', 'stimulates']
['disrupts', 'treats', 'disrupts']
['disrupts', 'treats', 'associated_with', 'complicates']
['disrupts', 'inhibits', 'same_as', 'affects']
['disrupts', 'diagnoses', 'compared_with', 'inhibits']
['disrupts', 'part_of', 'location_of', 'treats']
['disrupts', 'causes', 'causes', 'augments']
['disrupts', 'diagnoses', 'part_of', 'treats']
