['diagnoses', 'associated_with', 'associated_with', 'causes']
['same_as', 'coexists_with', 'location_of']
['same_as', 'inhibits', 'isa', 'part_of']
['same_as', 'disrupts', 'location_of', 'inhibits']
['same_as', 'compared_with', 'augments', 'affects']
['same_as', 'affects', 'produces', 'part_of']
['same_as', 'part_of', 'disrupts', 'produces']
['produces', 'compared_with', 'affects', 'affects']
['produces', 'inhibits', 'coexists_with', 'location_of']
['produces', 'causes', 'stimulates', 'compared_with']
['produces', 'produces', 'part_of', 'location_of']
['produces', 'isa', 'causes', 'inhibits']
['produces', 'location_of', 'complicates', 'causes']
['produces', 'produces', 'part_of', 'affects']
['produces', 'produces', 'stimulates', 'interacts_with']
['produces', 'part_of', 'location_of', 'produces']
['produces', 'produces', 'produces', 'isa']
['causes', 'stimulates', 'stimulates', 'disrupts']
['causes', 'treats', 'occurs_in']
['causes', 'augments', 'produces', 'causes']
['causes', 'interacts_with', 'disrupts', 'isa']
['causes', 'same_as', 'associated_with', 'augments']
['causes', 'isa', 'coexists_with', 'causes']
['causes', 'augments', 'part_of', 'location_of']
['causes', 'isa', 'treats', 'treats']
['causes', 'same_as', 'treats', 'coexists_with']
['causes', 'disrupts', 'causes', 'affects']
['affects', 'associated_with', 'inhibits', 'affects']
['affects', 'coexists_with', 'stimulates']
['affects', 'associated_with', 'interacts_with', 'affects']
['affects', 'produces', 'coexists_with', 'affects']
['affects', 'inhibits', 'treats']
['affects', 'compared_with', 'affects', 'associated_with']
['affects', 'same_as', 'interacts_with', 'causes']
['affects', 'location_of', 'compared_with', 'causes']
['affects', 'coexists_with', 'augments', 'occurs_in']
['affects', 'complicates']
['part_of', 'coexists_with', 'treats', 'inhibits']
['part_of', 'coexists_with', 'disrupts', 'occurs_in']
['part_of', 'part_of', 'augments', 'produces']
['part_of', 'disrupts', 'coexists_with']
['part_of', 'disrupts', 'associated_with', 'inhibits']
['part_of', 'coexists_with', 'part_of', 'stimulates']
['part_of', 'same_as', 'associated_with', 'isa']
['part_of', 'coexists_with', 'produces', 'affects']
['part_of', 'stimulates', 'stimulates', 'part_of']
['part_of', 'augments', 'augments', 'part_of']
['complicates', 'inhibits', 'disrupts']
['complicates', 'interacts_with', 'causes', 'associated_with']
['complicates', 'affects', 'location_of', 'disrupts']
['complicates', 'interacts_with', 'coexists_with', 'treats']
['complicates', 'interacts_with', 'stimulates', 'prevents']
['complicates', 'part_of', 'isa', 'affects']
['complicates', 'produces', 'isa', 'prevents']
['complicates', 'interacts_with', 'treats', 'complicates']
['complicates', 'inhibits', 'isa', 'affects']
['complicates', 'isa', 'coexists_with', 'causes']
['compared_with', 'compared_with', 'affects', 'affects']
['compared_with', 'affects', 'associated_with', 'affects']
['compared_with', 'treats', 'associated_with', 'inhibits']
['compared_with', 'stimulates', 'causes', 'coexists_with']
['compared_with', 'isa', 'stimulates', 'part_of']
['compared_with', 'interacts_with', 'associated_with', 'disrupts']
['compared_with', 'affects', 'associated_with', 'produces']
['compared_with', 'part_of', 'produces', 'inhibits']
['compared_with', 'stimulates', 'produces']
['compared_with', 'coexists_with', 'coexists_with', 'interacts_with']
['stimulates', 'disrupts', 'associated_with', 'stimulates']
['stimulates', 'causes', 'causes', 'isa']
['stimulates', 'part_of', 'location_of', 'affects']
['stimulates', 'location_of', 'compared_with', 'inhibits']
['stimulates', 'augments', 'part_of', 'produces']
['stimulates', 'same_as', 'inhibits', 'stimulates']
['stimulates', 'stimulates', 'affects', 'interacts_with']
['stimulates', 'affects', 'same_as', 'coexists_with']
['stimulates', 'isa', 'compared_with', 'coexists_with']
['stimulates', 'interacts_with', 'associated_with', 'same_as']
['interacts_with', 'part_of', 'part_of', 'compared_with']
['interacts_with', 'isa', 'causes', 'inhibits']
['interacts_with', 'coexists_with', 'treats', 'causes']
['interacts_with', 'inhibits', 'coexists_with', 'affects']
['interacts_with', 'coexists_with', 'interacts_with', 'associated_with']
['interacts_with', 'inhibits', 'stimulates', 'coexists_with']
['interacts_with', 'disrupts', 'produces', 'inhibits']
['interacts_with', 'disrupts', 'affects', 'stimulates']
['interacts_with', 'affects', 'location_of', 'interacts_with']
['interacts_with', 'isa', 'interacts_with', 'coexists_with']
['location_of', 'location_of', 'part_of', 'augments']
['location_of', 'compared_with', 'part_of', 'associated_with']
['location_of', 'location_of', 'coexists_with', 'produces']
['location_of', 'location_of', 'part_of', 'location_of']
['location_of', 'location_of', 'causes', 'causes']
['location_of', 'causes', 'affects', 'associated_with']
['location_of', 'stimulates', 'coexists_with', 'associated_with']
['location_of', 'interacts_with', 'produces', 'causes']
['location_of', 'location_of', 'occurs_in', 'affects']
['location_of', 'produces', 'disrupts', 'stimulates']
