['diagnoses', 'prevents', 'diagnoses', 'diagnoses']
['diagnoses', 'complicates', 'occurs_in', 'produces']
['diagnoses', 'location_of', 'interacts_with', 'inhibits']
['diagnoses', 'stimulates', 'causes', 'coexists_with']
['occurs_in', 'compared_with', 'diagnoses', 'inhibits']
['occurs_in', 'causes', 'augments', 'compared_with']
['occurs_in', 'stimulates', 'produces', 'interacts_with']
['occurs_in', 'prevents', 'produces', 'compared_with']
['occurs_in', 'occurs_in', 'disrupts', 'isa']
['occurs_in', 'augments', 'prevents', 'interacts_with']
['occurs_in', 'part_of', 'associated_with', 'compared_with']
['occurs_in', 'isa', 'coexists_with', 'part_of']
['occurs_in', 'inhibits', 'treats', 'complicates']
['occurs_in', 'produces', 'treats', 'interacts_with']
['occurs_in', 'part_of', 'affects', 'inhibits']
['occurs_in', 'location_of', 'disrupts', 'stimulates']
['occurs_in', 'coexists_with', 'interacts_with']
['occurs_in', 'causes', 'occurs_in', 'isa']
['occurs_in', 'augments', 'complicates', 'prevents']
['occurs_in', 'treats', 'prevents', 'coexists_with']
['occurs_in', 'interacts_with', 'compared_with', 'produces']
['occurs_in', 'location_of', 'diagnoses', 'part_of']
['occurs_in', 'produces', 'location_of', 'part_of']
['occurs_in', 'augments', 'occurs_in', 'complicates']
['occurs_in', 'isa', 'compared_with', 'occurs_in']
['occurs_in', 'same_as', 'stimulates', 'coexists_with']
['occurs_in', 'associated_with', 'coexists_with', 'compared_with']
['occurs_in', 'disrupts', 'location_of', 'associated_with']
['occurs_in', 'associated_with', 'compared_with', 'produces']
['occurs_in', 'prevents', 'coexists_with', 'isa']
['occurs_in', 'compared_with', 'augments', 'augments']
['occurs_in', 'disrupts', 'interacts_with', 'associated_with']
['occurs_in', 'part_of', 'part_of', 'stimulates']
['occurs_in', 'treats', 'same_as', 'interacts_with']
['occurs_in', 'causes', 'isa', 'stimulates']
['occurs_in', 'compared_with', 'stimulates', 'treats']
['occurs_in', 'prevents', 'isa', 'coexists_with']
['occurs_in']
['occurs_in', 'coexists_with', 'associated_with', 'location_of']
['occurs_in', 'causes', 'causes', 'produces']
['occurs_in', 'stimulates', 'complicates', 'interacts_with']
['occurs_in', 'location_of', 'associated_with', 'part_of']
['occurs_in', 'occurs_in', 'causes', 'treats']
['occurs_in', 'disrupts', 'associated_with', 'associated_with']
['occurs_in', 'same_as', 'interacts_with', 'augments']
['occurs_in', 'prevents', 'associated_with', 'inhibits']
['occurs_in', 'affects', 'causes', 'prevents']
['occurs_in', 'occurs_in', 'causes', 'occurs_in']
['occurs_in', 'stimulates', 'causes', 'causes']
['occurs_in', 'diagnoses', 'complicates', 'complicates']
['occurs_in', 'interacts_with', 'same_as', 'inhibits']
['occurs_in', 'isa', 'causes', 'produces']
['occurs_in', 'same_as', 'occurs_in', 'causes']
['occurs_in', 'coexists_with', 'complicates', 'stimulates']
['occurs_in', 'diagnoses', 'treats', 'causes']
['occurs_in', 'compared_with', 'produces', 'stimulates']
['occurs_in', 'compared_with', 'treats', 'stimulates']
['occurs_in', 'produces', 'coexists_with', 'stimulates']
['occurs_in', 'interacts_with', 'inhibits', 'same_as']
['occurs_in', 'stimulates', 'augments', 'interacts_with']
['occurs_in', 'diagnoses', 'disrupts', 'isa']
['occurs_in', 'treats', 'disrupts', 'occurs_in']
['occurs_in', 'coexists_with', 'coexists_with', 'stimulates']
['occurs_in', 'causes', 'stimulates', 'same_as']
['occurs_in', 'affects', 'location_of', 'causes']
['occurs_in', 'stimulates', 'stimulates', 'causes']
['occurs_in', 'same_as', 'isa', 'interacts_with']
['occurs_in', 'produces', 'treats', 'coexists_with']
['occurs_in', 'interacts_with', 'stimulates', 'part_of']
['occurs_in', 'causes', 'occurs_in', 'part_of']
['occurs_in', 'prevents', 'augments', 'coexists_with']
['occurs_in', 'compared_with', 'causes', 'part_of']
['occurs_in', 'interacts_with', 'interacts_with', 'prevents']
['occurs_in', 'part_of', 'part_of', 'diagnoses']
['occurs_in', 'occurs_in', 'same_as', 'complicates']
['occurs_in', 'occurs_in', 'causes', 'disrupts']
['occurs_in', 'complicates', 'inhibits', 'isa']
['occurs_in', 'stimulates', 'augments', 'prevents']
['occurs_in', 'prevents', 'augments']
['occurs_in', 'disrupts', 'complicates']
['occurs_in', 'isa', 'isa', 'produces']
['occurs_in', 'isa', 'occurs_in', 'prevents']
['occurs_in', 'causes', 'produces', 'coexists_with']
['occurs_in', 'affects', 'stimulates', 'augments']
['occurs_in', 'produces', 'occurs_in', 'location_of']
['occurs_in', 'affects', 'coexists_with', 'part_of']
['occurs_in', 'augments', 'isa', 'produces']
['occurs_in', 'causes', 'stimulates', 'location_of']
['occurs_in', 'diagnoses', 'stimulates', 'part_of']
['occurs_in', 'augments', 'coexists_with', 'treats']
['occurs_in', 'affects', 'produces', 'prevents']
['occurs_in', 'treats', 'coexists_with', 'augments']
['occurs_in', 'diagnoses', 'stimulates', 'occurs_in']
['occurs_in', 'treats', 'affects', 'causes']
['occurs_in', 'produces', 'occurs_in', 'augments']
['occurs_in', 'stimulates', 'inhibits', 'inhibits']
['occurs_in', 'stimulates', 'associated_with', 'disrupts']
['occurs_in', 'augments', 'produces']
['occurs_in', 'prevents']
['occurs_in', 'stimulates', 'affects', 'causes']
['occurs_in', 'compared_with', 'inhibits', 'same_as']
['occurs_in', 'part_of', 'prevents', 'prevents']
['occurs_in', 'compared_with', 'disrupts', 'causes']
['same_as', 'stimulates', 'inhibits', 'stimulates']
['same_as', 'diagnoses', 'occurs_in', 'stimulates']
['same_as', 'occurs_in', 'inhibits', 'associated_with']
['same_as', 'isa', 'stimulates', 'treats']
['same_as', 'augments', 'produces', 'produces']
['same_as', 'interacts_with', 'compared_with', 'augments']
['same_as']
['same_as', 'prevents', 'part_of', 'augments']
['same_as', 'diagnoses', 'inhibits', 'coexists_with']
['same_as', 'causes', 'interacts_with', 'occurs_in']
['same_as', 'isa', 'prevents', 'occurs_in']
['same_as', 'inhibits', 'prevents', 'augments']
['same_as', 'disrupts', 'coexists_with', 'isa']
['same_as', 'location_of', 'part_of', 'inhibits']
['same_as', 'associated_with', 'occurs_in', 'inhibits']
['same_as', 'inhibits', 'prevents', 'same_as']
['same_as', 'interacts_with', 'prevents', 'augments']
['same_as', 'stimulates', 'augments', 'associated_with']
['same_as', 'treats', 'treats', 'prevents']
['same_as', 'disrupts', 'complicates', 'complicates']
['same_as', 'interacts_with']
['same_as', 'disrupts', 'disrupts', 'prevents']
['same_as', 'diagnoses', 'causes', 'associated_with']
['same_as', 'prevents', 'stimulates', 'occurs_in']
['same_as', 'associated_with', 'stimulates', 'coexists_with']
['same_as', 'part_of', 'interacts_with', 'complicates']
['same_as', 'produces', 'occurs_in', 'part_of']
['same_as', 'location_of']
['same_as', 'compared_with', 'causes', 'interacts_with']
['same_as', 'produces', 'location_of', 'treats']
['same_as', 'causes', 'compared_with', 'treats']
['same_as', 'compared_with', 'isa', 'isa']
['same_as', 'interacts_with', 'interacts_with', 'augments']
['same_as', 'causes', 'coexists_with', 'produces']
['same_as', 'location_of', 'produces', 'diagnoses']
['same_as', 'compared_with', 'causes', 'augments']
['same_as', 'treats', 'disrupts', 'interacts_with']
['same_as', 'causes', 'produces', 'stimulates']
['same_as', 'location_of', 'occurs_in', 'isa']
['same_as', 'isa', 'produces', 'location_of']
['same_as', 'stimulates', 'produces', 'treats']
['same_as', 'prevents', 'treats', 'prevents']
['same_as', 'same_as', 'prevents', 'augments']
['same_as', 'augments', 'interacts_with', 'affects']
['same_as', 'causes', 'isa', 'compared_with']
['same_as', 'location_of', 'interacts_with', 'prevents']
['same_as', 'occurs_in', 'coexists_with', 'stimulates']
['same_as', 'diagnoses', 'augments', 'disrupts']
['same_as', 'prevents', 'affects', 'treats']
['same_as', 'occurs_in', 'same_as', 'same_as']
['same_as', 'stimulates', 'associated_with', 'inhibits']
['same_as', 'interacts_with', 'compared_with', 'inhibits']
['same_as', 'associated_with', 'stimulates', 'affects']
['same_as', 'treats', 'coexists_with', 'disrupts']
['same_as', 'prevents', 'disrupts', 'disrupts']
['same_as', 'complicates', 'part_of', 'isa']
['same_as', 'interacts_with', 'prevents', 'coexists_with']
['same_as', 'augments', 'stimulates', 'part_of']
['same_as', 'occurs_in', 'coexists_with', 'same_as']
['same_as', 'causes', 'interacts_with', 'produces']
['same_as', 'coexists_with', 'prevents', 'causes']
['same_as', 'prevents', 'same_as']
['same_as', 'part_of', 'complicates', 'stimulates']
['same_as', 'causes', 'causes', 'causes']
['same_as', 'coexists_with', 'disrupts', 'isa']
['same_as', 'prevents', 'coexists_with', 'part_of']
['same_as', 'location_of', 'complicates', 'augments']
['same_as', 'coexists_with', 'diagnoses', 'treats']
['same_as', 'augments', 'compared_with', 'coexists_with']
['same_as', 'disrupts', 'interacts_with', 'complicates']
['same_as', 'prevents', 'interacts_with', 'coexists_with']
['same_as', 'interacts_with', 'prevents', 'complicates']
['same_as', 'interacts_with', 'complicates', 'prevents']
['same_as', 'associated_with', 'same_as', 'causes']
['same_as', 'isa', 'augments', 'isa']
['same_as', 'occurs_in', 'part_of', 'prevents']
['same_as', 'produces', 'treats', 'associated_with']
['same_as', 'produces', 'isa', 'interacts_with']
['same_as', 'treats', 'part_of', 'produces']
['same_as', 'occurs_in', 'occurs_in', 'disrupts']
['same_as', 'causes', 'produces', 'affects']
['same_as', 'produces', 'disrupts', 'associated_with']
['same_as', 'occurs_in', 'augments', 'augments']
['same_as', 'stimulates', 'occurs_in', 'associated_with']
['same_as', 'complicates', 'compared_with', 'same_as']
['same_as', 'interacts_with', 'prevents', 'prevents']
['same_as', 'part_of', 'affects', 'disrupts']
['same_as', 'disrupts', 'disrupts', 'compared_with']
['same_as', 'coexists_with', 'occurs_in', 'coexists_with']
['same_as', 'interacts_with', 'coexists_with', 'augments']
['same_as', 'inhibits', 'causes', 'causes']
['same_as', 'stimulates', 'treats', 'prevents']
['same_as', 'stimulates', 'occurs_in', 'disrupts']
['same_as', 'complicates', 'disrupts', 'augments']
['same_as', 'interacts_with', 'produces', 'affects']
['same_as', 'produces', 'disrupts', 'stimulates']
['same_as', 'isa', 'compared_with', 'treats']
['same_as', 'occurs_in', 'stimulates', 'causes']
['complicates', 'causes', 'coexists_with', 'prevents']
['complicates', 'coexists_with', 'treats', 'diagnoses']
['complicates', 'stimulates', 'same_as', 'causes']
['complicates', 'augments', 'prevents']
['complicates', 'disrupts', 'isa', 'part_of']
['complicates', 'interacts_with', 'disrupts', 'treats']
['complicates', 'location_of', 'isa', 'augments']
['complicates', 'augments', 'coexists_with', 'disrupts']
['complicates', 'coexists_with', 'disrupts', 'coexists_with']
['complicates', 'interacts_with', 'isa', 'treats']
['complicates', 'location_of', 'complicates', 'isa']
['complicates', 'occurs_in', 'stimulates', 'interacts_with']
['complicates', 'same_as', 'interacts_with', 'complicates']
['complicates', 'disrupts', 'prevents']
['complicates', 'prevents', 'part_of', 'disrupts']
['complicates', 'disrupts', 'disrupts', 'interacts_with']
['complicates', 'diagnoses', 'stimulates', 'compared_with']
['complicates', 'isa', 'associated_with', 'coexists_with']
['complicates', 'prevents', 'isa', 'inhibits']
['complicates', 'causes', 'coexists_with', 'stimulates']
['complicates', 'occurs_in', 'complicates', 'affects']
['complicates', 'part_of', 'causes', 'coexists_with']
['complicates', 'prevents', 'stimulates', 'coexists_with']
['complicates', 'occurs_in', 'part_of', 'complicates']
['complicates', 'produces', 'location_of', 'coexists_with']
['complicates', 'diagnoses', 'treats', 'interacts_with']
['complicates', 'complicates', 'part_of', 'diagnoses']
['complicates', 'prevents', 'prevents', 'isa']
['complicates', 'diagnoses']
['complicates', 'stimulates', 'compared_with', 'stimulates']
['complicates', 'part_of', 'part_of', 'same_as']
['complicates', 'stimulates', 'stimulates', 'coexists_with']
['complicates', 'location_of', 'isa', 'occurs_in']
['complicates', 'compared_with', 'treats', 'prevents']
['complicates', 'causes', 'occurs_in', 'affects']
['complicates', 'inhibits', 'complicates', 'treats']
['complicates', 'location_of', 'occurs_in', 'augments']
['complicates', 'causes']
['complicates', 'diagnoses', 'compared_with', 'inhibits']
['complicates', 'produces', 'location_of', 'augments']
['complicates', 'isa', 'inhibits', 'stimulates']
['complicates', 'same_as', 'produces', 'same_as']
['complicates', 'associated_with', 'affects', 'inhibits']
['complicates', 'augments', 'causes', 'location_of']
['complicates', 'prevents', 'occurs_in', 'part_of']
['complicates', 'affects', 'disrupts', 'occurs_in']
['complicates', 'same_as', 'associated_with', 'stimulates']
['complicates', 'interacts_with', 'prevents', 'isa']
['complicates', 'causes', 'causes', 'inhibits']
['complicates', 'augments', 'augments', 'compared_with']
['complicates', 'produces', 'augments', 'isa']
['complicates', 'occurs_in', 'disrupts', 'associated_with']
['complicates', 'interacts_with', 'occurs_in', 'produces']
['complicates', 'location_of', 'inhibits', 'stimulates']
['complicates', 'stimulates', 'disrupts', 'prevents']
['complicates', 'compared_with', 'isa', 'causes']
['complicates']
['complicates', 'coexists_with', 'produces', 'disrupts']
['complicates', 'interacts_with', 'prevents', 'disrupts']
['complicates', 'produces', 'occurs_in', 'prevents']
['complicates', 'complicates', 'diagnoses', 'treats']
['complicates', 'affects', 'causes', 'complicates']
['complicates', 'compared_with', 'stimulates', 'augments']
['complicates', 'stimulates', 'part_of', 'causes']
['complicates', 'causes', 'associated_with', 'coexists_with']
['complicates', 'complicates', 'compared_with', 'part_of']
['complicates', 'occurs_in']
['complicates', 'occurs_in', 'complicates', 'complicates']
['complicates', 'treats', 'occurs_in', 'compared_with']
['complicates', 'inhibits', 'stimulates', 'same_as']
['complicates', 'interacts_with', 'location_of', 'isa']
['complicates', 'occurs_in', 'coexists_with', 'occurs_in']
['complicates', 'treats', 'same_as', 'isa']
['complicates', 'location_of', 'diagnoses', 'coexists_with']
['complicates', 'produces', 'affects', 'compared_with']
['complicates', 'isa', 'complicates', 'interacts_with']
['complicates', 'complicates', 'isa', 'interacts_with']
['complicates', 'coexists_with', 'stimulates', 'interacts_with']
['complicates', 'stimulates', 'associated_with', 'disrupts']
['complicates', 'causes', 'interacts_with', 'isa']
['complicates', 'prevents', 'location_of', 'inhibits']
['complicates', 'treats', 'affects', 'occurs_in']
['complicates', 'associated_with', 'produces', 'isa']
['complicates', 'associated_with', 'causes', 'complicates']
['complicates', 'complicates', 'augments', 'occurs_in']
['complicates', 'complicates', 'disrupts', 'diagnoses']
['complicates', 'stimulates', 'produces', 'augments']
['complicates', 'inhibits', 'interacts_with', 'prevents']
['complicates', 'disrupts', 'coexists_with', 'prevents']
['complicates', 'coexists_with', 'location_of', 'produces']
['complicates', 'occurs_in', 'causes', 'interacts_with']
['complicates', 'inhibits', 'coexists_with', 'isa']
['complicates', 'location_of', 'part_of', 'interacts_with']
['complicates', 'stimulates', 'stimulates', 'compared_with']
['complicates', 'location_of', 'complicates', 'inhibits']
['complicates', 'augments', 'location_of', 'disrupts']
['complicates', 'part_of', 'augments', 'interacts_with']
['prevents', 'complicates', 'complicates', 'interacts_with']
['prevents', 'stimulates', 'diagnoses', 'same_as']
['prevents', 'diagnoses', 'inhibits', 'coexists_with']
['prevents', 'occurs_in', 'complicates', 'coexists_with']
['prevents', 'diagnoses', 'affects', 'prevents']
['prevents', 'augments', 'produces', 'causes']
['prevents', 'stimulates', 'occurs_in', 'interacts_with']
['prevents', 'affects', 'occurs_in', 'prevents']
['prevents', 'causes', 'complicates', 'occurs_in']
['prevents', 'affects', 'stimulates', 'treats']
['prevents', 'treats', 'stimulates', 'part_of']
['prevents', 'coexists_with', 'location_of', 'augments']
['prevents', 'complicates', 'diagnoses', 'causes']
['prevents', 'coexists_with', 'prevents', 'produces']
['prevents', 'diagnoses', 'interacts_with', 'disrupts']
['prevents', 'complicates', 'diagnoses', 'associated_with']
['prevents', 'prevents', 'produces', 'coexists_with']
['prevents', 'augments', 'diagnoses', 'isa']
['prevents', 'prevents', 'causes', 'occurs_in']
['prevents', 'causes', 'isa', 'interacts_with']
['prevents', 'occurs_in', 'interacts_with', 'inhibits']
['prevents']
['prevents', 'disrupts']
['prevents', 'location_of', 'complicates', 'causes']
['prevents', 'inhibits', 'stimulates', 'diagnoses']
['prevents', 'compared_with', 'disrupts', 'inhibits']
['prevents', 'part_of', 'part_of', 'augments']
['prevents', 'coexists_with', 'causes', 'inhibits']
['prevents', 'disrupts', 'stimulates', 'coexists_with']
['prevents', 'affects', 'produces', 'disrupts']
['prevents', 'same_as', 'associated_with', 'stimulates']
['prevents', 'stimulates', 'interacts_with', 'disrupts']
['prevents', 'diagnoses', 'causes', 'augments']
['prevents', 'augments', 'diagnoses', 'stimulates']
['prevents', 'diagnoses', 'part_of', 'inhibits']
['prevents', 'stimulates', 'compared_with', 'same_as']
['prevents', 'isa', 'part_of', 'associated_with']
['prevents', 'associated_with', 'complicates', 'interacts_with']
['prevents', 'stimulates', 'location_of', 'associated_with']
['prevents', 'prevents', 'stimulates', 'location_of']
['prevents', 'coexists_with', 'coexists_with', 'complicates']
['prevents', 'stimulates', 'diagnoses', 'produces']
['prevents', 'produces', 'location_of', 'prevents']
['prevents', 'disrupts', 'stimulates', 'part_of']
['prevents', 'affects', 'stimulates', 'disrupts']
['prevents', 'causes', 'treats', 'complicates']
['prevents', 'treats', 'augments', 'location_of']
['prevents', 'interacts_with', 'location_of', 'interacts_with']
['prevents', 'same_as', 'interacts_with', 'treats']
['prevents', 'complicates', 'produces', 'diagnoses']
['prevents', 'part_of', 'isa', 'interacts_with']
['prevents', 'stimulates', 'interacts_with', 'affects']
['prevents', 'interacts_with', 'produces', 'isa']
['prevents', 'produces', 'part_of', 'causes']
['prevents', 'augments', 'treats', 'produces']
['prevents', 'location_of', 'affects', 'interacts_with']
['prevents', 'prevents', 'location_of', 'inhibits']
['prevents', 'interacts_with', 'compared_with', 'occurs_in']
['prevents', 'associated_with', 'produces', 'isa']
['prevents', 'treats']
['prevents', 'interacts_with', 'inhibits', 'part_of']
['prevents', 'produces', 'causes', 'treats']
['prevents', 'same_as', 'same_as', 'stimulates']
['prevents', 'interacts_with', 'causes', 'treats']
['prevents', 'location_of', 'stimulates', 'occurs_in']
['prevents', 'complicates', 'produces', 'disrupts']
['prevents', 'disrupts', 'interacts_with', 'interacts_with']
['prevents', 'treats', 'same_as', 'location_of']
['prevents', 'associated_with', 'disrupts', 'isa']
['prevents', 'interacts_with', 'coexists_with', 'associated_with']
['prevents', 'interacts_with', 'causes', 'same_as']
['prevents', 'produces', 'augments', 'inhibits']
['prevents', 'isa', 'stimulates', 'stimulates']
['prevents', 'stimulates', 'affects']
['prevents', 'occurs_in', 'prevents', 'disrupts']
['prevents', 'produces', 'inhibits', 'location_of']
['prevents', 'stimulates', 'produces', 'disrupts']
['prevents', 'disrupts', 'stimulates', 'disrupts']
['prevents', 'associated_with', 'coexists_with', 'prevents']
['prevents', 'associated_with', 'location_of', 'prevents']
['prevents', 'interacts_with', 'diagnoses', 'part_of']
['prevents', 'part_of', 'produces', 'same_as']
['prevents', 'stimulates', 'complicates', 'stimulates']
['prevents', 'causes', 'stimulates', 'produces']
['prevents', 'affects', 'compared_with', 'stimulates']
['prevents', 'affects', 'produces', 'stimulates']
['prevents', 'prevents', 'isa', 'complicates']
['prevents', 'stimulates', 'associated_with', 'complicates']
['prevents', 'disrupts', 'complicates', 'affects']
['prevents', 'diagnoses', 'complicates', 'disrupts']
['prevents', 'interacts_with', 'occurs_in', 'associated_with']
['prevents', 'stimulates', 'location_of', 'produces']
['prevents', 'treats', 'disrupts', 'disrupts']
['prevents', 'augments', 'associated_with']
['prevents', 'produces', 'complicates', 'causes']
['prevents', 'prevents', 'produces', 'prevents']
['prevents', 'compared_with', 'associated_with', 'interacts_with']
['disrupts', 'produces', 'same_as', 'compared_with']
['disrupts', 'prevents', 'compared_with', 'part_of']
['disrupts', 'stimulates', 'complicates', 'prevents']
['disrupts', 'produces', 'affects', 'augments']
['disrupts', 'complicates', 'location_of', 'associated_with']
['disrupts', 'location_of', 'location_of', 'interacts_with']
['disrupts', 'location_of', 'causes', 'occurs_in']
['disrupts', 'associated_with', 'augments', 'produces']
['disrupts', 'affects', 'complicates', 'disrupts']
['disrupts', 'interacts_with', 'location_of', 'disrupts']
['disrupts', 'part_of', 'causes', 'part_of']
['disrupts', 'produces', 'location_of', 'coexists_with']
['disrupts', 'interacts_with', 'location_of', 'prevents']
['disrupts', 'location_of', 'diagnoses', 'disrupts']
['disrupts', 'part_of', 'inhibits', 'compared_with']
['disrupts', 'produces', 'stimulates', 'associated_with']
['disrupts', 'causes', 'prevents', 'complicates']
['disrupts', 'diagnoses', 'inhibits', 'isa']
['disrupts', 'interacts_with', 'diagnoses', 'coexists_with']
['disrupts', 'disrupts', 'causes', 'interacts_with']
['disrupts', 'stimulates', 'produces', 'produces']
['disrupts', 'causes', 'disrupts', 'coexists_with']
['disrupts', 'produces', 'same_as', 'inhibits']
['disrupts', 'causes', 'produces', 'coexists_with']
['disrupts', 'inhibits', 'isa', 'prevents']
['disrupts', 'occurs_in', 'associated_with', 'diagnoses']
['disrupts', 'produces', 'prevents', 'associated_with']
['disrupts', 'produces', 'associated_with', 'affects']
['disrupts', 'affects', 'associated_with', 'produces']
['disrupts', 'augments', 'augments', 'augments']
['disrupts', 'same_as', 'occurs_in', 'coexists_with']
['disrupts', 'compared_with', 'compared_with', 'associated_with']
['disrupts', 'stimulates', 'location_of', 'causes']
['disrupts', 'inhibits']
['disrupts', 'compared_with', 'stimulates', 'occurs_in']
['disrupts', 'diagnoses', 'interacts_with', 'location_of']
['disrupts', 'disrupts']
['disrupts', 'location_of', 'produces', 'location_of']
['disrupts', 'occurs_in', 'part_of', 'produces']
['disrupts', 'prevents', 'causes', 'coexists_with']
['disrupts', 'inhibits', 'inhibits', 'interacts_with']
['disrupts', 'prevents', 'augments', 'same_as']
['disrupts', 'diagnoses']
['disrupts', 'causes', 'affects', 'coexists_with']
['disrupts', 'inhibits', 'augments', 'coexists_with']
['disrupts', 'occurs_in']
['disrupts', 'disrupts', 'treats', 'treats']
['disrupts', 'disrupts', 'diagnoses', 'compared_with']
['disrupts', 'location_of', 'produces', 'stimulates']
['disrupts', 'produces', 'inhibits', 'inhibits']
['disrupts', 'causes', 'inhibits', 'augments']
['disrupts', 'affects', 'same_as', 'occurs_in']
['disrupts', 'prevents', 'compared_with', 'affects']
['disrupts', 'location_of', 'coexists_with', 'affects']
['disrupts', 'coexists_with', 'causes', 'location_of']
['disrupts', 'produces', 'diagnoses', 'augments']
['disrupts', 'location_of', 'prevents', 'causes']
['disrupts', 'associated_with', 'stimulates', 'causes']
['disrupts', 'location_of', 'treats', 'same_as']
['disrupts', 'causes', 'inhibits', 'coexists_with']
['disrupts', 'compared_with', 'treats', 'occurs_in']
['disrupts', 'augments', 'inhibits', 'prevents']
['disrupts', 'occurs_in', 'causes', 'associated_with']
