['diagnoses', 'associated_with', 'associated_with', 'causes']
['isa', 'associated_with', 'associated_with', 'part_of']
['isa', 'compared_with']
['isa', 'produces', 'location_of', 'isa']
['isa', 'associated_with', 'interacts_with', 'stimulates']
['same_as', 'interacts_with', 'inhibits', 'part_of']
['same_as', 'part_of', 'produces', 'interacts_with']
['same_as', 'part_of', 'part_of', 'part_of']
['same_as', 'coexists_with', 'location_of', 'interacts_with']
['same_as', 'isa', 'associated_with', 'produces']
['same_as', 'disrupts', 'location_of', 'inhibits']
['same_as', 'compared_with', 'augments', 'location_of']
['same_as', 'interacts_with', 'part_of', 'interacts_with']
['same_as', 'affects', 'produces', 'part_of']
['same_as', 'inhibits', 'isa', 'part_of']
['produces', 'compared_with', 'affects', 'affects']
['produces', 'inhibits', 'coexists_with', 'location_of']
['produces', 'produces', 'produces', 'isa']
['produces', 'causes', 'stimulates', 'compared_with']
['produces', 'location_of', 'complicates', 'causes']
['produces', 'part_of', 'location_of', 'produces']
['produces', 'produces', 'part_of', 'affects']
['produces', 'produces', 'stimulates', 'interacts_with']
['produces', 'isa', 'causes', 'inhibits']
['produces', 'produces', 'part_of', 'location_of']
['causes', 'isa', 'treats', 'treats']
['causes', 'treats', 'occurs_in', 'complicates']
['causes', 'augments', 'part_of', 'location_of']
['causes', 'same_as', 'treats', 'coexists_with']
['causes', 'augments', 'produces', 'causes']
['causes', 'same_as', 'associated_with', 'augments']
['causes', 'isa', 'coexists_with', 'causes']
['causes', 'stimulates', 'stimulates', 'disrupts']
['causes', 'interacts_with', 'disrupts', 'isa']
['causes', 'disrupts', 'causes', 'affects']
['affects', 'associated_with', 'complicates', 'affects']
['affects', 'inhibits', 'treats']
['affects', 'coexists_with', 'stimulates']
['affects', 'associated_with', 'interacts_with', 'affects']
['affects', 'compared_with', 'affects', 'associated_with']
['affects', 'complicates']
['affects', 'location_of', 'compared_with', 'causes']
['affects', 'produces', 'coexists_with', 'affects']
['affects', 'coexists_with', 'augments', 'occurs_in']
['affects', 'same_as', 'interacts_with', 'complicates']
['part_of', 'same_as', 'part_of']
['part_of', 'coexists_with', 'disrupts', 'occurs_in']
['part_of', 'coexists_with', 'treats', 'inhibits']
['part_of', 'part_of', 'augments', 'produces']
['part_of', 'coexists_with', 'part_of', 'stimulates']
['part_of', 'disrupts', 'coexists_with']
['part_of', 'disrupts', 'associated_with', 'inhibits']
['part_of', 'coexists_with', 'produces', 'affects']
['part_of', 'stimulates', 'stimulates', 'part_of']
['part_of', 'augments', 'augments', 'part_of']
['complicates', 'affects', 'location_of', 'disrupts']
['complicates', 'produces', 'isa', 'prevents']
['complicates', 'inhibits', 'isa', 'prevents']
['complicates', 'isa', 'coexists_with', 'causes']
['complicates', 'interacts_with', 'causes', 'associated_with']
['complicates', 'interacts_with', 'affects', 'complicates']
['complicates', 'coexists_with', 'stimulates', 'prevents']
['complicates', 'part_of', 'isa', 'affects']
['complicates', 'interacts_with', 'coexists_with']
['complicates', 'inhibits', 'disrupts']
['compared_with', 'interacts_with', 'associated_with', 'disrupts']
['compared_with', 'compared_with', 'affects', 'affects']
['compared_with', 'part_of', 'part_of', 'inhibits']
['compared_with', 'affects', 'associated_with', 'affects']
['compared_with', 'treats', 'associated_with', 'inhibits']
['compared_with', 'complicates', 'affects', 'part_of']
['compared_with', 'coexists_with', 'isa', 'interacts_with']
['compared_with', 'affects', 'associated_with', 'produces']
['compared_with', 'stimulates', 'part_of', 'coexists_with']
['compared_with', 'stimulates', 'produces']
['stimulates', 'affects', 'same_as', 'inhibits']
['stimulates', 'coexists_with', 'inhibits', 'isa']
['stimulates', 'part_of', 'location_of', 'affects']
['stimulates', 'stimulates', 'affects', 'interacts_with']
['stimulates', 'augments', 'part_of', 'produces']
['stimulates', 'same_as', 'inhibits', 'stimulates']
['stimulates', 'disrupts', 'associated_with', 'stimulates']
['stimulates', 'location_of', 'compared_with', 'inhibits']
['stimulates', 'interacts_with', 'location_of', 'inhibits']
['stimulates', 'isa', 'compared_with', 'coexists_with']
['interacts_with', 'part_of', 'part_of', 'compared_with']
['interacts_with', 'disrupts', 'affects', 'stimulates']
['interacts_with', 'inhibits', 'coexists_with', 'affects']
['interacts_with', 'coexists_with', 'treats', 'causes']
['interacts_with', 'isa', 'causes', 'location_of']
['interacts_with', 'coexists_with', 'interacts_with', 'associated_with']
['interacts_with', 'inhibits', 'stimulates', 'inhibits']
['interacts_with', 'disrupts', 'produces', 'interacts_with']
['interacts_with', 'isa', 'interacts_with', 'coexists_with']
['interacts_with', 'affects', 'location_of', 'interacts_with']
['location_of', 'compared_with', 'part_of', 'associated_with']
['location_of', 'location_of', 'same_as', 'causes']
['location_of', 'location_of', 'coexists_with', 'produces']
['location_of', 'location_of', 'same_as', 'augments']
['location_of', 'location_of', 'augments', 'produces']
['location_of', 'stimulates', 'coexists_with', 'associated_with']
['location_of', 'interacts_with', 'produces', 'causes']
['location_of', 'location_of', 'occurs_in']
['location_of', 'produces', 'disrupts', 'stimulates']
['location_of', 'coexists_with', 'stimulates', 'associated_with']
