['diagnoses', 'same_as', 'produces', 'inhibits']
['occurs_in', 'inhibits', 'complicates', 'location_of']
['occurs_in', 'compared_with', 'prevents', 'occurs_in']
['occurs_in', 'diagnoses', 'prevents', 'inhibits']
['occurs_in', 'produces', 'causes', 'disrupts']
['occurs_in', 'treats', 'occurs_in', 'occurs_in']
['occurs_in', 'coexists_with', 'produces', 'part_of']
['occurs_in', 'disrupts', 'affects', 'inhibits']
['occurs_in', 'affects', 'produces', 'part_of']
['occurs_in', 'diagnoses']
['occurs_in', 'prevents', 'occurs_in', 'augments']
['occurs_in', 'affects', 'inhibits', 'isa']
['occurs_in', 'disrupts', 'occurs_in', 'associated_with']
['occurs_in', 'isa', 'inhibits', 'compared_with']
['occurs_in', 'coexists_with', 'disrupts', 'same_as']
['occurs_in', 'diagnoses', 'affects', 'location_of']
['occurs_in', 'interacts_with', 'interacts_with', 'causes']
['occurs_in', 'inhibits', 'augments', 'inhibits']
['occurs_in', 'occurs_in', 'affects', 'produces']
['occurs_in', 'disrupts', 'affects', 'prevents']
['occurs_in', 'complicates', 'complicates', 'compared_with']
['occurs_in', 'same_as', 'prevents', 'inhibits']
['occurs_in', 'disrupts', 'augments', 'produces']
['occurs_in', 'associated_with', 'treats', 'associated_with']
['occurs_in', 'augments', 'isa', 'part_of']
['occurs_in', 'associated_with', 'occurs_in', 'affects']
['occurs_in', 'treats', 'compared_with', 'disrupts']
['occurs_in', 'diagnoses', 'treats']
['occurs_in', 'complicates', 'occurs_in', 'part_of']
['occurs_in', 'produces', 'inhibits', 'produces']
['occurs_in', 'associated_with', 'disrupts', 'augments']
['occurs_in', 'occurs_in', 'inhibits', 'same_as']
['occurs_in', 'isa', 'inhibits']
['occurs_in', 'stimulates', 'stimulates']
['occurs_in', 'complicates', 'compared_with', 'treats']
['occurs_in', 'compared_with', 'stimulates', 'part_of']
['occurs_in', 'part_of', 'prevents', 'disrupts']
['occurs_in', 'stimulates', 'inhibits', 'disrupts']
['occurs_in', 'isa', 'complicates', 'associated_with']
['occurs_in', 'stimulates', 'stimulates', 'interacts_with']
['same_as', 'compared_with', 'isa', 'interacts_with']
['same_as', 'affects', 'compared_with', 'occurs_in']
['same_as', 'compared_with', 'same_as', 'complicates']
['same_as', 'associated_with', 'coexists_with', 'occurs_in']
['same_as', 'coexists_with']
['same_as', 'associated_with', 'same_as', 'coexists_with']
['same_as', 'stimulates', 'coexists_with', 'causes']
['same_as', 'prevents', 'interacts_with', 'same_as']
['same_as', 'augments', 'diagnoses', 'produces']
['same_as', 'causes', 'prevents']
['same_as', 'inhibits', 'prevents', 'same_as']
['same_as', 'augments', 'prevents', 'associated_with']
['same_as', 'occurs_in', 'causes', 'treats']
['same_as', 'part_of', 'location_of', 'isa']
['same_as', 'associated_with', 'prevents', 'stimulates']
['same_as', 'treats', 'disrupts', 'affects']
['same_as', 'part_of', 'produces', 'occurs_in']
['same_as', 'part_of', 'location_of', 'associated_with']
['same_as', 'location_of', 'affects', 'complicates']
['same_as', 'prevents', 'diagnoses', 'isa']
['same_as', 'disrupts', 'isa', 'prevents']
['same_as', 'inhibits', 'produces', 'location_of']
['same_as', 'coexists_with', 'occurs_in', 'disrupts']
['same_as', 'causes', 'compared_with', 'treats']
['same_as', 'associated_with']
['same_as', 'location_of', 'causes', 'part_of']
['same_as', 'inhibits', 'affects', 'diagnoses']
['same_as', 'affects', 'affects', 'associated_with']
['same_as', 'diagnoses', 'compared_with', 'part_of']
['same_as', 'affects', 'location_of', 'complicates']
['same_as', 'same_as', 'coexists_with', 'occurs_in']
['same_as', 'inhibits', 'disrupts', 'diagnoses']
['same_as', 'disrupts', 'treats', 'location_of']
['same_as', 'inhibits', 'inhibits', 'location_of']
['same_as', 'compared_with', 'diagnoses', 'same_as']
['same_as', 'coexists_with', 'treats', 'produces']
['same_as']
['same_as', 'coexists_with', 'prevents', 'affects']
['same_as', 'prevents', 'part_of', 'complicates']
['same_as', 'prevents', 'coexists_with', 'disrupts']
['same_as', 'inhibits', 'prevents', 'location_of']
['same_as', 'coexists_with', 'disrupts', 'inhibits']
['same_as', 'same_as', 'diagnoses', 'causes']
['same_as', 'affects', 'produces', 'causes']
['same_as', 'disrupts', 'isa', 'isa']
['same_as', 'diagnoses', 'causes', 'part_of']
['same_as', 'part_of', 'disrupts', 'same_as']
['same_as', 'occurs_in', 'produces']
['same_as', 'part_of', 'complicates', 'diagnoses']
['same_as', 'disrupts', 'location_of', 'associated_with']
['same_as', 'produces', 'stimulates', 'causes']
['same_as', 'disrupts', 'treats']
['same_as', 'associated_with', 'causes', 'occurs_in']
['same_as', 'interacts_with', 'interacts_with', 'isa']
['same_as', 'coexists_with', 'coexists_with', 'interacts_with']
['same_as', 'complicates', 'prevents', 'stimulates']
['same_as', 'stimulates', 'complicates', 'disrupts']
['same_as', 'coexists_with', 'inhibits', 'coexists_with']
['same_as', 'inhibits', 'isa', 'same_as']
['same_as', 'produces', 'compared_with', 'augments']
['same_as', 'causes', 'augments', 'stimulates']
['same_as', 'isa', 'diagnoses', 'produces']
['same_as', 'part_of', 'prevents', 'produces']
['same_as', 'diagnoses', 'interacts_with', 'stimulates']
['same_as', 'affects', 'complicates', 'stimulates']
['same_as', 'augments', 'disrupts', 'prevents']
['same_as', 'stimulates', 'part_of', 'same_as']
['same_as', 'causes']
['same_as', 'isa', 'inhibits', 'causes']
['same_as', 'augments', 'isa', 'prevents']
['same_as', 'isa', 'treats', 'diagnoses']
['same_as', 'treats', 'disrupts', 'inhibits']
['same_as', 'treats', 'coexists_with', 'stimulates']
['same_as', 'associated_with', 'causes', 'isa']
['same_as', 'prevents', 'inhibits', 'disrupts']
['same_as', 'diagnoses', 'stimulates', 'isa']
['same_as', 'isa', 'coexists_with', 'inhibits']
['same_as', 'diagnoses', 'prevents', 'compared_with']
['same_as', 'occurs_in', 'inhibits', 'disrupts']
['same_as', 'stimulates', 'complicates', 'location_of']
['same_as', 'disrupts', 'stimulates', 'same_as']
['same_as', 'augments', 'coexists_with', 'augments']
['same_as', 'stimulates', 'stimulates', 'location_of']
['same_as', 'isa', 'causes', 'augments']
['same_as', 'disrupts', 'occurs_in', 'coexists_with']
['same_as', 'inhibits', 'stimulates', 'inhibits']
['same_as', 'inhibits', 'inhibits', 'occurs_in']
['same_as', 'produces', 'compared_with', 'associated_with']
['same_as', 'affects', 'stimulates', 'location_of']
['same_as', 'compared_with', 'interacts_with', 'associated_with']
['complicates', 'same_as', 'causes', 'disrupts']
['complicates', 'produces', 'prevents', 'coexists_with']
['complicates', 'produces', 'causes', 'augments']
['complicates', 'occurs_in', 'complicates', 'stimulates']
['complicates', 'causes', 'disrupts', 'augments']
['complicates', 'augments', 'compared_with', 'inhibits']
['complicates', 'location_of', 'same_as', 'produces']
['complicates', 'location_of', 'produces', 'occurs_in']
['complicates', 'interacts_with', 'isa', 'produces']
['complicates', 'same_as', 'causes', 'same_as']
['complicates', 'coexists_with', 'interacts_with', 'augments']
['complicates', 'inhibits', 'inhibits', 'stimulates']
['complicates', 'treats', 'diagnoses', 'complicates']
['complicates', 'inhibits', 'compared_with']
['complicates']
['complicates', 'location_of', 'affects', 'compared_with']
['complicates', 'coexists_with', 'stimulates', 'associated_with']
['complicates', 'diagnoses', 'causes', 'inhibits']
['complicates', 'location_of', 'disrupts', 'same_as']
['complicates', 'location_of', 'disrupts', 'treats']
['complicates', 'occurs_in', 'inhibits', 'associated_with']
['complicates', 'prevents', 'associated_with', 'diagnoses']
['complicates', 'diagnoses', 'compared_with', 'interacts_with']
['complicates', 'diagnoses', 'interacts_with', 'disrupts']
['complicates', 'interacts_with', 'inhibits', 'occurs_in']
['complicates', 'treats', 'treats', 'stimulates']
['complicates', 'disrupts', 'disrupts', 'diagnoses']
['complicates', 'produces', 'complicates', 'associated_with']
['complicates', 'coexists_with', 'prevents', 'associated_with']
['complicates', 'occurs_in', 'stimulates', 'compared_with']
['complicates', 'prevents']
['complicates', 'part_of', 'augments', 'prevents']
['complicates', 'occurs_in', 'affects', 'isa']
['complicates', 'coexists_with', 'compared_with', 'produces']
['complicates', 'location_of', 'affects']
['complicates', 'affects', 'coexists_with', 'disrupts']
['complicates', 'compared_with', 'affects', 'causes']
['complicates', 'diagnoses', 'part_of', 'produces']
['complicates', 'location_of', 'diagnoses', 'produces']
['complicates', 'same_as', 'coexists_with', 'diagnoses']
['complicates', 'prevents', 'treats', 'isa']
['complicates', 'occurs_in', 'associated_with', 'affects']
['complicates', 'associated_with', 'isa', 'occurs_in']
['complicates', 'isa', 'disrupts', 'isa']
['complicates', 'same_as', 'affects']
['complicates', 'compared_with', 'augments', 'coexists_with']
['complicates', 'disrupts', 'occurs_in', 'location_of']
['complicates', 'stimulates', 'coexists_with', 'coexists_with']
['complicates', 'isa', 'coexists_with', 'associated_with']
['complicates', 'occurs_in', 'stimulates', 'coexists_with']
['complicates', 'compared_with', 'associated_with', 'location_of']
['complicates', 'prevents', 'location_of', 'disrupts']
['complicates', 'stimulates', 'location_of', 'isa']
['complicates', 'same_as', 'interacts_with', 'part_of']
['complicates', 'isa', 'occurs_in', 'part_of']
['complicates', 'coexists_with', 'stimulates', 'same_as']
['complicates', 'affects', 'occurs_in', 'coexists_with']
['complicates', 'stimulates', 'coexists_with', 'interacts_with']
['complicates', 'location_of', 'location_of', 'same_as']
['complicates', 'isa', 'complicates', 'complicates']
['complicates', 'interacts_with', 'stimulates', 'stimulates']
['complicates', 'part_of', 'causes', 'treats']
['complicates', 'treats', 'complicates', 'compared_with']
['complicates', 'inhibits', 'affects', 'same_as']
['complicates', 'same_as', 'complicates', 'prevents']
['complicates', 'coexists_with', 'compared_with', 'isa']
['complicates', 'same_as', 'complicates', 'interacts_with']
['complicates', 'coexists_with', 'augments', 'augments']
['complicates', 'affects']
['complicates', 'isa', 'produces', 'affects']
['complicates', 'associated_with', 'compared_with', 'diagnoses']
['complicates', 'isa', 'occurs_in', 'location_of']
['complicates', 'complicates', 'augments', 'produces']
['complicates', 'stimulates', 'augments', 'diagnoses']
['complicates', 'diagnoses', 'isa', 'disrupts']
['complicates', 'coexists_with', 'complicates', 'treats']
['complicates', 'occurs_in', 'occurs_in', 'same_as']
['complicates', 'causes', 'location_of', 'augments']
['complicates', 'occurs_in', 'diagnoses', 'interacts_with']
['complicates', 'part_of', 'location_of', 'prevents']
['complicates', 'causes', 'associated_with', 'treats']
['complicates', 'disrupts', 'prevents', 'diagnoses']
['complicates', 'stimulates', 'prevents', 'stimulates']
['complicates', 'occurs_in', 'diagnoses', 'causes']
['complicates', 'interacts_with', 'prevents', 'associated_with']
['complicates', 'treats', 'disrupts', 'affects']
['complicates', 'prevents', 'coexists_with', 'affects']
['complicates', 'part_of', 'disrupts', 'affects']
['complicates', 'occurs_in', 'part_of', 'diagnoses']
['complicates', 'causes', 'occurs_in', 'complicates']
['complicates', 'compared_with', 'occurs_in', 'augments']
['complicates', 'interacts_with', 'complicates', 'causes']
['complicates', 'location_of', 'interacts_with', 'compared_with']
['complicates', 'inhibits', 'inhibits', 'interacts_with']
['complicates', 'prevents', 'compared_with', 'isa']
['complicates', 'interacts_with', 'produces', 'prevents']
['prevents', 'affects', 'compared_with', 'occurs_in']
['prevents', 'stimulates', 'treats', 'same_as']
['prevents', 'stimulates']
['prevents', 'diagnoses', 'isa', 'associated_with']
['prevents', 'stimulates', 'inhibits', 'diagnoses']
['prevents', 'complicates', 'prevents', 'coexists_with']
['prevents', 'stimulates', 'location_of', 'affects']
['prevents', 'affects', 'same_as', 'produces']
['prevents', 'stimulates', 'complicates', 'affects']
['prevents', 'augments', 'affects', 'treats']
['prevents', 'coexists_with', 'causes', 'affects']
['prevents', 'compared_with', 'diagnoses', 'disrupts']
['prevents', 'interacts_with', 'location_of', 'produces']
['prevents', 'disrupts', 'inhibits', 'affects']
['prevents', 'augments']
['prevents', 'location_of', 'complicates', 'associated_with']
['prevents', 'prevents', 'disrupts']
['prevents', 'location_of', 'occurs_in', 'part_of']
['prevents', 'diagnoses', 'compared_with', 'inhibits']
['prevents', 'augments', 'compared_with', 'treats']
['prevents', 'augments', 'location_of', 'prevents']
['prevents', 'coexists_with', 'location_of', 'compared_with']
['prevents', 'inhibits', 'disrupts', 'same_as']
['prevents', 'produces', 'location_of', 'coexists_with']
['prevents', 'inhibits', 'same_as', 'treats']
['prevents', 'augments', 'associated_with', 'inhibits']
['prevents', 'complicates', 'inhibits', 'complicates']
['prevents']
['prevents', 'part_of', 'complicates', 'augments']
['prevents', 'coexists_with']
['prevents', 'part_of', 'coexists_with', 'coexists_with']
['prevents', 'prevents', 'augments', 'produces']
['prevents', 'produces', 'occurs_in', 'isa']
['prevents', 'augments', 'diagnoses', 'disrupts']
['prevents', 'location_of', 'affects', 'compared_with']
['prevents', 'causes', 'diagnoses', 'affects']
['prevents', 'location_of', 'treats', 'associated_with']
['prevents', 'same_as', 'causes', 'compared_with']
['prevents', 'augments', 'treats', 'disrupts']
['prevents', 'prevents', 'isa', 'prevents']
['prevents', 'interacts_with', 'interacts_with', 'compared_with']
['prevents', 'disrupts', 'affects', 'isa']
['prevents', 'stimulates', 'coexists_with', 'disrupts']
['prevents', 'interacts_with', 'diagnoses', 'treats']
['prevents', 'isa', 'part_of', 'occurs_in']
['prevents', 'associated_with']
['prevents', 'augments', 'prevents', 'inhibits']
['prevents', 'augments', 'affects', 'occurs_in']
['prevents', 'isa', 'diagnoses', 'coexists_with']
['prevents', 'compared_with', 'compared_with', 'associated_with']
['prevents', 'occurs_in']
['prevents', 'complicates', 'part_of', 'produces']
['prevents', 'stimulates', 'same_as', 'compared_with']
['prevents', 'disrupts', 'compared_with', 'isa']
['prevents', 'same_as', 'treats', 'affects']
['prevents', 'coexists_with', 'location_of', 'diagnoses']
['prevents', 'causes', 'stimulates', 'affects']
['prevents', 'coexists_with', 'inhibits', 'stimulates']
['prevents', 'complicates', 'prevents', 'isa']
['prevents', 'part_of', 'inhibits', 'produces']
['prevents', 'part_of', 'coexists_with', 'complicates']
['prevents', 'inhibits', 'stimulates', 'treats']
['prevents', 'stimulates', 'same_as', 'same_as']
['prevents', 'prevents', 'produces', 'inhibits']
['prevents', 'coexists_with', 'produces', 'inhibits']
['prevents', 'disrupts', 'prevents', 'same_as']
['prevents', 'interacts_with', 'coexists_with', 'inhibits']
['prevents', 'stimulates', 'stimulates', 'same_as']
['prevents', 'produces']
['prevents', 'complicates', 'diagnoses', 'isa']
['prevents', 'prevents', 'isa', 'same_as']
['prevents', 'stimulates', 'causes', 'isa']
['prevents', 'associated_with', 'compared_with', 'augments']
['prevents', 'stimulates', 'augments', 'isa']
['prevents', 'augments', 'causes', 'complicates']
['prevents', 'compared_with', 'inhibits']
['prevents', 'causes', 'causes', 'occurs_in']
['prevents', 'disrupts', 'produces', 'occurs_in']
['prevents', 'complicates', 'same_as', 'occurs_in']
['prevents', 'inhibits', 'compared_with', 'inhibits']
['prevents', 'complicates', 'prevents', 'augments']
['prevents', 'produces', 'complicates', 'affects']
['prevents', 'disrupts', 'same_as', 'treats']
['prevents', 'occurs_in', 'inhibits', 'treats']
['prevents', 'complicates', 'isa', 'part_of']
['prevents', 'occurs_in', 'augments']
['prevents', 'part_of', 'compared_with', 'location_of']
['prevents', 'disrupts', 'compared_with', 'coexists_with']
['prevents', 'augments', 'location_of', 'part_of']
['prevents', 'causes', 'interacts_with', 'interacts_with']
['prevents', 'prevents', 'interacts_with', 'produces']
['prevents', 'affects', 'complicates', 'stimulates']
['prevents', 'coexists_with', 'affects', 'treats']
['prevents', 'disrupts', 'associated_with', 'prevents']
['prevents', 'same_as', 'stimulates', 'interacts_with']
['prevents', 'isa', 'stimulates', 'same_as']
['prevents', 'inhibits', 'diagnoses']
['prevents', 'treats', 'occurs_in', 'produces']
['disrupts', 'produces', 'disrupts', 'interacts_with']
['disrupts', 'diagnoses', 'isa', 'stimulates']
['disrupts', 'treats', 'same_as', 'produces']
['disrupts', 'same_as', 'isa', 'same_as']
['disrupts', 'inhibits', 'complicates', 'produces']
['disrupts', 'associated_with', 'prevents', 'occurs_in']
['disrupts', 'isa', 'associated_with', 'disrupts']
['disrupts', 'location_of', 'inhibits', 'location_of']
['disrupts', 'affects', 'produces', 'prevents']
['disrupts', 'isa', 'disrupts', 'causes']
['disrupts', 'inhibits', 'diagnoses', 'coexists_with']
['disrupts', 'compared_with', 'treats']
['disrupts', 'associated_with', 'diagnoses', 'produces']
['disrupts', 'compared_with', 'coexists_with', 'disrupts']
['disrupts', 'associated_with', 'compared_with', 'complicates']
['disrupts', 'treats']
['disrupts', 'diagnoses', 'causes', 'same_as']
['disrupts', 'coexists_with', 'diagnoses', 'disrupts']
['disrupts', 'affects', 'compared_with', 'associated_with']
['disrupts', 'produces', 'complicates', 'occurs_in']
['disrupts', 'causes', 'coexists_with', 'prevents']
['disrupts', 'isa', 'part_of', 'stimulates']
['disrupts', 'interacts_with', 'affects', 'affects']
['disrupts', 'complicates', 'interacts_with', 'diagnoses']
['disrupts', 'affects', 'isa', 'part_of']
['disrupts', 'treats', 'occurs_in', 'same_as']
['disrupts', 'isa', 'diagnoses', 'complicates']
['disrupts', 'affects', 'complicates', 'occurs_in']
['disrupts', 'part_of', 'part_of']
['disrupts', 'occurs_in', 'complicates', 'causes']
['disrupts', 'coexists_with', 'prevents', 'prevents']
['disrupts', 'affects', 'complicates', 'coexists_with']
['disrupts', 'isa', 'complicates', 'diagnoses']
['disrupts', 'location_of', 'coexists_with', 'complicates']
['disrupts', 'causes', 'inhibits', 'augments']
['disrupts', 'treats', 'stimulates', 'location_of']
['disrupts', 'causes', 'inhibits', 'location_of']
['disrupts', 'complicates', 'same_as', 'prevents']
['disrupts', 'prevents', 'treats', 'causes']
['disrupts', 'affects', 'prevents', 'augments']
['disrupts', 'prevents']
['disrupts', 'isa']
['disrupts', 'part_of', 'occurs_in', 'treats']
['disrupts', 'coexists_with', 'prevents', 'coexists_with']
['disrupts', 'same_as', 'disrupts', 'associated_with']
['disrupts', 'location_of', 'part_of', 'location_of']
['disrupts', 'stimulates', 'occurs_in']
['disrupts', 'treats', 'coexists_with', 'causes']
['disrupts', 'disrupts', 'inhibits', 'disrupts']
['disrupts', 'occurs_in', 'augments', 'complicates']
['disrupts', 'same_as', 'occurs_in', 'location_of']
['disrupts', 'treats', 'interacts_with', 'stimulates']
['disrupts', 'coexists_with', 'same_as', 'prevents']
['disrupts', 'occurs_in', 'treats', 'coexists_with']
['disrupts', 'location_of', 'isa', 'coexists_with']
['disrupts', 'part_of', 'disrupts', 'occurs_in']
['disrupts', 'affects', 'diagnoses', 'location_of']
['disrupts', 'disrupts']
['disrupts', 'causes', 'interacts_with', 'isa']
['disrupts', 'disrupts', 'location_of', 'stimulates']
['disrupts', 'affects', 'same_as', 'affects']
['disrupts', 'location_of', 'interacts_with', 'affects']
['disrupts', 'augments', 'affects', 'affects']
['disrupts', 'prevents', 'causes', 'prevents']
['disrupts', 'interacts_with']
['disrupts', 'inhibits', 'prevents', 'produces']
['disrupts', 'part_of', 'compared_with', 'diagnoses']
['disrupts', 'stimulates', 'coexists_with', 'isa']
['disrupts', 'produces']
['disrupts', 'diagnoses', 'disrupts']
['disrupts', 'same_as', 'causes', 'stimulates']
['disrupts', 'same_as', 'affects', 'prevents']
['disrupts', 'coexists_with', 'stimulates']
['disrupts', 'stimulates', 'produces', 'disrupts']
['disrupts']
['disrupts', 'diagnoses', 'coexists_with', 'complicates']
['disrupts', 'compared_with', 'location_of', 'affects']
['disrupts', 'occurs_in']
['disrupts', 'stimulates', 'causes', 'produces']
['disrupts', 'coexists_with', 'isa']
['disrupts', 'compared_with', 'location_of', 'complicates']
['disrupts', 'diagnoses', 'compared_with', 'causes']
['disrupts', 'prevents', 'interacts_with', 'causes']
['disrupts', 'interacts_with', 'causes', 'compared_with']
