['diagnoses', 'complicates', 'location_of', 'occurs_in']
['diagnoses', 'produces', 'occurs_in', 'treats']
['diagnoses', 'occurs_in', 'prevents', 'isa']
['diagnoses', 'disrupts', 'produces', 'diagnoses']
['diagnoses', 'produces', 'prevents', 'augments']
['diagnoses', 'coexists_with', 'occurs_in', 'augments']
['diagnoses', 'causes', 'causes', 'produces']
['diagnoses', 'affects', 'prevents', 'affects']
['diagnoses', 'stimulates', 'augments', 'isa']
['diagnoses', 'isa', 'interacts_with', 'occurs_in']
['diagnoses', 'affects', 'associated_with', 'isa']
['diagnoses', 'stimulates', 'stimulates', 'coexists_with']
['diagnoses', 'part_of', 'complicates', 'stimulates']
['diagnoses', 'disrupts', 'produces', 'produces']
['diagnoses', 'part_of', 'interacts_with', 'augments']
['diagnoses', 'occurs_in', 'associated_with', 'part_of']
['diagnoses', 'stimulates', 'stimulates', 'prevents']
['diagnoses', 'occurs_in', 'augments', 'stimulates']
['diagnoses', 'same_as', 'produces', 'augments']
['diagnoses', 'augments', 'coexists_with', 'location_of']
['diagnoses', 'diagnoses', 'location_of', 'isa']
['diagnoses', 'part_of', 'disrupts', 'complicates']
['diagnoses', 'prevents', 'isa', 'compared_with']
['diagnoses', 'location_of', 'causes', 'location_of']
['diagnoses', 'stimulates', 'isa', 'complicates']
['diagnoses', 'complicates', 'produces', 'inhibits']
['diagnoses', 'location_of', 'treats', 'disrupts']
['diagnoses', 'affects', 'stimulates', 'same_as']
['diagnoses', 'coexists_with', 'interacts_with', 'occurs_in']
['diagnoses', 'compared_with', 'occurs_in', 'stimulates']
['diagnoses', 'same_as', 'associated_with', 'treats']
['diagnoses', 'disrupts', 'augments', 'affects']
['diagnoses', 'prevents', 'associated_with', 'augments']
['diagnoses', 'treats', 'augments', 'prevents']
['diagnoses', 'location_of', 'treats', 'interacts_with']
['diagnoses', 'augments', 'prevents', 'diagnoses']
['diagnoses', 'treats', 'causes', 'prevents']
['diagnoses', 'causes', 'prevents', 'inhibits']
['diagnoses', 'stimulates', 'treats', 'affects']
['diagnoses', 'occurs_in']
['diagnoses', 'occurs_in', 'compared_with', 'augments']
['diagnoses', 'causes', 'occurs_in', 'compared_with']
['diagnoses', 'disrupts', 'disrupts', 'compared_with']
['diagnoses', 'affects', 'location_of', 'produces']
['diagnoses', 'same_as', 'augments', 'augments']
['diagnoses', 'prevents', 'disrupts', 'diagnoses']
['diagnoses', 'produces', 'location_of', 'produces']
['diagnoses', 'inhibits', 'produces', 'disrupts']
['diagnoses', 'inhibits']
['diagnoses', 'complicates', 'affects', 'causes']
['diagnoses', 'location_of', 'treats', 'part_of']
['diagnoses', 'diagnoses', 'disrupts', 'disrupts']
['diagnoses', 'same_as', 'inhibits', 'interacts_with']
['diagnoses', 'complicates', 'treats', 'complicates']
['diagnoses', 'treats', 'compared_with', 'location_of']
['diagnoses', 'compared_with', 'prevents', 'coexists_with']
['diagnoses', 'location_of', 'augments', 'produces']
['diagnoses', 'diagnoses', 'prevents', 'causes']
['diagnoses', 'inhibits', 'occurs_in', 'prevents']
['occurs_in', 'same_as', 'compared_with', 'produces']
['occurs_in', 'interacts_with', 'compared_with', 'causes']
['occurs_in', 'causes', 'affects', 'treats']
['occurs_in', 'produces', 'treats', 'compared_with']
['occurs_in', 'complicates', 'associated_with', 'part_of']
['occurs_in', 'same_as', 'affects', 'augments']
['occurs_in', 'same_as', 'interacts_with', 'disrupts']
['occurs_in', 'diagnoses', 'diagnoses', 'disrupts']
['occurs_in', 'disrupts', 'diagnoses', 'augments']
['occurs_in', 'occurs_in', 'prevents', 'affects']
['occurs_in', 'treats', 'prevents', 'occurs_in']
['occurs_in', 'part_of', 'coexists_with', 'isa']
['occurs_in', 'prevents', 'stimulates', 'prevents']
['occurs_in', 'prevents', 'interacts_with', 'disrupts']
['occurs_in', 'inhibits', 'disrupts', 'location_of']
['occurs_in', 'coexists_with', 'coexists_with', 'produces']
['occurs_in', 'coexists_with', 'complicates', 'location_of']
['occurs_in', 'prevents', 'diagnoses', 'part_of']
['occurs_in', 'diagnoses', 'diagnoses', 'location_of']
['occurs_in', 'coexists_with', 'prevents', 'location_of']
['occurs_in', 'coexists_with', 'coexists_with', 'augments']
['occurs_in', 'stimulates', 'occurs_in', 'affects']
['occurs_in', 'part_of', 'part_of', 'compared_with']
['occurs_in', 'disrupts', 'complicates', 'part_of']
['occurs_in']
['occurs_in', 'augments', 'interacts_with', 'associated_with']
['occurs_in', 'treats', 'prevents', 'augments']
['occurs_in', 'inhibits', 'causes', 'disrupts']
['occurs_in', 'prevents', 'prevents', 'complicates']
['occurs_in', 'occurs_in', 'complicates', 'isa']
['occurs_in', 'isa', 'stimulates', 'location_of']
['occurs_in', 'affects', 'isa', 'treats']
['occurs_in', 'associated_with', 'produces']
['occurs_in', 'prevents', 'interacts_with', 'compared_with']
['occurs_in', 'occurs_in', 'causes', 'produces']
['occurs_in', 'causes', 'location_of', 'treats']
['occurs_in', 'produces', 'stimulates', 'compared_with']
['occurs_in', 'complicates', 'augments', 'coexists_with']
['occurs_in', 'augments', 'prevents', 'part_of']
['occurs_in', 'disrupts', 'stimulates', 'prevents']
['occurs_in', 'stimulates', 'compared_with', 'location_of']
['occurs_in', 'compared_with', 'stimulates', 'coexists_with']
['occurs_in', 'occurs_in', 'treats', 'prevents']
['occurs_in', 'complicates', 'augments', 'part_of']
['occurs_in', 'coexists_with', 'produces', 'occurs_in']
['occurs_in', 'isa', 'inhibits', 'interacts_with']
['occurs_in', 'causes', 'treats', 'diagnoses']
['occurs_in', 'part_of', 'disrupts', 'disrupts']
['occurs_in', 'causes']
['occurs_in', 'affects', 'diagnoses', 'causes']
['occurs_in', 'disrupts', 'location_of', 'stimulates']
['occurs_in', 'interacts_with', 'stimulates', 'prevents']
['occurs_in', 'occurs_in', 'part_of', 'produces']
['occurs_in', 'stimulates', 'coexists_with', 'stimulates']
['occurs_in', 'coexists_with']
['occurs_in', 'stimulates', 'compared_with']
['occurs_in', 'prevents', 'part_of', 'compared_with']
['occurs_in', 'coexists_with', 'causes', 'same_as']
['occurs_in', 'produces', 'stimulates', 'affects']
['occurs_in', 'location_of', 'isa']
['occurs_in', 'interacts_with', 'coexists_with', 'disrupts']
['occurs_in', 'occurs_in', 'same_as', 'causes']
['occurs_in', 'coexists_with', 'occurs_in', 'associated_with']
['occurs_in', 'stimulates', 'coexists_with', 'augments']
['occurs_in', 'augments', 'occurs_in', 'prevents']
['occurs_in', 'associated_with', 'diagnoses', 'prevents']
['occurs_in', 'affects', 'stimulates', 'affects']
['occurs_in', 'interacts_with', 'treats', 'prevents']
['occurs_in', 'affects', 'occurs_in', 'causes']
['occurs_in', 'diagnoses', 'treats', 'occurs_in']
['occurs_in', 'compared_with', 'complicates', 'inhibits']
['occurs_in', 'complicates', 'inhibits', 'interacts_with']
['occurs_in', 'associated_with', 'treats', 'isa']
['occurs_in', 'part_of', 'occurs_in', 'diagnoses']
['occurs_in', 'occurs_in', 'associated_with', 'compared_with']
['occurs_in', 'isa', 'augments']
['occurs_in', 'isa', 'part_of', 'affects']
['occurs_in', 'location_of', 'same_as', 'associated_with']
['occurs_in', 'causes', 'associated_with', 'interacts_with']
['occurs_in', 'location_of', 'compared_with', 'diagnoses']
['occurs_in', 'augments', 'produces', 'associated_with']
['occurs_in', 'part_of', 'causes', 'coexists_with']
['occurs_in', 'diagnoses', 'location_of', 'coexists_with']
['occurs_in', 'occurs_in', 'augments', 'produces']
['occurs_in', 'inhibits', 'associated_with', 'complicates']
['occurs_in', 'inhibits']
['occurs_in', 'produces', 'prevents', 'produces']
['occurs_in', 'treats', 'prevents', 'disrupts']
['occurs_in', 'interacts_with', 'causes', 'inhibits']
['occurs_in', 'isa', 'produces', 'interacts_with']
['occurs_in', 'prevents', 'prevents', 'stimulates']
['occurs_in', 'associated_with', 'coexists_with', 'coexists_with']
['occurs_in', 'causes', 'interacts_with', 'prevents']
['occurs_in', 'affects', 'affects', 'part_of']
['occurs_in', 'augments', 'same_as', 'occurs_in']
['occurs_in', 'compared_with', 'causes', 'compared_with']
['occurs_in', 'part_of', 'diagnoses', 'causes']
['occurs_in', 'causes', 'disrupts', 'produces']
['occurs_in', 'diagnoses', 'diagnoses', 'causes']
['occurs_in', 'interacts_with', 'coexists_with', 'diagnoses']
['same_as', 'diagnoses', 'disrupts', 'augments']
['same_as', 'causes', 'stimulates', 'complicates']
['same_as', 'inhibits', 'part_of', 'disrupts']
['same_as', 'prevents', 'location_of']
['same_as', 'causes', 'prevents', 'location_of']
['same_as', 'complicates', 'stimulates', 'diagnoses']
['same_as', 'part_of', 'causes', 'augments']
['same_as', 'treats', 'same_as', 'compared_with']
['same_as', 'disrupts', 'complicates', 'isa']
['same_as', 'interacts_with', 'disrupts', 'occurs_in']
['same_as', 'prevents', 'coexists_with', 'part_of']
['same_as', 'prevents', 'part_of', 'affects']
['same_as', 'location_of', 'associated_with', 'stimulates']
['same_as', 'inhibits', 'same_as', 'causes']
['same_as', 'causes', 'interacts_with', 'complicates']
['same_as', 'stimulates', 'part_of', 'interacts_with']
['same_as', 'augments', 'causes', 'disrupts']
['same_as', 'same_as', 'isa', 'coexists_with']
['same_as', 'stimulates', 'complicates', 'prevents']
['same_as', 'prevents', 'diagnoses', 'occurs_in']
['same_as', 'augments', 'same_as', 'augments']
['same_as', 'part_of', 'same_as', 'produces']
['same_as', 'same_as', 'part_of', 'isa']
['same_as', 'causes', 'location_of', 'prevents']
['same_as', 'stimulates', 'associated_with', 'prevents']
['same_as', 'prevents', 'occurs_in', 'complicates']
['same_as', 'interacts_with', 'produces', 'interacts_with']
['same_as', 'augments', 'part_of', 'complicates']
['same_as', 'compared_with', 'augments', 'augments']
['same_as', 'prevents', 'prevents', 'location_of']
['same_as', 'augments', 'disrupts', 'coexists_with']
['same_as', 'prevents', 'part_of', 'occurs_in']
['same_as', 'coexists_with', 'location_of', 'interacts_with']
['same_as', 'compared_with']
['same_as', 'occurs_in', 'affects', 'augments']
['same_as', 'inhibits', 'treats', 'disrupts']
['same_as', 'inhibits', 'part_of', 'augments']
['same_as', 'complicates', 'coexists_with', 'stimulates']
['same_as', 'causes', 'complicates', 'associated_with']
['same_as', 'stimulates', 'treats', 'prevents']
['same_as', 'causes', 'coexists_with', 'associated_with']
['same_as', 'affects', 'complicates']
['same_as', 'augments', 'complicates', 'treats']
['same_as', 'disrupts', 'occurs_in', 'interacts_with']
['same_as', 'prevents', 'affects', 'produces']
['same_as', 'treats', 'stimulates', 'occurs_in']
['same_as', 'produces', 'prevents', 'coexists_with']
['same_as', 'occurs_in', 'affects', 'location_of']
['same_as', 'complicates', 'augments', 'produces']
['same_as', 'disrupts', 'compared_with', 'inhibits']
['same_as', 'prevents', 'isa', 'affects']
['same_as', 'isa', 'prevents', 'diagnoses']
['same_as', 'part_of', 'same_as', 'augments']
['same_as', 'affects', 'augments', 'produces']
['same_as', 'complicates']
['same_as', 'coexists_with', 'associated_with', 'occurs_in']
['same_as', 'coexists_with', 'complicates', 'produces']
['same_as', 'occurs_in', 'causes', 'diagnoses']
['same_as', 'inhibits', 'prevents']
['same_as', 'interacts_with', 'part_of', 'occurs_in']
['same_as', 'coexists_with', 'causes', 'produces']
['same_as', 'coexists_with', 'complicates', 'interacts_with']
['same_as', 'affects', 'stimulates', 'treats']
['same_as', 'prevents', 'augments', 'same_as']
['same_as', 'produces', 'treats', 'treats']
['same_as', 'treats', 'complicates', 'associated_with']
['same_as', 'diagnoses', 'produces', 'occurs_in']
['same_as', 'treats', 'isa', 'occurs_in']
['same_as']
['same_as', 'complicates', 'stimulates', 'complicates']
['same_as', 'prevents', 'produces', 'stimulates']
['same_as', 'augments', 'disrupts', 'occurs_in']
['same_as', 'causes', 'stimulates', 'occurs_in']
['same_as', 'associated_with', 'part_of', 'inhibits']
['same_as', 'augments', 'causes', 'compared_with']
['same_as', 'coexists_with', 'associated_with', 'location_of']
['same_as', 'location_of', 'interacts_with', 'interacts_with']
['same_as', 'coexists_with', 'diagnoses', 'causes']
['same_as', 'treats', 'augments', 'same_as']
['same_as', 'coexists_with', 'affects', 'prevents']
['same_as', 'isa', 'same_as', 'augments']
['same_as', 'occurs_in', 'disrupts', 'associated_with']
['same_as', 'causes', 'causes', 'augments']
['same_as', 'causes', 'diagnoses', 'augments']
['same_as', 'complicates', 'part_of', 'associated_with']
['same_as', 'prevents', 'coexists_with']
['same_as', 'disrupts', 'diagnoses', 'interacts_with']
['same_as', 'coexists_with', 'prevents', 'part_of']
['same_as', 'disrupts', 'isa', 'disrupts']
['same_as', 'inhibits', 'treats', 'prevents']
['same_as', 'compared_with', 'associated_with', 'treats']
['same_as', 'isa', 'produces', 'isa']
['same_as', 'causes', 'stimulates', 'augments']
['same_as', 'causes', 'part_of', 'produces']
['same_as', 'causes', 'occurs_in', 'treats']
['same_as', 'location_of', 'disrupts', 'diagnoses']
['complicates', 'same_as', 'inhibits', 'augments']
['complicates', 'isa', 'associated_with', 'prevents']
['complicates', 'affects', 'complicates', 'treats']
['complicates', 'augments', 'affects', 'stimulates']
['complicates', 'augments', 'associated_with', 'interacts_with']
['complicates', 'interacts_with', 'same_as', 'isa']
['complicates', 'affects', 'part_of', 'affects']
['complicates', 'interacts_with', 'prevents', 'occurs_in']
['complicates', 'coexists_with', 'stimulates', 'part_of']
['complicates', 'isa', 'disrupts', 'part_of']
['complicates', 'same_as', 'stimulates', 'treats']
['complicates', 'causes', 'causes', 'augments']
['complicates', 'affects', 'causes', 'complicates']
['complicates', 'occurs_in', 'disrupts', 'inhibits']
['complicates', 'interacts_with', 'inhibits', 'stimulates']
['complicates', 'produces', 'complicates', 'interacts_with']
['complicates', 'interacts_with', 'diagnoses', 'stimulates']
['complicates', 'disrupts', 'location_of', 'treats']
['complicates', 'inhibits', 'prevents', 'disrupts']
['complicates', 'occurs_in', 'part_of', 'augments']
['complicates', 'augments', 'augments', 'coexists_with']
['complicates', 'produces', 'interacts_with', 'coexists_with']
['complicates', 'occurs_in', 'occurs_in', 'associated_with']
['complicates', 'causes', 'interacts_with', 'disrupts']
['complicates', 'compared_with', 'treats', 'augments']
['complicates', 'treats', 'location_of']
['complicates', 'affects', 'produces']
['complicates', 'augments', 'augments', 'part_of']
['complicates', 'complicates', 'interacts_with', 'complicates']
['complicates', 'compared_with', 'affects', 'stimulates']
['complicates', 'treats']
['complicates', 'occurs_in', 'causes', 'coexists_with']
['complicates', 'part_of', 'affects', 'produces']
['complicates', 'produces', 'causes', 'associated_with']
['complicates', 'augments', 'treats', 'affects']
['complicates', 'augments', 'diagnoses', 'compared_with']
['complicates', 'associated_with', 'compared_with', 'occurs_in']
['complicates', 'interacts_with', 'produces', 'compared_with']
['complicates', 'associated_with', 'inhibits', 'diagnoses']
['complicates', 'disrupts', 'coexists_with', 'diagnoses']
['complicates', 'affects', 'affects', 'diagnoses']
['complicates', 'affects', 'occurs_in', 'prevents']
['complicates', 'complicates', 'produces', 'associated_with']
['complicates', 'causes']
['complicates', 'compared_with', 'causes', 'causes']
['complicates', 'coexists_with', 'occurs_in', 'treats']
['complicates', 'affects', 'prevents', 'causes']
['complicates', 'associated_with', 'part_of', 'prevents']
['complicates', 'causes', 'occurs_in', 'interacts_with']
['complicates', 'same_as', 'interacts_with', 'augments']
['complicates', 'disrupts', 'occurs_in', 'disrupts']
['complicates', 'occurs_in', 'interacts_with', 'prevents']
['complicates', 'stimulates']
['complicates', 'isa', 'affects', 'coexists_with']
['complicates']
['complicates', 'augments', 'disrupts', 'compared_with']
['complicates', 'diagnoses', 'part_of', 'treats']
['complicates', 'location_of', 'prevents', 'isa']
['complicates', 'augments', 'prevents', 'produces']
['complicates', 'causes', 'part_of', 'diagnoses']
['complicates', 'prevents', 'stimulates', 'augments']
['complicates', 'diagnoses', 'produces', 'causes']
['complicates', 'treats', 'affects', 'affects']
['complicates', 'associated_with', 'stimulates', 'prevents']
['complicates', 'produces', 'isa', 'isa']
['complicates', 'disrupts', 'same_as', 'complicates']
['complicates', 'occurs_in']
['complicates', 'compared_with', 'interacts_with', 'compared_with']
['complicates', 'prevents', 'interacts_with', 'stimulates']
['complicates', 'part_of', 'produces', 'affects']
['complicates', 'occurs_in', 'prevents', 'augments']
['complicates', 'augments', 'associated_with', 'part_of']
['complicates', 'prevents', 'disrupts', 'occurs_in']
['complicates', 'causes', 'affects', 'augments']
['complicates', 'prevents', 'stimulates', 'treats']
['complicates', 'causes', 'prevents', 'location_of']
['complicates', 'produces', 'disrupts', 'occurs_in']
['complicates', 'occurs_in', 'same_as', 'produces']
['complicates', 'location_of', 'diagnoses', 'compared_with']
['complicates', 'complicates', 'isa', 'same_as']
['complicates', 'same_as', 'prevents', 'diagnoses']
['complicates', 'compared_with', 'same_as', 'isa']
['complicates', 'associated_with', 'complicates', 'prevents']
['complicates', 'complicates', 'associated_with', 'disrupts']
['complicates', 'same_as']
['complicates', 'causes', 'complicates', 'augments']
['complicates', 'produces']
['complicates', 'complicates', 'same_as', 'treats']
['complicates', 'inhibits', 'interacts_with', 'compared_with']
['complicates', 'causes', 'associated_with', 'produces']
['complicates', 'interacts_with', 'treats', 'location_of']
['complicates', 'produces', 'isa', 'occurs_in']
['complicates', 'part_of', 'stimulates', 'coexists_with']
['complicates', 'compared_with', 'compared_with', 'augments']
['complicates', 'stimulates', 'augments', 'diagnoses']
['complicates', 'isa', 'disrupts', 'produces']
['complicates', 'interacts_with', 'treats', 'affects']
['complicates', 'produces', 'augments', 'prevents']
['prevents', 'produces', 'prevents', 'causes']
['prevents', 'disrupts', 'disrupts', 'diagnoses']
['prevents', 'complicates', 'inhibits', 'coexists_with']
['prevents', 'treats', 'disrupts', 'same_as']
['prevents', 'prevents', 'causes', 'coexists_with']
['prevents', 'complicates', 'stimulates', 'interacts_with']
['prevents', 'disrupts', 'augments', 'disrupts']
['prevents', 'augments', 'prevents', 'coexists_with']
['prevents', 'produces', 'part_of', 'same_as']
['prevents', 'compared_with', 'prevents', 'diagnoses']
['prevents', 'part_of', 'augments', 'complicates']
['prevents', 'stimulates', 'inhibits', 'interacts_with']
['prevents', 'isa', 'causes', 'prevents']
['prevents', 'treats', 'prevents', 'associated_with']
['prevents', 'complicates', 'affects', 'prevents']
['prevents', 'augments']
['prevents', 'prevents', 'part_of', 'occurs_in']
['prevents', 'location_of', 'coexists_with', 'occurs_in']
['prevents', 'treats', 'coexists_with', 'augments']
['prevents', 'treats', 'occurs_in', 'affects']
['prevents', 'treats', 'inhibits', 'same_as']
['prevents', 'same_as', 'part_of', 'stimulates']
['prevents', 'coexists_with', 'treats', 'causes']
['prevents', 'compared_with', 'location_of', 'interacts_with']
['prevents', 'part_of', 'causes', 'treats']
['prevents', 'diagnoses', 'interacts_with', 'causes']
['prevents', 'complicates', 'interacts_with', 'part_of']
['prevents', 'prevents', 'occurs_in', 'complicates']
['prevents', 'isa', 'location_of', 'occurs_in']
['prevents', 'treats', 'isa', 'isa']
['prevents', 'treats', 'produces', 'treats']
['prevents', 'part_of', 'prevents', 'produces']
['prevents', 'causes', 'prevents', 'augments']
['prevents', 'produces', 'interacts_with']
['prevents', 'prevents', 'diagnoses', 'causes']
['prevents']
['prevents', 'stimulates', 'prevents', 'same_as']
['prevents', 'stimulates', 'compared_with', 'produces']
['prevents', 'stimulates', 'part_of', 'disrupts']
['prevents', 'diagnoses', 'part_of', 'prevents']
['prevents', 'treats', 'causes', 'treats']
['prevents', 'prevents', 'location_of', 'diagnoses']
['prevents', 'disrupts', 'coexists_with', 'isa']
['prevents', 'complicates', 'prevents', 'prevents']
['prevents', 'prevents', 'occurs_in', 'interacts_with']
['prevents', 'isa', 'isa', 'inhibits']
['prevents', 'inhibits', 'stimulates', 'complicates']
['prevents', 'occurs_in', 'occurs_in', 'coexists_with']
['prevents', 'compared_with', 'same_as', 'occurs_in']
['prevents', 'compared_with', 'diagnoses', 'produces']
['prevents', 'produces', 'location_of', 'produces']
['prevents', 'coexists_with', 'affects', 'affects']
['prevents', 'complicates', 'produces', 'diagnoses']
['prevents', 'stimulates', 'produces', 'affects']
['prevents', 'prevents', 'inhibits', 'occurs_in']
['prevents', 'associated_with', 'part_of', 'complicates']
['prevents', 'part_of', 'produces', 'interacts_with']
['prevents', 'causes', 'diagnoses', 'treats']
['prevents', 'diagnoses', 'same_as', 'associated_with']
['prevents', 'complicates', 'affects', 'affects']
['prevents', 'compared_with', 'produces', 'location_of']
['prevents', 'disrupts', 'stimulates', 'same_as']
['prevents', 'augments', 'associated_with', 'causes']
['prevents', 'treats', 'associated_with', 'treats']
['prevents', 'complicates', 'stimulates', 'disrupts']
['prevents', 'occurs_in', 'same_as', 'causes']
['prevents', 'inhibits', 'location_of', 'location_of']
['prevents', 'coexists_with', 'location_of', 'complicates']
['prevents', 'stimulates', 'occurs_in', 'affects']
['prevents', 'prevents', 'interacts_with', 'part_of']
['prevents', 'treats', 'disrupts', 'prevents']
['prevents', 'associated_with', 'isa', 'prevents']
['prevents', 'location_of', 'associated_with', 'complicates']
['prevents', 'prevents', 'prevents', 'causes']
['prevents', 'interacts_with', 'disrupts', 'isa']
['prevents', 'causes', 'stimulates', 'coexists_with']
['prevents', 'causes', 'occurs_in', 'coexists_with']
['prevents', 'associated_with', 'augments', 'treats']
['prevents', 'same_as', 'same_as', 'affects']
['prevents', 'disrupts']
['prevents', 'occurs_in', 'associated_with', 'same_as']
['prevents', 'part_of', 'location_of', 'stimulates']
['prevents', 'prevents', 'same_as', 'diagnoses']
['prevents', 'compared_with', 'augments', 'augments']
['prevents', 'interacts_with', 'produces', 'same_as']
['prevents', 'compared_with', 'prevents', 'same_as']
['prevents', 'prevents']
['prevents', 'interacts_with']
['prevents', 'inhibits', 'diagnoses', 'same_as']
['prevents', 'complicates', 'produces', 'prevents']
['prevents', 'complicates', 'same_as', 'compared_with']
['prevents', 'isa', 'affects', 'stimulates']
['prevents', 'affects', 'location_of', 'isa']
['prevents', 'disrupts', 'occurs_in', 'location_of']
['prevents', 'disrupts', 'interacts_with', 'part_of']
['prevents', 'occurs_in', 'compared_with', 'prevents']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'diagnoses', 'affects', 'treats']
['disrupts', 'causes', 'produces']
['disrupts', 'occurs_in', 'complicates', 'affects']
['disrupts', 'location_of', 'prevents', 'prevents']
['disrupts', 'stimulates', 'complicates', 'prevents']
['disrupts', 'prevents', 'compared_with', 'diagnoses']
['disrupts', 'compared_with', 'associated_with', 'associated_with']
['disrupts', 'inhibits', 'inhibits']
['disrupts', 'prevents', 'interacts_with', 'stimulates']
['disrupts', 'produces', 'affects', 'complicates']
['disrupts', 'stimulates', 'coexists_with', 'produces']
['disrupts', 'location_of', 'associated_with', 'coexists_with']
['disrupts', 'inhibits', 'part_of', 'associated_with']
['disrupts', 'prevents', 'coexists_with', 'same_as']
['disrupts', 'diagnoses', 'part_of', 'prevents']
['disrupts', 'diagnoses', 'part_of', 'compared_with']
['disrupts', 'augments', 'diagnoses', 'causes']
['disrupts', 'occurs_in', 'diagnoses', 'treats']
['disrupts', 'location_of']
['disrupts', 'location_of', 'occurs_in', 'isa']
['disrupts', 'inhibits', 'same_as', 'affects']
['disrupts', 'coexists_with', 'isa', 'part_of']
['disrupts', 'coexists_with', 'causes', 'complicates']
['disrupts', 'isa', 'augments', 'diagnoses']
['disrupts', 'complicates', 'affects', 'disrupts']
['disrupts', 'affects', 'treats', 'causes']
['disrupts', 'stimulates', 'disrupts']
['disrupts', 'diagnoses', 'stimulates', 'part_of']
['disrupts', 'coexists_with', 'associated_with', 'produces']
['disrupts', 'disrupts', 'associated_with', 'produces']
['disrupts', 'interacts_with', 'compared_with', 'augments']
['disrupts', 'causes', 'isa']
['disrupts', 'associated_with', 'location_of', 'augments']
['disrupts', 'prevents', 'stimulates', 'isa']
['disrupts', 'same_as', 'treats', 'disrupts']
['disrupts', 'prevents', 'diagnoses', 'occurs_in']
['disrupts', 'associated_with', 'diagnoses', 'location_of']
['disrupts', 'prevents', 'complicates', 'coexists_with']
['disrupts', 'treats', 'interacts_with', 'prevents']
['disrupts', 'produces', 'stimulates', 'complicates']
['disrupts', 'affects', 'occurs_in', 'compared_with']
['disrupts', 'prevents', 'coexists_with', 'augments']
['disrupts', 'causes', 'isa', 'treats']
['disrupts', 'compared_with', 'complicates', 'isa']
['disrupts', 'causes', 'isa', 'isa']
['disrupts', 'diagnoses', 'compared_with', 'diagnoses']
['disrupts', 'interacts_with', 'part_of', 'augments']
['disrupts']
['disrupts', 'causes', 'affects', 'interacts_with']
['disrupts', 'location_of', 'prevents', 'treats']
['disrupts', 'treats', 'occurs_in', 'prevents']
['disrupts', 'treats', 'associated_with', 'complicates']
['disrupts', 'causes', 'complicates', 'occurs_in']
['disrupts', 'coexists_with', 'prevents', 'interacts_with']
['disrupts', 'prevents', 'part_of', 'diagnoses']
['disrupts', 'interacts_with', 'interacts_with', 'occurs_in']
['disrupts', 'treats', 'causes', 'interacts_with']
['disrupts', 'augments', 'treats', 'inhibits']
['disrupts', 'occurs_in', 'produces', 'inhibits']
['disrupts', 'affects', 'treats', 'part_of']
['disrupts', 'prevents', 'occurs_in', 'coexists_with']
['disrupts', 'part_of', 'affects', 'same_as']
['disrupts', 'disrupts', 'produces', 'causes']
['disrupts', 'complicates', 'stimulates', 'occurs_in']
['disrupts', 'stimulates']
['disrupts', 'affects', 'associated_with', 'complicates']
['disrupts', 'prevents', 'associated_with', 'causes']
['disrupts', 'inhibits', 'augments']
['disrupts', 'part_of', 'disrupts', 'interacts_with']
['disrupts', 'isa', 'augments', 'disrupts']
['disrupts', 'diagnoses', 'prevents', 'associated_with']
['disrupts', 'produces', 'associated_with', 'treats']
