['diagnoses', 'inhibits', 'associated_with', 'complicates']
['diagnoses', 'coexists_with', 'same_as', 'treats']
['diagnoses', 'inhibits', 'treats', 'produces']
['diagnoses', 'same_as', 'augments', 'disrupts']
['diagnoses', 'inhibits', 'stimulates', 'same_as']
['diagnoses', 'location_of', 'complicates', 'isa']
['diagnoses', 'isa', 'compared_with', 'disrupts']
['diagnoses', 'isa', 'part_of', 'complicates']
['diagnoses', 'prevents', 'interacts_with', 'isa']
['diagnoses', 'interacts_with', 'occurs_in', 'diagnoses']
['diagnoses', 'occurs_in', 'disrupts', 'complicates']
['diagnoses', 'stimulates', 'complicates', 'produces']
['occurs_in', 'complicates', 'isa', 'interacts_with']
['occurs_in', 'same_as', 'disrupts', 'associated_with']
['occurs_in', 'location_of', 'inhibits', 'part_of']
['occurs_in', 'compared_with', 'coexists_with', 'isa']
['occurs_in', 'coexists_with', 'treats', 'inhibits']
['occurs_in', 'isa', 'diagnoses', 'coexists_with']
['occurs_in', 'associated_with', 'associated_with', 'complicates']
['occurs_in', 'same_as', 'occurs_in', 'disrupts']
['occurs_in', 'treats', 'occurs_in', 'occurs_in']
['occurs_in', 'disrupts', 'part_of', 'diagnoses']
['occurs_in', 'associated_with', 'complicates', 'diagnoses']
['occurs_in', 'interacts_with', 'isa', 'part_of']
['occurs_in', 'affects', 'treats', 'complicates']
['occurs_in', 'part_of', 'disrupts', 'location_of']
['occurs_in', 'occurs_in', 'affects', 'produces']
['occurs_in', 'same_as', 'compared_with', 'treats']
['occurs_in', 'complicates', 'diagnoses', 'disrupts']
['occurs_in', 'affects', 'treats', 'coexists_with']
['occurs_in', 'interacts_with', 'isa', 'stimulates']
['occurs_in', 'coexists_with', 'same_as', 'same_as']
['occurs_in', 'compared_with', 'diagnoses', 'compared_with']
['occurs_in', 'same_as', 'stimulates', 'stimulates']
['occurs_in', 'compared_with', 'location_of', 'affects']
['occurs_in', 'occurs_in', 'part_of', 'disrupts']
['occurs_in', 'coexists_with', 'compared_with', 'coexists_with']
['occurs_in', 'coexists_with', 'same_as']
['occurs_in', 'compared_with', 'interacts_with', 'augments']
['occurs_in', 'interacts_with', 'produces']
['occurs_in', 'inhibits', 'disrupts', 'prevents']
['occurs_in', 'affects', 'diagnoses', 'affects']
['occurs_in', 'interacts_with', 'treats', 'produces']
['occurs_in', 'disrupts', 'compared_with', 'interacts_with']
['occurs_in', 'location_of', 'part_of', 'coexists_with']
['occurs_in', 'occurs_in', 'prevents']
['occurs_in', 'same_as', 'same_as', 'affects']
['occurs_in', 'causes', 'stimulates', 'interacts_with']
['occurs_in', 'occurs_in', 'isa', 'coexists_with']
['occurs_in', 'causes', 'part_of', 'occurs_in']
['occurs_in', 'stimulates', 'location_of', 'occurs_in']
['occurs_in', 'isa', 'coexists_with', 'prevents']
['occurs_in', 'diagnoses', 'location_of', 'compared_with']
['occurs_in', 'augments', 'interacts_with', 'treats']
['occurs_in', 'stimulates', 'treats']
['occurs_in', 'part_of', 'prevents', 'occurs_in']
['occurs_in', 'complicates', 'disrupts', 'prevents']
['occurs_in', 'prevents', 'compared_with', 'diagnoses']
['occurs_in', 'produces', 'part_of', 'associated_with']
['occurs_in', 'inhibits', 'inhibits', 'part_of']
['occurs_in', 'augments']
['occurs_in', 'isa', 'stimulates', 'stimulates']
['occurs_in', 'coexists_with', 'same_as', 'diagnoses']
['occurs_in', 'same_as', 'coexists_with', 'stimulates']
['occurs_in', 'affects', 'diagnoses', 'causes']
['occurs_in', 'location_of', 'treats', 'causes']
['occurs_in', 'compared_with', 'disrupts', 'occurs_in']
['occurs_in', 'interacts_with', 'associated_with', 'same_as']
['occurs_in', 'disrupts']
['occurs_in', 'associated_with', 'same_as']
['occurs_in', 'disrupts', 'inhibits', 'treats']
['occurs_in', 'inhibits', 'inhibits', 'augments']
['occurs_in', 'causes', 'compared_with', 'disrupts']
['occurs_in', 'part_of', 'coexists_with', 'produces']
['occurs_in', 'produces', 'augments', 'affects']
['occurs_in', 'inhibits', 'disrupts', 'location_of']
['occurs_in', 'prevents', 'coexists_with', 'associated_with']
['occurs_in', 'isa', 'disrupts', 'associated_with']
['occurs_in', 'interacts_with', 'stimulates', 'interacts_with']
['occurs_in']
['occurs_in', 'part_of', 'inhibits', 'affects']
['occurs_in', 'produces', 'isa', 'augments']
['occurs_in', 'part_of', 'augments', 'diagnoses']
['occurs_in', 'complicates', 'interacts_with', 'inhibits']
['occurs_in', 'treats', 'compared_with', 'produces']
['occurs_in', 'prevents']
['occurs_in', 'stimulates', 'location_of', 'coexists_with']
['occurs_in', 'produces', 'augments', 'compared_with']
['occurs_in', 'augments', 'affects', 'interacts_with']
['occurs_in', 'occurs_in', 'coexists_with', 'disrupts']
['occurs_in', 'coexists_with', 'stimulates', 'coexists_with']
['occurs_in', 'disrupts', 'inhibits', 'disrupts']
['occurs_in', 'prevents', 'disrupts', 'causes']
['occurs_in', 'prevents', 'inhibits', 'stimulates']
['occurs_in', 'diagnoses', 'diagnoses', 'associated_with']
['occurs_in', 'stimulates', 'part_of', 'stimulates']
['occurs_in', 'location_of', 'augments']
['occurs_in', 'occurs_in', 'part_of', 'stimulates']
['occurs_in', 'location_of', 'produces', 'affects']
['occurs_in', 'coexists_with', 'associated_with', 'causes']
['occurs_in', 'interacts_with', 'compared_with', 'part_of']
['occurs_in', 'augments', 'stimulates', 'coexists_with']
['occurs_in', 'prevents', 'part_of', 'compared_with']
['occurs_in', 'same_as', 'augments', 'causes']
['occurs_in', 'inhibits', 'causes', 'isa']
['occurs_in', 'compared_with', 'treats', 'complicates']
['occurs_in', 'causes', 'location_of', 'isa']
['occurs_in', 'augments', 'complicates', 'interacts_with']
['occurs_in', 'coexists_with', 'prevents', 'prevents']
['same_as', 'interacts_with', 'associated_with', 'prevents']
['same_as', 'associated_with']
['same_as', 'associated_with', 'complicates', 'augments']
['same_as', 'diagnoses', 'same_as', 'isa']
['same_as', 'affects', 'same_as', 'interacts_with']
['same_as', 'treats', 'interacts_with', 'complicates']
['same_as', 'affects', 'causes', 'compared_with']
['same_as', 'stimulates', 'diagnoses', 'interacts_with']
['same_as', 'diagnoses', 'location_of', 'inhibits']
['same_as', 'compared_with', 'causes', 'part_of']
['same_as', 'part_of', 'diagnoses', 'part_of']
['same_as', 'same_as', 'affects', 'isa']
['same_as', 'same_as', 'prevents', 'isa']
['same_as', 'diagnoses', 'stimulates', 'disrupts']
['same_as', 'same_as', 'location_of', 'diagnoses']
['same_as', 'complicates', 'complicates', 'location_of']
['same_as', 'prevents', 'same_as', 'stimulates']
['same_as', 'diagnoses', 'prevents', 'disrupts']
['same_as', 'location_of', 'occurs_in', 'affects']
['same_as', 'occurs_in', 'causes', 'occurs_in']
['same_as', 'isa', 'same_as', 'compared_with']
['same_as', 'affects', 'prevents', 'treats']
['same_as', 'disrupts', 'isa', 'stimulates']
['same_as', 'inhibits', 'prevents', 'inhibits']
['same_as', 'causes', 'location_of', 'prevents']
['same_as', 'isa', 'inhibits', 'causes']
['same_as', 'disrupts', 'compared_with', 'interacts_with']
['same_as', 'isa', 'prevents', 'inhibits']
['same_as', 'part_of', 'augments', 'interacts_with']
['same_as', 'diagnoses', 'interacts_with', 'complicates']
['same_as', 'affects', 'same_as', 'stimulates']
['same_as', 'affects', 'prevents', 'occurs_in']
['same_as', 'isa', 'treats', 'same_as']
['same_as', 'augments', 'same_as', 'augments']
['same_as']
['same_as', 'same_as', 'inhibits', 'affects']
['same_as', 'associated_with', 'part_of', 'isa']
['same_as', 'augments', 'same_as', 'causes']
['same_as', 'complicates', 'diagnoses', 'inhibits']
['same_as', 'prevents', 'prevents', 'part_of']
['same_as', 'disrupts', 'occurs_in', 'causes']
['same_as', 'augments', 'treats', 'complicates']
['same_as', 'same_as', 'inhibits', 'disrupts']
['same_as', 'associated_with', 'associated_with', 'coexists_with']
['same_as', 'treats', 'prevents', 'interacts_with']
['same_as', 'diagnoses', 'coexists_with', 'treats']
['same_as', 'associated_with', 'produces', 'compared_with']
['same_as', 'complicates', 'prevents', 'occurs_in']
['same_as', 'diagnoses', 'augments', 'disrupts']
['same_as', 'produces', 'inhibits', 'diagnoses']
['same_as', 'causes', 'disrupts', 'interacts_with']
['same_as', 'associated_with', 'part_of', 'diagnoses']
['same_as', 'occurs_in', 'causes', 'coexists_with']
['same_as', 'prevents', 'disrupts', 'inhibits']
['same_as', 'augments', 'location_of', 'coexists_with']
['same_as', 'location_of', 'prevents', 'inhibits']
['same_as', 'causes', 'augments', 'complicates']
['same_as', 'augments', 'location_of', 'compared_with']
['same_as', 'isa', 'compared_with', 'compared_with']
['same_as', 'augments', 'stimulates', 'disrupts']
['same_as', 'stimulates', 'causes', 'compared_with']
['same_as', 'location_of', 'coexists_with', 'treats']
['same_as', 'stimulates', 'affects', 'interacts_with']
['same_as', 'compared_with', 'interacts_with', 'interacts_with']
['same_as', 'produces', 'complicates', 'produces']
['same_as', 'compared_with', 'same_as', 'inhibits']
['same_as', 'stimulates']
['same_as', 'prevents', 'inhibits', 'location_of']
['same_as', 'isa', 'location_of', 'treats']
['same_as', 'compared_with', 'treats', 'complicates']
['same_as', 'causes', 'causes', 'affects']
['same_as', 'causes', 'isa', 'stimulates']
['same_as', 'occurs_in', 'affects', 'causes']
['same_as', 'location_of']
['same_as', 'same_as', 'disrupts', 'same_as']
['same_as', 'causes', 'treats', 'prevents']
['same_as', 'coexists_with', 'occurs_in', 'inhibits']
['same_as', 'occurs_in', 'stimulates', 'inhibits']
['same_as', 'inhibits', 'prevents', 'prevents']
['same_as', 'produces', 'complicates', 'interacts_with']
['same_as', 'produces', 'part_of', 'stimulates']
['same_as', 'complicates', 'interacts_with', 'inhibits']
['same_as', 'inhibits', 'disrupts', 'part_of']
['same_as', 'causes', 'complicates', 'isa']
['same_as', 'disrupts', 'treats', 'complicates']
['same_as', 'coexists_with', 'location_of', 'same_as']
['same_as', 'treats', 'diagnoses', 'part_of']
['same_as', 'coexists_with', 'diagnoses', 'compared_with']
['same_as', 'causes', 'complicates', 'coexists_with']
['same_as', 'coexists_with', 'disrupts']
['same_as', 'inhibits', 'isa', 'stimulates']
['same_as', 'interacts_with', 'same_as', 'interacts_with']
['same_as', 'affects', 'interacts_with', 'coexists_with']
['same_as', 'same_as', 'augments', 'isa']
['same_as', 'part_of', 'coexists_with', 'interacts_with']
['same_as', 'produces', 'produces', 'stimulates']
['same_as', 'stimulates', 'diagnoses', 'affects']
['same_as', 'produces', 'part_of', 'coexists_with']
['same_as', 'augments', 'part_of', 'diagnoses']
['complicates', 'interacts_with', 'stimulates', 'complicates']
['complicates', 'coexists_with', 'affects', 'compared_with']
['complicates', 'location_of', 'diagnoses', 'affects']
['complicates', 'prevents', 'part_of', 'stimulates']
['complicates', 'causes', 'part_of', 'causes']
['complicates', 'associated_with', 'disrupts', 'inhibits']
['complicates', 'stimulates', 'affects', 'location_of']
['complicates', 'location_of', 'diagnoses', 'part_of']
['complicates', 'disrupts', 'treats', 'augments']
['complicates', 'disrupts', 'isa']
['complicates', 'same_as', 'prevents', 'disrupts']
['complicates', 'inhibits', 'associated_with', 'produces']
['complicates', 'treats', 'interacts_with']
['complicates', 'prevents', 'occurs_in', 'isa']
['complicates', 'complicates', 'causes', 'compared_with']
['complicates', 'associated_with']
['complicates', 'compared_with', 'treats', 'location_of']
['complicates', 'same_as', 'inhibits', 'produces']
['complicates', 'associated_with', 'prevents', 'coexists_with']
['complicates', 'isa', 'causes', 'disrupts']
['complicates', 'occurs_in', 'interacts_with', 'associated_with']
['complicates', 'complicates', 'part_of', 'coexists_with']
['complicates', 'treats', 'disrupts', 'treats']
['complicates', 'isa', 'augments', 'occurs_in']
['complicates', 'compared_with', 'affects', 'inhibits']
['complicates', 'associated_with', 'augments', 'treats']
['complicates', 'prevents', 'part_of', 'treats']
['complicates', 'complicates', 'same_as', 'disrupts']
['complicates', 'inhibits', 'coexists_with', 'disrupts']
['complicates', 'compared_with', 'associated_with', 'interacts_with']
['complicates', 'inhibits', 'inhibits', 'occurs_in']
['complicates', 'part_of', 'prevents', 'coexists_with']
['complicates', 'stimulates', 'same_as', 'associated_with']
['complicates', 'occurs_in', 'produces', 'causes']
['complicates', 'complicates', 'occurs_in', 'inhibits']
['complicates', 'stimulates', 'occurs_in', 'augments']
['complicates', 'augments', 'interacts_with', 'complicates']
['complicates', 'prevents']
['complicates', 'compared_with', 'causes', 'disrupts']
['complicates', 'same_as', 'causes', 'interacts_with']
['complicates', 'same_as', 'part_of', 'coexists_with']
['complicates', 'associated_with', 'diagnoses', 'produces']
['complicates', 'disrupts', 'occurs_in', 'prevents']
['complicates', 'part_of', 'causes', 'prevents']
['complicates', 'affects', 'stimulates', 'location_of']
['complicates', 'occurs_in', 'produces', 'stimulates']
['complicates', 'affects', 'associated_with', 'disrupts']
['complicates', 'diagnoses', 'diagnoses', 'diagnoses']
['complicates', 'location_of', 'causes', 'occurs_in']
['complicates', 'treats', 'produces', 'isa']
['complicates', 'interacts_with', 'augments', 'same_as']
['complicates', 'occurs_in', 'isa', 'stimulates']
['complicates', 'isa', 'compared_with', 'same_as']
['complicates', 'compared_with', 'compared_with', 'causes']
['complicates', 'complicates', 'part_of', 'compared_with']
['complicates', 'complicates', 'location_of', 'occurs_in']
['complicates', 'isa', 'disrupts', 'occurs_in']
['complicates', 'associated_with', 'augments']
['complicates', 'compared_with', 'inhibits', 'coexists_with']
['complicates', 'complicates', 'affects', 'part_of']
['complicates', 'associated_with', 'associated_with']
['complicates', 'interacts_with', 'produces', 'affects']
['complicates', 'same_as', 'causes', 'diagnoses']
['complicates', 'disrupts', 'inhibits', 'causes']
['complicates', 'stimulates', 'stimulates', 'associated_with']
['complicates', 'location_of', 'stimulates', 'interacts_with']
['complicates', 'affects', 'stimulates', 'interacts_with']
['complicates', 'causes', 'causes', 'treats']
['complicates', 'affects', 'augments', 'prevents']
['complicates', 'occurs_in', 'stimulates', 'causes']
['complicates', 'diagnoses', 'occurs_in', 'prevents']
['complicates', 'isa', 'same_as', 'interacts_with']
['complicates', 'disrupts', 'augments', 'causes']
['complicates', 'part_of', 'inhibits', 'stimulates']
['complicates', 'associated_with', 'disrupts', 'disrupts']
['complicates', 'affects', 'coexists_with', 'complicates']
['complicates', 'prevents', 'isa', 'interacts_with']
['complicates', 'diagnoses', 'interacts_with', 'associated_with']
['complicates', 'disrupts', 'treats', 'prevents']
['complicates', 'treats', 'diagnoses', 'diagnoses']
['complicates', 'coexists_with', 'diagnoses', 'prevents']
['complicates', 'treats', 'coexists_with', 'location_of']
['complicates', 'inhibits', 'compared_with', 'location_of']
['complicates', 'treats', 'compared_with', 'prevents']
['complicates', 'produces']
['complicates', 'treats', 'complicates', 'prevents']
['complicates', 'coexists_with', 'stimulates', 'interacts_with']
['complicates', 'compared_with', 'disrupts', 'augments']
['complicates', 'isa', 'associated_with', 'part_of']
['complicates', 'stimulates', 'affects', 'diagnoses']
['complicates', 'same_as', 'compared_with', 'produces']
['complicates', 'part_of', 'isa', 'coexists_with']
['complicates', 'complicates']
['complicates']
['complicates', 'stimulates', 'treats', 'compared_with']
['complicates', 'complicates', 'interacts_with', 'disrupts']
['complicates', 'isa', 'disrupts', 'produces']
['complicates', 'occurs_in', 'associated_with', 'coexists_with']
['prevents', 'part_of', 'affects', 'isa']
['prevents', 'complicates', 'occurs_in', 'interacts_with']
['prevents', 'compared_with', 'coexists_with', 'causes']
['prevents', 'treats', 'complicates', 'part_of']
['prevents', 'interacts_with', 'part_of', 'complicates']
['prevents', 'diagnoses', 'occurs_in', 'causes']
['prevents', 'same_as', 'interacts_with', 'isa']
['prevents', 'location_of', 'inhibits', 'produces']
['prevents', 'prevents', 'causes', 'diagnoses']
['prevents', 'complicates', 'diagnoses', 'isa']
['prevents', 'affects', 'occurs_in', 'treats']
['prevents', 'interacts_with', 'occurs_in', 'augments']
['prevents', 'prevents', 'prevents', 'complicates']
['prevents', 'same_as', 'causes', 'part_of']
['prevents', 'location_of', 'augments', 'part_of']
['prevents', 'associated_with', 'augments', 'affects']
['prevents', 'complicates', 'compared_with', 'associated_with']
['prevents', 'interacts_with', 'disrupts', 'prevents']
['prevents', 'complicates', 'produces', 'disrupts']
['prevents', 'augments', 'disrupts', 'part_of']
['prevents', 'interacts_with', 'occurs_in', 'disrupts']
['prevents', 'interacts_with', 'isa', 'part_of']
['prevents', 'inhibits', 'same_as', 'diagnoses']
['prevents', 'affects', 'prevents', 'inhibits']
['prevents', 'diagnoses', 'occurs_in', 'occurs_in']
['prevents', 'augments', 'produces']
['prevents', 'same_as', 'disrupts', 'produces']
['prevents', 'occurs_in', 'coexists_with', 'coexists_with']
['prevents', 'augments', 'inhibits', 'augments']
['prevents', 'coexists_with', 'produces', 'diagnoses']
['prevents', 'produces', 'treats', 'complicates']
['prevents', 'inhibits', 'prevents', 'augments']
['prevents', 'prevents', 'stimulates', 'stimulates']
['prevents', 'complicates', 'occurs_in', 'disrupts']
['prevents', 'affects', 'affects', 'causes']
['prevents', 'occurs_in', 'affects', 'coexists_with']
['prevents', 'compared_with', 'inhibits', 'associated_with']
['prevents', 'stimulates', 'interacts_with', 'causes']
['prevents', 'part_of', 'location_of', 'augments']
['prevents', 'occurs_in', 'same_as', 'stimulates']
['prevents', 'diagnoses', 'inhibits', 'isa']
['prevents', 'disrupts', 'coexists_with', 'produces']
['prevents', 'location_of', 'affects', 'produces']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'produces', 'interacts_with', 'isa']
['prevents', 'isa', 'isa', 'produces']
['prevents', 'associated_with', 'complicates', 'affects']
['prevents', 'part_of', 'coexists_with', 'associated_with']
['prevents', 'compared_with', 'augments', 'treats']
['prevents', 'complicates', 'coexists_with', 'causes']
['prevents', 'associated_with', 'treats', 'stimulates']
['prevents', 'same_as', 'affects', 'disrupts']
['prevents', 'inhibits', 'disrupts', 'augments']
['prevents', 'part_of', 'coexists_with', 'diagnoses']
['prevents', 'interacts_with', 'prevents', 'prevents']
['prevents', 'part_of', 'complicates', 'coexists_with']
['prevents', 'location_of', 'location_of', 'causes']
['prevents', 'inhibits', 'causes', 'occurs_in']
['prevents']
['prevents', 'disrupts', 'occurs_in', 'augments']
['prevents', 'affects', 'associated_with', 'prevents']
['prevents', 'same_as', 'produces', 'causes']
['prevents', 'compared_with', 'causes', 'inhibits']
['prevents', 'causes', 'prevents', 'occurs_in']
['prevents', 'inhibits', 'produces', 'treats']
['prevents', 'coexists_with', 'location_of', 'disrupts']
['prevents', 'location_of', 'diagnoses', 'causes']
['prevents', 'disrupts', 'affects', 'complicates']
['prevents', 'compared_with', 'location_of', 'coexists_with']
['prevents', 'inhibits', 'occurs_in', 'part_of']
['prevents', 'produces', 'coexists_with', 'associated_with']
['prevents', 'interacts_with', 'associated_with', 'isa']
['prevents', 'interacts_with', 'affects', 'isa']
['prevents', 'associated_with', 'augments', 'interacts_with']
['prevents', 'part_of', 'stimulates', 'location_of']
['prevents', 'augments', 'occurs_in']
['prevents', 'treats', 'same_as', 'coexists_with']
['prevents', 'location_of', 'disrupts', 'interacts_with']
['prevents', 'prevents', 'part_of', 'interacts_with']
['prevents', 'treats', 'location_of']
['prevents', 'treats', 'same_as', 'diagnoses']
['prevents', 'complicates', 'occurs_in', 'diagnoses']
['prevents', 'disrupts', 'causes', 'diagnoses']
['prevents', 'inhibits', 'inhibits', 'isa']
['prevents', 'diagnoses', 'coexists_with', 'affects']
['prevents', 'location_of', 'stimulates', 'same_as']
['prevents', 'diagnoses', 'compared_with', 'diagnoses']
['prevents', 'causes', 'same_as', 'causes']
['prevents', 'associated_with', 'part_of', 'treats']
['prevents', 'diagnoses', 'stimulates', 'same_as']
['prevents', 'associated_with']
['prevents', 'associated_with', 'treats', 'occurs_in']
['prevents', 'occurs_in', 'affects', 'isa']
['prevents', 'complicates', 'associated_with', 'same_as']
['prevents', 'coexists_with', 'location_of', 'inhibits']
['prevents', 'complicates', 'causes', 'produces']
['disrupts', 'occurs_in', 'isa', 'same_as']
['disrupts', 'complicates', 'interacts_with', 'same_as']
['disrupts', 'augments', 'stimulates', 'associated_with']
['disrupts', 'stimulates', 'location_of', 'same_as']
['disrupts', 'stimulates', 'stimulates', 'coexists_with']
['disrupts', 'disrupts', 'coexists_with', 'same_as']
['disrupts', 'disrupts', 'compared_with', 'stimulates']
['disrupts', 'complicates', 'prevents', 'complicates']
['disrupts', 'occurs_in', 'augments', 'diagnoses']
['disrupts', 'location_of', 'interacts_with', 'disrupts']
['disrupts', 'interacts_with', 'isa', 'coexists_with']
['disrupts', 'affects', 'causes', 'location_of']
['disrupts', 'interacts_with', 'produces', 'part_of']
['disrupts', 'stimulates', 'inhibits', 'coexists_with']
['disrupts', 'treats', 'affects']
['disrupts', 'compared_with', 'diagnoses', 'produces']
['disrupts', 'affects', 'produces', 'produces']
['disrupts', 'stimulates', 'augments', 'disrupts']
['disrupts', 'causes', 'produces', 'causes']
['disrupts', 'location_of', 'location_of', 'location_of']
['disrupts', 'coexists_with', 'coexists_with', 'occurs_in']
['disrupts', 'diagnoses', 'causes', 'occurs_in']
['disrupts', 'interacts_with', 'location_of', 'prevents']
['disrupts', 'associated_with', 'interacts_with', 'part_of']
['disrupts', 'isa', 'same_as', 'prevents']
['disrupts', 'prevents', 'interacts_with', 'augments']
['disrupts', 'affects']
['disrupts', 'augments', 'augments', 'augments']
['disrupts', 'location_of', 'coexists_with', 'associated_with']
['disrupts', 'isa', 'complicates', 'prevents']
['disrupts', 'disrupts', 'causes', 'interacts_with']
['disrupts', 'associated_with', 'location_of']
['disrupts', 'causes', 'produces', 'stimulates']
['disrupts', 'coexists_with', 'part_of']
['disrupts', 'occurs_in', 'augments', 'complicates']
['disrupts', 'produces', 'stimulates', 'same_as']
['disrupts', 'interacts_with', 'compared_with']
['disrupts', 'causes', 'produces', 'part_of']
['disrupts', 'coexists_with', 'location_of', 'interacts_with']
['disrupts', 'isa']
['disrupts', 'associated_with', 'affects', 'produces']
['disrupts', 'associated_with', 'affects', 'isa']
['disrupts', 'coexists_with', 'augments', 'occurs_in']
['disrupts', 'location_of']
['disrupts', 'prevents', 'occurs_in', 'prevents']
['disrupts', 'same_as', 'complicates', 'coexists_with']
['disrupts', 'produces', 'diagnoses', 'location_of']
['disrupts', 'isa', 'prevents', 'compared_with']
['disrupts', 'occurs_in', 'interacts_with', 'treats']
['disrupts', 'isa', 'same_as', 'same_as']
['disrupts', 'occurs_in', 'treats', 'coexists_with']
['disrupts', 'augments', 'stimulates', 'causes']
['disrupts', 'stimulates', 'augments', 'part_of']
['disrupts', 'coexists_with', 'interacts_with', 'augments']
['disrupts', 'prevents', 'coexists_with']
['disrupts', 'affects', 'augments', 'isa']
['disrupts', 'occurs_in', 'coexists_with', 'coexists_with']
['disrupts', 'occurs_in', 'interacts_with', 'stimulates']
['disrupts', 'occurs_in', 'associated_with', 'augments']
['disrupts', 'complicates', 'affects', 'interacts_with']
['disrupts', 'affects', 'coexists_with', 'interacts_with']
['disrupts', 'same_as', 'affects', 'same_as']
['disrupts', 'part_of', 'disrupts', 'treats']
['disrupts', 'occurs_in', 'affects', 'occurs_in']
['disrupts', 'complicates', 'part_of', 'part_of']
