['diagnoses', 'inhibits', 'same_as', 'causes']
['diagnoses', 'interacts_with', 'associated_with', 'coexists_with']
['diagnoses', 'occurs_in', 'inhibits', 'stimulates']
['diagnoses', 'diagnoses', 'isa', 'compared_with']
['diagnoses', 'inhibits', 'augments', 'causes']
['diagnoses', 'augments', 'causes', 'associated_with']
['diagnoses', 'complicates', 'prevents', 'occurs_in']
['diagnoses', 'part_of', 'prevents', 'augments']
['diagnoses', 'produces', 'treats', 'diagnoses']
['diagnoses', 'diagnoses', 'interacts_with', 'complicates']
['diagnoses', 'complicates']
['diagnoses', 'coexists_with', 'compared_with', 'interacts_with']
['diagnoses', 'part_of', 'coexists_with', 'location_of']
['diagnoses']
['diagnoses', 'same_as', 'associated_with', 'affects']
['diagnoses', 'complicates', 'treats', 'isa']
['diagnoses', 'part_of', 'affects', 'augments']
['diagnoses', 'occurs_in', 'interacts_with', 'disrupts']
['diagnoses', 'treats', 'coexists_with', 'diagnoses']
['diagnoses', 'augments', 'prevents', 'same_as']
['diagnoses', 'occurs_in', 'inhibits', 'affects']
['diagnoses', 'isa', 'coexists_with', 'associated_with']
['diagnoses', 'treats', 'stimulates', 'affects']
['diagnoses', 'causes', 'complicates', 'produces']
['diagnoses', 'part_of', 'inhibits', 'disrupts']
['diagnoses', 'compared_with', 'causes', 'complicates']
['diagnoses', 'location_of', 'complicates', 'prevents']
['diagnoses', 'interacts_with', 'compared_with']
['diagnoses', 'isa', 'part_of', 'associated_with']
['diagnoses', 'coexists_with', 'causes', 'compared_with']
['diagnoses', 'produces', 'stimulates', 'stimulates']
['diagnoses', 'coexists_with', 'location_of', 'inhibits']
['diagnoses', 'produces', 'location_of', 'causes']
['diagnoses', 'part_of', 'associated_with', 'complicates']
['diagnoses', 'same_as', 'same_as']
['diagnoses', 'inhibits', 'interacts_with', 'same_as']
['occurs_in', 'compared_with', 'coexists_with', 'diagnoses']
['occurs_in', 'location_of', 'interacts_with', 'prevents']
['occurs_in', 'complicates', 'occurs_in', 'causes']
['occurs_in', 'complicates']
['occurs_in', 'isa', 'disrupts', 'interacts_with']
['occurs_in', 'diagnoses', 'treats', 'inhibits']
['occurs_in', 'prevents', 'coexists_with', 'causes']
['occurs_in', 'same_as', 'interacts_with', 'disrupts']
['occurs_in', 'location_of', 'compared_with', 'causes']
['occurs_in', 'occurs_in', 'diagnoses', 'same_as']
['occurs_in', 'causes', 'occurs_in', 'produces']
['occurs_in', 'coexists_with', 'same_as', 'occurs_in']
['occurs_in', 'causes', 'prevents', 'same_as']
['occurs_in', 'isa', 'prevents', 'causes']
['occurs_in', 'treats', 'compared_with', 'stimulates']
['occurs_in', 'isa', 'causes', 'part_of']
['occurs_in', 'affects', 'causes', 'diagnoses']
['occurs_in', 'location_of', 'disrupts', 'treats']
['occurs_in', 'prevents']
['occurs_in', 'complicates', 'compared_with', 'interacts_with']
['occurs_in', 'occurs_in', 'diagnoses', 'compared_with']
['occurs_in', 'diagnoses', 'disrupts', 'compared_with']
['occurs_in', 'diagnoses', 'inhibits', 'location_of']
['occurs_in', 'same_as', 'causes', 'stimulates']
['occurs_in', 'inhibits', 'prevents', 'inhibits']
['occurs_in', 'prevents', 'disrupts', 'causes']
['occurs_in']
['occurs_in', 'coexists_with', 'causes', 'isa']
['occurs_in', 'treats', 'augments', 'associated_with']
['occurs_in', 'disrupts']
['occurs_in', 'same_as', 'produces', 'coexists_with']
['occurs_in', 'isa', 'augments', 'interacts_with']
['occurs_in', 'treats', 'stimulates', 'treats']
['occurs_in', 'disrupts', 'coexists_with', 'same_as']
['occurs_in', 'complicates', 'treats', 'same_as']
['occurs_in', 'inhibits', 'associated_with', 'prevents']
['occurs_in', 'treats', 'augments', 'diagnoses']
['occurs_in', 'produces', 'treats', 'same_as']
['occurs_in', 'prevents', 'location_of', 'isa']
['occurs_in', 'compared_with', 'prevents', 'diagnoses']
['occurs_in', 'treats', 'prevents', 'part_of']
['occurs_in', 'causes', 'causes', 'inhibits']
['occurs_in', 'part_of', 'same_as', 'affects']
['occurs_in', 'coexists_with', 'inhibits', 'complicates']
['occurs_in', 'inhibits']
['occurs_in', 'location_of', 'affects', 'location_of']
['occurs_in', 'diagnoses', 'associated_with', 'inhibits']
['occurs_in', 'part_of', 'inhibits', 'occurs_in']
['occurs_in', 'interacts_with', 'location_of']
['occurs_in', 'compared_with', 'part_of', 'treats']
['occurs_in', 'affects', 'prevents', 'prevents']
['occurs_in', 'location_of', 'diagnoses', 'stimulates']
['occurs_in', 'interacts_with', 'stimulates', 'same_as']
['occurs_in', 'associated_with', 'associated_with', 'augments']
['occurs_in', 'complicates', 'treats', 'stimulates']
['occurs_in', 'complicates', 'isa', 'occurs_in']
['occurs_in', 'produces', 'complicates', 'same_as']
['occurs_in', 'interacts_with']
['occurs_in', 'complicates', 'part_of', 'associated_with']
['occurs_in', 'coexists_with', 'diagnoses', 'augments']
['occurs_in', 'coexists_with', 'diagnoses', 'inhibits']
['occurs_in', 'stimulates', 'prevents', 'causes']
['occurs_in', 'diagnoses', 'part_of', 'affects']
['occurs_in', 'diagnoses', 'augments', 'coexists_with']
['occurs_in', 'inhibits', 'diagnoses', 'disrupts']
['occurs_in', 'prevents', 'interacts_with', 'treats']
['occurs_in', 'diagnoses', 'stimulates']
['occurs_in', 'causes', 'isa', 'inhibits']
['occurs_in', 'isa', 'compared_with', 'inhibits']
['occurs_in', 'augments', 'augments', 'interacts_with']
['occurs_in', 'causes', 'causes', 'isa']
['occurs_in', 'part_of', 'diagnoses', 'location_of']
['occurs_in', 'location_of', 'disrupts', 'coexists_with']
['occurs_in', 'same_as', 'augments', 'diagnoses']
['occurs_in', 'coexists_with', 'inhibits', 'prevents']
['occurs_in', 'augments', 'stimulates', 'affects']
['occurs_in', 'occurs_in', 'location_of', 'compared_with']
['occurs_in', 'occurs_in', 'same_as', 'stimulates']
['occurs_in', 'same_as', 'complicates', 'complicates']
['occurs_in', 'stimulates']
['occurs_in', 'causes', 'location_of', 'isa']
['occurs_in', 'location_of', 'causes', 'causes']
['occurs_in', 'associated_with', 'disrupts', 'affects']
['occurs_in', 'augments', 'causes', 'prevents']
['occurs_in', 'isa', 'diagnoses', 'causes']
['occurs_in', 'affects', 'affects', 'compared_with']
['occurs_in', 'produces', 'interacts_with', 'interacts_with']
['occurs_in', 'occurs_in', 'complicates', 'complicates']
['occurs_in', 'occurs_in', 'occurs_in', 'treats']
['occurs_in', 'inhibits', 'produces', 'stimulates']
['occurs_in', 'associated_with', 'stimulates', 'augments']
['occurs_in', 'prevents', 'diagnoses', 'inhibits']
['occurs_in', 'same_as', 'prevents', 'diagnoses']
['occurs_in', 'stimulates', 'augments', 'part_of']
['occurs_in', 'location_of', 'disrupts', 'produces']
['occurs_in', 'produces', 'occurs_in', 'inhibits']
['occurs_in', 'treats', 'causes', 'treats']
['same_as', 'causes', 'part_of', 'location_of']
['same_as', 'complicates', 'part_of', 'produces']
['same_as', 'same_as', 'disrupts', 'prevents']
['same_as', 'location_of', 'inhibits', 'interacts_with']
['same_as', 'interacts_with', 'location_of', 'same_as']
['same_as', 'disrupts', 'interacts_with', 'diagnoses']
['same_as', 'affects']
['same_as', 'isa', 'coexists_with']
['same_as', 'treats', 'treats', 'compared_with']
['same_as', 'inhibits', 'part_of', 'augments']
['same_as', 'same_as', 'treats', 'interacts_with']
['same_as', 'stimulates', 'causes', 'compared_with']
['same_as', 'stimulates', 'inhibits', 'same_as']
['same_as', 'treats', 'same_as', 'stimulates']
['same_as', 'prevents', 'augments', 'associated_with']
['same_as', 'prevents', 'prevents', 'compared_with']
['same_as', 'isa', 'produces', 'prevents']
['same_as', 'treats', 'diagnoses', 'augments']
['same_as', 'isa', 'occurs_in', 'diagnoses']
['same_as', 'prevents', 'diagnoses', 'produces']
['same_as', 'augments', 'inhibits', 'associated_with']
['same_as', 'inhibits', 'treats', 'augments']
['same_as', 'same_as', 'isa', 'part_of']
['same_as', 'compared_with', 'affects', 'prevents']
['same_as', 'location_of', 'disrupts', 'isa']
['same_as', 'part_of', 'compared_with', 'inhibits']
['same_as', 'compared_with', 'same_as', 'produces']
['same_as', 'occurs_in', 'treats', 'complicates']
['same_as', 'part_of', 'location_of', 'inhibits']
['same_as', 'causes', 'coexists_with', 'augments']
['same_as', 'isa', 'produces', 'disrupts']
['same_as', 'associated_with', 'occurs_in', 'inhibits']
['same_as', 'affects', 'interacts_with', 'isa']
['same_as', 'produces', 'stimulates', 'produces']
['same_as', 'stimulates', 'inhibits']
['same_as', 'complicates', 'produces', 'diagnoses']
['same_as', 'location_of', 'disrupts', 'coexists_with']
['same_as', 'inhibits', 'prevents', 'location_of']
['same_as', 'augments', 'associated_with', 'prevents']
['same_as', 'causes', 'compared_with', 'diagnoses']
['same_as', 'stimulates', 'affects', 'location_of']
['same_as', 'diagnoses', 'same_as', 'disrupts']
['same_as', 'coexists_with', 'same_as', 'diagnoses']
['same_as', 'interacts_with', 'occurs_in', 'augments']
['same_as', 'augments', 'occurs_in', 'prevents']
['same_as', 'causes', 'compared_with', 'treats']
['same_as', 'treats', 'prevents']
['same_as', 'associated_with', 'inhibits', 'treats']
['same_as', 'interacts_with', 'prevents', 'causes']
['same_as', 'produces', 'interacts_with', 'causes']
['same_as', 'occurs_in', 'diagnoses', 'treats']
['same_as', 'compared_with', 'compared_with', 'stimulates']
['same_as', 'coexists_with', 'prevents', 'treats']
['same_as', 'complicates', 'compared_with', 'part_of']
['same_as', 'inhibits', 'coexists_with', 'affects']
['same_as', 'disrupts', 'diagnoses', 'part_of']
['same_as', 'complicates']
['same_as']
['same_as', 'disrupts', 'same_as', 'part_of']
['same_as', 'complicates', 'affects', 'location_of']
['same_as', 'affects', 'occurs_in', 'associated_with']
['same_as', 'part_of', 'inhibits', 'part_of']
['same_as', 'disrupts', 'location_of', 'associated_with']
['same_as', 'treats', 'same_as', 'causes']
['same_as', 'part_of', 'treats', 'causes']
['same_as', 'compared_with', 'occurs_in', 'augments']
['same_as', 'prevents', 'location_of', 'inhibits']
['same_as', 'augments', 'coexists_with', 'associated_with']
['same_as', 'stimulates', 'complicates', 'compared_with']
['same_as', 'part_of', 'interacts_with', 'produces']
['same_as', 'compared_with', 'complicates', 'disrupts']
['same_as', 'treats', 'same_as', 'occurs_in']
['same_as', 'prevents', 'inhibits', 'stimulates']
['same_as', 'occurs_in']
['same_as', 'causes']
['same_as', 'part_of', 'same_as', 'same_as']
['same_as', 'coexists_with', 'complicates', 'disrupts']
['same_as', 'treats', 'occurs_in', 'diagnoses']
['same_as', 'occurs_in', 'causes', 'inhibits']
['same_as', 'disrupts', 'inhibits', 'same_as']
['same_as', 'compared_with', 'compared_with', 'location_of']
['same_as', 'occurs_in', 'isa', 'associated_with']
['same_as', 'prevents', 'associated_with', 'compared_with']
['same_as', 'location_of', 'inhibits', 'treats']
['same_as', 'treats', 'disrupts', 'part_of']
['same_as', 'affects', 'treats', 'compared_with']
['same_as', 'disrupts', 'stimulates', 'location_of']
['same_as', 'causes', 'complicates', 'compared_with']
['same_as', 'location_of', 'coexists_with', 'inhibits']
['same_as', 'coexists_with', 'location_of', 'inhibits']
['same_as', 'associated_with', 'affects', 'produces']
['same_as', 'stimulates', 'compared_with', 'interacts_with']
['complicates', 'inhibits', 'diagnoses', 'compared_with']
['complicates', 'coexists_with', 'disrupts', 'inhibits']
['complicates', 'inhibits', 'interacts_with', 'location_of']
['complicates', 'augments', 'associated_with', 'stimulates']
['complicates', 'part_of', 'isa', 'augments']
['complicates', 'occurs_in', 'augments', 'part_of']
['complicates', 'stimulates', 'associated_with', 'complicates']
['complicates', 'causes', 'produces', 'compared_with']
['complicates', 'part_of', 'augments', 'location_of']
['complicates', 'diagnoses', 'occurs_in', 'associated_with']
['complicates', 'same_as', 'isa', 'part_of']
['complicates', 'inhibits', 'associated_with', 'compared_with']
['complicates', 'affects', 'inhibits']
['complicates', 'coexists_with', 'coexists_with', 'inhibits']
['complicates', 'interacts_with', 'compared_with', 'complicates']
['complicates', 'isa', 'affects', 'diagnoses']
['complicates', 'complicates', 'treats', 'augments']
['complicates', 'complicates', 'occurs_in', 'part_of']
['complicates', 'disrupts', 'occurs_in', 'same_as']
['complicates', 'inhibits', 'compared_with', 'inhibits']
['complicates', 'compared_with', 'interacts_with', 'causes']
['complicates', 'disrupts', 'stimulates', 'augments']
['complicates', 'causes', 'part_of', 'isa']
['complicates', 'occurs_in', 'inhibits', 'complicates']
['complicates', 'occurs_in']
['complicates', 'occurs_in', 'diagnoses', 'diagnoses']
['complicates', 'compared_with', 'inhibits', 'occurs_in']
['complicates', 'affects', 'compared_with', 'causes']
['complicates', 'produces', 'augments', 'affects']
['complicates', 'occurs_in', 'complicates', 'inhibits']
['complicates', 'associated_with', 'compared_with', 'stimulates']
['complicates', 'isa', 'augments', 'inhibits']
['complicates', 'inhibits', 'location_of', 'prevents']
['complicates', 'diagnoses', 'causes', 'augments']
['complicates', 'prevents', 'compared_with', 'inhibits']
['complicates', 'interacts_with', 'disrupts', 'prevents']
['complicates', 'interacts_with', 'same_as', 'location_of']
['complicates', 'isa', 'augments', 'disrupts']
['complicates']
['complicates', 'interacts_with', 'augments', 'augments']
['complicates', 'diagnoses', 'isa', 'isa']
['complicates', 'associated_with', 'inhibits', 'treats']
['complicates', 'prevents', 'affects', 'interacts_with']
['complicates', 'compared_with', 'location_of', 'compared_with']
['complicates', 'isa', 'prevents', 'isa']
['complicates', 'prevents', 'same_as', 'associated_with']
['complicates', 'treats', 'isa']
['complicates', 'compared_with', 'produces', 'diagnoses']
['complicates', 'prevents', 'produces', 'diagnoses']
['complicates', 'same_as', 'interacts_with', 'produces']
['complicates', 'coexists_with', 'coexists_with', 'same_as']
['complicates', 'occurs_in', 'inhibits', 'diagnoses']
['complicates', 'causes', 'prevents', 'causes']
['complicates', 'associated_with', 'inhibits', 'affects']
['complicates', 'occurs_in', 'complicates', 'same_as']
['complicates', 'augments', 'produces']
['complicates', 'compared_with', 'part_of', 'inhibits']
['complicates', 'stimulates', 'stimulates', 'location_of']
['complicates', 'augments', 'coexists_with', 'part_of']
['complicates', 'associated_with', 'isa', 'causes']
['complicates', 'disrupts', 'affects', 'occurs_in']
['complicates', 'associated_with', 'treats', 'same_as']
['complicates', 'prevents', 'disrupts', 'associated_with']
['complicates', 'inhibits', 'occurs_in', 'inhibits']
['complicates', 'prevents', 'location_of', 'isa']
['complicates', 'location_of', 'disrupts', 'diagnoses']
['complicates', 'prevents', 'interacts_with', 'causes']
['complicates', 'prevents', 'coexists_with', 'stimulates']
['complicates', 'causes', 'produces', 'location_of']
['complicates', 'same_as', 'coexists_with', 'augments']
['complicates', 'occurs_in', 'produces', 'affects']
['complicates', 'treats', 'same_as', 'diagnoses']
['complicates', 'augments', 'coexists_with', 'occurs_in']
['complicates', 'interacts_with', 'diagnoses', 'augments']
['complicates', 'treats', 'prevents', 'part_of']
['complicates', 'affects', 'causes']
['complicates', 'stimulates', 'compared_with']
['complicates', 'augments', 'stimulates', 'stimulates']
['complicates', 'causes', 'compared_with', 'affects']
['complicates', 'produces', 'location_of', 'augments']
['complicates', 'affects', 'interacts_with', 'treats']
['complicates', 'inhibits', 'associated_with', 'complicates']
['complicates', 'augments', 'coexists_with', 'affects']
['complicates', 'treats', 'disrupts']
['complicates', 'compared_with', 'inhibits', 'inhibits']
['complicates', 'treats', 'diagnoses', 'treats']
['complicates', 'affects', 'produces', 'diagnoses']
['complicates', 'affects', 'causes', 'associated_with']
['complicates', 'occurs_in', 'stimulates', 'compared_with']
['complicates', 'produces', 'disrupts', 'augments']
['complicates', 'interacts_with', 'same_as', 'affects']
['complicates', 'affects', 'location_of', 'diagnoses']
['complicates', 'diagnoses', 'coexists_with', 'part_of']
['complicates', 'occurs_in', 'causes', 'interacts_with']
['complicates', 'affects', 'occurs_in', 'disrupts']
['complicates', 'diagnoses', 'same_as', 'location_of']
['complicates', 'produces', 'interacts_with', 'occurs_in']
['complicates', 'prevents', 'complicates', 'disrupts']
['prevents']
['prevents', 'coexists_with']
['prevents', 'occurs_in', 'augments']
['prevents', 'occurs_in', 'coexists_with', 'same_as']
['prevents', 'causes', 'isa', 'location_of']
['prevents', 'occurs_in', 'causes', 'affects']
['prevents', 'disrupts', 'isa', 'diagnoses']
['prevents', 'prevents', 'location_of', 'interacts_with']
['prevents', 'causes', 'coexists_with', 'interacts_with']
['prevents', 'diagnoses', 'causes', 'occurs_in']
['prevents', 'occurs_in', 'stimulates']
['prevents', 'treats', 'disrupts', 'interacts_with']
['prevents', 'part_of', 'stimulates', 'associated_with']
['prevents', 'same_as']
['prevents', 'diagnoses', 'diagnoses', 'isa']
['prevents', 'inhibits', 'disrupts', 'treats']
['prevents', 'coexists_with', 'inhibits', 'compared_with']
['prevents', 'affects', 'occurs_in', 'isa']
['prevents', 'augments', 'interacts_with', 'disrupts']
['prevents', 'diagnoses', 'same_as', 'part_of']
['prevents', 'disrupts', 'treats', 'location_of']
['prevents', 'location_of', 'affects', 'prevents']
['prevents', 'interacts_with', 'causes']
['prevents', 'prevents', 'produces', 'causes']
['prevents', 'part_of', 'occurs_in', 'prevents']
['prevents', 'occurs_in']
['prevents', 'produces', 'compared_with', 'compared_with']
['prevents', 'prevents', 'compared_with', 'causes']
['prevents', 'associated_with', 'inhibits', 'inhibits']
['prevents', 'interacts_with', 'isa', 'diagnoses']
['prevents', 'causes', 'coexists_with', 'causes']
['prevents', 'coexists_with', 'treats']
['prevents', 'augments', 'same_as', 'treats']
['prevents', 'disrupts', 'augments', 'occurs_in']
['prevents', 'associated_with', 'part_of', 'affects']
['prevents', 'same_as', 'isa', 'disrupts']
['prevents', 'occurs_in', 'stimulates', 'disrupts']
['prevents', 'isa', 'affects', 'produces']
['prevents', 'causes']
['prevents', 'augments', 'stimulates', 'prevents']
['prevents', 'causes', 'augments', 'disrupts']
['prevents', 'disrupts', 'complicates', 'part_of']
['prevents', 'inhibits', 'coexists_with', 'complicates']
['prevents', 'associated_with', 'associated_with', 'same_as']
['prevents', 'diagnoses', 'treats', 'interacts_with']
['prevents', 'affects', 'stimulates', 'disrupts']
['prevents', 'interacts_with', 'same_as', 'augments']
['prevents', 'occurs_in', 'disrupts', 'affects']
['prevents', 'affects', 'produces', 'location_of']
['prevents', 'isa', 'diagnoses', 'augments']
['prevents', 'inhibits']
['prevents', 'disrupts', 'occurs_in', 'treats']
['prevents', 'occurs_in', 'prevents']
['prevents', 'occurs_in', 'complicates', 'interacts_with']
['prevents', 'coexists_with', 'produces', 'treats']
['prevents', 'compared_with', 'treats', 'disrupts']
['prevents', 'same_as', 'diagnoses', 'augments']
['prevents', 'disrupts', 'complicates', 'inhibits']
['prevents', 'diagnoses', 'affects', 'compared_with']
['prevents', 'inhibits', 'isa', 'causes']
['prevents', 'affects']
['prevents', 'location_of', 'stimulates', 'produces']
['prevents', 'causes', 'same_as', 'diagnoses']
['prevents', 'occurs_in', 'location_of', 'produces']
['prevents', 'stimulates', 'produces', 'isa']
['prevents', 'inhibits', 'same_as', 'associated_with']
['prevents', 'part_of', 'part_of', 'diagnoses']
['prevents', 'inhibits', 'inhibits', 'inhibits']
['prevents', 'complicates', 'prevents', 'location_of']
['prevents', 'disrupts', 'treats', 'disrupts']
['prevents', 'same_as', 'compared_with', 'produces']
['prevents', 'diagnoses', 'inhibits', 'disrupts']
['prevents', 'diagnoses', 'diagnoses', 'treats']
['prevents', 'location_of', 'inhibits', 'complicates']
['prevents', 'diagnoses', 'interacts_with', 'location_of']
['prevents', 'interacts_with']
['prevents', 'compared_with', 'compared_with', 'interacts_with']
['prevents', 'location_of', 'same_as', 'location_of']
['prevents', 'prevents', 'treats', 'complicates']
['prevents', 'prevents', 'stimulates', 'disrupts']
['prevents', 'isa', 'inhibits', 'causes']
['prevents', 'stimulates', 'stimulates', 'prevents']
['prevents', 'location_of', 'augments', 'stimulates']
['prevents', 'part_of', 'produces', 'produces']
['prevents', 'stimulates', 'augments', 'prevents']
['prevents', 'produces', 'occurs_in', 'compared_with']
['prevents', 'stimulates', 'part_of', 'compared_with']
['prevents', 'location_of', 'causes', 'produces']
['prevents', 'prevents', 'coexists_with', 'occurs_in']
['prevents', 'inhibits', 'stimulates', 'complicates']
['prevents', 'stimulates', 'stimulates', 'associated_with']
['prevents', 'disrupts', 'diagnoses', 'augments']
['prevents', 'associated_with', 'disrupts', 'augments']
['prevents', 'occurs_in', 'compared_with', 'augments']
['disrupts', 'augments', 'causes', 'causes']
['disrupts', 'diagnoses', 'part_of', 'isa']
['disrupts', 'complicates', 'causes']
['disrupts', 'disrupts', 'inhibits', 'coexists_with']
['disrupts', 'isa', 'part_of', 'inhibits']
['disrupts', 'coexists_with', 'treats', 'location_of']
['disrupts', 'stimulates']
['disrupts', 'prevents', 'location_of', 'interacts_with']
['disrupts', 'occurs_in', 'complicates', 'complicates']
['disrupts', 'isa', 'diagnoses', 'isa']
['disrupts', 'location_of', 'produces', 'produces']
['disrupts', 'coexists_with', 'diagnoses', 'coexists_with']
['disrupts', 'interacts_with', 'prevents', 'part_of']
['disrupts', 'interacts_with', 'causes', 'isa']
['disrupts', 'treats', 'disrupts', 'part_of']
['disrupts', 'location_of', 'affects', 'disrupts']
['disrupts', 'affects', 'treats', 'augments']
['disrupts', 'complicates', 'augments', 'treats']
['disrupts', 'same_as', 'isa', 'coexists_with']
['disrupts', 'treats', 'isa', 'location_of']
['disrupts', 'treats', 'coexists_with', 'complicates']
['disrupts', 'stimulates', 'isa', 'inhibits']
['disrupts', 'affects']
['disrupts', 'occurs_in', 'produces', 'associated_with']
['disrupts', 'same_as', 'occurs_in', 'disrupts']
['disrupts', 'location_of', 'part_of', 'treats']
['disrupts', 'location_of', 'treats', 'disrupts']
['disrupts', 'augments', 'produces', 'same_as']
['disrupts', 'interacts_with', 'isa', 'associated_with']
['disrupts', 'interacts_with', 'same_as', 'diagnoses']
['disrupts', 'produces', 'location_of', 'occurs_in']
['disrupts', 'diagnoses', 'produces', 'inhibits']
['disrupts', 'augments', 'causes', 'coexists_with']
['disrupts', 'location_of', 'augments', 'coexists_with']
['disrupts', 'location_of', 'affects', 'location_of']
['disrupts', 'compared_with', 'treats', 'stimulates']
['disrupts', 'inhibits', 'inhibits', 'prevents']
['disrupts', 'part_of', 'disrupts', 'prevents']
['disrupts', 'treats', 'compared_with', 'compared_with']
['disrupts', 'occurs_in', 'occurs_in', 'associated_with']
['disrupts', 'treats', 'coexists_with', 'prevents']
['disrupts', 'interacts_with', 'complicates', 'inhibits']
['disrupts', 'prevents', 'same_as', 'isa']
['disrupts', 'coexists_with', 'inhibits', 'diagnoses']
['disrupts', 'diagnoses', 'produces', 'isa']
['disrupts', 'occurs_in', 'stimulates', 'diagnoses']
['disrupts', 'stimulates', 'affects', 'causes']
['disrupts', 'stimulates', 'causes', 'isa']
['disrupts', 'inhibits', 'inhibits', 'coexists_with']
['disrupts', 'isa', 'prevents', 'same_as']
['disrupts', 'occurs_in', 'produces', 'affects']
['disrupts', 'complicates', 'produces', 'associated_with']
['disrupts', 'prevents', 'augments', 'inhibits']
['disrupts', 'location_of', 'affects', 'augments']
['disrupts', 'location_of', 'compared_with', 'inhibits']
['disrupts', 'interacts_with']
['disrupts', 'associated_with', 'same_as', 'prevents']
['disrupts', 'associated_with', 'inhibits', 'stimulates']
['disrupts', 'same_as', 'produces', 'coexists_with']
['disrupts', 'interacts_with', 'produces', 'diagnoses']
['disrupts', 'disrupts', 'produces']
['disrupts', 'interacts_with', 'causes', 'causes']
['disrupts', 'isa', 'inhibits', 'produces']
['disrupts', 'location_of', 'compared_with', 'occurs_in']
['disrupts', 'compared_with', 'augments']
['disrupts', 'stimulates', 'occurs_in', 'isa']
['disrupts', 'same_as', 'augments', 'coexists_with']
['disrupts', 'occurs_in', 'inhibits', 'disrupts']
['disrupts', 'prevents', 'augments', 'isa']
['disrupts', 'compared_with', 'inhibits', 'diagnoses']
['disrupts', 'interacts_with', 'inhibits', 'complicates']
['disrupts', 'part_of', 'same_as', 'coexists_with']
['disrupts', 'occurs_in', 'diagnoses', 'augments']
['disrupts', 'stimulates', 'affects', 'augments']
['disrupts', 'associated_with', 'same_as']
['disrupts', 'coexists_with', 'complicates', 'augments']
['disrupts', 'treats', 'disrupts', 'prevents']
['disrupts', 'produces', 'augments']
['disrupts', 'isa', 'diagnoses', 'inhibits']
['disrupts', 'part_of', 'complicates', 'same_as']
['disrupts', 'inhibits', 'affects', 'causes']
['disrupts', 'location_of', 'inhibits', 'causes']
['disrupts', 'produces', 'diagnoses', 'part_of']
['disrupts']
