['diagnoses', 'coexists_with', 'location_of', 'associated_with']
['occurs_in', 'coexists_with', 'prevents', 'inhibits']
['occurs_in', 'inhibits', 'stimulates']
['occurs_in', 'affects', 'interacts_with', 'stimulates']
['occurs_in', 'treats', 'same_as', 'inhibits']
['occurs_in', 'interacts_with', 'treats', 'occurs_in']
['occurs_in', 'coexists_with', 'associated_with', 'complicates']
['occurs_in', 'interacts_with', 'diagnoses', 'coexists_with']
['occurs_in', 'part_of', 'occurs_in', 'occurs_in']
['occurs_in', 'same_as', 'stimulates', 'part_of']
['occurs_in', 'prevents', 'same_as', 'stimulates']
['occurs_in', 'affects', 'compared_with', 'disrupts']
['same_as', 'location_of', 'isa', 'location_of']
['same_as', 'inhibits', 'causes', 'prevents']
['same_as', 'inhibits', 'associated_with', 'location_of']
['same_as', 'disrupts', 'same_as', 'part_of']
['same_as', 'isa', 'disrupts', 'associated_with']
['same_as', 'treats', 'treats', 'augments']
['same_as', 'coexists_with', 'stimulates', 'coexists_with']
['same_as', 'inhibits', 'complicates', 'complicates']
['same_as', 'coexists_with', 'part_of', 'disrupts']
['same_as', 'diagnoses', 'associated_with']
['same_as', 'disrupts', 'interacts_with', 'location_of']
['same_as', 'produces', 'inhibits', 'coexists_with']
['same_as', 'stimulates', 'part_of', 'compared_with']
['same_as', 'prevents', 'inhibits', 'part_of']
['same_as', 'treats', 'prevents', 'occurs_in']
['same_as', 'compared_with', 'inhibits', 'location_of']
['same_as', 'compared_with', 'part_of', 'complicates']
['same_as', 'prevents', 'disrupts', 'occurs_in']
['same_as', 'stimulates', 'occurs_in', 'associated_with']
['same_as', 'produces', 'compared_with', 'causes']
['same_as', 'augments', 'isa', 'treats']
['same_as', 'complicates', 'same_as', 'inhibits']
['same_as', 'causes', 'affects', 'coexists_with']
['same_as', 'isa', 'location_of', 'compared_with']
['same_as', 'associated_with', 'produces', 'stimulates']
['same_as', 'stimulates', 'associated_with', 'disrupts']
['same_as', 'augments', 'inhibits', 'compared_with']
['same_as', 'occurs_in', 'complicates', 'diagnoses']
['same_as', 'disrupts', 'inhibits', 'disrupts']
['same_as', 'associated_with', 'occurs_in', 'affects']
['same_as', 'isa', 'inhibits', 'inhibits']
['same_as', 'complicates', 'associated_with', 'interacts_with']
['same_as', 'isa', 'inhibits', 'diagnoses']
['same_as', 'prevents', 'inhibits', 'location_of']
['same_as', 'produces', 'stimulates', 'location_of']
['same_as', 'prevents', 'treats', 'prevents']
['same_as', 'isa', 'isa', 'inhibits']
['same_as', 'complicates', 'location_of', 'stimulates']
['same_as', 'compared_with', 'prevents', 'occurs_in']
['same_as', 'augments', 'occurs_in', 'diagnoses']
['same_as', 'inhibits', 'complicates', 'prevents']
['same_as', 'part_of', 'affects', 'compared_with']
['same_as', 'same_as', 'part_of', 'treats']
['same_as', 'isa', 'causes', 'associated_with']
['same_as', 'treats', 'diagnoses', 'occurs_in']
['same_as', 'location_of']
['same_as', 'treats', 'produces', 'interacts_with']
['same_as', 'produces', 'stimulates', 'inhibits']
['same_as', 'diagnoses', 'isa', 'part_of']
['same_as', 'isa', 'location_of', 'associated_with']
['same_as', 'location_of', 'stimulates', 'disrupts']
['same_as', 'disrupts', 'causes', 'compared_with']
['same_as', 'complicates', 'disrupts', 'inhibits']
['same_as', 'inhibits', 'compared_with', 'inhibits']
['same_as', 'diagnoses', 'isa', 'coexists_with']
['same_as', 'disrupts']
['same_as', 'isa', 'inhibits', 'treats']
['same_as', 'associated_with', 'produces', 'causes']
['same_as', 'disrupts', 'associated_with', 'treats']
['same_as', 'compared_with', 'same_as', 'location_of']
['same_as', 'treats', 'causes', 'location_of']
['same_as', 'produces']
['same_as', 'compared_with', 'treats', 'inhibits']
['same_as', 'stimulates', 'same_as', 'occurs_in']
['same_as', 'isa', 'complicates', 'same_as']
['same_as']
['same_as', 'part_of', 'treats', 'produces']
['same_as', 'treats', 'associated_with', 'inhibits']
['same_as', 'affects', 'associated_with', 'inhibits']
['same_as', 'diagnoses', 'causes', 'diagnoses']
['same_as', 'location_of', 'inhibits', 'occurs_in']
['same_as', 'associated_with', 'diagnoses']
['same_as', 'treats', 'coexists_with', 'stimulates']
['same_as', 'part_of', 'produces', 'compared_with']
['same_as', 'augments', 'location_of', 'prevents']
['same_as', 'part_of', 'stimulates', 'stimulates']
['same_as', 'part_of', 'inhibits', 'associated_with']
['same_as', 'stimulates', 'same_as', 'treats']
['same_as', 'diagnoses', 'interacts_with', 'inhibits']
['same_as', 'occurs_in', 'augments', 'same_as']
['same_as', 'isa', 'diagnoses', 'location_of']
['same_as', 'augments', 'disrupts', 'disrupts']
['same_as', 'treats', 'location_of', 'part_of']
['same_as', 'same_as', 'affects', 'produces']
['same_as', 'occurs_in', 'same_as', 'causes']
['same_as', 'augments', 'causes', 'coexists_with']
['same_as', 'produces', 'same_as', 'prevents']
['same_as', 'coexists_with', 'occurs_in', 'coexists_with']
['same_as', 'inhibits', 'interacts_with', 'prevents']
['same_as', 'location_of', 'causes', 'occurs_in']
['same_as', 'augments', 'part_of', 'prevents']
['same_as', 'associated_with', 'same_as', 'same_as']
['same_as', 'isa', 'augments', 'causes']
['same_as', 'prevents', 'same_as', 'location_of']
['same_as', 'inhibits', 'same_as', 'diagnoses']
['same_as', 'part_of', 'produces', 'inhibits']
['same_as', 'augments', 'compared_with', 'stimulates']
['same_as', 'produces', 'occurs_in', 'occurs_in']
['complicates', 'occurs_in', 'diagnoses', 'prevents']
['complicates', 'augments', 'augments', 'same_as']
['complicates', 'complicates', 'interacts_with']
['complicates', 'inhibits', 'location_of', 'augments']
['complicates', 'location_of', 'disrupts', 'occurs_in']
['complicates', 'occurs_in', 'augments', 'part_of']
['complicates', 'causes', 'disrupts', 'associated_with']
['complicates', 'compared_with', 'disrupts', 'prevents']
['complicates', 'diagnoses', 'disrupts', 'interacts_with']
['complicates', 'inhibits', 'disrupts', 'occurs_in']
['complicates', 'inhibits', 'inhibits', 'produces']
['complicates', 'causes', 'augments', 'same_as']
['complicates', 'prevents', 'coexists_with', 'part_of']
['complicates', 'location_of']
['complicates', 'causes', 'diagnoses', 'coexists_with']
['complicates', 'causes', 'treats', 'coexists_with']
['complicates', 'location_of', 'causes', 'inhibits']
['complicates', 'occurs_in', 'inhibits', 'coexists_with']
['complicates', 'diagnoses', 'coexists_with', 'same_as']
['complicates', 'affects']
['complicates', 'part_of', 'coexists_with', 'complicates']
['complicates', 'stimulates', 'isa', 'interacts_with']
['complicates', 'affects', 'compared_with', 'disrupts']
['complicates', 'causes', 'same_as', 'occurs_in']
['complicates', 'associated_with', 'inhibits', 'associated_with']
['complicates', 'location_of', 'treats', 'diagnoses']
['complicates', 'coexists_with', 'same_as', 'causes']
['complicates', 'augments', 'occurs_in', 'complicates']
['complicates']
['complicates', 'same_as', 'complicates', 'coexists_with']
['complicates', 'associated_with', 'augments', 'augments']
['complicates', 'inhibits', 'stimulates', 'coexists_with']
['complicates', 'location_of', 'diagnoses', 'stimulates']
['complicates', 'compared_with', 'location_of', 'treats']
['complicates', 'associated_with', 'part_of', 'inhibits']
['complicates', 'compared_with', 'stimulates', 'prevents']
['complicates', 'affects', 'prevents', 'disrupts']
['complicates', 'augments', 'occurs_in', 'same_as']
['complicates', 'occurs_in', 'inhibits', 'causes']
['complicates', 'produces', 'diagnoses', 'treats']
['complicates', 'inhibits', 'diagnoses', 'causes']
['complicates', 'treats', 'causes', 'occurs_in']
['complicates', 'location_of', 'occurs_in', 'occurs_in']
['complicates', 'isa', 'affects', 'augments']
['complicates', 'associated_with', 'augments', 'compared_with']
['complicates', 'diagnoses', 'augments', 'prevents']
['complicates', 'interacts_with', 'occurs_in', 'inhibits']
['complicates', 'occurs_in', 'part_of', 'interacts_with']
['complicates', 'isa', 'prevents', 'causes']
['complicates', 'augments', 'treats', 'causes']
['complicates', 'complicates', 'associated_with', 'isa']
['complicates', 'disrupts', 'augments', 'inhibits']
['complicates', 'complicates', 'stimulates', 'causes']
['complicates', 'location_of', 'interacts_with', 'same_as']
['complicates', 'inhibits', 'occurs_in', 'associated_with']
['complicates', 'complicates', 'causes', 'produces']
['complicates', 'part_of', 'augments', 'location_of']
['complicates', 'disrupts', 'produces', 'affects']
['complicates', 'compared_with', 'coexists_with', 'associated_with']
['complicates', 'disrupts', 'occurs_in', 'stimulates']
['complicates', 'complicates', 'coexists_with', 'augments']
['complicates', 'coexists_with', 'treats', 'location_of']
['complicates', 'stimulates', 'isa', 'coexists_with']
['complicates', 'interacts_with', 'inhibits', 'causes']
['complicates', 'stimulates', 'same_as', 'stimulates']
['complicates', 'location_of', 'location_of', 'location_of']
['complicates', 'compared_with', 'diagnoses', 'disrupts']
['complicates', 'compared_with', 'location_of', 'interacts_with']
['complicates', 'occurs_in', 'part_of', 'occurs_in']
['complicates', 'inhibits', 'same_as', 'occurs_in']
['complicates', 'complicates', 'augments', 'part_of']
['complicates', 'location_of', 'isa', 'isa']
['complicates', 'coexists_with', 'affects', 'complicates']
['complicates', 'location_of', 'complicates', 'compared_with']
['complicates', 'complicates', 'interacts_with', 'causes']
['complicates', 'complicates', 'diagnoses', 'disrupts']
['complicates', 'complicates', 'compared_with', 'same_as']
['complicates', 'treats', 'compared_with', 'affects']
['complicates', 'location_of', 'produces', 'prevents']
['complicates', 'diagnoses', 'part_of', 'coexists_with']
['complicates', 'compared_with', 'disrupts', 'same_as']
['complicates', 'inhibits', 'augments', 'occurs_in']
['complicates', 'same_as', 'causes', 'isa']
['complicates', 'occurs_in', 'diagnoses', 'associated_with']
['complicates', 'part_of', 'disrupts', 'produces']
['complicates', 'occurs_in', 'interacts_with', 'treats']
['complicates', 'produces', 'causes', 'inhibits']
['complicates', 'isa', 'prevents', 'prevents']
['complicates', 'interacts_with', 'stimulates', 'inhibits']
['complicates', 'affects', 'augments', 'occurs_in']
['complicates', 'diagnoses', 'occurs_in', 'part_of']
['complicates', 'part_of', 'occurs_in', 'produces']
['complicates', 'disrupts', 'coexists_with', 'causes']
['complicates', 'stimulates', 'coexists_with', 'location_of']
['complicates', 'isa', 'augments', 'associated_with']
['complicates', 'inhibits', 'occurs_in', 'isa']
['complicates', 'occurs_in', 'compared_with', 'produces']
['complicates', 'inhibits', 'part_of', 'compared_with']
['prevents']
['prevents', 'part_of', 'produces', 'inhibits']
['prevents', 'location_of', 'location_of', 'occurs_in']
['prevents', 'isa', 'occurs_in', 'isa']
['prevents', 'treats', 'coexists_with', 'part_of']
['prevents', 'augments', 'isa', 'augments']
['prevents', 'inhibits', 'treats', 'complicates']
['prevents', 'inhibits', 'diagnoses', 'causes']
['prevents', 'complicates', 'causes', 'causes']
['prevents', 'isa', 'compared_with', 'coexists_with']
['prevents', 'causes', 'augments', 'part_of']
['prevents', 'associated_with', 'augments', 'part_of']
['prevents', 'produces', 'isa', 'isa']
['prevents', 'causes', 'isa', 'affects']
['prevents', 'produces', 'same_as', 'occurs_in']
['prevents', 'diagnoses', 'part_of', 'prevents']
['prevents', 'part_of', 'complicates', 'isa']
['prevents', 'associated_with', 'same_as', 'same_as']
['prevents', 'stimulates', 'prevents', 'isa']
['prevents', 'diagnoses', 'treats', 'causes']
['prevents', 'treats', 'associated_with', 'associated_with']
['prevents', 'compared_with', 'treats', 'occurs_in']
['prevents', 'coexists_with', 'produces', 'disrupts']
['prevents', 'coexists_with', 'complicates', 'inhibits']
['prevents', 'associated_with', 'prevents', 'treats']
['prevents', 'coexists_with', 'location_of', 'same_as']
['prevents', 'interacts_with', 'part_of', 'associated_with']
['prevents', 'augments', 'isa', 'isa']
['prevents', 'treats', 'affects', 'affects']
['prevents', 'prevents', 'causes', 'part_of']
['prevents', 'prevents']
['prevents', 'inhibits', 'coexists_with', 'occurs_in']
['prevents', 'complicates', 'associated_with', 'isa']
['prevents', 'inhibits', 'location_of', 'location_of']
['prevents', 'interacts_with', 'part_of', 'compared_with']
['prevents', 'associated_with', 'associated_with', 'disrupts']
['prevents', 'isa', 'affects', 'produces']
['prevents', 'occurs_in', 'inhibits', 'compared_with']
['prevents', 'inhibits', 'causes', 'part_of']
['prevents', 'part_of', 'affects', 'prevents']
['prevents', 'disrupts', 'isa', 'part_of']
['prevents', 'affects', 'interacts_with', 'prevents']
['prevents', 'augments', 'occurs_in', 'disrupts']
['prevents', 'diagnoses', 'disrupts', 'isa']
['prevents', 'interacts_with', 'disrupts', 'location_of']
['prevents', 'part_of', 'associated_with', 'augments']
['prevents', 'causes', 'causes', 'compared_with']
['prevents', 'causes', 'stimulates', 'affects']
['prevents', 'compared_with']
['prevents', 'compared_with', 'diagnoses']
['prevents', 'augments', 'inhibits', 'coexists_with']
['prevents', 'produces', 'compared_with', 'stimulates']
['prevents', 'stimulates', 'compared_with', 'complicates']
['prevents', 'inhibits', 'augments', 'diagnoses']
['prevents', 'augments', 'affects', 'location_of']
['prevents', 'interacts_with', 'augments', 'stimulates']
['prevents', 'coexists_with', 'treats', 'complicates']
['prevents', 'compared_with', 'occurs_in', 'isa']
['prevents', 'prevents', 'causes', 'complicates']
['prevents', 'causes', 'occurs_in', 'diagnoses']
['prevents', 'coexists_with', 'diagnoses', 'affects']
['prevents', 'stimulates', 'part_of']
['prevents', 'treats', 'interacts_with', 'stimulates']
['prevents', 'disrupts', 'inhibits', 'coexists_with']
['prevents', 'same_as', 'diagnoses', 'prevents']
['prevents', 'causes', 'isa', 'coexists_with']
['prevents', 'inhibits', 'produces', 'associated_with']
['prevents', 'part_of', 'coexists_with', 'interacts_with']
['prevents', 'affects', 'produces', 'inhibits']
['prevents', 'stimulates', 'augments', 'same_as']
['prevents', 'isa', 'produces', 'associated_with']
['prevents', 'same_as', 'affects', 'occurs_in']
['prevents', 'same_as', 'coexists_with', 'compared_with']
['prevents', 'produces', 'affects', 'interacts_with']
['prevents', 'same_as', 'part_of', 'stimulates']
['prevents', 'inhibits', 'diagnoses', 'stimulates']
['prevents', 'isa', 'causes', 'compared_with']
['prevents', 'diagnoses', 'inhibits', 'prevents']
['prevents', 'compared_with', 'treats', 'affects']
['prevents', 'associated_with', 'treats', 'causes']
['prevents', 'same_as', 'treats', 'stimulates']
['prevents', 'coexists_with', 'coexists_with', 'same_as']
['prevents', 'interacts_with']
['prevents', 'stimulates', 'occurs_in', 'location_of']
['prevents', 'treats', 'augments', 'disrupts']
['prevents', 'interacts_with', 'same_as', 'part_of']
['prevents', 'inhibits', 'prevents', 'compared_with']
['prevents', 'prevents', 'disrupts', 'treats']
['prevents', 'prevents', 'location_of', 'diagnoses']
['prevents', 'treats', 'stimulates', 'compared_with']
['prevents', 'inhibits', 'occurs_in', 'treats']
['prevents', 'inhibits', 'stimulates', 'compared_with']
['prevents', 'associated_with', 'diagnoses', 'inhibits']
['prevents', 'causes', 'augments', 'compared_with']
['prevents', 'location_of', 'coexists_with', 'coexists_with']
['prevents', 'treats', 'inhibits', 'location_of']
['disrupts', 'isa', 'same_as', 'isa']
['disrupts', 'compared_with', 'treats', 'augments']
['disrupts', 'occurs_in', 'prevents', 'inhibits']
['disrupts', 'part_of', 'complicates', 'part_of']
['disrupts', 'coexists_with']
['disrupts', 'augments', 'isa', 'same_as']
['disrupts', 'isa', 'inhibits', 'inhibits']
['disrupts', 'occurs_in', 'complicates', 'occurs_in']
['disrupts', 'causes', 'produces', 'complicates']
['disrupts', 'part_of', 'location_of', 'inhibits']
['disrupts', 'location_of', 'inhibits', 'compared_with']
['disrupts', 'occurs_in', 'location_of', 'same_as']
['disrupts', 'causes', 'interacts_with', 'associated_with']
['disrupts', 'complicates', 'associated_with', 'prevents']
['disrupts', 'affects', 'compared_with', 'causes']
['disrupts', 'compared_with', 'produces', 'treats']
['disrupts', 'isa', 'diagnoses', 'isa']
['disrupts', 'causes', 'affects', 'disrupts']
['disrupts', 'location_of', 'compared_with', 'occurs_in']
['disrupts', 'inhibits', 'inhibits', 'isa']
['disrupts', 'location_of', 'compared_with', 'associated_with']
['disrupts', 'occurs_in', 'inhibits', 'disrupts']
['disrupts', 'inhibits', 'occurs_in', 'inhibits']
['disrupts', 'location_of', 'treats', 'coexists_with']
['disrupts', 'location_of', 'isa', 'compared_with']
['disrupts', 'stimulates', 'inhibits', 'interacts_with']
['disrupts', 'disrupts', 'interacts_with', 'causes']
['disrupts', 'occurs_in', 'produces', 'causes']
['disrupts', 'causes', 'augments', 'affects']
['disrupts', 'disrupts', 'prevents', 'stimulates']
['disrupts', 'augments', 'isa', 'diagnoses']
['disrupts', 'occurs_in', 'treats', 'treats']
['disrupts', 'affects', 'diagnoses', 'occurs_in']
['disrupts', 'affects', 'treats', 'coexists_with']
['disrupts', 'treats', 'causes', 'isa']
['disrupts', 'isa', 'disrupts', 'isa']
['disrupts', 'augments', 'same_as', 'part_of']
['disrupts', 'interacts_with', 'same_as', 'treats']
['disrupts', 'coexists_with', 'same_as', 'compared_with']
['disrupts', 'associated_with', 'occurs_in', 'occurs_in']
['disrupts', 'stimulates', 'part_of', 'causes']
['disrupts', 'associated_with', 'occurs_in', 'isa']
['disrupts', 'diagnoses', 'stimulates', 'associated_with']
['disrupts', 'affects', 'associated_with', 'diagnoses']
['disrupts', 'disrupts', 'affects', 'isa']
['disrupts', 'disrupts', 'location_of', 'complicates']
['disrupts', 'coexists_with', 'interacts_with', 'same_as']
['disrupts', 'associated_with', 'coexists_with', 'same_as']
['disrupts', 'part_of', 'produces', 'diagnoses']
['disrupts', 'associated_with', 'interacts_with', 'inhibits']
['disrupts', 'same_as', 'coexists_with', 'part_of']
['disrupts', 'causes', 'prevents', 'part_of']
['disrupts', 'inhibits', 'prevents', 'prevents']
['disrupts', 'diagnoses', 'inhibits', 'complicates']
['disrupts', 'prevents', 'treats', 'causes']
['disrupts', 'interacts_with', 'disrupts', 'inhibits']
['disrupts', 'coexists_with', 'stimulates', 'augments']
['disrupts', 'inhibits', 'location_of']
['disrupts', 'same_as', 'diagnoses', 'associated_with']
['disrupts', 'prevents', 'disrupts', 'complicates']
['disrupts', 'associated_with', 'affects', 'treats']
['disrupts', 'treats', 'inhibits', 'causes']
['disrupts', 'diagnoses', 'affects', 'causes']
['disrupts', 'diagnoses', 'stimulates', 'produces']
['disrupts', 'prevents', 'occurs_in', 'stimulates']
['disrupts', 'occurs_in', 'stimulates', 'associated_with']
['disrupts', 'disrupts', 'prevents', 'causes']
['disrupts', 'isa', 'inhibits', 'isa']
['disrupts', 'produces']
['disrupts', 'inhibits', 'affects', 'coexists_with']
['disrupts', 'treats', 'coexists_with', 'occurs_in']
['disrupts', 'location_of', 'augments', 'complicates']
