['diagnoses', 'location_of', 'causes', 'location_of']
['occurs_in', 'causes', 'affects', 'treats']
['occurs_in', 'produces', 'treats', 'compared_with']
['occurs_in', 'complicates', 'associated_with', 'part_of']
['occurs_in', 'same_as', 'interacts_with', 'disrupts']
['occurs_in', 'occurs_in', 'part_of', 'produces']
['occurs_in', 'stimulates', 'coexists_with', 'stimulates']
['occurs_in', 'coexists_with']
['occurs_in', 'stimulates', 'compared_with']
['occurs_in', 'affects', 'inhibits', 'part_of']
['occurs_in', 'interacts_with', 'interacts_with', 'causes']
['occurs_in', 'diagnoses', 'diagnoses', 'disrupts']
['occurs_in', 'part_of', 'occurs_in', 'diagnoses']
['occurs_in', 'part_of', 'coexists_with', 'isa']
['occurs_in', 'prevents', 'stimulates', 'prevents']
['occurs_in', 'part_of', 'occurs_in', 'causes']
['occurs_in', 'coexists_with', 'coexists_with', 'augments']
['occurs_in', 'coexists_with', 'coexists_with', 'produces']
['occurs_in', 'stimulates', 'coexists_with', 'augments']
['occurs_in', 'produces', 'produces', 'prevents']
['occurs_in', 'associated_with', 'diagnoses', 'prevents']
['occurs_in', 'affects', 'stimulates', 'affects']
['occurs_in', 'inhibits', 'inhibits', 'interacts_with']
['occurs_in', 'treats', 'stimulates', 'occurs_in']
['occurs_in', 'compared_with', 'complicates', 'inhibits']
['occurs_in', 'causes', 'associated_with', 'interacts_with']
['occurs_in', 'associated_with', 'treats', 'isa']
['occurs_in', 'location_of', 'isa']
['occurs_in', 'disrupts', 'complicates', 'part_of']
['occurs_in', 'isa', 'augments']
['occurs_in', 'augments', 'interacts_with', 'associated_with']
['occurs_in', 'treats', 'prevents', 'augments']
['occurs_in', 'diagnoses', 'treats', 'occurs_in']
['occurs_in', 'prevents', 'prevents', 'complicates']
['occurs_in', 'isa', 'part_of', 'affects']
['occurs_in', 'interacts_with', 'causes', 'inhibits']
['occurs_in', 'location_of', 'compared_with', 'diagnoses']
['occurs_in', 'augments', 'produces', 'associated_with']
['occurs_in', 'inhibits']
['occurs_in', 'prevents', 'interacts_with', 'part_of']
['occurs_in']
['occurs_in', 'produces', 'stimulates', 'compared_with']
['occurs_in', 'location_of', 'stimulates', 'associated_with']
['occurs_in', 'inhibits', 'stimulates', 'location_of']
['occurs_in', 'associated_with', 'coexists_with', 'coexists_with']
['occurs_in', 'augments', 'prevents', 'part_of']
['occurs_in', 'stimulates', 'compared_with', 'location_of']
['occurs_in', 'compared_with', 'causes', 'compared_with']
['occurs_in', 'coexists_with', 'produces', 'occurs_in']
['occurs_in', 'causes', 'disrupts', 'produces']
['occurs_in', 'inhibits', 'causes', 'disrupts']
['occurs_in', 'stimulates', 'diagnoses', 'causes']
['occurs_in', 'isa', 'inhibits', 'interacts_with']
['occurs_in', 'causes', 'treats', 'diagnoses']
['occurs_in', 'part_of', 'disrupts', 'disrupts']
['occurs_in', 'affects', 'diagnoses', 'causes']
['occurs_in', 'disrupts', 'location_of', 'stimulates']
['occurs_in', 'same_as', 'affects', 'augments']
['occurs_in', 'causes', 'prevents', 'disrupts']
['occurs_in', 'coexists_with', 'causes', 'same_as']
['occurs_in', 'prevents', 'part_of', 'compared_with']
['occurs_in', 'causes', 'location_of', 'treats']
['occurs_in', 'isa', 'produces', 'interacts_with']
['occurs_in', 'disrupts', 'diagnoses', 'augments']
['occurs_in', 'stimulates', 'occurs_in', 'affects']
['occurs_in', 'occurs_in', 'prevents', 'affects']
['occurs_in', 'produces', 'stimulates', 'affects']
['occurs_in', 'complicates', 'augments', 'part_of']
['occurs_in', 'interacts_with', 'coexists_with', 'disrupts']
['occurs_in', 'part_of', 'diagnoses', 'causes']
['occurs_in', 'coexists_with', 'occurs_in', 'associated_with']
['occurs_in', 'part_of', 'part_of', 'associated_with']
['occurs_in', 'coexists_with', 'produces', 'location_of']
['occurs_in', 'interacts_with', 'treats', 'prevents']
['occurs_in', 'prevents', 'diagnoses', 'part_of']
['occurs_in', 'same_as', 'isa', 'produces']
['occurs_in', 'associated_with', 'produces', 'produces']
['occurs_in', 'occurs_in', 'same_as', 'causes']
['occurs_in', 'interacts_with', 'coexists_with', 'causes']
['occurs_in', 'coexists_with', 'prevents', 'location_of']
['occurs_in', 'augments', 'same_as', 'occurs_in']
['occurs_in', 'part_of', 'causes', 'coexists_with']
['occurs_in', 'occurs_in', 'complicates', 'isa']
['occurs_in', 'affects', 'isa', 'treats']
['occurs_in', 'causes', 'stimulates', 'location_of']
['occurs_in', 'diagnoses', 'location_of', 'coexists_with']
['occurs_in', 'occurs_in', 'augments', 'produces']
['occurs_in', 'inhibits', 'associated_with', 'complicates']
['occurs_in', 'produces', 'prevents', 'produces']
['occurs_in', 'prevents', 'interacts_with', 'compared_with']
['occurs_in', 'occurs_in', 'causes', 'produces']
['occurs_in', 'complicates', 'augments', 'coexists_with']
['occurs_in', 'prevents', 'prevents', 'stimulates']
['occurs_in', 'causes', 'interacts_with', 'prevents']
['occurs_in', 'disrupts', 'stimulates', 'prevents']
['occurs_in', 'produces', 'diagnoses', 'location_of']
['occurs_in', 'occurs_in', 'treats', 'prevents']
['occurs_in', 'associated_with', 'associated_with', 'compared_with']
['same_as', 'inhibits', 'part_of', 'disrupts']
['same_as', 'affects', 'complicates']
['same_as', 'isa', 'prevents', 'diagnoses']
['same_as', 'disrupts', 'occurs_in', 'interacts_with']
['same_as', 'causes', 'causes', 'interacts_with']
['same_as', 'causes', 'prevents', 'location_of']
['same_as', 'complicates', 'stimulates', 'diagnoses']
['same_as', 'treats', 'stimulates', 'occurs_in']
['same_as', 'occurs_in', 'interacts_with', 'augments']
['same_as', 'complicates']
['same_as', 'coexists_with', 'associated_with', 'occurs_in']
['same_as', 'location_of', 'part_of', 'occurs_in']
['same_as', 'part_of', 'causes', 'augments']
['same_as', 'produces', 'treats', 'disrupts']
['same_as', 'inhibits', 'part_of', 'augments']
['same_as', 'causes', 'complicates', 'associated_with']
['same_as', 'inhibits', 'prevents']
['same_as', 'causes', 'coexists_with', 'associated_with']
['same_as', 'complicates', 'stimulates', 'isa']
['same_as', 'interacts_with', 'disrupts', 'occurs_in']
['same_as', 'interacts_with', 'part_of', 'occurs_in']
['same_as', 'part_of', 'complicates', 'produces']
['same_as', 'affects', 'stimulates', 'treats']
['same_as', 'prevents', 'part_of', 'affects']
['same_as', 'treats', 'same_as', 'compared_with']
['same_as', 'compared_with']
['same_as', 'diagnoses', 'produces', 'occurs_in']
['same_as', 'stimulates', 'isa', 'location_of']
['same_as', 'stimulates', 'complicates', 'prevents']
['same_as', 'location_of', 'occurs_in', 'complicates']
['same_as', 'prevents', 'augments', 'same_as']
['same_as', 'part_of', 'same_as', 'produces']
['same_as', 'compared_with', 'augments', 'produces']
['same_as', 'same_as', 'part_of', 'isa']
['same_as', 'causes', 'location_of', 'prevents']
['same_as', 'augments', 'causes', 'compared_with']
['same_as', 'coexists_with', 'location_of', 'interacts_with']
['same_as', 'interacts_with', 'produces', 'interacts_with']
['same_as']
['same_as', 'coexists_with', 'complicates', 'interacts_with']
['same_as', 'prevents', 'isa', 'affects']
['same_as', 'isa', 'same_as', 'augments']
['same_as', 'prevents', 'produces', 'location_of']
['same_as', 'produces', 'disrupts', 'occurs_in']
['same_as', 'occurs_in', 'isa', 'associated_with']
['same_as', 'prevents', 'coexists_with']
['same_as', 'inhibits', 'treats', 'disrupts']
['same_as', 'disrupts', 'diagnoses', 'interacts_with']
['same_as', 'prevents', 'produces', 'stimulates']
['same_as', 'causes', 'inhibits', 'augments']
['same_as', 'stimulates', 'treats', 'prevents']
['same_as', 'isa', 'produces', 'isa']
['same_as', 'location_of', 'interacts_with', 'interacts_with']
['same_as', 'prevents', 'produces', 'produces']
['same_as', 'causes', 'part_of', 'produces']
['same_as', 'part_of', 'causes', 'diagnoses']
['same_as', 'produces', 'prevents', 'coexists_with']
['same_as', 'occurs_in', 'affects', 'location_of']
['same_as', 'complicates', 'augments', 'produces']
['same_as', 'causes', 'stimulates', 'complicates']
['same_as', 'augments', 'associated_with', 'coexists_with']
['same_as', 'prevents', 'location_of']
['same_as', 'part_of', 'same_as', 'augments']
['same_as', 'location_of', 'associated_with', 'stimulates']
['same_as', 'complicates', 'coexists_with', 'stimulates']
['same_as', 'occurs_in', 'causes', 'diagnoses']
['same_as', 'coexists_with', 'causes', 'produces']
['same_as', 'affects', 'augments', 'produces']
['same_as', 'inhibits', 'same_as', 'causes']
['same_as', 'causes', 'interacts_with', 'complicates']
['same_as', 'stimulates', 'part_of', 'interacts_with']
['same_as', 'treats', 'complicates', 'associated_with']
['same_as', 'part_of', 'complicates', 'isa']
['same_as', 'same_as', 'isa', 'coexists_with']
['same_as', 'location_of', 'produces', 'causes']
['same_as', 'treats', 'isa', 'occurs_in']
['same_as', 'prevents', 'diagnoses', 'occurs_in']
['same_as', 'causes', 'stimulates', 'occurs_in']
['same_as', 'associated_with', 'part_of', 'inhibits']
['same_as', 'stimulates', 'associated_with', 'prevents']
['same_as', 'coexists_with', 'associated_with', 'location_of']
['same_as', 'augments', 'complicates', 'treats']
['same_as', 'coexists_with', 'diagnoses', 'causes']
['same_as', 'treats', 'augments', 'same_as']
['same_as', 'augments', 'part_of', 'complicates']
['same_as', 'coexists_with', 'affects', 'prevents']
['same_as', 'disrupts', 'complicates', 'inhibits']
['same_as', 'augments', 'same_as', 'augments']
['same_as', 'diagnoses', 'disrupts', 'augments']
['same_as', 'causes', 'produces', 'part_of']
['same_as', 'complicates', 'part_of', 'associated_with']
['same_as', 'coexists_with', 'prevents', 'part_of']
['same_as', 'isa', 'causes', 'isa']
['same_as', 'inhibits', 'treats', 'prevents']
['same_as', 'compared_with', 'associated_with', 'treats']
['same_as', 'causes', 'stimulates', 'augments']
['same_as', 'causes', 'occurs_in', 'treats']
['complicates', 'same_as', 'interacts_with', 'augments']
['complicates', 'occurs_in', 'interacts_with', 'prevents']
['complicates', 'occurs_in', 'produces', 'associated_with']
['complicates', 'interacts_with', 'prevents', 'occurs_in']
['complicates', 'isa', 'affects', 'coexists_with']
['complicates', 'isa', 'disrupts', 'part_of']
['complicates', 'part_of', 'diagnoses', 'compared_with']
['complicates', 'part_of', 'stimulates', 'coexists_with']
['complicates', 'augments', 'prevents', 'produces']
['complicates', 'affects', 'causes', 'complicates']
['complicates', 'occurs_in', 'disrupts', 'inhibits']
['complicates', 'prevents', 'stimulates', 'augments']
['complicates', 'affects', 'produces', 'causes']
['complicates', 'produces', 'complicates', 'interacts_with']
['complicates', 'produces', 'complicates', 'prevents']
['complicates', 'interacts_with', 'diagnoses', 'stimulates']
['complicates', 'disrupts', 'location_of', 'treats']
['complicates', 'inhibits', 'prevents', 'disrupts']
['complicates', 'produces', 'interacts_with', 'coexists_with']
['complicates', 'causes', 'interacts_with', 'disrupts']
['complicates', 'same_as']
['complicates', 'prevents', 'stimulates', 'treats']
['complicates', 'location_of', 'prevents', 'isa']
['complicates', 'produces', 'disrupts', 'occurs_in']
['complicates', 'causes', 'associated_with', 'produces']
['complicates', 'stimulates']
['complicates', 'treats']
['complicates', 'occurs_in', 'causes', 'coexists_with']
['complicates', 'treats', 'part_of', 'affects']
['complicates', 'diagnoses', 'inhibits', 'augments']
['complicates', 'complicates', 'associated_with', 'disrupts']
['complicates', 'causes', 'complicates', 'augments']
['complicates', 'associated_with', 'compared_with', 'occurs_in']
['complicates', 'disrupts', 'coexists_with', 'diagnoses']
['complicates', 'produces', 'isa', 'occurs_in']
['complicates', 'same_as', 'prevents', 'diagnoses']
['complicates', 'part_of', 'augments', 'part_of']
['complicates']
['complicates', 'coexists_with', 'occurs_in', 'produces']
['complicates', 'affects', 'prevents', 'causes']
['complicates', 'interacts_with', 'treats', 'affects']
['complicates', 'produces', 'causes', 'associated_with']
['complicates', 'isa', 'associated_with', 'prevents']
['complicates', 'interacts_with', 'affects', 'stimulates']
['complicates', 'affects', 'complicates', 'treats']
['complicates', 'causes', 'occurs_in', 'interacts_with']
['complicates', 'augments', 'associated_with', 'interacts_with']
['complicates', 'interacts_with', 'produces', 'compared_with']
['complicates', 'augments', 'disrupts', 'compared_with']
['complicates', 'diagnoses', 'part_of', 'treats']
['complicates', 'same_as', 'stimulates', 'treats']
['complicates', 'causes', 'causes', 'augments']
['complicates', 'interacts_with', 'occurs_in', 'isa']
['complicates', 'causes', 'part_of', 'diagnoses']
['complicates', 'occurs_in', 'same_as', 'produces']
['complicates', 'produces']
['complicates', 'diagnoses', 'produces', 'causes']
['complicates', 'associated_with', 'stimulates', 'prevents']
['complicates', 'stimulates', 'interacts_with', 'stimulates']
['complicates', 'compared_with', 'same_as', 'isa']
['complicates', 'produces', 'isa', 'isa']
['complicates', 'disrupts', 'same_as', 'complicates']
['complicates', 'occurs_in', 'part_of', 'augments']
['complicates', 'complicates', 'associated_with', 'treats']
['complicates', 'causes']
['complicates', 'associated_with', 'part_of', 'prevents']
['complicates', 'compared_with', 'interacts_with', 'compared_with']
['complicates', 'part_of', 'produces', 'affects']
['complicates', 'treats', 'location_of']
['complicates', 'occurs_in', 'prevents', 'augments']
['complicates', 'complicates', 'part_of', 'affects']
['complicates', 'part_of', 'treats', 'augments']
['complicates', 'coexists_with', 'stimulates', 'part_of']
['complicates', 'prevents', 'disrupts', 'occurs_in']
['complicates', 'compared_with', 'causes', 'augments']
['complicates', 'compared_with', 'affects', 'stimulates']
['complicates', 'augments', 'augments', 'coexists_with']
['complicates', 'causes', 'prevents', 'location_of']
['complicates', 'stimulates', 'augments', 'diagnoses']
['complicates', 'interacts_with', 'inhibits', 'stimulates']
['complicates', 'location_of', 'diagnoses', 'compared_with']
['complicates', 'complicates', 'isa', 'same_as']
['complicates', 'part_of', 'affects', 'produces']
['complicates', 'complicates', 'produces', 'associated_with']
['complicates', 'associated_with', 'complicates', 'prevents']
['complicates', 'causes', 'affects', 'augments']
['complicates', 'augments', 'treats', 'affects']
['complicates', 'disrupts', 'occurs_in', 'disrupts']
['complicates', 'augments', 'inhibits', 'part_of']
['complicates', 'associated_with', 'inhibits', 'diagnoses']
['complicates', 'inhibits', 'interacts_with', 'compared_with']
['complicates', 'interacts_with', 'treats', 'location_of']
['complicates', 'complicates', 'interacts_with', 'complicates']
['complicates', 'inhibits', 'affects', 'diagnoses']
['complicates', 'compared_with', 'causes', 'causes']
['complicates', 'isa', 'disrupts', 'produces']
['complicates', 'affects', 'interacts_with', 'prevents']
['prevents', 'stimulates', 'inhibits', 'interacts_with']
['prevents', 'coexists_with', 'prevents', 'coexists_with']
['prevents', 'disrupts', 'disrupts', 'diagnoses']
['prevents', 'compared_with', 'prevents', 'associated_with']
['prevents', 'treats', 'associated_with', 'coexists_with']
['prevents', 'occurs_in', 'compared_with', 'prevents']
['prevents', 'part_of', 'augments', 'complicates']
['prevents', 'associated_with', 'isa', 'affects']
['prevents', 'prevents', 'causes', 'stimulates']
['prevents', 'prevents', 'associated_with', 'diagnoses']
['prevents', 'isa', 'causes', 'prevents']
['prevents', 'produces', 'part_of', 'causes']
['prevents', 'inhibits', 'stimulates', 'complicates']
['prevents', 'compared_with', 'produces', 'location_of']
['prevents', 'compared_with', 'prevents', 'same_as']
['prevents', 'complicates', 'stimulates', 'disrupts']
['prevents', 'produces', 'prevents', 'causes']
['prevents', 'complicates', 'associated_with', 'complicates']
['prevents', 'coexists_with', 'location_of', 'complicates']
['prevents', 'treats', 'inhibits', 'same_as']
['prevents', 'prevents', 'prevents', 'causes']
['prevents', 'coexists_with', 'location_of', 'interacts_with']
['prevents', 'same_as', 'part_of', 'stimulates']
['prevents', 'associated_with', 'augments', 'treats']
['prevents', 'diagnoses', 'interacts_with', 'causes']
['prevents', 'location_of', 'coexists_with', 'occurs_in']
['prevents', 'interacts_with']
['prevents', 'produces', 'interacts_with']
['prevents', 'complicates', 'produces', 'prevents']
['prevents', 'disrupts', 'interacts_with', 'part_of']
['prevents', 'stimulates', 'compared_with', 'produces']
['prevents', 'diagnoses', 'part_of', 'prevents']
['prevents', 'occurs_in', 'part_of', 'causes']
['prevents', 'coexists_with', 'part_of', 'causes']
['prevents', 'interacts_with', 'produces', 'same_as']
['prevents', 'prevents', 'isa', 'occurs_in']
['prevents', 'prevents', 'location_of', 'diagnoses']
['prevents', 'causes', 'augments', 'disrupts']
['prevents', 'isa', 'part_of', 'occurs_in']
['prevents', 'prevents', 'occurs_in', 'interacts_with']
['prevents', 'treats', 'prevents', 'associated_with']
['prevents', 'part_of', 'location_of', 'stimulates']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'stimulates', 'prevents', 'same_as']
['prevents', 'complicates', 'interacts_with', 'part_of']
['prevents', 'treats', 'interacts_with', 'affects']
['prevents', 'complicates', 'inhibits', 'coexists_with']
['prevents', 'interacts_with', 'stimulates', 'isa']
['prevents', 'prevents', 'produces', 'same_as']
['prevents', 'disrupts', 'inhibits', 'isa']
['prevents', 'isa', 'produces', 'diagnoses']
['prevents', 'coexists_with', 'same_as', 'occurs_in']
['prevents', 'produces', 'location_of', 'produces']
['prevents', 'prevents', 'inhibits', 'occurs_in']
['prevents', 'part_of', 'causes', 'location_of']
['prevents', 'stimulates', 'part_of', 'disrupts']
['prevents', 'associated_with', 'part_of', 'complicates']
['prevents', 'part_of', 'produces', 'interacts_with']
['prevents', 'complicates', 'affects', 'affects']
['prevents', 'inhibits', 'diagnoses', 'interacts_with']
['prevents', 'stimulates', 'same_as', 'associated_with']
['prevents', 'complicates', 'affects', 'prevents']
['prevents', 'augments']
['prevents', 'prevents', 'part_of', 'occurs_in']
['prevents', 'disrupts', 'causes', 'augments']
['prevents', 'disrupts', 'stimulates', 'same_as']
['prevents', 'produces', 'causes', 'treats']
['prevents', 'inhibits', 'location_of', 'location_of']
['prevents', 'prevents', 'interacts_with', 'part_of']
['prevents', 'complicates', 'stimulates', 'interacts_with']
['prevents', 'disrupts', 'produces', 'treats']
['prevents', 'associated_with', 'isa', 'prevents']
['prevents', 'location_of', 'associated_with', 'complicates']
['prevents', 'interacts_with', 'disrupts', 'isa']
['prevents', 'causes', 'stimulates', 'coexists_with']
['prevents', 'causes', 'occurs_in', 'coexists_with']
['prevents', 'stimulates', 'produces', 'causes']
['prevents']
['prevents', 'treats', 'disrupts', 'prevents']
['prevents', 'produces', 'diagnoses', 'causes']
['prevents', 'compared_with', 'augments', 'augments']
['prevents', 'treats', 'coexists_with', 'inhibits']
['prevents', 'treats', 'isa', 'isa']
['prevents', 'occurs_in', 'associated_with', 'interacts_with']
['prevents', 'compared_with', 'interacts_with', 'produces']
['prevents', 'augments', 'associated_with', 'causes']
['prevents', 'prevents']
['prevents', 'causes', 'prevents', 'augments']
['prevents', 'treats', 'disrupts', 'causes']
['prevents', 'stimulates', 'location_of', 'isa']
['prevents', 'isa', 'affects', 'stimulates']
['prevents', 'causes', 'diagnoses', 'treats']
['prevents', 'prevents', 'associated_with', 'complicates']
['prevents', 'disrupts', 'occurs_in', 'location_of']
['prevents', 'isa', 'isa', 'inhibits']
['prevents', 'stimulates', 'inhibits', 'affects']
['prevents', 'coexists_with', 'prevents', 'affects']
['prevents', 'part_of', 'stimulates', 'produces']
['prevents', 'diagnoses', 'affects', 'treats']
['prevents', 'occurs_in', 'occurs_in', 'coexists_with']
['disrupts', 'treats', 'disrupts']
['disrupts', 'part_of', 'disrupts', 'interacts_with']
['disrupts', 'location_of', 'prevents', 'prevents']
['disrupts', 'coexists_with', 'prevents', 'interacts_with']
['disrupts', 'stimulates', 'complicates', 'prevents']
['disrupts', 'augments', 'treats', 'inhibits']
['disrupts', 'treats', 'diagnoses', 'prevents']
['disrupts', 'occurs_in', 'produces', 'inhibits']
['disrupts', 'occurs_in', 'part_of', 'affects']
['disrupts', 'interacts_with', 'treats', 'augments']
['disrupts', 'disrupts', 'produces', 'causes']
['disrupts', 'complicates', 'stimulates', 'occurs_in']
['disrupts', 'prevents', 'part_of', 'produces']
['disrupts', 'inhibits', 'augments']
['disrupts', 'stimulates', 'coexists_with', 'produces']
['disrupts', 'isa', 'augments', 'disrupts']
['disrupts', 'location_of', 'interacts_with', 'interacts_with']
['disrupts', 'coexists_with', 'causes', 'complicates']
['disrupts', 'diagnoses', 'prevents', 'associated_with']
['disrupts', 'inhibits', 'part_of', 'associated_with']
['disrupts', 'prevents', 'same_as', 'produces']
['disrupts', 'diagnoses', 'part_of', 'prevents']
['disrupts', 'diagnoses', 'part_of', 'compared_with']
['disrupts', 'augments', 'prevents', 'stimulates']
['disrupts', 'location_of', 'occurs_in', 'isa']
['disrupts']
['disrupts', 'compared_with', 'associated_with', 'associated_with']
['disrupts', 'complicates', 'affects', 'disrupts']
['disrupts', 'produces', 'affects', 'interacts_with']
['disrupts', 'prevents', 'coexists_with', 'same_as']
['disrupts', 'occurs_in', 'isa', 'interacts_with']
['disrupts', 'interacts_with', 'compared_with', 'augments']
['disrupts', 'causes', 'isa']
['disrupts', 'augments', 'associated_with', 'disrupts']
['disrupts', 'prevents', 'stimulates', 'isa']
['disrupts', 'location_of', 'location_of', 'produces']
['disrupts', 'prevents', 'causes', 'occurs_in']
['disrupts', 'augments', 'stimulates', 'location_of']
['disrupts', 'treats', 'interacts_with', 'prevents']
['disrupts', 'produces', 'stimulates', 'complicates']
['disrupts', 'produces', 'augments', 'location_of']
['disrupts', 'augments', 'causes', 'interacts_with']
['disrupts', 'diagnoses', 'diagnoses', 'treats']
['disrupts', 'coexists_with', 'associated_with', 'produces']
['disrupts', 'disrupts', 'associated_with', 'produces']
['disrupts', 'disrupts', 'stimulates', 'isa']
['disrupts', 'interacts_with', 'part_of', 'augments']
['disrupts', 'treats', 'location_of', 'occurs_in']
['disrupts', 'treats', 'associated_with', 'complicates']
['disrupts', 'causes', 'produces']
['disrupts', 'causes', 'complicates', 'occurs_in']
['disrupts', 'interacts_with', 'interacts_with', 'occurs_in']
['disrupts', 'produces', 'associated_with', 'treats']
['disrupts', 'inhibits', 'inhibits']
['disrupts', 'affects', 'treats', 'part_of']
['disrupts', 'prevents', 'occurs_in', 'coexists_with']
['disrupts', 'part_of', 'affects', 'same_as']
['disrupts', 'prevents', 'interacts_with', 'stimulates']
['disrupts', 'affects', 'associated_with', 'complicates']
['disrupts', 'prevents', 'associated_with', 'causes']
['disrupts', 'stimulates', 'isa', 'causes']
['disrupts', 'treats', 'occurs_in', 'associated_with']
['disrupts', 'treats', 'part_of', 'treats']
['disrupts', 'coexists_with', 'occurs_in', 'stimulates']
['disrupts', 'diagnoses', 'compared_with', 'inhibits']
['disrupts', 'coexists_with', 'isa', 'part_of']
['disrupts', 'part_of', 'location_of', 'treats']
['disrupts', 'coexists_with', 'affects', 'compared_with']
