['diagnoses', 'stimulates', 'associated_with', 'part_of']
['diagnoses', 'diagnoses', 'causes', 'location_of']
['diagnoses', 'coexists_with', 'causes']
['diagnoses', 'causes', 'associated_with', 'interacts_with']
['diagnoses', 'prevents', 'coexists_with', 'augments']
['diagnoses', 'prevents', 'complicates', 'interacts_with']
['diagnoses', 'stimulates', 'produces', 'inhibits']
['diagnoses', 'part_of', 'diagnoses', 'produces']
['diagnoses', 'prevents', 'prevents', 'produces']
['diagnoses', 'stimulates', 'isa', 'compared_with']
['diagnoses', 'compared_with', 'interacts_with', 'coexists_with']
['diagnoses', 'compared_with', 'diagnoses', 'associated_with']
['diagnoses', 'treats', 'same_as', 'treats']
['diagnoses', 'part_of', 'affects', 'coexists_with']
['diagnoses', 'same_as', 'affects', 'inhibits']
['diagnoses', 'causes', 'disrupts', 'location_of']
['diagnoses', 'location_of', 'causes', 'prevents']
['diagnoses', 'same_as', 'diagnoses', 'interacts_with']
['diagnoses', 'causes', 'treats', 'isa']
['diagnoses', 'causes', 'inhibits', 'stimulates']
['diagnoses', 'stimulates', 'produces', 'causes']
['diagnoses', 'same_as', 'isa', 'inhibits']
['diagnoses', 'treats', 'causes', 'interacts_with']
['diagnoses', 'prevents', 'affects']
['diagnoses', 'part_of', 'causes', 'same_as']
['diagnoses', 'affects']
['diagnoses', 'isa', 'complicates', 'stimulates']
['diagnoses', 'augments', 'interacts_with']
['diagnoses', 'diagnoses', 'diagnoses', 'interacts_with']
['diagnoses', 'inhibits', 'associated_with', 'part_of']
['diagnoses', 'disrupts', 'disrupts', 'stimulates']
['diagnoses', 'inhibits', 'stimulates', 'interacts_with']
['diagnoses', 'augments', 'isa', 'same_as']
['diagnoses', 'produces']
['diagnoses', 'part_of', 'location_of', 'disrupts']
['diagnoses', 'stimulates', 'location_of', 'produces']
['diagnoses']
['diagnoses', 'causes', 'same_as', 'interacts_with']
['diagnoses', 'occurs_in', 'location_of', 'affects']
['occurs_in', 'part_of', 'disrupts', 'prevents']
['occurs_in', 'stimulates', 'same_as', 'complicates']
['occurs_in', 'augments', 'augments', 'isa']
['occurs_in', 'treats', 'inhibits', 'complicates']
['occurs_in', 'prevents', 'stimulates', 'inhibits']
['occurs_in', 'occurs_in', 'occurs_in', 'location_of']
['occurs_in', 'occurs_in', 'affects', 'coexists_with']
['occurs_in', 'complicates', 'isa', 'isa']
['occurs_in', 'augments', 'same_as', 'coexists_with']
['occurs_in', 'inhibits', 'produces', 'occurs_in']
['occurs_in', 'isa', 'produces', 'interacts_with']
['occurs_in', 'affects', 'inhibits', 'stimulates']
['occurs_in', 'produces', 'associated_with', 'associated_with']
['occurs_in', 'treats', 'occurs_in', 'associated_with']
['occurs_in', 'diagnoses']
['occurs_in', 'augments', 'augments', 'occurs_in']
['occurs_in', 'diagnoses', 'part_of', 'occurs_in']
['occurs_in', 'associated_with', 'location_of', 'compared_with']
['occurs_in', 'stimulates', 'stimulates', 'causes']
['occurs_in', 'compared_with', 'isa', 'treats']
['occurs_in', 'isa']
['occurs_in', 'affects', 'location_of', 'occurs_in']
['occurs_in', 'prevents', 'associated_with', 'disrupts']
['occurs_in', 'same_as', 'treats', 'treats']
['occurs_in', 'produces', 'complicates', 'part_of']
['occurs_in', 'coexists_with', 'complicates', 'associated_with']
['occurs_in', 'compared_with', 'same_as', 'prevents']
['occurs_in', 'augments', 'disrupts', 'coexists_with']
['occurs_in', 'produces', 'stimulates', 'isa']
['occurs_in', 'produces', 'stimulates', 'produces']
['occurs_in', 'location_of', 'part_of', 'augments']
['occurs_in', 'diagnoses', 'treats', 'associated_with']
['occurs_in', 'location_of', 'affects', 'causes']
['occurs_in', 'occurs_in', 'same_as']
['occurs_in', 'occurs_in', 'affects', 'inhibits']
['occurs_in', 'augments', 'prevents', 'causes']
['occurs_in', 'treats', 'produces', 'stimulates']
['occurs_in', 'augments', 'interacts_with', 'compared_with']
['occurs_in', 'compared_with', 'part_of', 'disrupts']
['occurs_in', 'stimulates', 'same_as', 'diagnoses']
['occurs_in', 'augments', 'isa', 'treats']
['occurs_in', 'diagnoses', 'produces', 'stimulates']
['occurs_in', 'causes', 'diagnoses', 'coexists_with']
['occurs_in', 'coexists_with', 'prevents', 'stimulates']
['occurs_in', 'affects', 'occurs_in', 'diagnoses']
['occurs_in', 'isa', 'diagnoses', 'produces']
['occurs_in', 'associated_with', 'location_of', 'treats']
['occurs_in', 'same_as', 'prevents', 'diagnoses']
['occurs_in', 'isa', 'interacts_with', 'treats']
['occurs_in', 'complicates', 'part_of', 'inhibits']
['occurs_in', 'treats', 'complicates', 'isa']
['occurs_in', 'part_of', 'treats', 'treats']
['occurs_in', 'complicates', 'treats', 'augments']
['occurs_in', 'causes']
['occurs_in', 'location_of', 'isa', 'prevents']
['occurs_in', 'treats', 'disrupts', 'isa']
['occurs_in', 'compared_with', 'augments', 'location_of']
['occurs_in', 'coexists_with', 'stimulates', 'same_as']
['occurs_in', 'isa', 'isa', 'interacts_with']
['occurs_in', 'part_of', 'location_of', 'isa']
['occurs_in', 'occurs_in', 'treats', 'augments']
['occurs_in', 'prevents', 'complicates', 'coexists_with']
['occurs_in', 'associated_with', 'part_of', 'isa']
['occurs_in', 'same_as', 'prevents', 'occurs_in']
['occurs_in', 'produces', 'same_as', 'produces']
['occurs_in', 'affects', 'isa', 'isa']
['occurs_in', 'part_of', 'affects', 'diagnoses']
['occurs_in', 'coexists_with', 'affects', 'occurs_in']
['occurs_in', 'disrupts', 'location_of', 'occurs_in']
['occurs_in', 'coexists_with', 'produces', 'location_of']
['occurs_in', 'prevents', 'disrupts', 'location_of']
['occurs_in', 'affects', 'associated_with', 'stimulates']
['occurs_in', 'disrupts', 'complicates', 'location_of']
['occurs_in', 'occurs_in', 'causes', 'causes']
['occurs_in', 'affects', 'diagnoses', 'isa']
['occurs_in', 'affects', 'treats', 'disrupts']
['occurs_in', 'prevents', 'prevents', 'prevents']
['occurs_in', 'produces', 'part_of', 'inhibits']
['occurs_in', 'produces']
['occurs_in', 'prevents', 'location_of', 'causes']
['occurs_in']
['occurs_in', 'prevents', 'associated_with', 'diagnoses']
['occurs_in', 'occurs_in', 'part_of', 'interacts_with']
['occurs_in', 'diagnoses', 'interacts_with']
['occurs_in', 'disrupts', 'isa', 'disrupts']
['occurs_in', 'diagnoses', 'isa']
['occurs_in', 'associated_with', 'occurs_in', 'produces']
['occurs_in', 'occurs_in', 'produces', 'treats']
['occurs_in', 'affects', 'affects', 'compared_with']
['occurs_in', 'part_of', 'isa', 'location_of']
['occurs_in', 'interacts_with', 'interacts_with', 'associated_with']
['occurs_in', 'same_as']
['occurs_in', 'inhibits', 'associated_with', 'same_as']
['occurs_in', 'causes', 'diagnoses', 'part_of']
['occurs_in', 'prevents', 'complicates', 'interacts_with']
['occurs_in', 'isa', 'augments', 'coexists_with']
['occurs_in', 'location_of', 'treats', 'interacts_with']
['occurs_in', 'augments', 'coexists_with', 'complicates']
['occurs_in', 'interacts_with', 'produces', 'augments']
['same_as', 'stimulates', 'associated_with', 'affects']
['same_as', 'coexists_with', 'diagnoses', 'occurs_in']
['same_as', 'produces', 'interacts_with', 'coexists_with']
['same_as', 'prevents', 'location_of', 'interacts_with']
['same_as', 'complicates', 'causes', 'prevents']
['same_as', 'complicates', 'prevents', 'inhibits']
['same_as', 'complicates', 'causes', 'augments']
['same_as', 'inhibits', 'diagnoses', 'produces']
['same_as', 'causes', 'interacts_with', 'same_as']
['same_as', 'complicates', 'treats', 'compared_with']
['same_as', 'affects', 'location_of', 'coexists_with']
['same_as', 'interacts_with', 'isa', 'causes']
['same_as', 'complicates', 'stimulates', 'isa']
['same_as', 'diagnoses', 'produces', 'inhibits']
['same_as', 'same_as', 'part_of', 'disrupts']
['same_as', 'occurs_in', 'isa', 'coexists_with']
['same_as', 'compared_with', 'complicates', 'prevents']
['same_as', 'isa', 'stimulates', 'disrupts']
['same_as', 'diagnoses']
['same_as', 'occurs_in', 'prevents', 'inhibits']
['same_as', 'interacts_with', 'stimulates', 'compared_with']
['same_as']
['same_as', 'produces', 'location_of', 'coexists_with']
['same_as', 'stimulates', 'produces', 'associated_with']
['same_as', 'disrupts', 'diagnoses', 'complicates']
['same_as', 'compared_with', 'inhibits', 'prevents']
['same_as', 'disrupts', 'complicates', 'disrupts']
['same_as', 'diagnoses', 'same_as', 'stimulates']
['same_as', 'prevents', 'complicates', 'diagnoses']
['same_as', 'produces', 'associated_with', 'complicates']
['same_as', 'isa', 'treats', 'treats']
['same_as', 'occurs_in', 'complicates', 'coexists_with']
['same_as', 'inhibits', 'causes', 'interacts_with']
['same_as', 'inhibits', 'part_of', 'causes']
['same_as', 'augments', 'stimulates', 'prevents']
['same_as', 'isa', 'interacts_with', 'affects']
['same_as', 'compared_with', 'disrupts', 'complicates']
['same_as', 'associated_with', 'stimulates', 'isa']
['same_as', 'inhibits', 'occurs_in', 'prevents']
['same_as', 'prevents', 'augments', 'stimulates']
['same_as', 'produces', 'prevents', 'causes']
['same_as', 'same_as', 'augments', 'isa']
['same_as', 'stimulates', 'interacts_with', 'treats']
['same_as', 'isa', 'inhibits', 'treats']
['same_as', 'interacts_with']
['same_as', 'augments', 'treats', 'inhibits']
['same_as', 'occurs_in', 'same_as', 'part_of']
['same_as', 'part_of', 'occurs_in', 'stimulates']
['same_as', 'diagnoses', 'part_of', 'occurs_in']
['same_as', 'coexists_with', 'isa', 'part_of']
['same_as', 'produces', 'disrupts', 'augments']
['same_as', 'part_of', 'treats', 'affects']
['same_as', 'affects', 'causes', 'coexists_with']
['same_as', 'treats', 'occurs_in', 'coexists_with']
['same_as', 'associated_with', 'complicates', 'associated_with']
['same_as', 'coexists_with', 'complicates', 'produces']
['same_as', 'treats', 'isa', 'interacts_with']
['same_as', 'complicates', 'same_as', 'location_of']
['same_as', 'isa', 'treats', 'produces']
['same_as', 'augments', 'produces', 'same_as']
['same_as', 'location_of', 'stimulates', 'causes']
['same_as', 'complicates', 'associated_with', 'disrupts']
['same_as', 'location_of', 'location_of', 'prevents']
['same_as', 'disrupts', 'produces']
['same_as', 'complicates', 'augments', 'associated_with']
['same_as', 'diagnoses', 'inhibits', 'diagnoses']
['same_as', 'affects', 'complicates', 'inhibits']
['same_as', 'affects', 'prevents', 'prevents']
['same_as', 'causes', 'disrupts', 'interacts_with']
['same_as', 'treats', 'location_of', 'compared_with']
['same_as', 'location_of', 'part_of', 'coexists_with']
['same_as', 'occurs_in', 'same_as', 'causes']
['same_as', 'prevents', 'interacts_with', 'disrupts']
['same_as', 'disrupts', 'augments', 'prevents']
['same_as', 'inhibits', 'causes', 'part_of']
['same_as', 'isa']
['same_as', 'affects', 'treats', 'interacts_with']
['same_as', 'associated_with', 'complicates', 'interacts_with']
['same_as', 'affects', 'interacts_with', 'diagnoses']
['same_as', 'stimulates', 'complicates', 'causes']
['same_as', 'produces', 'compared_with', 'prevents']
['same_as', 'coexists_with', 'augments']
['same_as', 'causes', 'causes', 'isa']
['same_as', 'inhibits', 'causes', 'compared_with']
['same_as', 'isa', 'location_of', 'coexists_with']
['same_as', 'occurs_in', 'augments', 'part_of']
['same_as', 'produces', 'prevents', 'interacts_with']
['same_as', 'part_of']
['same_as', 'same_as', 'produces', 'disrupts']
['same_as', 'augments', 'part_of', 'coexists_with']
['same_as', 'location_of', 'same_as', 'produces']
['same_as', 'associated_with', 'inhibits', 'location_of']
['same_as', 'part_of', 'interacts_with', 'same_as']
['same_as', 'coexists_with', 'disrupts', 'affects']
['same_as', 'associated_with', 'produces', 'stimulates']
['same_as', 'prevents', 'diagnoses', 'treats']
['same_as', 'prevents']
['same_as', 'prevents', 'causes', 'isa']
['same_as', 'location_of']
['complicates', 'coexists_with', 'treats', 'compared_with']
['complicates', 'affects', 'stimulates', 'part_of']
['complicates', 'augments', 'compared_with', 'inhibits']
['complicates', 'isa', 'treats', 'interacts_with']
['complicates', 'interacts_with', 'inhibits', 'affects']
['complicates', 'interacts_with', 'disrupts', 'augments']
['complicates', 'associated_with', 'associated_with']
['complicates', 'coexists_with', 'part_of', 'part_of']
['complicates', 'affects', 'affects', 'coexists_with']
['complicates', 'disrupts', 'produces']
['complicates', 'produces', 'associated_with', 'prevents']
['complicates', 'location_of', 'location_of', 'diagnoses']
['complicates', 'augments', 'inhibits', 'disrupts']
['complicates', 'associated_with', 'interacts_with', 'same_as']
['complicates', 'causes', 'disrupts', 'same_as']
['complicates', 'complicates', 'treats', 'occurs_in']
['complicates', 'compared_with', 'associated_with']
['complicates', 'prevents', 'produces', 'isa']
['complicates', 'part_of', 'location_of', 'affects']
['complicates', 'stimulates', 'inhibits', 'affects']
['complicates', 'treats', 'occurs_in', 'compared_with']
['complicates', 'produces', 'inhibits', 'occurs_in']
['complicates', 'prevents', 'produces', 'location_of']
['complicates', 'complicates', 'inhibits', 'part_of']
['complicates', 'compared_with', 'inhibits', 'complicates']
['complicates', 'compared_with', 'diagnoses', 'isa']
['complicates', 'causes', 'associated_with', 'diagnoses']
['complicates', 'treats']
['complicates']
['complicates', 'diagnoses', 'complicates', 'part_of']
['complicates', 'interacts_with', 'coexists_with', 'isa']
['complicates', 'coexists_with', 'location_of', 'part_of']
['complicates', 'associated_with', 'diagnoses', 'interacts_with']
['complicates', 'produces', 'affects']
['complicates', 'prevents', 'produces', 'inhibits']
['complicates', 'treats', 'interacts_with', 'affects']
['complicates', 'affects', 'diagnoses', 'disrupts']
['complicates', 'compared_with', 'augments', 'prevents']
['complicates', 'compared_with', 'augments', 'interacts_with']
['complicates', 'location_of', 'complicates', 'stimulates']
['complicates', 'location_of', 'part_of', 'inhibits']
['complicates', 'affects', 'inhibits', 'complicates']
['complicates', 'inhibits', 'produces', 'part_of']
['complicates', 'inhibits', 'causes', 'location_of']
['complicates', 'associated_with', 'produces', 'stimulates']
['complicates', 'diagnoses', 'causes', 'part_of']
['complicates', 'associated_with', 'treats', 'occurs_in']
['complicates', 'coexists_with']
['complicates', 'inhibits', 'produces', 'inhibits']
['complicates', 'disrupts', 'occurs_in', 'isa']
['complicates', 'augments', 'associated_with', 'diagnoses']
['complicates', 'stimulates', 'coexists_with', 'stimulates']
['complicates', 'inhibits', 'coexists_with', 'part_of']
['complicates', 'treats', 'causes', 'produces']
['complicates', 'diagnoses']
['complicates', 'location_of', 'same_as', 'interacts_with']
['complicates', 'part_of', 'associated_with', 'occurs_in']
['complicates', 'causes', 'occurs_in', 'produces']
['complicates', 'causes', 'produces', 'diagnoses']
['complicates', 'inhibits', 'produces', 'augments']
['complicates', 'produces', 'prevents', 'augments']
['complicates', 'isa', 'interacts_with', 'compared_with']
['complicates', 'location_of', 'diagnoses', 'treats']
['complicates', 'produces', 'isa', 'augments']
['complicates', 'augments', 'associated_with', 'causes']
['complicates', 'stimulates', 'disrupts', 'produces']
['complicates', 'compared_with', 'prevents', 'part_of']
['complicates', 'interacts_with', 'coexists_with', 'associated_with']
['complicates', 'prevents', 'isa', 'stimulates']
['complicates', 'causes', 'occurs_in', 'coexists_with']
['complicates', 'prevents', 'prevents', 'coexists_with']
['complicates', 'affects', 'same_as', 'prevents']
['complicates', 'complicates', 'compared_with', 'diagnoses']
['complicates', 'location_of', 'disrupts', 'stimulates']
['complicates', 'part_of', 'produces', 'complicates']
['complicates', 'location_of', 'part_of', 'stimulates']
['complicates', 'prevents', 'complicates', 'diagnoses']
['complicates', 'complicates', 'part_of', 'prevents']
['complicates', 'inhibits', 'occurs_in', 'causes']
['complicates', 'associated_with', 'location_of', 'diagnoses']
['complicates', 'affects', 'compared_with', 'disrupts']
['complicates', 'same_as', 'inhibits', 'occurs_in']
['complicates', 'part_of', 'complicates', 'prevents']
['complicates', 'produces', 'prevents', 'produces']
['complicates', 'treats', 'treats', 'isa']
['complicates', 'compared_with', 'isa', 'compared_with']
['complicates', 'produces', 'part_of', 'inhibits']
['complicates', 'affects', 'isa', 'produces']
['complicates', 'treats', 'causes', 'isa']
['complicates', 'complicates', 'affects', 'produces']
['complicates', 'stimulates', 'coexists_with', 'augments']
['complicates', 'interacts_with', 'produces', 'augments']
['complicates', 'part_of', 'complicates', 'associated_with']
['complicates', 'prevents', 'location_of', 'complicates']
['complicates', 'disrupts', 'treats', 'diagnoses']
['complicates', 'diagnoses', 'occurs_in', 'treats']
['prevents', 'isa', 'coexists_with', 'compared_with']
['prevents', 'disrupts', 'stimulates', 'location_of']
['prevents', 'associated_with', 'part_of', 'augments']
['prevents', 'stimulates', 'stimulates', 'stimulates']
['prevents', 'location_of', 'compared_with', 'produces']
['prevents', 'augments', 'stimulates', 'disrupts']
['prevents', 'part_of', 'produces', 'location_of']
['prevents', 'causes', 'associated_with', 'part_of']
['prevents', 'prevents', 'produces', 'augments']
['prevents', 'inhibits', 'interacts_with', 'disrupts']
['prevents', 'compared_with', 'same_as', 'inhibits']
['prevents', 'produces']
['prevents', 'associated_with', 'inhibits', 'inhibits']
['prevents', 'diagnoses', 'compared_with', 'affects']
['prevents', 'coexists_with', 'prevents', 'treats']
['prevents', 'location_of', 'inhibits', 'affects']
['prevents', 'inhibits', 'disrupts', 'part_of']
['prevents', 'part_of', 'part_of', 'disrupts']
['prevents', 'interacts_with', 'produces', 'associated_with']
['prevents', 'inhibits', 'location_of', 'isa']
['prevents', 'treats', 'isa', 'coexists_with']
['prevents', 'inhibits', 'isa', 'diagnoses']
['prevents', 'isa', 'complicates', 'prevents']
['prevents', 'inhibits', 'coexists_with', 'stimulates']
['prevents', 'complicates', 'affects', 'prevents']
['prevents', 'produces', 'prevents', 'occurs_in']
['prevents', 'isa', 'prevents', 'causes']
['prevents', 'associated_with', 'occurs_in', 'isa']
['prevents', 'isa', 'same_as', 'coexists_with']
['prevents', 'compared_with', 'same_as', 'coexists_with']
['prevents', 'complicates', 'same_as', 'associated_with']
['prevents', 'diagnoses', 'location_of', 'occurs_in']
['prevents', 'produces', 'stimulates', 'coexists_with']
['prevents', 'associated_with', 'produces', 'inhibits']
['prevents', 'associated_with', 'inhibits', 'part_of']
['prevents', 'part_of', 'interacts_with', 'disrupts']
['prevents', 'inhibits', 'treats', 'augments']
['prevents', 'complicates', 'produces', 'prevents']
['prevents']
['prevents', 'location_of']
['prevents', 'affects', 'occurs_in', 'produces']
['prevents', 'produces', 'affects', 'causes']
['prevents', 'inhibits', 'compared_with', 'produces']
['prevents', 'produces', 'interacts_with', 'occurs_in']
['prevents', 'location_of', 'coexists_with', 'disrupts']
['prevents', 'prevents', 'diagnoses', 'coexists_with']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'complicates', 'isa', 'augments']
['prevents', 'interacts_with', 'affects', 'same_as']
['prevents', 'affects', 'isa', 'stimulates']
['prevents', 'prevents', 'treats', 'causes']
['prevents', 'causes', 'associated_with', 'augments']
['prevents', 'complicates', 'causes', 'same_as']
['prevents', 'stimulates', 'occurs_in', 'stimulates']
['prevents', 'causes', 'causes', 'stimulates']
['prevents', 'affects', 'isa', 'produces']
['prevents', 'disrupts', 'compared_with', 'occurs_in']
['prevents', 'produces', 'inhibits', 'causes']
['prevents', 'inhibits', 'produces', 'isa']
['prevents', 'prevents', 'causes', 'stimulates']
['prevents', 'produces', 'part_of', 'prevents']
['prevents', 'prevents', 'produces', 'occurs_in']
['prevents', 'produces', 'interacts_with', 'prevents']
['prevents', 'treats', 'causes', 'coexists_with']
['prevents', 'stimulates', 'occurs_in', 'augments']
['prevents', 'causes', 'augments', 'coexists_with']
['prevents', 'location_of', 'part_of', 'isa']
['prevents', 'inhibits', 'associated_with', 'interacts_with']
['prevents', 'disrupts', 'diagnoses', 'prevents']
['prevents', 'interacts_with', 'causes']
['prevents', 'associated_with', 'location_of', 'augments']
['prevents', 'isa', 'inhibits', 'isa']
['prevents', 'treats', 'treats', 'location_of']
['prevents', 'inhibits', 'occurs_in', 'diagnoses']
['prevents', 'compared_with', 'produces', 'complicates']
['prevents', 'affects', 'part_of', 'same_as']
['prevents', 'treats', 'disrupts', 'stimulates']
['prevents', 'part_of', 'prevents', 'diagnoses']
['prevents', 'isa', 'associated_with', 'affects']
['prevents', 'causes', 'affects', 'associated_with']
['prevents', 'stimulates', 'affects']
['prevents', 'associated_with', 'stimulates', 'interacts_with']
['prevents', 'produces', 'diagnoses', 'isa']
['prevents', 'same_as']
['prevents', 'interacts_with']
['prevents', 'part_of', 'prevents', 'associated_with']
['prevents', 'complicates', 'affects', 'compared_with']
['prevents', 'produces', 'part_of', 'produces']
['prevents', 'stimulates', 'part_of', 'associated_with']
['prevents', 'prevents', 'interacts_with', 'complicates']
['prevents', 'part_of', 'part_of', 'associated_with']
['prevents', 'stimulates', 'compared_with', 'same_as']
['prevents', 'inhibits', 'same_as', 'complicates']
['prevents', 'stimulates', 'location_of', 'same_as']
['prevents', 'causes', 'produces']
['prevents', 'coexists_with', 'part_of', 'inhibits']
['prevents', 'stimulates', 'diagnoses', 'produces']
['disrupts', 'part_of', 'inhibits', 'occurs_in']
['disrupts', 'coexists_with', 'diagnoses', 'interacts_with']
['disrupts', 'produces', 'occurs_in', 'augments']
['disrupts', 'isa', 'part_of', 'augments']
['disrupts', 'location_of', 'stimulates', 'location_of']
['disrupts', 'produces', 'disrupts', 'complicates']
['disrupts', 'inhibits', 'stimulates', 'augments']
['disrupts', 'interacts_with', 'compared_with', 'disrupts']
['disrupts', 'occurs_in', 'prevents', 'location_of']
['disrupts', 'interacts_with', 'augments', 'causes']
['disrupts', 'complicates', 'part_of', 'coexists_with']
['disrupts', 'augments', 'complicates', 'interacts_with']
['disrupts', 'occurs_in', 'stimulates', 'stimulates']
['disrupts', 'affects', 'complicates', 'same_as']
['disrupts', 'stimulates', 'occurs_in', 'location_of']
['disrupts', 'causes', 'interacts_with', 'affects']
['disrupts', 'complicates', 'compared_with', 'inhibits']
['disrupts', 'causes', 'coexists_with', 'treats']
['disrupts', 'inhibits', 'coexists_with', 'compared_with']
['disrupts', 'occurs_in', 'location_of']
['disrupts', 'produces', 'part_of', 'coexists_with']
['disrupts', 'interacts_with', 'coexists_with', 'complicates']
['disrupts', 'complicates', 'causes', 'stimulates']
['disrupts', 'same_as', 'causes', 'occurs_in']
['disrupts', 'augments', 'associated_with', 'complicates']
['disrupts', 'inhibits', 'treats', 'compared_with']
['disrupts', 'treats', 'causes', 'produces']
['disrupts', 'occurs_in', 'disrupts', 'complicates']
['disrupts', 'prevents']
['disrupts', 'inhibits', 'occurs_in']
['disrupts', 'produces', 'treats', 'associated_with']
['disrupts', 'compared_with', 'coexists_with', 'inhibits']
['disrupts', 'isa', 'occurs_in', 'augments']
['disrupts', 'location_of', 'causes', 'stimulates']
['disrupts', 'inhibits', 'isa', 'complicates']
['disrupts', 'causes', 'augments', 'inhibits']
['disrupts', 'inhibits', 'part_of', 'treats']
['disrupts', 'disrupts', 'inhibits', 'produces']
['disrupts', 'produces', 'complicates', 'treats']
['disrupts', 'complicates', 'part_of', 'location_of']
['disrupts', 'isa', 'compared_with', 'coexists_with']
['disrupts', 'inhibits', 'part_of', 'causes']
['disrupts', 'treats', 'prevents', 'isa']
['disrupts', 'coexists_with', 'diagnoses', 'isa']
['disrupts', 'interacts_with', 'inhibits', 'compared_with']
['disrupts', 'part_of', 'treats', 'prevents']
['disrupts', 'interacts_with', 'coexists_with', 'occurs_in']
['disrupts', 'prevents', 'associated_with', 'prevents']
['disrupts', 'interacts_with', 'interacts_with', 'occurs_in']
['disrupts', 'inhibits', 'associated_with', 'inhibits']
['disrupts', 'augments', 'prevents', 'complicates']
['disrupts', 'causes', 'interacts_with', 'coexists_with']
['disrupts', 'interacts_with', 'causes', 'isa']
['disrupts', 'occurs_in', 'inhibits', 'diagnoses']
['disrupts']
['disrupts', 'compared_with', 'stimulates', 'complicates']
['disrupts', 'interacts_with', 'associated_with', 'augments']
['disrupts', 'causes', 'location_of', 'prevents']
['disrupts', 'same_as', 'complicates', 'same_as']
['disrupts', 'isa', 'produces', 'coexists_with']
['disrupts', 'inhibits', 'interacts_with', 'associated_with']
['disrupts', 'coexists_with', 'part_of', 'same_as']
['disrupts', 'stimulates', 'produces', 'interacts_with']
['disrupts', 'diagnoses', 'compared_with', 'stimulates']
['disrupts', 'disrupts', 'produces', 'part_of']
['disrupts', 'stimulates', 'part_of', 'prevents']
['disrupts', 'associated_with']
['disrupts', 'disrupts', 'coexists_with', 'coexists_with']
['disrupts', 'affects', 'treats', 'causes']
['disrupts', 'augments', 'associated_with', 'augments']
['disrupts', 'same_as', 'part_of', 'interacts_with']
['disrupts', 'stimulates', 'inhibits']
['disrupts', 'stimulates', 'coexists_with', 'compared_with']
['disrupts', 'stimulates', 'augments', 'causes']
['disrupts', 'causes', 'diagnoses', 'interacts_with']
