['diagnoses', 'produces', 'location_of', 'occurs_in']
['occurs_in', 'coexists_with', 'compared_with', 'compared_with']
['occurs_in', 'prevents', 'compared_with', 'augments']
['occurs_in', 'occurs_in']
['occurs_in', 'coexists_with', 'prevents', 'produces']
['occurs_in', 'diagnoses', 'causes', 'coexists_with']
['occurs_in', 'interacts_with', 'same_as', 'interacts_with']
['occurs_in', 'diagnoses', 'isa', 'location_of']
['occurs_in', 'augments', 'coexists_with', 'interacts_with']
['occurs_in', 'disrupts', 'coexists_with', 'prevents']
['occurs_in', 'location_of', 'diagnoses', 'part_of']
['occurs_in', 'compared_with', 'location_of', 'augments']
['occurs_in', 'same_as', 'isa', 'part_of']
['occurs_in', 'diagnoses', 'disrupts', 'occurs_in']
['occurs_in', 'diagnoses', 'interacts_with', 'isa']
['occurs_in', 'interacts_with', 'same_as', 'causes']
['occurs_in', 'prevents', 'inhibits', 'complicates']
['occurs_in', 'location_of', 'inhibits', 'interacts_with']
['occurs_in', 'same_as', 'disrupts', 'produces']
['occurs_in', 'associated_with', 'compared_with', 'same_as']
['occurs_in', 'treats', 'associated_with', 'occurs_in']
['occurs_in', 'diagnoses', 'isa', 'inhibits']
['occurs_in', 'disrupts', 'occurs_in', 'stimulates']
['occurs_in', 'part_of', 'inhibits', 'stimulates']
['occurs_in', 'augments', 'part_of', 'coexists_with']
['occurs_in', 'produces', 'produces', 'location_of']
['occurs_in', 'coexists_with', 'diagnoses', 'treats']
['occurs_in', 'inhibits', 'affects', 'compared_with']
['occurs_in', 'inhibits', 'complicates', 'complicates']
['occurs_in', 'stimulates', 'occurs_in', 'disrupts']
['occurs_in', 'part_of', 'treats', 'occurs_in']
['occurs_in', 'complicates', 'same_as', 'location_of']
['occurs_in', 'same_as', 'produces', 'compared_with']
['occurs_in', 'inhibits', 'affects', 'treats']
['occurs_in', 'prevents', 'compared_with', 'coexists_with']
['occurs_in', 'part_of', 'causes', 'inhibits']
['occurs_in', 'complicates', 'stimulates', 'treats']
['occurs_in', 'interacts_with', 'compared_with', 'treats']
['occurs_in', 'causes', 'stimulates', 'isa']
['occurs_in', 'treats', 'affects', 'associated_with']
['occurs_in', 'prevents', 'compared_with', 'part_of']
['occurs_in', 'causes', 'associated_with', 'associated_with']
['occurs_in', 'produces', 'occurs_in', 'location_of']
['occurs_in', 'same_as', 'stimulates', 'part_of']
['occurs_in', 'causes', 'associated_with', 'coexists_with']
['occurs_in', 'associated_with', 'complicates', 'stimulates']
['occurs_in', 'interacts_with', 'part_of', 'inhibits']
['occurs_in', 'stimulates', 'augments', 'affects']
['occurs_in', 'augments', 'causes', 'interacts_with']
['occurs_in', 'affects', 'same_as']
['occurs_in', 'affects', 'inhibits', 'occurs_in']
['occurs_in', 'stimulates', 'isa', 'complicates']
['occurs_in', 'location_of', 'complicates', 'produces']
['occurs_in', 'augments', 'compared_with', 'treats']
['occurs_in', 'diagnoses', 'prevents', 'compared_with']
['occurs_in', 'compared_with', 'causes', 'prevents']
['occurs_in', 'produces', 'disrupts', 'treats']
['occurs_in', 'treats', 'augments', 'part_of']
['occurs_in', 'affects', 'diagnoses', 'disrupts']
['occurs_in', 'part_of', 'occurs_in', 'diagnoses']
['occurs_in', 'occurs_in', 'coexists_with', 'complicates']
['occurs_in', 'stimulates', 'complicates', 'same_as']
['occurs_in', 'associated_with', 'prevents', 'associated_with']
['occurs_in', 'prevents', 'produces', 'stimulates']
['occurs_in', 'isa', 'causes', 'compared_with']
['occurs_in', 'stimulates', 'produces', 'occurs_in']
['occurs_in', 'inhibits', 'affects', 'causes']
['occurs_in', 'occurs_in', 'inhibits', 'isa']
['occurs_in', 'augments', 'coexists_with', 'occurs_in']
['occurs_in', 'complicates', 'prevents', 'compared_with']
['occurs_in', 'stimulates', 'location_of', 'prevents']
['occurs_in']
['occurs_in', 'interacts_with', 'interacts_with', 'compared_with']
['occurs_in', 'augments', 'compared_with', 'prevents']
['occurs_in', 'location_of', 'same_as', 'associated_with']
['occurs_in', 'affects', 'interacts_with', 'disrupts']
['occurs_in', 'occurs_in', 'interacts_with', 'prevents']
['occurs_in', 'location_of', 'compared_with', 'diagnoses']
['occurs_in', 'coexists_with', 'part_of', 'causes']
['occurs_in', 'stimulates', 'prevents', 'inhibits']
['occurs_in', 'inhibits']
['occurs_in', 'produces', 'affects', 'same_as']
['occurs_in', 'same_as', 'associated_with', 'causes']
['occurs_in', 'isa', 'occurs_in', 'treats']
['occurs_in', 'associated_with', 'affects', 'isa']
['occurs_in', 'interacts_with', 'produces', 'disrupts']
['occurs_in', 'interacts_with', 'associated_with', 'coexists_with']
['occurs_in', 'location_of', 'produces', 'prevents']
['occurs_in', 'coexists_with', 'prevents', 'inhibits']
['occurs_in', 'isa', 'inhibits', 'diagnoses']
['occurs_in', 'disrupts', 'compared_with', 'disrupts']
['same_as', 'location_of', 'affects', 'coexists_with']
['same_as', 'associated_with', 'causes', 'prevents']
['same_as', 'occurs_in', 'diagnoses', 'compared_with']
['same_as', 'inhibits', 'treats', 'location_of']
['same_as', 'complicates', 'disrupts', 'inhibits']
['same_as', 'stimulates', 'same_as', 'inhibits']
['same_as', 'affects', 'compared_with', 'coexists_with']
['same_as', 'same_as', 'augments', 'same_as']
['same_as', 'affects', 'produces', 'associated_with']
['same_as', 'isa', 'treats']
['same_as', 'prevents', 'treats', 'affects']
['same_as', 'part_of', 'inhibits', 'occurs_in']
['same_as', 'occurs_in', 'associated_with', 'same_as']
['same_as', 'produces', 'location_of', 'same_as']
['same_as', 'produces', 'interacts_with', 'prevents']
['same_as', 'stimulates', 'causes', 'same_as']
['same_as', 'stimulates', 'disrupts', 'associated_with']
['same_as', 'treats']
['same_as', 'treats', 'location_of', 'part_of']
['same_as', 'compared_with', 'treats', 'causes']
['same_as', 'causes', 'prevents', 'complicates']
['same_as']
['same_as', 'inhibits', 'treats', 'same_as']
['same_as', 'coexists_with', 'same_as', 'treats']
['same_as', 'complicates', 'affects', 'part_of']
['same_as', 'same_as', 'occurs_in', 'part_of']
['same_as', 'stimulates', 'occurs_in', 'disrupts']
['same_as', 'inhibits', 'associated_with', 'part_of']
['same_as', 'complicates', 'affects', 'treats']
['same_as', 'affects', 'associated_with', 'stimulates']
['same_as', 'isa', 'same_as', 'treats']
['same_as', 'interacts_with', 'isa', 'inhibits']
['same_as', 'interacts_with', 'interacts_with', 'inhibits']
['same_as', 'compared_with', 'associated_with', 'disrupts']
['same_as', 'treats', 'affects', 'compared_with']
['same_as', 'affects', 'augments', 'same_as']
['same_as', 'part_of', 'location_of', 'inhibits']
['same_as', 'complicates', 'affects', 'causes']
['same_as', 'disrupts', 'occurs_in', 'causes']
['same_as', 'isa', 'treats', 'associated_with']
['same_as', 'associated_with', 'compared_with', 'same_as']
['same_as', 'inhibits', 'complicates', 'prevents']
['same_as', 'interacts_with', 'inhibits']
['same_as', 'inhibits', 'stimulates', 'disrupts']
['same_as', 'stimulates', 'causes', 'isa']
['same_as', 'treats', 'stimulates', 'produces']
['same_as', 'prevents', 'complicates', 'causes']
['same_as', 'associated_with', 'prevents', 'isa']
['same_as', 'disrupts', 'causes', 'interacts_with']
['same_as', 'treats', 'treats', 'associated_with']
['same_as', 'location_of', 'isa', 'stimulates']
['same_as', 'same_as', 'diagnoses', 'causes']
['same_as', 'location_of', 'disrupts', 'same_as']
['same_as', 'stimulates', 'prevents', 'produces']
['same_as', 'affects', 'compared_with', 'causes']
['same_as', 'associated_with', 'part_of', 'treats']
['same_as', 'augments', 'diagnoses', 'stimulates']
['same_as', 'isa', 'isa', 'produces']
['same_as', 'occurs_in', 'part_of', 'interacts_with']
['same_as', 'location_of', 'stimulates', 'diagnoses']
['same_as', 'isa', 'interacts_with', 'occurs_in']
['same_as', 'augments', 'interacts_with', 'produces']
['same_as', 'inhibits', 'associated_with', 'produces']
['same_as', 'diagnoses', 'produces', 'inhibits']
['same_as', 'produces', 'disrupts', 'interacts_with']
['same_as', 'compared_with', 'treats', 'location_of']
['same_as', 'isa', 'prevents', 'associated_with']
['same_as', 'prevents', 'inhibits']
['same_as', 'coexists_with', 'part_of', 'coexists_with']
['same_as', 'treats', 'part_of', 'occurs_in']
['same_as', 'coexists_with', 'complicates', 'complicates']
['same_as', 'prevents', 'diagnoses', 'prevents']
['same_as', 'associated_with', 'diagnoses', 'compared_with']
['same_as', 'diagnoses', 'affects', 'affects']
['same_as', 'augments', 'augments', 'prevents']
['same_as', 'prevents', 'stimulates', 'prevents']
['same_as', 'occurs_in', 'prevents', 'prevents']
['same_as', 'isa', 'augments', 'location_of']
['same_as', 'interacts_with', 'complicates', 'inhibits']
['same_as', 'affects', 'complicates', 'produces']
['same_as', 'treats', 'prevents', 'affects']
['same_as', 'isa', 'causes', 'stimulates']
['same_as', 'prevents', 'prevents', 'augments']
['same_as', 'coexists_with', 'isa', 'produces']
['same_as', 'augments', 'occurs_in', 'occurs_in']
['same_as', 'stimulates', 'same_as']
['same_as', 'isa', 'produces', 'diagnoses']
['same_as', 'disrupts', 'complicates', 'causes']
['same_as', 'treats', 'isa', 'prevents']
['same_as', 'compared_with', 'associated_with', 'stimulates']
['same_as', 'same_as', 'treats', 'isa']
['same_as', 'isa', 'treats', 'affects']
['same_as', 'compared_with', 'produces', 'part_of']
['same_as', 'prevents', 'treats', 'prevents']
['same_as', 'prevents']
['same_as', 'location_of', 'location_of', 'location_of']
['complicates', 'augments', 'causes', 'same_as']
['complicates', 'interacts_with', 'prevents', 'same_as']
['complicates', 'interacts_with', 'interacts_with', 'interacts_with']
['complicates', 'part_of']
['complicates', 'causes', 'part_of', 'augments']
['complicates', 'part_of', 'same_as', 'augments']
['complicates', 'interacts_with', 'coexists_with', 'same_as']
['complicates', 'interacts_with']
['complicates', 'occurs_in', 'causes', 'causes']
['complicates', 'prevents', 'causes', 'inhibits']
['complicates', 'augments', 'inhibits', 'causes']
['complicates', 'occurs_in', 'treats', 'isa']
['complicates', 'disrupts', 'associated_with', 'affects']
['complicates', 'treats', 'inhibits', 'treats']
['complicates', 'occurs_in', 'prevents', 'occurs_in']
['complicates', 'diagnoses', 'causes', 'produces']
['complicates', 'associated_with', 'occurs_in', 'interacts_with']
['complicates', 'diagnoses', 'coexists_with', 'causes']
['complicates', 'treats', 'compared_with', 'location_of']
['complicates', 'interacts_with', 'inhibits', 'isa']
['complicates', 'diagnoses', 'occurs_in', 'inhibits']
['complicates', 'diagnoses', 'coexists_with', 'affects']
['complicates', 'treats', 'affects', 'inhibits']
['complicates', 'diagnoses', 'complicates', 'produces']
['complicates', 'treats', 'produces', 'augments']
['complicates', 'compared_with', 'compared_with', 'location_of']
['complicates', 'isa', 'occurs_in', 'treats']
['complicates', 'coexists_with', 'affects', 'coexists_with']
['complicates', 'coexists_with', 'treats', 'inhibits']
['complicates', 'treats', 'same_as', 'produces']
['complicates', 'affects', 'produces', 'disrupts']
['complicates', 'part_of', 'occurs_in', 'disrupts']
['complicates', 'diagnoses', 'disrupts', 'stimulates']
['complicates', 'prevents', 'disrupts', 'augments']
['complicates', 'disrupts', 'inhibits', 'location_of']
['complicates', 'same_as', 'location_of', 'inhibits']
['complicates', 'inhibits', 'diagnoses', 'diagnoses']
['complicates', 'coexists_with', 'augments', 'compared_with']
['complicates', 'isa', 'location_of', 'causes']
['complicates', 'prevents', 'interacts_with', 'isa']
['complicates', 'compared_with', 'complicates', 'augments']
['complicates', 'inhibits', 'coexists_with', 'prevents']
['complicates', 'stimulates', 'diagnoses', 'inhibits']
['complicates', 'complicates', 'causes', 'affects']
['complicates', 'part_of', 'part_of', 'occurs_in']
['complicates', 'produces', 'associated_with', 'stimulates']
['complicates', 'compared_with', 'affects', 'part_of']
['complicates', 'stimulates', 'coexists_with']
['complicates', 'augments', 'inhibits']
['complicates', 'occurs_in', 'affects', 'affects']
['complicates', 'causes', 'prevents', 'inhibits']
['complicates', 'isa', 'prevents', 'produces']
['complicates', 'occurs_in', 'same_as', 'disrupts']
['complicates', 'causes', 'associated_with', 'compared_with']
['complicates', 'coexists_with', 'coexists_with', 'isa']
['complicates', 'treats', 'prevents', 'produces']
['complicates', 'affects', 'same_as', 'complicates']
['complicates', 'part_of', 'associated_with', 'occurs_in']
['complicates']
['complicates', 'prevents', 'causes', 'treats']
['complicates', 'coexists_with', 'compared_with', 'part_of']
['complicates', 'affects', 'complicates', 'location_of']
['complicates', 'disrupts']
['complicates', 'produces', 'stimulates', 'complicates']
['complicates', 'associated_with', 'produces', 'causes']
['complicates', 'stimulates', 'location_of', 'associated_with']
['complicates', 'complicates', 'location_of']
['complicates', 'location_of', 'complicates', 'part_of']
['complicates', 'affects', 'complicates', 'inhibits']
['complicates', 'disrupts', 'compared_with', 'causes']
['complicates', 'causes', 'location_of', 'location_of']
['complicates', 'location_of', 'causes', 'inhibits']
['complicates', 'occurs_in', 'isa', 'interacts_with']
['complicates', 'part_of', 'disrupts', 'isa']
['complicates', 'compared_with', 'affects', 'produces']
['complicates', 'isa', 'location_of', 'isa']
['complicates', 'diagnoses', 'associated_with', 'inhibits']
['complicates', 'prevents', 'associated_with', 'produces']
['complicates', 'compared_with', 'diagnoses', 'location_of']
['complicates', 'stimulates', 'location_of']
['complicates', 'disrupts', 'same_as', 'causes']
['complicates', 'disrupts', 'part_of', 'disrupts']
['complicates', 'isa', 'associated_with', 'affects']
['complicates', 'prevents', 'same_as', 'location_of']
['complicates', 'interacts_with', 'affects', 'complicates']
['complicates', 'coexists_with', 'part_of', 'treats']
['complicates', 'coexists_with', 'augments', 'interacts_with']
['complicates', 'occurs_in']
['complicates', 'prevents', 'isa', 'compared_with']
['complicates', 'part_of', 'isa', 'disrupts']
['complicates', 'coexists_with', 'diagnoses', 'disrupts']
['complicates', 'causes', 'coexists_with', 'complicates']
['complicates', 'treats', 'augments', 'interacts_with']
['complicates', 'compared_with', 'disrupts', 'inhibits']
['complicates', 'part_of', 'prevents', 'occurs_in']
['complicates', 'produces', 'associated_with', 'isa']
['prevents', 'part_of', 'prevents', 'compared_with']
['prevents', 'same_as', 'occurs_in', 'treats']
['prevents', 'complicates', 'diagnoses', 'diagnoses']
['prevents', 'same_as', 'prevents', 'same_as']
['prevents', 'disrupts', 'diagnoses', 'complicates']
['prevents', 'isa', 'complicates', 'interacts_with']
['prevents', 'treats', 'produces', 'compared_with']
['prevents', 'produces', 'diagnoses', 'augments']
['prevents', 'location_of', 'causes', 'affects']
['prevents', 'isa', 'interacts_with', 'location_of']
['prevents', 'disrupts', 'location_of', 'occurs_in']
['prevents', 'produces']
['prevents', 'isa', 'part_of', 'augments']
['prevents', 'associated_with', 'prevents', 'associated_with']
['prevents', 'part_of', 'coexists_with', 'location_of']
['prevents', 'prevents', 'causes', 'stimulates']
['prevents', 'associated_with']
['prevents', 'diagnoses', 'augments', 'location_of']
['prevents', 'disrupts', 'same_as', 'associated_with']
['prevents', 'occurs_in']
['prevents', 'affects', 'diagnoses', 'associated_with']
['prevents', 'part_of']
['prevents', 'inhibits', 'produces', 'complicates']
['prevents', 'compared_with', 'compared_with', 'coexists_with']
['prevents', 'affects', 'inhibits', 'occurs_in']
['prevents', 'same_as', 'prevents', 'stimulates']
['prevents', 'stimulates', 'treats', 'interacts_with']
['prevents', 'disrupts', 'causes', 'affects']
['prevents', 'occurs_in', 'occurs_in', 'disrupts']
['prevents', 'interacts_with', 'same_as', 'occurs_in']
['prevents', 'disrupts', 'disrupts', 'augments']
['prevents', 'treats', 'treats', 'compared_with']
['prevents', 'location_of', 'diagnoses', 'same_as']
['prevents', 'affects', 'treats', 'same_as']
['prevents', 'disrupts', 'isa', 'augments']
['prevents', 'treats', 'location_of']
['prevents', 'produces', 'associated_with', 'stimulates']
['prevents', 'augments', 'coexists_with', 'disrupts']
['prevents', 'stimulates', 'causes', 'location_of']
['prevents', 'occurs_in', 'isa', 'treats']
['prevents', 'produces', 'associated_with', 'produces']
['prevents', 'complicates', 'isa', 'augments']
['prevents', 'produces', 'complicates', 'location_of']
['prevents', 'part_of', 'complicates', 'location_of']
['prevents', 'interacts_with', 'interacts_with', 'interacts_with']
['prevents', 'affects', 'occurs_in', 'coexists_with']
['prevents', 'location_of', 'interacts_with', 'inhibits']
['prevents', 'affects', 'part_of', 'isa']
['prevents', 'isa', 'augments', 'disrupts']
['prevents', 'part_of', 'diagnoses', 'complicates']
['prevents', 'coexists_with', 'augments', 'treats']
['prevents', 'isa', 'same_as', 'compared_with']
['prevents', 'associated_with', 'produces', 'occurs_in']
['prevents', 'causes', 'associated_with', 'complicates']
['prevents', 'compared_with', 'causes', 'complicates']
['prevents', 'stimulates', 'treats', 'augments']
['prevents', 'isa', 'part_of', 'interacts_with']
['prevents', 'affects', 'coexists_with', 'produces']
['prevents', 'inhibits', 'associated_with', 'same_as']
['prevents', 'disrupts', 'compared_with', 'part_of']
['prevents', 'produces', 'location_of', 'produces']
['prevents', 'disrupts', 'same_as', 'isa']
['prevents', 'isa', 'associated_with']
['prevents', 'inhibits', 'disrupts', 'compared_with']
['prevents', 'location_of', 'produces', 'occurs_in']
['prevents', 'treats', 'produces', 'interacts_with']
['prevents', 'coexists_with', 'inhibits', 'causes']
['prevents', 'compared_with', 'prevents', 'produces']
['prevents', 'causes', 'coexists_with', 'coexists_with']
['prevents', 'coexists_with', 'affects', 'prevents']
['prevents', 'diagnoses', 'treats', 'stimulates']
['prevents', 'compared_with', 'interacts_with', 'disrupts']
['prevents', 'associated_with', 'part_of', 'same_as']
['prevents', 'isa', 'location_of', 'stimulates']
['prevents', 'diagnoses', 'complicates', 'treats']
['prevents', 'treats', 'coexists_with', 'complicates']
['prevents']
['prevents', 'prevents', 'disrupts', 'coexists_with']
['prevents', 'disrupts', 'complicates', 'isa']
['prevents', 'affects', 'isa', 'augments']
['prevents', 'same_as', 'affects', 'compared_with']
['prevents', 'isa', 'causes', 'complicates']
['prevents', 'stimulates', 'complicates', 'associated_with']
['prevents', 'same_as', 'produces', 'stimulates']
['prevents', 'interacts_with', 'part_of', 'part_of']
['prevents', 'causes', 'compared_with', 'associated_with']
['prevents', 'treats', 'location_of', 'produces']
['prevents', 'associated_with', 'inhibits', 'stimulates']
['prevents', 'interacts_with', 'associated_with', 'disrupts']
['prevents', 'occurs_in', 'same_as', 'part_of']
['prevents', 'produces', 'diagnoses', 'occurs_in']
['prevents', 'associated_with', 'diagnoses', 'occurs_in']
['prevents', 'augments']
['prevents', 'location_of', 'location_of', 'affects']
['prevents', 'prevents', 'augments', 'part_of']
['prevents', 'isa', 'causes', 'prevents']
['prevents', 'causes', 'treats', 'interacts_with']
['prevents', 'same_as', 'location_of']
['disrupts', 'coexists_with', 'interacts_with', 'location_of']
['disrupts', 'occurs_in', 'causes', 'disrupts']
['disrupts', 'augments', 'produces', 'interacts_with']
['disrupts', 'compared_with', 'produces', 'same_as']
['disrupts', 'coexists_with', 'stimulates', 'complicates']
['disrupts', 'associated_with', 'diagnoses', 'causes']
['disrupts', 'disrupts', 'associated_with', 'inhibits']
['disrupts', 'occurs_in', 'location_of', 'prevents']
['disrupts', 'produces', 'disrupts', 'part_of']
['disrupts']
['disrupts', 'associated_with', 'augments', 'augments']
['disrupts', 'location_of', 'isa', 'complicates']
['disrupts', 'isa', 'treats', 'causes']
['disrupts', 'coexists_with', 'same_as', 'isa']
['disrupts', 'same_as', 'inhibits', 'isa']
['disrupts', 'stimulates', 'coexists_with', 'affects']
['disrupts', 'compared_with', 'complicates', 'affects']
['disrupts', 'isa', 'same_as', 'produces']
['disrupts', 'diagnoses', 'disrupts', 'treats']
['disrupts', 'disrupts', 'coexists_with', 'treats']
['disrupts', 'associated_with', 'inhibits', 'complicates']
['disrupts', 'treats', 'location_of', 'inhibits']
['disrupts', 'stimulates', 'diagnoses']
['disrupts', 'stimulates', 'inhibits', 'associated_with']
['disrupts', 'coexists_with', 'prevents', 'inhibits']
['disrupts', 'stimulates', 'complicates', 'produces']
['disrupts', 'interacts_with', 'diagnoses', 'causes']
['disrupts', 'treats', 'associated_with', 'same_as']
['disrupts', 'stimulates', 'disrupts', 'isa']
['disrupts', 'same_as', 'treats', 'prevents']
['disrupts', 'location_of']
['disrupts', 'stimulates', 'same_as', 'associated_with']
['disrupts', 'compared_with', 'coexists_with', 'inhibits']
['disrupts', 'affects', 'same_as', 'augments']
['disrupts', 'location_of', 'augments', 'inhibits']
['disrupts', 'interacts_with', 'location_of', 'treats']
['disrupts', 'associated_with', 'occurs_in', 'affects']
['disrupts', 'prevents', 'inhibits', 'affects']
['disrupts', 'complicates']
['disrupts', 'coexists_with', 'same_as', 'causes']
['disrupts', 'coexists_with', 'affects', 'stimulates']
['disrupts', 'location_of', 'part_of', 'part_of']
['disrupts', 'interacts_with', 'stimulates', 'treats']
['disrupts', 'treats', 'interacts_with']
['disrupts', 'occurs_in', 'stimulates', 'same_as']
['disrupts', 'affects', 'location_of', 'inhibits']
['disrupts', 'coexists_with', 'coexists_with', 'part_of']
['disrupts', 'produces', 'isa', 'augments']
['disrupts', 'prevents', 'treats', 'produces']
['disrupts', 'disrupts', 'causes', 'causes']
['disrupts', 'treats', 'associated_with', 'diagnoses']
['disrupts', 'produces', 'diagnoses', 'treats']
['disrupts', 'diagnoses', 'produces', 'compared_with']
['disrupts', 'augments', 'complicates', 'prevents']
['disrupts', 'compared_with', 'coexists_with', 'disrupts']
['disrupts', 'coexists_with', 'location_of', 'treats']
['disrupts', 'produces']
['disrupts', 'produces', 'isa', 'coexists_with']
['disrupts', 'occurs_in', 'prevents', 'isa']
['disrupts', 'part_of', 'affects', 'causes']
['disrupts', 'stimulates', 'inhibits', 'diagnoses']
['disrupts', 'associated_with', 'causes', 'prevents']
['disrupts', 'prevents', 'occurs_in', 'compared_with']
['disrupts', 'same_as', 'stimulates']
['disrupts', 'causes', 'produces', 'isa']
['disrupts', 'coexists_with', 'compared_with', 'causes']
['disrupts', 'location_of', 'inhibits', 'inhibits']
['disrupts', 'isa', 'location_of', 'occurs_in']
['disrupts', 'inhibits', 'inhibits', 'augments']
['disrupts', 'produces', 'stimulates', 'associated_with']
['disrupts', 'inhibits', 'location_of', 'same_as']
['disrupts', 'stimulates', 'produces', 'stimulates']
['disrupts', 'diagnoses', 'augments', 'interacts_with']
['disrupts', 'diagnoses', 'produces', 'produces']
['disrupts', 'augments', 'augments', 'occurs_in']
['disrupts', 'affects', 'diagnoses', 'causes']
['disrupts', 'stimulates', 'prevents', 'diagnoses']
