['diagnoses', 'augments', 'part_of', 'diagnoses']
['occurs_in', 'affects', 'stimulates', 'affects']
['occurs_in', 'coexists_with', 'complicates', 'location_of']
['occurs_in', 'prevents', 'diagnoses', 'part_of']
['occurs_in', 'diagnoses', 'diagnoses', 'location_of']
['occurs_in', 'same_as', 'isa', 'produces']
['occurs_in', 'associated_with', 'treats', 'isa']
['occurs_in', 'coexists_with', 'coexists_with', 'augments']
['occurs_in', 'stimulates', 'coexists_with', 'augments']
['occurs_in', 'augments', 'same_as', 'occurs_in']
['occurs_in']
['occurs_in', 'disrupts', 'complicates', 'part_of']
['occurs_in', 'augments', 'interacts_with', 'associated_with']
['occurs_in', 'isa', 'augments']
['occurs_in', 'treats', 'prevents', 'augments']
['occurs_in', 'prevents', 'augments', 'stimulates']
['occurs_in', 'diagnoses', 'treats', 'occurs_in']
['occurs_in', 'inhibits', 'causes', 'disrupts']
['occurs_in', 'isa', 'part_of', 'affects']
['occurs_in', 'location_of', 'compared_with', 'diagnoses']
['occurs_in', 'occurs_in', 'complicates', 'isa']
['occurs_in', 'isa', 'stimulates', 'location_of']
['occurs_in', 'causes', 'location_of', 'treats']
['occurs_in', 'treats', 'prevents', 'disrupts']
['occurs_in', 'affects', 'affects', 'part_of']
['occurs_in', 'causes', 'interacts_with', 'prevents']
['occurs_in', 'coexists_with', 'produces', 'occurs_in']
['occurs_in', 'interacts_with', 'coexists_with', 'diagnoses']
['occurs_in', 'isa', 'inhibits', 'interacts_with']
['occurs_in', 'stimulates', 'coexists_with', 'isa']
['occurs_in', 'part_of', 'disrupts', 'disrupts']
['occurs_in', 'disrupts', 'stimulates', 'same_as']
['occurs_in', 'affects', 'diagnoses', 'causes']
['occurs_in', 'complicates', 'associated_with', 'part_of']
['occurs_in', 'same_as', 'affects', 'augments']
['occurs_in', 'occurs_in', 'part_of', 'produces']
['occurs_in', 'coexists_with', 'causes', 'same_as']
['occurs_in', 'disrupts', 'diagnoses', 'augments']
['occurs_in', 'stimulates', 'occurs_in', 'affects']
['occurs_in', 'occurs_in', 'prevents', 'affects']
['occurs_in', 'part_of', 'occurs_in', 'diagnoses']
['occurs_in', 'part_of', 'coexists_with', 'isa']
['occurs_in', 'prevents', 'stimulates', 'prevents']
['occurs_in', 'inhibits']
['occurs_in', 'interacts_with', 'coexists_with', 'disrupts']
['occurs_in', 'interacts_with', 'compared_with', 'diagnoses']
['occurs_in', 'associated_with', 'diagnoses', 'prevents']
['occurs_in', 'interacts_with', 'treats', 'prevents']
['occurs_in', 'occurs_in', 'occurs_in', 'prevents']
['occurs_in', 'compared_with', 'complicates', 'inhibits']
['occurs_in', 'complicates', 'inhibits', 'interacts_with']
['occurs_in', 'occurs_in', 'same_as', 'causes']
['occurs_in', 'coexists_with', 'prevents', 'location_of']
['occurs_in', 'part_of', 'part_of', 'compared_with']
['occurs_in', 'location_of', 'isa']
['occurs_in', 'treats', 'stimulates', 'diagnoses']
['occurs_in', 'augments', 'coexists_with', 'part_of']
['occurs_in', 'causes', 'disrupts', 'produces']
['occurs_in', 'affects']
['occurs_in', 'prevents', 'prevents', 'complicates']
['occurs_in', 'location_of', 'same_as', 'associated_with']
['occurs_in', 'coexists_with']
['occurs_in', 'causes', 'associated_with', 'interacts_with']
['occurs_in', 'affects', 'isa', 'treats']
['occurs_in', 'diagnoses', 'location_of', 'coexists_with']
['occurs_in', 'part_of', 'causes', 'coexists_with']
['occurs_in', 'occurs_in', 'augments', 'produces']
['occurs_in', 'inhibits', 'associated_with', 'complicates']
['occurs_in', 'associated_with', 'produces']
['occurs_in', 'produces', 'prevents', 'produces']
['occurs_in', 'prevents', 'interacts_with', 'compared_with']
['occurs_in', 'interacts_with', 'causes', 'inhibits']
['occurs_in', 'isa', 'produces', 'interacts_with']
['occurs_in', 'complicates', 'augments', 'coexists_with']
['occurs_in', 'associated_with', 'coexists_with', 'coexists_with']
['occurs_in', 'stimulates', 'compared_with', 'location_of']
['occurs_in', 'augments', 'produces', 'associated_with']
['occurs_in', 'compared_with', 'causes', 'compared_with']
['occurs_in', 'occurs_in', 'treats', 'prevents']
['occurs_in', 'complicates', 'augments', 'part_of']
['occurs_in', 'part_of', 'diagnoses', 'causes']
['occurs_in', 'diagnoses', 'diagnoses', 'causes']
['occurs_in', 'associated_with', 'associated_with', 'compared_with']
['same_as', 'stimulates', 'part_of', 'interacts_with']
['same_as', 'part_of', 'disrupts', 'diagnoses']
['same_as', 'disrupts', 'occurs_in', 'interacts_with']
['same_as', 'augments', 'associated_with', 'coexists_with']
['same_as', 'part_of', 'same_as', 'augments']
['same_as', 'complicates', 'stimulates', 'diagnoses']
['same_as', 'complicates']
['same_as', 'coexists_with', 'complicates', 'produces']
['same_as', 'treats', 'same_as', 'compared_with']
['same_as', 'inhibits', 'prevents']
['same_as', 'inhibits', 'same_as', 'interacts_with']
['same_as', 'augments', 'part_of', 'complicates']
['same_as', 'treats', 'stimulates', 'compared_with']
['same_as', 'complicates', 'stimulates', 'isa']
['same_as', 'affects', 'stimulates', 'treats']
['same_as', 'prevents', 'augments', 'same_as']
['same_as', 'isa', 'same_as']
['same_as', 'same_as', 'isa', 'coexists_with']
['same_as', 'occurs_in', 'affects', 'augments']
['same_as', 'diagnoses', 'produces', 'occurs_in']
['same_as']
['same_as', 'prevents', 'compared_with', 'stimulates']
['same_as', 'occurs_in']
['same_as', 'associated_with', 'part_of', 'inhibits']
['same_as', 'causes', 'location_of', 'prevents']
['same_as', 'augments', 'causes', 'compared_with']
['same_as', 'coexists_with', 'associated_with', 'location_of']
['same_as', 'augments', 'complicates', 'treats']
['same_as', 'causes', 'inhibits', 'location_of']
['same_as', 'treats', 'augments', 'same_as']
['same_as', 'compared_with', 'augments', 'augments']
['same_as', 'coexists_with', 'complicates', 'compared_with']
['same_as', 'augments', 'same_as', 'augments']
['same_as', 'diagnoses', 'disrupts', 'augments']
['same_as', 'coexists_with', 'coexists_with', 'part_of']
['same_as', 'coexists_with', 'location_of', 'interacts_with']
['same_as', 'complicates', 'part_of', 'associated_with']
['same_as', 'interacts_with', 'produces', 'interacts_with']
['same_as', 'occurs_in', 'isa', 'associated_with']
['same_as', 'prevents', 'coexists_with']
['same_as', 'disrupts', 'diagnoses', 'interacts_with']
['same_as', 'causes', 'complicates', 'associated_with']
['same_as', 'stimulates', 'treats', 'prevents']
['same_as', 'interacts_with', 'disrupts', 'occurs_in']
['same_as', 'prevents', 'affects', 'produces']
['same_as', 'causes', 'part_of', 'produces']
['same_as', 'isa', 'prevents', 'coexists_with']
['same_as', 'occurs_in', 'affects', 'location_of']
['same_as', 'causes', 'interacts_with', 'complicates']
['same_as', 'disrupts', 'compared_with', 'inhibits']
['same_as', 'isa', 'prevents', 'diagnoses']
['same_as', 'prevents', 'location_of']
['same_as', 'augments', 'disrupts', 'occurs_in']
['same_as', 'isa', 'same_as', 'isa']
['same_as', 'coexists_with', 'associated_with', 'occurs_in']
['same_as', 'part_of', 'same_as', 'produces']
['same_as', 'disrupts', 'isa', 'location_of']
['same_as', 'coexists_with', 'causes', 'stimulates']
['same_as', 'prevents', 'coexists_with', 'part_of']
['same_as', 'produces', 'treats', 'treats']
['same_as', 'prevents', 'part_of', 'affects']
['same_as', 'location_of', 'associated_with', 'stimulates']
['same_as', 'treats', 'complicates', 'associated_with']
['same_as', 'part_of', 'complicates', 'isa']
['same_as', 'affects', 'augments', 'location_of']
['same_as', 'treats', 'isa', 'occurs_in']
['same_as', 'stimulates', 'complicates', 'prevents']
['same_as', 'interacts_with', 'part_of', 'occurs_in']
['same_as', 'prevents', 'diagnoses', 'occurs_in']
['same_as', 'location_of', 'occurs_in', 'complicates']
['same_as', 'causes', 'stimulates', 'occurs_in']
['same_as', 'same_as', 'part_of', 'isa']
['same_as', 'stimulates', 'associated_with', 'prevents']
['same_as', 'location_of', 'interacts_with', 'interacts_with']
['same_as', 'coexists_with', 'affects', 'prevents']
['same_as', 'isa', 'same_as', 'augments']
['same_as', 'causes', 'stimulates', 'complicates']
['same_as', 'prevents', 'produces', 'location_of']
['same_as', 'causes', 'inhibits', 'affects']
['same_as', 'coexists_with', 'diagnoses', 'inhibits']
['same_as', 'compared_with']
['same_as', 'inhibits', 'treats', 'disrupts']
['same_as', 'part_of', 'causes', 'augments']
['same_as', 'inhibits', 'part_of', 'augments']
['same_as', 'complicates', 'treats', 'interacts_with']
['same_as', 'complicates', 'coexists_with', 'stimulates']
['same_as', 'inhibits']
['same_as', 'inhibits', 'treats', 'prevents']
['same_as', 'causes', 'coexists_with', 'associated_with']
['same_as', 'compared_with', 'associated_with', 'treats']
['same_as', 'affects', 'complicates']
['same_as', 'isa', 'produces', 'isa']
['same_as', 'causes', 'occurs_in', 'treats']
['same_as', 'location_of', 'disrupts', 'diagnoses']
['same_as', 'causes', 'inhibits', 'augments']
['same_as', 'prevents', 'isa', 'affects']
['complicates', 'causes', 'occurs_in', 'interacts_with']
['complicates', 'part_of', 'produces', 'affects']
['complicates', 'same_as', 'interacts_with', 'augments']
['complicates', 'affects', 'part_of', 'affects']
['complicates', 'isa', 'affects', 'coexists_with']
['complicates', 'coexists_with', 'stimulates', 'part_of']
['complicates', 'associated_with', 'affects', 'produces']
['complicates', 'augments', 'disrupts', 'compared_with']
['complicates', 'diagnoses', 'part_of', 'treats']
['complicates', 'same_as', 'stimulates', 'treats']
['complicates', 'prevents', 'associated_with', 'augments']
['complicates', 'augments', 'prevents', 'produces']
['complicates', 'interacts_with', 'inhibits', 'stimulates']
['complicates', 'produces', 'complicates', 'prevents']
['complicates', 'disrupts', 'location_of', 'treats']
['complicates', 'location_of', 'occurs_in', 'isa']
['complicates', 'causes', 'causes', 'augments']
['complicates', 'produces', 'isa', 'occurs_in']
['complicates', 'inhibits', 'prevents', 'disrupts']
['complicates', 'augments', 'augments', 'coexists_with']
['complicates', 'complicates', 'associated_with']
['complicates', 'occurs_in', 'causes', 'coexists_with']
['complicates', 'associated_with', 'complicates', 'prevents']
['complicates', 'augments', 'treats', 'affects']
['complicates', 'causes', 'complicates', 'augments']
['complicates', 'associated_with', 'compared_with', 'occurs_in']
['complicates', 'interacts_with', 'produces', 'compared_with']
['complicates', 'complicates', 'same_as', 'treats']
['complicates', 'inhibits', 'interacts_with', 'compared_with']
['complicates', 'interacts_with', 'treats', 'location_of']
['complicates', 'disrupts', 'coexists_with', 'diagnoses']
['complicates', 'interacts_with', 'coexists_with', 'occurs_in']
['complicates', 'causes', 'part_of', 'diagnoses']
['complicates', 'treats', 'augments', 'diagnoses']
['complicates', 'diagnoses', 'produces', 'causes']
['complicates', 'associated_with', 'stimulates', 'prevents']
['complicates', 'affects']
['complicates', 'affects', 'interacts_with', 'prevents']
['complicates', 'same_as', 'inhibits', 'augments']
['complicates', 'isa', 'associated_with', 'prevents']
['complicates', 'associated_with', 'part_of', 'prevents']
['complicates', 'affects', 'complicates', 'treats']
['complicates', 'coexists_with', 'occurs_in', 'treats']
['complicates', 'occurs_in', 'interacts_with', 'prevents']
['complicates', 'interacts_with', 'same_as', 'isa']
['complicates', 'augments', 'associated_with', 'interacts_with']
['complicates', 'affects', 'same_as', 'complicates']
['complicates', 'compared_with', 'causes', 'coexists_with']
['complicates', 'isa', 'disrupts', 'part_of']
['complicates', 'part_of', 'diagnoses', 'compared_with']
['complicates', 'affects', 'causes', 'complicates']
['complicates', 'occurs_in', 'disrupts', 'inhibits']
['complicates', 'occurs_in', 'same_as', 'produces']
['complicates', 'produces', 'complicates', 'interacts_with']
['complicates', 'treats', 'affects', 'affects']
['complicates', 'occurs_in', 'part_of', 'compared_with']
['complicates', 'interacts_with', 'diagnoses', 'stimulates']
['complicates', 'produces', 'isa', 'isa']
['complicates', 'produces', 'interacts_with', 'coexists_with']
['complicates', 'occurs_in', 'occurs_in', 'associated_with']
['complicates', 'causes']
['complicates', 'occurs_in']
['complicates', 'compared_with', 'treats', 'augments']
['complicates', 'compared_with', 'interacts_with', 'compared_with']
['complicates', 'treats', 'location_of']
['complicates', 'affects', 'produces']
['complicates', 'occurs_in', 'prevents', 'augments']
['complicates', 'augments', 'associated_with', 'part_of']
['complicates', 'prevents', 'disrupts', 'occurs_in']
['complicates', 'part_of', 'augments', 'part_of']
['complicates', 'compared_with', 'affects', 'stimulates']
['complicates', 'prevents', 'stimulates', 'treats']
['complicates', 'causes', 'prevents', 'location_of']
['complicates', 'causes', 'interacts_with', 'disrupts']
['complicates', 'produces', 'disrupts', 'occurs_in']
['complicates', 'inhibits']
['complicates', 'location_of', 'diagnoses', 'compared_with']
['complicates', 'complicates', 'isa', 'same_as']
['complicates', 'treats']
['complicates', 'produces', 'causes', 'associated_with']
['complicates', 'compared_with', 'same_as', 'isa']
['complicates', 'causes', 'affects', 'augments']
['complicates', 'same_as']
['complicates', 'augments', 'affects', 'stimulates']
['complicates', 'disrupts', 'occurs_in', 'disrupts']
['complicates', 'complicates', 'interacts_with', 'complicates']
['complicates', 'affects', 'affects', 'diagnoses']
['complicates', 'same_as', 'prevents', 'diagnoses']
['complicates', 'complicates', 'produces', 'associated_with']
['complicates', 'part_of', 'stimulates', 'coexists_with']
['complicates']
['complicates', 'compared_with', 'compared_with', 'augments']
['complicates', 'isa', 'disrupts', 'produces']
['complicates', 'stimulates', 'interacts_with', 'stimulates']
['complicates', 'affects', 'prevents', 'causes']
['complicates', 'interacts_with', 'treats', 'affects']
['prevents', 'produces', 'prevents', 'causes']
['prevents', 'treats', 'causes', 'treats']
['prevents', 'complicates', 'inhibits', 'coexists_with']
['prevents', 'compared_with']
['prevents', 'complicates', 'stimulates', 'interacts_with']
['prevents', 'prevents', 'inhibits', 'occurs_in']
['prevents', 'associated_with', 'part_of', 'complicates']
['prevents', 'compared_with', 'prevents', 'compared_with']
['prevents', 'diagnoses', 'same_as', 'associated_with']
['prevents', 'diagnoses', 'interacts_with', 'causes']
['prevents', 'same_as', 'part_of', 'coexists_with']
['prevents', 'disrupts', 'augments', 'disrupts']
['prevents', 'treats', 'isa', 'affects']
['prevents', 'prevents', 'part_of', 'occurs_in']
['prevents', 'augments', 'associated_with', 'causes']
['prevents', 'treats', 'associated_with', 'treats']
['prevents', 'location_of', 'coexists_with', 'occurs_in']
['prevents', 'inhibits', 'inhibits', 'interacts_with']
['prevents', 'inhibits', 'location_of', 'location_of']
['prevents', 'coexists_with', 'location_of', 'complicates']
['prevents', 'associated_with', 'isa', 'prevents']
['prevents', 'treats', 'inhibits', 'same_as']
['prevents', 'same_as', 'same_as', 'affects']
['prevents', 'occurs_in', 'same_as', 'causes']
['prevents', 'part_of', 'location_of', 'stimulates']
['prevents', 'complicates', 'stimulates', 'isa']
['prevents', 'complicates', 'interacts_with', 'part_of']
['prevents', 'compared_with', 'augments', 'augments']
['prevents', 'treats', 'coexists_with', 'inhibits']
['prevents', 'isa', 'location_of', 'occurs_in']
['prevents', 'treats', 'produces', 'treats']
['prevents', 'causes', 'stimulates', 'coexists_with']
['prevents', 'prevents']
['prevents', 'compared_with', 'isa', 'interacts_with']
['prevents', 'inhibits', 'diagnoses', 'same_as']
['prevents', 'complicates', 'produces', 'prevents']
['prevents', 'prevents', 'isa', 'causes']
['prevents', 'stimulates', 'part_of', 'disrupts']
['prevents', 'augments']
['prevents', 'interacts_with', 'produces', 'same_as']
['prevents', 'part_of', 'augments', 'complicates']
['prevents', 'stimulates', 'compared_with', 'same_as']
['prevents', 'causes', 'diagnoses', 'treats']
['prevents', 'prevents', 'location_of', 'diagnoses']
['prevents', 'isa', 'isa', 'inhibits']
['prevents', 'prevents', 'occurs_in', 'interacts_with']
['prevents', 'associated_with']
['prevents', 'stimulates', 'inhibits', 'affects']
['prevents', 'inhibits', 'stimulates', 'complicates']
['prevents', 'affects', 'location_of', 'produces']
['prevents', 'disrupts', 'interacts_with', 'part_of']
['prevents', 'occurs_in', 'compared_with', 'prevents']
['prevents', 'causes', 'stimulates', 'complicates']
['prevents', 'diagnoses', 'affects', 'treats']
['prevents', 'coexists_with', 'prevents', 'coexists_with']
['prevents', 'disrupts', 'disrupts', 'diagnoses']
['prevents', 'treats', 'disrupts', 'same_as']
['prevents', 'disrupts', 'inhibits', 'isa']
['prevents', 'isa', 'produces', 'diagnoses']
['prevents', 'coexists_with', 'affects', 'affects']
['prevents', 'part_of', 'produces', 'interacts_with']
['prevents', 'part_of', 'causes', 'treats']
['prevents', 'complicates', 'affects', 'affects']
['prevents', 'compared_with', 'produces', 'location_of']
['prevents', 'complicates', 'affects', 'prevents']
['prevents', 'disrupts', 'stimulates', 'same_as']
['prevents', 'complicates', 'stimulates', 'disrupts']
['prevents', 'stimulates', 'associated_with', 'affects']
['prevents', 'prevents', 'interacts_with', 'part_of']
['prevents', 'complicates']
['prevents', 'location_of', 'associated_with', 'complicates']
['prevents', 'interacts_with', 'disrupts', 'isa']
['prevents', 'compared_with', 'associated_with', 'same_as']
['prevents', 'isa', 'associated_with', 'complicates']
['prevents', 'same_as', 'part_of', 'stimulates']
['prevents']
['prevents', 'coexists_with', 'treats', 'causes']
['prevents', 'disrupts']
['prevents', 'isa', 'causes', 'complicates']
['prevents', 'prevents', 'same_as', 'diagnoses']
['prevents', 'treats', 'isa', 'isa']
['prevents', 'interacts_with']
['prevents', 'produces', 'interacts_with']
['prevents', 'prevents', 'diagnoses', 'causes']
['prevents', 'complicates', 'same_as', 'compared_with']
['prevents', 'stimulates', 'prevents', 'same_as']
['prevents', 'produces', 'part_of', 'same_as']
['prevents', 'diagnoses', 'part_of', 'prevents']
['prevents', 'isa', 'affects']
['prevents', 'causes']
['prevents', 'same_as', 'occurs_in', 'coexists_with']
['prevents', 'affects', 'location_of', 'isa']
['prevents', 'disrupts', 'occurs_in', 'location_of']
['prevents', 'treats', 'prevents', 'associated_with']
['prevents', 'part_of', 'stimulates', 'produces']
['prevents', 'occurs_in', 'occurs_in', 'coexists_with']
['prevents', 'compared_with', 'disrupts', 'compared_with']
['prevents', 'compared_with', 'same_as', 'occurs_in']
['disrupts', 'treats', 'associated_with', 'complicates']
['disrupts', 'causes', 'produces']
['disrupts', 'augments', 'causes', 'interacts_with']
['disrupts', 'compared_with', 'part_of', 'compared_with']
['disrupts', 'prevents', 'compared_with', 'diagnoses']
['disrupts', 'augments', 'treats', 'inhibits']
['disrupts', 'affects', 'treats', 'part_of']
['disrupts', 'prevents', 'interacts_with', 'stimulates']
['disrupts', 'occurs_in', 'complicates', 'affects']
['disrupts', 'isa', 'affects', 'same_as']
['disrupts', 'stimulates', 'coexists_with', 'produces']
['disrupts', 'part_of', 'disrupts', 'interacts_with']
['disrupts', 'isa', 'augments', 'disrupts']
['disrupts', 'treats']
['disrupts', 'prevents', 'same_as', 'produces']
['disrupts', 'prevents', 'coexists_with', 'same_as']
['disrupts', 'augments']
['disrupts', 'treats', 'disrupts']
['disrupts', 'location_of']
['disrupts', 'location_of', 'occurs_in', 'isa']
['disrupts', 'location_of', 'produces', 'location_of']
['disrupts', 'diagnoses', 'compared_with', 'inhibits']
['disrupts', 'inhibits', 'same_as', 'affects']
['disrupts', 'coexists_with', 'isa', 'part_of']
['disrupts', 'coexists_with', 'causes', 'complicates']
['disrupts', 'part_of', 'location_of', 'treats']
['disrupts', 'diagnoses', 'part_of', 'treats']
['disrupts', 'associated_with']
['disrupts', 'coexists_with', 'affects', 'compared_with']
['disrupts', 'isa', 'augments', 'diagnoses']
['disrupts', 'causes', 'produces', 'occurs_in']
['disrupts', 'treats', 'location_of', 'affects']
['disrupts', 'causes', 'treats', 'augments']
['disrupts', 'coexists_with', 'associated_with', 'produces']
['disrupts', 'diagnoses', 'part_of', 'location_of']
['disrupts', 'causes', 'affects', 'interacts_with']
['disrupts', 'associated_with', 'location_of', 'augments']
['disrupts', 'associated_with', 'causes', 'diagnoses']
['disrupts', 'stimulates', 'isa', 'isa']
['disrupts', 'prevents', 'location_of', 'occurs_in']
['disrupts', 'causes', 'isa', 'treats']
['disrupts', 'compared_with', 'complicates', 'isa']
['disrupts', 'augments', 'diagnoses', 'isa']
['disrupts', 'disrupts', 'stimulates', 'isa']
['disrupts', 'complicates', 'coexists_with', 'augments']
['disrupts', 'location_of', 'prevents', 'treats']
['disrupts', 'interacts_with', 'affects', 'occurs_in']
['disrupts', 'causes', 'complicates', 'occurs_in']
['disrupts', 'location_of', 'prevents', 'prevents']
['disrupts', 'coexists_with', 'prevents', 'interacts_with']
['disrupts', 'prevents', 'part_of', 'diagnoses']
['disrupts', 'same_as', 'affects', 'complicates']
['disrupts', 'stimulates', 'complicates', 'prevents']
['disrupts', 'occurs_in', 'produces', 'inhibits']
['disrupts', 'disrupts', 'compared_with', 'stimulates']
['disrupts', 'prevents', 'occurs_in', 'coexists_with']
['disrupts', 'complicates', 'stimulates', 'occurs_in']
['disrupts', 'stimulates']
['disrupts', 'affects', 'associated_with', 'complicates']
['disrupts', 'prevents', 'associated_with', 'causes']
['disrupts', 'inhibits', 'augments']
['disrupts', 'diagnoses', 'prevents', 'associated_with']
['disrupts', 'produces', 'associated_with', 'treats']
['disrupts', 'inhibits', 'part_of', 'associated_with']
['disrupts', 'treats', 'occurs_in', 'associated_with']
['disrupts', 'treats', 'part_of', 'treats']
['disrupts', 'augments', 'prevents', 'stimulates']
['disrupts', 'prevents', 'coexists_with', 'isa']
['disrupts', 'isa', 'isa']
['disrupts']
['disrupts', 'causes', 'causes', 'augments']
['disrupts', 'compared_with', 'associated_with', 'associated_with']
['disrupts', 'complicates', 'affects', 'disrupts']
['disrupts', 'inhibits', 'inhibits']
['disrupts', 'affects', 'treats', 'causes']
['disrupts', 'disrupts', 'affects', 'causes']
['disrupts', 'produces', 'augments', 'location_of']
['disrupts', 'stimulates', 'disrupts']
['disrupts', 'occurs_in', 'isa', 'interacts_with']
['disrupts', 'diagnoses', 'stimulates', 'part_of']
['disrupts', 'prevents', 'affects', 'part_of']
['disrupts', 'interacts_with', 'compared_with', 'augments']
