['diagnoses', 'produces', 'associated_with', 'part_of']
['same_as', 'affects']
['same_as', 'prevents', 'complicates', 'inhibits']
['same_as', 'occurs_in', 'disrupts', 'coexists_with']
['same_as', 'produces', 'same_as', 'same_as']
['same_as', 'same_as', 'compared_with', 'complicates']
['same_as', 'occurs_in', 'inhibits', 'part_of']
['same_as', 'coexists_with']
['same_as', 'produces', 'complicates', 'stimulates']
['same_as', 'disrupts', 'causes', 'coexists_with']
['same_as', 'isa', 'part_of', 'diagnoses']
['same_as', 'produces', 'causes', 'inhibits']
['same_as', 'diagnoses', 'location_of', 'inhibits']
['same_as', 'produces', 'same_as', 'treats']
['same_as', 'affects', 'augments', 'isa']
['same_as', 'part_of', 'stimulates', 'causes']
['same_as', 'interacts_with', 'diagnoses', 'compared_with']
['same_as', 'associated_with', 'isa', 'same_as']
['same_as', 'location_of', 'interacts_with', 'compared_with']
['same_as', 'treats', 'disrupts', 'occurs_in']
['same_as', 'coexists_with', 'associated_with', 'inhibits']
['same_as', 'same_as', 'stimulates', 'interacts_with']
['same_as', 'prevents', 'disrupts', 'location_of']
['same_as', 'isa', 'interacts_with', 'treats']
['same_as', 'isa']
['same_as', 'same_as', 'augments', 'disrupts']
['same_as', 'prevents', 'complicates', 'associated_with']
['same_as', 'causes', 'stimulates', 'augments']
['same_as', 'location_of', 'causes']
['same_as', 'occurs_in', 'location_of', 'same_as']
['same_as', 'treats', 'prevents', 'associated_with']
['same_as', 'interacts_with', 'location_of', 'stimulates']
['same_as', 'affects', 'inhibits', 'disrupts']
['same_as', 'same_as', 'inhibits', 'location_of']
['same_as', 'associated_with']
['same_as', 'affects', 'stimulates', 'disrupts']
['same_as', 'disrupts', 'stimulates', 'part_of']
['same_as', 'associated_with', 'associated_with', 'location_of']
['same_as', 'complicates', 'associated_with', 'occurs_in']
['same_as', 'augments', 'disrupts', 'associated_with']
['same_as', 'affects', 'inhibits', 'stimulates']
['same_as', 'associated_with', 'interacts_with', 'complicates']
['same_as', 'affects', 'part_of', 'diagnoses']
['same_as', 'part_of', 'compared_with', 'interacts_with']
['same_as', 'compared_with', 'complicates', 'isa']
['same_as', 'interacts_with', 'inhibits', 'associated_with']
['same_as', 'interacts_with', 'causes', 'part_of']
['same_as', 'part_of', 'treats', 'augments']
['same_as', 'treats', 'complicates', 'complicates']
['same_as', 'location_of', 'diagnoses', 'location_of']
['same_as', 'compared_with', 'compared_with', 'same_as']
['same_as', 'prevents']
['same_as', 'location_of']
['complicates', 'inhibits', 'disrupts', 'affects']
['complicates', 'location_of', 'disrupts', 'prevents']
['complicates', 'disrupts', 'stimulates', 'inhibits']
['complicates', 'produces', 'location_of', 'isa']
['complicates', 'associated_with', 'occurs_in', 'part_of']
['complicates', 'produces', 'causes', 'location_of']
['complicates', 'coexists_with', 'isa', 'causes']
['complicates', 'stimulates', 'isa', 'causes']
['complicates', 'isa', 'part_of', 'diagnoses']
['complicates', 'isa', 'part_of', 'stimulates']
['complicates', 'produces', 'occurs_in']
['complicates', 'isa', 'augments', 'prevents']
['complicates', 'same_as', 'prevents', 'disrupts']
['complicates', 'disrupts', 'interacts_with', 'associated_with']
['complicates', 'part_of', 'complicates', 'interacts_with']
['complicates', 'prevents', 'stimulates']
['complicates', 'stimulates', 'treats', 'complicates']
['complicates', 'occurs_in', 'causes', 'coexists_with']
['complicates', 'treats', 'coexists_with', 'disrupts']
['complicates', 'interacts_with', 'same_as', 'part_of']
['complicates', 'occurs_in']
['complicates', 'diagnoses', 'stimulates', 'same_as']
['complicates', 'stimulates', 'part_of', 'location_of']
['complicates', 'isa', 'causes', 'part_of']
['complicates', 'part_of', 'produces', 'associated_with']
['complicates', 'associated_with', 'stimulates', 'location_of']
['complicates', 'affects', 'same_as', 'disrupts']
['complicates', 'isa', 'stimulates', 'occurs_in']
['complicates', 'produces', 'coexists_with', 'stimulates']
['complicates', 'isa', 'interacts_with', 'inhibits']
['complicates', 'prevents']
['complicates', 'augments', 'causes', 'associated_with']
['complicates', 'diagnoses', 'disrupts', 'produces']
['complicates', 'inhibits', 'inhibits', 'disrupts']
['complicates', 'affects', 'stimulates', 'isa']
['complicates', 'treats', 'associated_with', 'same_as']
['complicates', 'stimulates', 'affects', 'part_of']
['complicates', 'compared_with', 'disrupts', 'location_of']
['complicates', 'occurs_in', 'produces']
['complicates', 'causes', 'part_of', 'part_of']
['complicates', 'augments', 'isa', 'same_as']
['complicates', 'diagnoses', 'disrupts', 'location_of']
['complicates', 'prevents', 'complicates', 'complicates']
['complicates', 'affects', 'location_of', 'same_as']
['complicates', 'compared_with', 'causes', 'interacts_with']
['complicates', 'part_of', 'causes', 'produces']
['complicates', 'prevents', 'same_as', 'part_of']
['complicates', 'produces', 'part_of', 'disrupts']
['complicates', 'complicates', 'complicates', 'affects']
['complicates', 'complicates', 'prevents', 'inhibits']
['complicates', 'disrupts', 'produces', 'interacts_with']
['complicates', 'compared_with']
['complicates', 'affects', 'disrupts', 'part_of']
['complicates', 'same_as', 'location_of', 'affects']
['complicates', 'disrupts', 'same_as', 'associated_with']
['complicates', 'complicates', 'prevents', 'augments']
['complicates', 'associated_with', 'isa', 'same_as']
['complicates', 'complicates', 'coexists_with', 'associated_with']
['complicates', 'coexists_with', 'treats', 'associated_with']
['complicates', 'stimulates', 'same_as', 'stimulates']
['complicates', 'prevents', 'compared_with', 'treats']
['complicates', 'augments', 'complicates', 'treats']
['complicates']
['complicates', 'treats', 'disrupts', 'treats']
['complicates', 'produces', 'occurs_in', 'produces']
['complicates', 'associated_with', 'inhibits', 'produces']
['complicates', 'inhibits', 'occurs_in', 'inhibits']
['complicates', 'isa', 'prevents', 'augments']
['complicates', 'same_as', 'part_of', 'interacts_with']
['complicates', 'diagnoses', 'augments', 'treats']
['complicates', 'produces', 'compared_with', 'compared_with']
['complicates', 'affects', 'disrupts']
['complicates', 'affects', 'stimulates', 'compared_with']
['complicates', 'isa', 'compared_with', 'isa']
['complicates', 'inhibits', 'part_of', 'compared_with']
['complicates', 'treats']
['complicates', 'prevents', 'compared_with', 'part_of']
['complicates', 'occurs_in', 'treats', 'same_as']
['complicates', 'coexists_with', 'interacts_with', 'stimulates']
['complicates', 'stimulates', 'inhibits', 'stimulates']
['complicates', 'stimulates', 'compared_with', 'augments']
['complicates', 'location_of', 'complicates', 'augments']
['complicates', 'causes', 'occurs_in', 'interacts_with']
['complicates', 'treats', 'disrupts', 'complicates']
['complicates', 'diagnoses', 'location_of', 'complicates']
['complicates', 'treats', 'part_of', 'treats']
['complicates', 'complicates', 'inhibits', 'augments']
['complicates', 'augments', 'affects', 'causes']
['complicates', 'disrupts', 'causes', 'location_of']
['complicates', 'diagnoses', 'isa', 'occurs_in']
['complicates', 'associated_with', 'inhibits', 'location_of']
['complicates', 'coexists_with']
['prevents', 'isa', 'coexists_with', 'compared_with']
['prevents', 'augments', 'inhibits', 'location_of']
['prevents', 'prevents', 'treats', 'interacts_with']
['prevents', 'compared_with']
['prevents', 'compared_with', 'diagnoses']
['prevents', 'treats', 'produces', 'complicates']
['prevents', 'complicates', 'associated_with', 'treats']
['prevents', 'compared_with', 'isa']
['prevents', 'occurs_in', 'interacts_with', 'same_as']
['prevents', 'causes', 'treats', 'disrupts']
['prevents', 'disrupts', 'causes', 'compared_with']
['prevents', 'treats', 'treats', 'part_of']
['prevents', 'interacts_with', 'part_of', 'inhibits']
['prevents', 'complicates', 'prevents', 'associated_with']
['prevents', 'same_as', 'coexists_with', 'compared_with']
['prevents', 'occurs_in', 'part_of', 'interacts_with']
['prevents', 'associated_with', 'augments', 'complicates']
['prevents', 'treats', 'diagnoses', 'location_of']
['prevents', 'stimulates', 'part_of', 'inhibits']
['prevents', 'treats', 'occurs_in', 'location_of']
['prevents', 'compared_with', 'stimulates', 'same_as']
['prevents', 'diagnoses', 'part_of', 'prevents']
['prevents', 'isa', 'part_of', 'coexists_with']
['prevents', 'location_of', 'coexists_with', 'compared_with']
['prevents', 'stimulates', 'treats', 'treats']
['prevents', 'isa', 'prevents', 'produces']
['prevents', 'causes', 'coexists_with', 'treats']
['prevents', 'occurs_in', 'augments', 'same_as']
['prevents', 'augments', 'produces', 'location_of']
['prevents', 'compared_with', 'compared_with', 'diagnoses']
['prevents', 'diagnoses', 'occurs_in', 'occurs_in']
['prevents', 'associated_with', 'inhibits', 'part_of']
['prevents', 'treats', 'stimulates', 'associated_with']
['prevents', 'part_of', 'diagnoses', 'stimulates']
['prevents', 'coexists_with', 'associated_with', 'associated_with']
['prevents', 'complicates', 'treats', 'augments']
['prevents', 'same_as', 'compared_with', 'diagnoses']
['prevents', 'diagnoses', 'prevents', 'complicates']
['prevents', 'coexists_with', 'prevents', 'inhibits']
['prevents', 'treats', 'isa', 'disrupts']
['prevents', 'occurs_in', 'associated_with', 'affects']
['prevents', 'occurs_in', 'complicates', 'location_of']
['prevents', 'complicates', 'affects', 'part_of']
['prevents', 'affects', 'diagnoses']
['prevents', 'produces', 'complicates', 'treats']
['prevents', 'affects', 'compared_with', 'augments']
['prevents', 'prevents', 'coexists_with', 'associated_with']
['prevents', 'isa', 'causes', 'interacts_with']
['prevents', 'produces', 'causes', 'diagnoses']
['prevents', 'treats', 'same_as', 'produces']
['prevents', 'complicates', 'augments', 'coexists_with']
['prevents']
['prevents', 'part_of', 'produces', 'causes']
['prevents', 'interacts_with', 'complicates', 'affects']
['prevents', 'disrupts', 'associated_with', 'location_of']
['prevents', 'same_as', 'disrupts', 'complicates']
['prevents', 'diagnoses', 'interacts_with', 'isa']
['prevents', 'diagnoses']
['prevents', 'disrupts', 'complicates', 'causes']
['prevents', 'compared_with', 'occurs_in', 'treats']
['prevents', 'augments', 'disrupts', 'associated_with']
['prevents', 'treats', 'stimulates', 'coexists_with']
['prevents', 'produces', 'causes', 'compared_with']
['prevents', 'diagnoses', 'associated_with', 'causes']
['prevents', 'inhibits', 'produces', 'location_of']
['prevents', 'isa', 'coexists_with', 'disrupts']
['prevents', 'interacts_with', 'affects', 'diagnoses']
['prevents', 'treats', 'diagnoses', 'augments']
['prevents', 'stimulates', 'produces', 'same_as']
['prevents', 'location_of', 'coexists_with', 'treats']
['prevents', 'interacts_with', 'disrupts', 'associated_with']
['prevents', 'treats', 'diagnoses', 'coexists_with']
['prevents', 'compared_with', 'stimulates', 'associated_with']
['prevents', 'location_of', 'stimulates', 'associated_with']
['prevents', 'isa', 'causes', 'affects']
['prevents', 'produces', 'same_as', 'occurs_in']
['prevents', 'coexists_with', 'interacts_with', 'same_as']
['prevents', 'treats', 'produces', 'inhibits']
['prevents', 'same_as']
['prevents', 'affects', 'coexists_with', 'prevents']
['prevents', 'inhibits', 'causes', 'treats']
['prevents', 'diagnoses', 'stimulates', 'stimulates']
['prevents', 'augments', 'part_of', 'associated_with']
['prevents', 'coexists_with', 'part_of', 'prevents']
['prevents', 'causes', 'interacts_with', 'interacts_with']
['prevents', 'isa']
['prevents', 'causes', 'prevents', 'augments']
['prevents', 'inhibits', 'diagnoses']
['prevents', 'diagnoses', 'occurs_in', 'inhibits']
['prevents', 'associated_with']
['prevents', 'same_as', 'compared_with', 'inhibits']
['prevents', 'treats', 'stimulates', 'inhibits']
['prevents', 'affects']
['prevents', 'causes', 'produces', 'coexists_with']
['prevents', 'produces', 'prevents', 'prevents']
['prevents', 'complicates', 'affects', 'same_as']
['disrupts', 'stimulates', 'associated_with', 'stimulates']
['disrupts', 'stimulates', 'inhibits', 'augments']
['disrupts', 'part_of', 'disrupts', 'disrupts']
['disrupts', 'location_of', 'inhibits', 'same_as']
['disrupts', 'coexists_with']
['disrupts', 'part_of', 'associated_with', 'affects']
['disrupts', 'stimulates', 'compared_with', 'prevents']
['disrupts', 'part_of', 'same_as', 'location_of']
['disrupts', 'causes', 'associated_with', 'treats']
['disrupts', 'compared_with', 'affects', 'occurs_in']
['disrupts', 'interacts_with', 'occurs_in', 'coexists_with']
['disrupts', 'interacts_with', 'affects', 'same_as']
['disrupts', 'augments', 'location_of', 'isa']
['disrupts', 'augments', 'treats', 'prevents']
['disrupts', 'part_of', 'coexists_with', 'complicates']
['disrupts', 'interacts_with', 'complicates', 'coexists_with']
['disrupts', 'interacts_with', 'complicates', 'disrupts']
['disrupts', 'inhibits', 'stimulates', 'augments']
['disrupts', 'isa']
['disrupts', 'treats', 'produces', 'prevents']
['disrupts', 'inhibits', 'isa', 'location_of']
['disrupts', 'diagnoses', 'location_of', 'inhibits']
['disrupts', 'coexists_with', 'inhibits', 'complicates']
['disrupts', 'location_of', 'affects', 'inhibits']
['disrupts', 'interacts_with', 'occurs_in', 'stimulates']
['disrupts', 'location_of', 'location_of', 'occurs_in']
['disrupts', 'part_of', 'associated_with', 'causes']
['disrupts', 'occurs_in', 'causes', 'occurs_in']
['disrupts', 'prevents', 'causes', 'affects']
['disrupts', 'causes', 'compared_with', 'isa']
['disrupts', 'same_as', 'diagnoses', 'compared_with']
['disrupts', 'compared_with', 'compared_with', 'inhibits']
['disrupts', 'compared_with', 'affects', 'location_of']
['disrupts', 'treats', 'isa', 'augments']
['disrupts', 'causes', 'associated_with', 'prevents']
['disrupts', 'affects', 'interacts_with', 'disrupts']
['disrupts', 'interacts_with', 'causes', 'inhibits']
['disrupts', 'part_of', 'location_of', 'affects']
['disrupts', 'location_of', 'disrupts', 'isa']
['disrupts', 'causes', 'augments', 'location_of']
['disrupts', 'inhibits', 'occurs_in', 'location_of']
['disrupts']
['disrupts', 'inhibits', 'disrupts', 'disrupts']
['disrupts', 'prevents', 'complicates', 'compared_with']
['disrupts', 'augments', 'location_of', 'coexists_with']
['disrupts', 'augments', 'causes', 'stimulates']
['disrupts', 'compared_with', 'complicates', 'associated_with']
['disrupts', 'part_of', 'occurs_in', 'affects']
['disrupts', 'stimulates', 'inhibits', 'produces']
['disrupts', 'same_as', 'compared_with', 'inhibits']
['disrupts', 'disrupts', 'interacts_with', 'compared_with']
['disrupts', 'associated_with', 'location_of', 'isa']
['disrupts', 'prevents', 'causes', 'diagnoses']
['disrupts', 'treats', 'location_of']
['disrupts', 'same_as', 'associated_with', 'occurs_in']
['disrupts', 'same_as', 'coexists_with', 'treats']
['disrupts', 'prevents', 'isa', 'occurs_in']
['disrupts', 'produces', 'occurs_in']
['disrupts', 'isa', 'disrupts', 'prevents']
['disrupts', 'causes', 'treats', 'affects']
['disrupts', 'location_of', 'occurs_in', 'diagnoses']
['disrupts', 'isa', 'same_as', 'compared_with']
['disrupts', 'compared_with', 'inhibits', 'augments']
['disrupts', 'inhibits', 'occurs_in', 'diagnoses']
['disrupts', 'affects', 'augments', 'location_of']
['disrupts', 'prevents', 'occurs_in', 'part_of']
['disrupts', 'produces', 'associated_with', 'isa']
['disrupts', 'occurs_in', 'diagnoses', 'disrupts']
['disrupts', 'complicates', 'isa', 'disrupts']
['disrupts', 'treats', 'coexists_with', 'treats']
['disrupts', 'prevents', 'coexists_with', 'compared_with']
['disrupts', 'prevents', 'diagnoses', 'augments']
['disrupts', 'stimulates', 'location_of', 'coexists_with']
['disrupts', 'produces', 'associated_with', 'location_of']
['disrupts', 'complicates', 'complicates', 'diagnoses']
['disrupts', 'causes', 'isa', 'augments']
['disrupts', 'associated_with']
['disrupts', 'interacts_with', 'occurs_in', 'isa']
['disrupts', 'diagnoses', 'diagnoses', 'associated_with']
['disrupts', 'prevents', 'causes', 'part_of']
['disrupts', 'coexists_with', 'location_of', 'complicates']
['disrupts', 'compared_with', 'compared_with', 'coexists_with']
['disrupts', 'compared_with', 'stimulates', 'location_of']
['disrupts', 'inhibits', 'prevents', 'inhibits']
['disrupts', 'disrupts', 'stimulates', 'coexists_with']
['disrupts', 'treats', 'diagnoses', 'augments']
['disrupts', 'location_of', 'stimulates', 'disrupts']
['disrupts', 'prevents']
