['diagnoses', 'causes', 'causes', 'augments']
['occurs_in', 'isa', 'occurs_in', 'complicates']
['occurs_in', 'treats', 'affects', 'augments']
['occurs_in', 'produces', 'part_of', 'treats']
['occurs_in', 'affects', 'part_of', 'diagnoses']
['occurs_in', 'isa', 'inhibits', 'affects']
['occurs_in', 'stimulates', 'complicates', 'interacts_with']
['occurs_in', 'diagnoses', 'same_as', 'part_of']
['occurs_in', 'disrupts', 'disrupts', 'produces']
['occurs_in', 'associated_with', 'causes', 'augments']
['occurs_in', 'isa', 'associated_with', 'prevents']
['occurs_in', 'stimulates', 'produces', 'disrupts']
['occurs_in', 'location_of']
['occurs_in', 'causes', 'location_of', 'interacts_with']
['occurs_in', 'prevents', 'part_of', 'produces']
['occurs_in', 'occurs_in', 'causes', 'augments']
['occurs_in', 'location_of', 'complicates', 'location_of']
['occurs_in']
['occurs_in', 'occurs_in', 'coexists_with', 'inhibits']
['occurs_in', 'affects', 'compared_with', 'inhibits']
['occurs_in', 'compared_with']
['occurs_in', 'prevents', 'part_of', 'occurs_in']
['occurs_in', 'diagnoses', 'interacts_with', 'treats']
['occurs_in', 'diagnoses', 'interacts_with', 'diagnoses']
['occurs_in', 'produces', 'diagnoses', 'affects']
['occurs_in', 'prevents', 'location_of', 'causes']
['occurs_in', 'inhibits', 'causes', 'part_of']
['occurs_in', 'compared_with', 'same_as', 'treats']
['occurs_in', 'treats', 'treats', 'same_as']
['occurs_in', 'location_of', 'diagnoses', 'inhibits']
['occurs_in', 'interacts_with', 'affects', 'location_of']
['occurs_in', 'treats', 'location_of', 'produces']
['occurs_in', 'coexists_with', 'complicates', 'interacts_with']
['occurs_in', 'inhibits', 'compared_with', 'diagnoses']
['occurs_in', 'compared_with', 'isa', 'stimulates']
['occurs_in', 'associated_with', 'occurs_in']
['occurs_in', 'coexists_with', 'causes', 'compared_with']
['occurs_in', 'interacts_with', 'affects', 'associated_with']
['occurs_in', 'occurs_in', 'location_of', 'part_of']
['occurs_in', 'augments', 'associated_with', 'isa']
['occurs_in', 'same_as', 'occurs_in', 'occurs_in']
['same_as', 'compared_with', 'same_as', 'coexists_with']
['same_as', 'coexists_with', 'same_as', 'produces']
['same_as', 'part_of', 'coexists_with', 'coexists_with']
['same_as', 'diagnoses', 'isa', 'affects']
['same_as', 'same_as', 'augments', 'part_of']
['same_as', 'compared_with', 'interacts_with', 'part_of']
['same_as', 'same_as', 'coexists_with', 'disrupts']
['same_as', 'stimulates', 'location_of', 'causes']
['same_as', 'occurs_in', 'coexists_with', 'interacts_with']
['same_as', 'complicates', 'interacts_with', 'compared_with']
['same_as', 'compared_with', 'complicates', 'prevents']
['same_as', 'occurs_in', 'prevents', 'affects']
['same_as', 'interacts_with', 'isa', 'prevents']
['same_as', 'location_of', 'occurs_in', 'causes']
['same_as', 'produces', 'treats', 'part_of']
['same_as', 'stimulates']
['same_as', 'coexists_with', 'occurs_in', 'augments']
['same_as', 'location_of', 'location_of', 'inhibits']
['same_as', 'inhibits', 'part_of', 'causes']
['same_as', 'interacts_with', 'isa', 'location_of']
['same_as']
['same_as', 'affects', 'associated_with', 'complicates']
['same_as', 'associated_with', 'part_of', 'same_as']
['same_as', 'treats', 'produces', 'produces']
['same_as', 'inhibits', 'stimulates', 'treats']
['same_as', 'treats', 'prevents', 'coexists_with']
['same_as', 'location_of', 'inhibits', 'associated_with']
['same_as', 'treats', 'inhibits', 'interacts_with']
['same_as', 'associated_with', 'produces', 'treats']
['same_as', 'stimulates', 'associated_with', 'diagnoses']
['same_as', 'isa', 'coexists_with', 'same_as']
['same_as', 'treats', 'prevents', 'compared_with']
['same_as', 'coexists_with', 'same_as', 'diagnoses']
['same_as', 'disrupts']
['same_as', 'augments', 'isa']
['same_as', 'isa', 'complicates', 'disrupts']
['same_as', 'augments', 'occurs_in', 'affects']
['same_as', 'produces', 'coexists_with', 'stimulates']
['same_as', 'inhibits', 'occurs_in', 'diagnoses']
['same_as', 'compared_with', 'coexists_with', 'isa']
['same_as', 'coexists_with', 'interacts_with', 'produces']
['same_as', 'causes', 'same_as', 'produces']
['same_as', 'compared_with', 'complicates', 'affects']
['same_as', 'coexists_with', 'causes', 'produces']
['same_as', 'disrupts', 'augments', 'isa']
['same_as', 'stimulates', 'part_of', 'stimulates']
['same_as', 'inhibits', 'associated_with', 'disrupts']
['same_as', 'occurs_in', 'produces', 'part_of']
['same_as', 'treats', 'location_of', 'diagnoses']
['same_as', 'isa', 'location_of', 'produces']
['same_as', 'associated_with', 'produces', 'inhibits']
['same_as', 'disrupts', 'coexists_with', 'coexists_with']
['same_as', 'coexists_with', 'treats', 'diagnoses']
['same_as', 'compared_with', 'inhibits', 'produces']
['same_as', 'affects', 'part_of', 'causes']
['same_as', 'complicates', 'augments', 'diagnoses']
['same_as', 'augments', 'interacts_with', 'stimulates']
['same_as', 'isa', 'augments', 'associated_with']
['same_as', 'isa', 'coexists_with']
['same_as', 'produces', 'complicates', 'affects']
['same_as', 'diagnoses', 'location_of', 'complicates']
['same_as', 'prevents', 'same_as', 'affects']
['same_as', 'same_as', 'part_of', 'compared_with']
['same_as', 'same_as', 'compared_with', 'treats']
['same_as', 'associated_with', 'treats', 'coexists_with']
['same_as', 'causes', 'affects', 'location_of']
['same_as', 'produces', 'inhibits', 'occurs_in']
['same_as', 'affects', 'coexists_with', 'associated_with']
['same_as', 'prevents', 'coexists_with', 'occurs_in']
['same_as', 'produces', 'affects', 'augments']
['same_as', 'isa', 'complicates', 'same_as']
['same_as', 'location_of', 'stimulates', 'location_of']
['same_as', 'isa', 'affects', 'occurs_in']
['same_as', 'associated_with', 'causes', 'diagnoses']
['same_as', 'disrupts', 'affects', 'part_of']
['same_as', 'complicates', 'part_of', 'stimulates']
['same_as', 'stimulates', 'complicates', 'inhibits']
['same_as', 'disrupts', 'compared_with', 'diagnoses']
['same_as', 'disrupts', 'prevents', 'interacts_with']
['same_as', 'occurs_in', 'augments', 'associated_with']
['same_as', 'part_of', 'coexists_with', 'compared_with']
['same_as', 'augments', 'part_of']
['same_as', 'treats', 'occurs_in']
['same_as', 'associated_with', 'compared_with', 'disrupts']
['same_as', 'stimulates', 'augments', 'disrupts']
['same_as', 'stimulates', 'same_as', 'compared_with']
['same_as', 'produces', 'location_of', 'coexists_with']
['same_as', 'disrupts', 'interacts_with', 'same_as']
['same_as', 'stimulates', 'interacts_with', 'location_of']
['same_as', 'occurs_in', 'part_of', 'occurs_in']
['same_as', 'same_as', 'produces', 'disrupts']
['same_as', 'same_as', 'interacts_with', 'complicates']
['same_as', 'associated_with', 'location_of', 'diagnoses']
['same_as', 'treats', 'inhibits', 'disrupts']
['same_as', 'occurs_in', 'location_of', 'same_as']
['same_as', 'coexists_with', 'coexists_with', 'coexists_with']
['same_as', 'affects', 'part_of', 'interacts_with']
['same_as', 'diagnoses', 'compared_with', 'coexists_with']
['complicates', 'part_of', 'augments', 'coexists_with']
['complicates', 'inhibits', 'stimulates']
['complicates', 'diagnoses', 'stimulates', 'isa']
['complicates', 'stimulates', 'compared_with', 'compared_with']
['complicates', 'inhibits', 'prevents', 'part_of']
['complicates', 'affects', 'complicates', 'same_as']
['complicates', 'augments', 'disrupts', 'part_of']
['complicates', 'inhibits', 'isa', 'interacts_with']
['complicates', 'diagnoses']
['complicates', 'affects', 'inhibits', 'diagnoses']
['complicates', 'part_of', 'occurs_in', 'same_as']
['complicates', 'complicates', 'inhibits', 'diagnoses']
['complicates', 'treats', 'complicates', 'coexists_with']
['complicates', 'same_as', 'disrupts', 'same_as']
['complicates', 'prevents', 'prevents']
['complicates', 'stimulates', 'disrupts', 'isa']
['complicates', 'coexists_with', 'produces', 'disrupts']
['complicates', 'interacts_with', 'same_as', 'compared_with']
['complicates', 'same_as', 'compared_with', 'isa']
['complicates', 'occurs_in', 'causes', 'diagnoses']
['complicates', 'inhibits', 'compared_with', 'compared_with']
['complicates', 'augments', 'location_of', 'affects']
['complicates', 'treats', 'augments', 'prevents']
['complicates', 'complicates', 'isa', 'part_of']
['complicates', 'augments', 'prevents', 'complicates']
['complicates', 'augments', 'stimulates', 'interacts_with']
['complicates', 'disrupts', 'occurs_in', 'produces']
['complicates', 'location_of', 'prevents', 'same_as']
['complicates', 'compared_with', 'location_of', 'part_of']
['complicates', 'part_of', 'stimulates']
['complicates', 'causes', 'produces', 'associated_with']
['complicates', 'stimulates', 'complicates', 'complicates']
['complicates', 'treats', 'diagnoses', 'treats']
['complicates', 'diagnoses', 'produces', 'same_as']
['complicates', 'part_of', 'inhibits', 'complicates']
['complicates', 'location_of', 'affects', 'augments']
['complicates', 'same_as', 'stimulates', 'interacts_with']
['complicates', 'prevents']
['complicates', 'stimulates', 'same_as', 'same_as']
['complicates', 'isa', 'stimulates', 'part_of']
['complicates', 'complicates', 'part_of', 'produces']
['complicates', 'prevents', 'produces', 'disrupts']
['complicates', 'location_of', 'treats', 'location_of']
['complicates', 'interacts_with', 'coexists_with', 'part_of']
['complicates', 'associated_with', 'location_of', 'stimulates']
['complicates', 'produces', 'disrupts', 'diagnoses']
['complicates', 'diagnoses', 'inhibits', 'prevents']
['complicates', 'augments', 'associated_with', 'interacts_with']
['complicates', 'causes', 'stimulates', 'affects']
['complicates', 'affects', 'occurs_in', 'isa']
['complicates', 'stimulates', 'location_of', 'stimulates']
['complicates', 'prevents', 'stimulates', 'inhibits']
['complicates', 'diagnoses', 'location_of', 'isa']
['complicates', 'causes', 'coexists_with', 'isa']
['complicates', 'part_of', 'isa', 'interacts_with']
['complicates', 'interacts_with', 'disrupts', 'location_of']
['complicates', 'produces', 'same_as', 'produces']
['complicates', 'coexists_with', 'affects', 'location_of']
['complicates', 'prevents', 'augments', 'associated_with']
['complicates', 'diagnoses', 'augments', 'coexists_with']
['complicates', 'compared_with', 'associated_with', 'complicates']
['complicates', 'treats', 'inhibits', 'augments']
['complicates', 'stimulates', 'same_as', 'diagnoses']
['complicates', 'inhibits', 'augments', 'complicates']
['complicates']
['complicates', 'inhibits', 'interacts_with', 'interacts_with']
['complicates', 'same_as', 'stimulates', 'affects']
['complicates', 'treats', 'complicates', 'treats']
['complicates', 'augments', 'prevents', 'causes']
['complicates', 'occurs_in', 'augments', 'isa']
['complicates', 'disrupts', 'same_as', 'prevents']
['complicates', 'diagnoses', 'part_of', 'disrupts']
['complicates', 'part_of', 'complicates', 'disrupts']
['complicates', 'causes', 'produces', 'causes']
['complicates', 'same_as', 'prevents', 'causes']
['complicates', 'affects', 'stimulates', 'compared_with']
['complicates', 'treats', 'causes', 'coexists_with']
['complicates', 'location_of', 'associated_with', 'stimulates']
['complicates', 'part_of', 'disrupts', 'augments']
['complicates', 'stimulates', 'diagnoses', 'inhibits']
['complicates', 'isa', 'diagnoses', 'compared_with']
['complicates', 'treats', 'affects', 'associated_with']
['complicates', 'affects', 'complicates', 'associated_with']
['complicates', 'prevents', 'same_as']
['complicates', 'produces', 'causes', 'part_of']
['complicates', 'inhibits', 'occurs_in', 'part_of']
['complicates', 'affects', 'location_of', 'same_as']
['complicates', 'compared_with', 'occurs_in', 'part_of']
['complicates', 'isa', 'causes', 'compared_with']
['complicates', 'stimulates', 'coexists_with', 'location_of']
['complicates', 'treats', 'disrupts', 'inhibits']
['complicates', 'coexists_with', 'isa', 'treats']
['complicates', 'location_of', 'complicates', 'inhibits']
['complicates', 'causes', 'prevents', 'inhibits']
['prevents', 'location_of', 'stimulates', 'location_of']
['prevents', 'same_as', 'inhibits', 'complicates']
['prevents', 'stimulates']
['prevents', 'location_of', 'causes', 'associated_with']
['prevents', 'isa', 'part_of', 'treats']
['prevents', 'location_of', 'augments', 'augments']
['prevents', 'prevents', 'augments']
['prevents', 'occurs_in', 'augments', 'produces']
['prevents', 'inhibits', 'location_of', 'stimulates']
['prevents', 'produces', 'part_of', 'stimulates']
['prevents', 'coexists_with', 'compared_with', 'complicates']
['prevents', 'same_as', 'same_as', 'occurs_in']
['prevents', 'coexists_with', 'location_of', 'same_as']
['prevents', 'diagnoses', 'isa', 'same_as']
['prevents', 'location_of', 'produces', 'affects']
['prevents', 'occurs_in', 'inhibits', 'compared_with']
['prevents', 'complicates', 'complicates', 'treats']
['prevents', 'augments', 'produces', 'diagnoses']
['prevents', 'affects', 'treats', 'disrupts']
['prevents', 'produces', 'occurs_in', 'interacts_with']
['prevents', 'part_of', 'prevents', 'coexists_with']
['prevents', 'compared_with', 'isa', 'coexists_with']
['prevents', 'complicates', 'location_of', 'compared_with']
['prevents', 'prevents', 'compared_with', 'produces']
['prevents', 'produces', 'interacts_with', 'causes']
['prevents', 'produces', 'compared_with', 'same_as']
['prevents', 'causes', 'affects', 'compared_with']
['prevents', 'diagnoses', 'location_of', 'augments']
['prevents', 'isa', 'treats', 'diagnoses']
['prevents', 'isa', 'isa', 'associated_with']
['prevents', 'associated_with', 'causes', 'interacts_with']
['prevents', 'compared_with', 'interacts_with', 'produces']
['prevents', 'coexists_with', 'same_as', 'prevents']
['prevents', 'location_of', 'location_of', 'location_of']
['prevents', 'prevents']
['prevents', 'occurs_in', 'causes', 'part_of']
['prevents', 'compared_with', 'stimulates', 'part_of']
['prevents', 'affects', 'inhibits', 'inhibits']
['prevents', 'prevents', 'occurs_in', 'coexists_with']
['prevents', 'produces', 'complicates', 'treats']
['prevents', 'same_as', 'location_of', 'treats']
['prevents', 'part_of', 'causes', 'causes']
['prevents', 'same_as', 'affects', 'location_of']
['prevents', 'augments', 'disrupts', 'inhibits']
['prevents', 'causes', 'compared_with', 'treats']
['prevents', 'interacts_with', 'compared_with', 'coexists_with']
['prevents', 'compared_with', 'associated_with', 'occurs_in']
['prevents', 'part_of', 'associated_with', 'associated_with']
['prevents', 'treats', 'complicates', 'part_of']
['prevents', 'coexists_with', 'interacts_with', 'stimulates']
['prevents', 'occurs_in', 'treats', 'disrupts']
['prevents', 'stimulates', 'inhibits', 'interacts_with']
['prevents', 'associated_with', 'isa', 'complicates']
['prevents', 'augments', 'complicates', 'affects']
['prevents', 'interacts_with', 'produces', 'stimulates']
['prevents', 'location_of', 'causes', 'inhibits']
['prevents', 'diagnoses', 'associated_with', 'causes']
['prevents', 'complicates', 'interacts_with', 'produces']
['prevents', 'stimulates', 'complicates', 'stimulates']
['prevents', 'causes', 'augments', 'complicates']
['prevents', 'coexists_with', 'occurs_in', 'coexists_with']
['prevents', 'disrupts', 'coexists_with', 'causes']
['prevents']
['prevents', 'stimulates', 'compared_with', 'associated_with']
['prevents', 'coexists_with', 'augments', 'stimulates']
['prevents', 'diagnoses', 'location_of', 'prevents']
['prevents', 'causes', 'interacts_with', 'compared_with']
['prevents', 'interacts_with', 'occurs_in', 'diagnoses']
['prevents', 'location_of', 'occurs_in', 'location_of']
['prevents', 'coexists_with', 'interacts_with', 'inhibits']
['prevents', 'stimulates', 'affects', 'same_as']
['prevents', 'associated_with', 'disrupts']
['prevents', 'interacts_with', 'prevents', 'diagnoses']
['prevents', 'prevents', 'interacts_with', 'stimulates']
['prevents', 'associated_with', 'isa', 'disrupts']
['prevents', 'affects', 'occurs_in', 'stimulates']
['prevents', 'interacts_with', 'same_as', 'affects']
['prevents', 'stimulates', 'affects', 'location_of']
['prevents', 'associated_with', 'diagnoses', 'isa']
['prevents', 'same_as', 'diagnoses', 'isa']
['prevents', 'associated_with', 'augments', 'associated_with']
['prevents', 'coexists_with', 'augments']
['prevents', 'inhibits', 'disrupts', 'inhibits']
['prevents', 'disrupts', 'complicates', 'part_of']
['prevents', 'affects', 'augments', 'compared_with']
['prevents', 'complicates', 'treats', 'complicates']
['prevents', 'prevents', 'isa', 'causes']
['prevents', 'inhibits', 'isa', 'same_as']
['prevents', 'inhibits', 'produces', 'associated_with']
['prevents', 'occurs_in', 'coexists_with', 'affects']
['prevents', 'causes', 'compared_with', 'produces']
['disrupts', 'augments', 'occurs_in', 'location_of']
['disrupts', 'inhibits', 'location_of', 'prevents']
['disrupts', 'causes', 'location_of', 'augments']
['disrupts', 'compared_with', 'isa', 'affects']
['disrupts']
['disrupts', 'location_of', 'diagnoses', 'same_as']
['disrupts', 'associated_with', 'associated_with', 'interacts_with']
['disrupts', 'isa', 'location_of', 'interacts_with']
['disrupts', 'stimulates', 'diagnoses', 'affects']
['disrupts', 'inhibits', 'treats', 'treats']
['disrupts', 'diagnoses', 'part_of', 'complicates']
['disrupts', 'produces', 'part_of', 'inhibits']
['disrupts', 'occurs_in', 'inhibits', 'isa']
['disrupts', 'same_as', 'causes', 'stimulates']
['disrupts', 'disrupts', 'produces', 'associated_with']
['disrupts', 'associated_with', 'complicates', 'diagnoses']
['disrupts', 'location_of', 'location_of']
['disrupts', 'associated_with', 'stimulates', 'compared_with']
['disrupts', 'interacts_with', 'isa', 'causes']
['disrupts', 'coexists_with', 'diagnoses', 'occurs_in']
['disrupts', 'affects', 'same_as', 'associated_with']
['disrupts', 'causes', 'prevents', 'complicates']
['disrupts', 'diagnoses', 'part_of', 'associated_with']
['disrupts', 'diagnoses', 'prevents', 'same_as']
['disrupts', 'isa', 'stimulates', 'augments']
['disrupts', 'inhibits', 'augments', 'same_as']
['disrupts', 'compared_with']
['disrupts', 'causes', 'stimulates', 'treats']
['disrupts', 'isa', 'inhibits', 'compared_with']
['disrupts', 'causes', 'augments', 'part_of']
['disrupts', 'produces', 'location_of', 'treats']
['disrupts', 'treats', 'disrupts', 'coexists_with']
['disrupts', 'augments', 'location_of', 'produces']
['disrupts', 'inhibits', 'same_as', 'augments']
['disrupts', 'disrupts', 'location_of', 'interacts_with']
['disrupts', 'diagnoses', 'stimulates', 'interacts_with']
['disrupts', 'disrupts', 'compared_with', 'location_of']
['disrupts', 'diagnoses', 'associated_with', 'inhibits']
['disrupts', 'location_of', 'prevents', 'causes']
['disrupts', 'augments']
['disrupts', 'coexists_with', 'associated_with', 'treats']
['disrupts', 'disrupts', 'isa', 'treats']
['disrupts', 'inhibits', 'compared_with']
['disrupts', 'same_as', 'disrupts', 'complicates']
['disrupts', 'causes', 'coexists_with', 'causes']
['disrupts', 'coexists_with', 'prevents', 'compared_with']
['disrupts', 'prevents', 'produces', 'affects']
['disrupts', 'augments', 'location_of', 'stimulates']
['disrupts', 'interacts_with', 'produces', 'causes']
['disrupts', 'compared_with', 'causes', 'interacts_with']
['disrupts', 'affects', 'coexists_with', 'diagnoses']
['disrupts', 'affects', 'part_of', 'treats']
['disrupts', 'stimulates', 'same_as', 'location_of']
['disrupts', 'coexists_with', 'diagnoses', 'diagnoses']
['disrupts', 'inhibits', 'produces', 'affects']
['disrupts', 'associated_with', 'affects', 'interacts_with']
['disrupts', 'prevents', 'disrupts', 'inhibits']
['disrupts', 'inhibits', 'affects']
['disrupts', 'complicates', 'associated_with', 'associated_with']
['disrupts', 'location_of', 'stimulates', 'inhibits']
['disrupts', 'prevents', 'diagnoses', 'augments']
['disrupts', 'isa', 'diagnoses', 'prevents']
['disrupts', 'prevents', 'coexists_with', 'diagnoses']
['disrupts', 'complicates', 'location_of', 'treats']
['disrupts', 'occurs_in', 'disrupts', 'diagnoses']
['disrupts', 'causes']
['disrupts', 'disrupts', 'associated_with', 'prevents']
['disrupts', 'complicates']
['disrupts', 'inhibits', 'compared_with', 'causes']
['disrupts', 'location_of', 'stimulates', 'interacts_with']
['disrupts', 'same_as', 'inhibits', 'augments']
['disrupts', 'complicates', 'occurs_in', 'compared_with']
['disrupts', 'coexists_with', 'isa', 'location_of']
['disrupts', 'compared_with', 'occurs_in', 'augments']
['disrupts', 'part_of', 'isa', 'produces']
['disrupts', 'isa', 'associated_with', 'causes']
['disrupts', 'inhibits', 'causes', 'occurs_in']
['disrupts', 'location_of', 'location_of', 'same_as']
['disrupts', 'complicates', 'diagnoses', 'compared_with']
['disrupts', 'stimulates', 'produces', 'produces']
['disrupts', 'same_as', 'prevents', 'diagnoses']
['disrupts', 'stimulates']
['disrupts', 'augments', 'part_of', 'isa']
['disrupts', 'diagnoses', 'interacts_with', 'augments']
['disrupts', 'augments', 'complicates', 'same_as']
