['diagnoses', 'treats', 'isa', 'affects']
['occurs_in', 'produces', 'treats', 'coexists_with']
['occurs_in', 'same_as', 'occurs_in', 'causes']
['occurs_in', 'augments', 'interacts_with', 'prevents']
['occurs_in', 'same_as', 'inhibits', 'inhibits']
['occurs_in', 'compared_with', 'causes', 'part_of']
['occurs_in', 'interacts_with', 'inhibits', 'same_as']
['occurs_in', 'affects', 'produces', 'compared_with']
['occurs_in', 'treats', 'occurs_in', 'location_of']
['occurs_in', 'prevents', 'augments']
['occurs_in', 'disrupts', 'complicates']
['occurs_in', 'disrupts', 'interacts_with', 'compared_with']
['occurs_in', 'occurs_in', 'inhibits', 'treats']
['occurs_in', 'augments', 'affects', 'same_as']
['occurs_in', 'compared_with', 'affects', 'causes']
['occurs_in', 'complicates', 'occurs_in', 'part_of']
['occurs_in', 'affects', 'stimulates', 'augments']
['occurs_in', 'affects', 'coexists_with', 'part_of']
['occurs_in', 'augments', 'isa', 'produces']
['occurs_in', 'compared_with', 'inhibits', 'same_as']
['occurs_in', 'causes', 'isa', 'stimulates']
['occurs_in', 'occurs_in', 'complicates', 'disrupts']
['occurs_in', 'part_of', 'compared_with', 'affects']
['occurs_in', 'produces', 'occurs_in', 'augments']
['occurs_in', 'compared_with', 'diagnoses', 'inhibits']
['occurs_in', 'prevents']
['occurs_in', 'augments', 'affects', 'affects']
['occurs_in', 'occurs_in', 'causes', 'occurs_in']
['occurs_in', 'interacts_with', 'associated_with', 'compared_with']
['occurs_in', 'associated_with', 'associated_with', 'compared_with']
['same_as', 'affects', 'interacts_with', 'occurs_in']
['same_as', 'part_of', 'interacts_with', 'complicates']
['same_as', 'compared_with', 'treats', 'augments']
['same_as', 'stimulates', 'associated_with', 'inhibits']
['same_as', 'occurs_in', 'inhibits', 'diagnoses']
['same_as', 'treats', 'affects', 'treats']
['same_as']
['same_as', 'augments', 'interacts_with', 'affects']
['same_as', 'associated_with', 'same_as', 'coexists_with']
['same_as', 'disrupts', 'interacts_with', 'isa']
['same_as', 'part_of', 'compared_with', 'treats']
['same_as', 'interacts_with', 'treats', 'prevents']
['same_as', 'augments', 'disrupts', 'same_as']
['same_as', 'isa', 'produces', 'augments']
['same_as', 'stimulates', 'augments', 'associated_with']
['same_as', 'interacts_with', 'coexists_with', 'diagnoses']
['same_as', 'augments', 'compared_with', 'same_as']
['same_as', 'diagnoses', 'occurs_in', 'same_as']
['same_as', 'diagnoses', 'diagnoses', 'augments']
['same_as', 'affects', 'prevents', 'same_as']
['same_as', 'diagnoses', 'augments', 'treats']
['same_as', 'associated_with', 'same_as', 'causes']
['same_as', 'isa', 'augments', 'isa']
['same_as', 'produces', 'location_of', 'treats']
['same_as', 'produces', 'isa', 'interacts_with']
['same_as', 'treats', 'part_of', 'produces']
['same_as', 'prevents', 'interacts_with', 'coexists_with']
['same_as', 'compared_with', 'isa', 'isa']
['same_as', 'interacts_with', 'prevents', 'complicates']
['same_as', 'causes', 'produces', 'affects']
['same_as', 'compared_with', 'occurs_in', 'coexists_with']
['same_as', 'diagnoses', 'complicates', 'stimulates']
['same_as', 'produces', 'disrupts', 'associated_with']
['same_as', 'interacts_with', 'prevents', 'coexists_with']
['same_as', 'causes', 'produces', 'stimulates']
['same_as', 'diagnoses', 'causes', 'associated_with']
['same_as', 'stimulates', 'occurs_in', 'associated_with']
['same_as', 'isa', 'stimulates', 'occurs_in']
['same_as', 'causes', 'coexists_with', 'produces']
['same_as', 'interacts_with', 'compared_with', 'diagnoses']
['same_as', 'diagnoses', 'occurs_in', 'stimulates']
['same_as', 'treats', 'disrupts', 'disrupts']
['same_as', 'disrupts', 'disrupts', 'same_as']
['same_as', 'isa', 'stimulates', 'treats']
['same_as', 'occurs_in', 'coexists_with', 'same_as']
['same_as', 'occurs_in', 'same_as', 'same_as']
['same_as', 'inhibits', 'causes', 'disrupts']
['same_as', 'associated_with', 'inhibits', 'stimulates']
['same_as', 'same_as', 'diagnoses', 'treats']
['same_as', 'treats', 'treats', 'prevents']
['same_as', 'treats', 'treats', 'same_as']
['same_as', 'occurs_in', 'coexists_with', 'occurs_in']
['same_as', 'inhibits', 'produces', 'treats']
['same_as', 'coexists_with', 'disrupts', 'isa']
['same_as', 'treats', 'interacts_with', 'disrupts']
['same_as', 'diagnoses']
['same_as', 'coexists_with', 'compared_with', 'causes']
['same_as', 'occurs_in', 'inhibits', 'associated_with']
['same_as', 'complicates', 'part_of', 'treats']
['same_as', 'disrupts', 'interacts_with', 'complicates']
['same_as', 'produces', 'occurs_in', 'part_of']
['same_as', 'treats', 'diagnoses', 'causes']
['same_as', 'location_of', 'part_of', 'inhibits']
['same_as', 'interacts_with', 'prevents', 'prevents']
['same_as', 'augments', 'produces', 'produces']
['same_as', 'stimulates', 'occurs_in', 'disrupts']
['same_as', 'prevents', 'inhibits', 'part_of']
['same_as', 'compared_with', 'causes', 'interacts_with']
['same_as', 'location_of', 'interacts_with', 'prevents']
['same_as', 'produces', 'treats', 'associated_with']
['same_as', 'treats', 'same_as', 'diagnoses']
['same_as', 'interacts_with', 'compared_with', 'same_as']
['same_as', 'diagnoses', 'produces', 'diagnoses']
['same_as', 'augments', 'complicates', 'augments']
['same_as', 'associated_with', 'same_as']
['same_as', 'interacts_with', 'interacts_with', 'augments']
['same_as', 'location_of']
['same_as', 'associated_with', 'occurs_in', 'inhibits']
['same_as', 'diagnoses', 'inhibits', 'same_as']
['same_as', 'augments', 'stimulates', 'part_of']
['same_as', 'location_of', 'occurs_in', 'isa']
['same_as', 'associated_with', 'interacts_with', 'same_as']
['same_as', 'diagnoses', 'occurs_in', 'disrupts']
['same_as', 'occurs_in', 'augments', 'augments']
['same_as', 'part_of', 'occurs_in', 'occurs_in']
['same_as', 'complicates', 'compared_with', 'same_as']
['same_as', 'affects', 'complicates', 'complicates']
['same_as', 'part_of', 'affects', 'disrupts']
['same_as', 'disrupts', 'disrupts', 'compared_with']
['same_as', 'occurs_in', 'augments', 'causes']
['same_as', 'complicates', 'disrupts', 'augments']
['same_as', 'same_as', 'prevents', 'augments']
['same_as', 'interacts_with', 'produces', 'affects']
['same_as', 'causes', 'isa', 'compared_with']
['same_as', 'produces', 'disrupts', 'stimulates']
['same_as', 'isa', 'compared_with', 'treats']
['same_as', 'inhibits', 'prevents', 'augments']
['same_as', 'isa', 'same_as', 'augments']
['complicates', 'affects', 'disrupts', 'occurs_in']
['complicates', 'treats', 'affects', 'occurs_in']
['complicates', 'part_of', 'augments', 'coexists_with']
['complicates', 'stimulates', 'compared_with', 'compared_with']
['complicates', 'interacts_with', 'prevents', 'diagnoses']
['complicates', 'stimulates', 'same_as', 'causes']
['complicates', 'occurs_in', 'prevents', 'isa']
['complicates', 'interacts_with', 'disrupts', 'treats']
['complicates', 'prevents', 'occurs_in', 'treats']
['complicates', 'inhibits', 'same_as', 'treats']
['complicates', 'interacts_with', 'occurs_in', 'produces']
['complicates', 'occurs_in', 'stimulates', 'interacts_with']
['complicates', 'inhibits', 'same_as', 'coexists_with']
['complicates', 'affects', 'causes', 'complicates']
['complicates', 'disrupts', 'disrupts', 'interacts_with']
['complicates', 'augments', 'complicates', 'disrupts']
['complicates', 'same_as', 'inhibits', 'stimulates']
['complicates', 'same_as', 'produces', 'same_as']
['complicates', 'diagnoses', 'stimulates', 'compared_with']
['complicates', 'isa', 'associated_with', 'coexists_with']
['complicates', 'isa', 'coexists_with', 'stimulates']
['complicates', 'complicates', 'compared_with', 'part_of']
['complicates', 'treats', 'same_as', 'isa']
['complicates', 'treats', 'stimulates', 'interacts_with']
['complicates', 'occurs_in', 'coexists_with', 'occurs_in']
['complicates', 'associated_with', 'affects', 'same_as']
['complicates', 'complicates', 'part_of', 'diagnoses']
['complicates', 'location_of', 'complicates', 'treats']
['complicates', 'location_of', 'occurs_in', 'augments']
['complicates', 'treats', 'associated_with', 'coexists_with']
['complicates', 'stimulates', 'produces', 'augments']
['complicates', 'occurs_in', 'complicates', 'affects']
['complicates', 'produces', 'occurs_in', 'augments']
['complicates', 'stimulates', 'associated_with', 'produces']
['complicates', 'causes', 'interacts_with', 'isa']
['complicates', 'stimulates', 'disrupts', 'prevents']
['complicates', 'compared_with', 'location_of', 'inhibits']
['complicates', 'occurs_in', 'causes', 'interacts_with']
['complicates', 'treats', 'occurs_in', 'compared_with']
['complicates', 'stimulates', 'inhibits', 'causes']
['complicates', 'associated_with', 'causes', 'complicates']
['complicates', 'disrupts', 'prevents']
['complicates', 'augments', 'augments', 'compared_with']
['complicates', 'prevents', 'part_of', 'disrupts']
['complicates', 'causes', 'diagnoses', 'affects']
['complicates', 'occurs_in', 'occurs_in', 'prevents']
['complicates', 'location_of', 'complicates', 'inhibits']
['complicates', 'same_as', 'associated_with', 'stimulates']
['complicates', 'augments', 'same_as']
['complicates', 'complicates', 'same_as', 'diagnoses']
['complicates', 'location_of', 'part_of', 'interacts_with']
['complicates', 'complicates', 'diagnoses', 'treats']
['complicates', 'coexists_with', 'treats', 'diagnoses']
['complicates', 'compared_with', 'isa', 'augments']
['complicates', 'stimulates', 'stimulates', 'augments']
['complicates', 'diagnoses']
['complicates', 'same_as', 'treats', 'interacts_with']
['complicates', 'treats']
['complicates']
['complicates', 'diagnoses', 'coexists_with', 'prevents']
['complicates', 'same_as', 'interacts_with', 'diagnoses']
['complicates', 'causes', 'causes', 'inhibits']
['complicates', 'diagnoses', 'compared_with', 'inhibits']
['complicates', 'compared_with', 'occurs_in', 'augments']
['complicates', 'disrupts', 'treats', 'part_of']
['complicates', 'occurs_in', 'part_of', 'augments']
['complicates', 'coexists_with', 'produces', 'disrupts']
['complicates', 'produces', 'inhibits', 'produces']
['complicates', 'occurs_in']
['complicates', 'diagnoses', 'treats', 'interacts_with']
['complicates', 'diagnoses', 'augments', 'isa']
['complicates', 'causes', 'inhibits', 'location_of']
['complicates', 'coexists_with', 'location_of', 'produces']
['complicates', 'associated_with', 'produces', 'same_as']
['complicates', 'inhibits', 'stimulates', 'same_as']
['complicates', 'complicates', 'augments', 'occurs_in']
['complicates', 'isa', 'inhibits', 'stimulates']
['complicates', 'isa', 'complicates', 'interacts_with']
['complicates', 'complicates', 'isa', 'interacts_with']
['complicates', 'interacts_with', 'compared_with', 'isa']
['complicates', 'augments', 'causes', 'location_of']
['complicates', 'prevents', 'occurs_in', 'part_of']
['complicates', 'location_of', 'isa', 'occurs_in']
['complicates', 'associated_with', 'treats', 'augments']
['complicates', 'treats', 'part_of', 'same_as']
['complicates', 'treats', 'augments', 'interacts_with']
['complicates', 'occurs_in', 'complicates', 'complicates']
['complicates', 'compared_with', 'treats', 'prevents']
['complicates', 'coexists_with', 'disrupts', 'coexists_with']
['complicates', 'augments', 'diagnoses', 'augments']
['complicates', 'interacts_with', 'prevents', 'disrupts']
['complicates', 'inhibits', 'coexists_with', 'isa']
['complicates', 'occurs_in', 'isa', 'treats']
['complicates', 'produces', 'affects', 'compared_with']
['complicates', 'occurs_in', 'disrupts', 'associated_with']
['complicates', 'stimulates', 'stimulates', 'compared_with']
['complicates', 'prevents', 'isa', 'inhibits']
['complicates', 'augments', 'location_of', 'disrupts']
['prevents', 'complicates', 'occurs_in', 'interacts_with']
['prevents', 'diagnoses', 'inhibits', 'coexists_with']
['prevents', 'disrupts']
['prevents', 'diagnoses', 'affects', 'prevents']
['prevents', 'isa', 'stimulates', 'occurs_in']
['prevents', 'stimulates', 'occurs_in', 'interacts_with']
['prevents', 'compared_with', 'complicates', 'occurs_in']
['prevents', 'prevents', 'produces', 'produces']
['prevents', 'stimulates', 'diagnoses', 'associated_with']
['prevents', 'isa', 'treats', 'produces']
['prevents', 'interacts_with', 'inhibits', 'compared_with']
['prevents', 'disrupts', 'stimulates', 'part_of']
['prevents', 'same_as', 'same_as', 'augments']
['prevents', 'produces', 'part_of', 'causes']
['prevents', 'augments', 'treats', 'produces']
['prevents', 'same_as', 'stimulates', 'treats']
['prevents', 'disrupts', 'stimulates', 'same_as']
['prevents', 'same_as', 'coexists_with', 'complicates']
['prevents', 'associated_with', 'location_of', 'augments']
['prevents', 'treats', 'stimulates', 'part_of']
['prevents', 'complicates', 'produces', 'disrupts']
['prevents', 'prevents', 'produces', 'inhibits']
['prevents', 'treats', 'same_as', 'location_of']
['prevents', 'associated_with', 'diagnoses', 'interacts_with']
['prevents', 'occurs_in', 'interacts_with', 'inhibits']
['prevents', 'location_of', 'produces', 'treats']
['prevents', 'prevents', 'produces', 'diagnoses']
['prevents', 'same_as', 'location_of', 'prevents']
['prevents', 'produces', 'augments', 'inhibits']
['prevents', 'stimulates', 'affects']
['prevents', 'compared_with', 'disrupts', 'inhibits']
['prevents', 'treats', 'diagnoses', 'same_as']
['prevents', 'interacts_with', 'compared_with', 'occurs_in']
['prevents', 'prevents', 'stimulates', 'part_of']
['prevents', 'same_as', 'causes', 'treats']
['prevents', 'coexists_with', 'treats', 'produces']
['prevents', 'part_of', 'part_of', 'augments']
['prevents', 'produces', 'coexists_with', 'associated_with']
['prevents', 'augments', 'diagnoses', 'isa']
['prevents', 'treats', 'interacts_with', 'affects']
['prevents', 'diagnoses', 'same_as', 'disrupts']
['prevents', 'disrupts', 'complicates', 'affects']
['prevents', 'diagnoses', 'complicates', 'disrupts']
['prevents', 'isa', 'part_of', 'associated_with']
['prevents', 'part_of', 'isa', 'interacts_with']
['prevents', 'associated_with', 'location_of', 'prevents']
['prevents', 'produces', 'complicates', 'causes']
['prevents', 'interacts_with', 'occurs_in', 'treats']
['prevents', 'inhibits', 'stimulates', 'diagnoses']
['prevents', 'augments', 'occurs_in', 'disrupts']
['prevents', 'interacts_with', 'diagnoses', 'part_of']
['prevents', 'occurs_in', 'diagnoses', 'associated_with']
['prevents', 'location_of', 'stimulates', 'occurs_in']
['prevents', 'part_of', 'produces', 'same_as']
['prevents', 'augments', 'produces', 'causes']
['prevents', 'affects', 'produces', 'disrupts']
['prevents', 'diagnoses', 'causes', 'augments']
['prevents', 'augments', 'diagnoses', 'stimulates']
['prevents', 'diagnoses', 'part_of', 'inhibits']
['prevents', 'complicates', 'produces', 'diagnoses']
['prevents', 'same_as', 'associated_with', 'interacts_with']
['prevents', 'causes', 'isa', 'interacts_with']
['prevents', 'produces', 'location_of', 'prevents']
['prevents', 'treats', 'diagnoses', 'produces']
['prevents', 'occurs_in', 'prevents', 'disrupts']
['prevents', 'interacts_with', 'produces', 'isa']
['prevents', 'complicates', 'diagnoses', 'causes']
['prevents', 'location_of', 'affects', 'interacts_with']
['prevents', 'interacts_with', 'interacts_with', 'same_as']
['prevents', 'coexists_with', 'causes', 'inhibits']
['prevents', 'associated_with', 'produces', 'isa']
['prevents', 'produces', 'causes', 'treats']
['prevents', 'compared_with', 'interacts_with', 'disrupts']
['prevents', 'same_as', 'interacts_with', 'treats']
['prevents', 'affects', 'occurs_in', 'same_as']
['prevents', 'stimulates', 'same_as', 'stimulates']
['prevents', 'disrupts', 'interacts_with', 'interacts_with']
['prevents', 'produces', 'inhibits', 'location_of']
['prevents', 'prevents', 'causes', 'occurs_in']
['prevents', 'augments', 'associated_with']
['prevents', 'treats']
['prevents', 'causes', 'treats', 'complicates']
['prevents', 'associated_with', 'coexists_with', 'part_of']
['prevents', 'occurs_in', 'associated_with', 'complicates']
['prevents', 'affects', 'compared_with', 'stimulates']
['prevents', 'disrupts', 'stimulates', 'produces']
['prevents', 'affects', 'occurs_in', 'prevents']
['prevents', 'occurs_in', 'affects', 'coexists_with']
['prevents', 'diagnoses', 'stimulates', 'produces']
['prevents', 'interacts_with', 'location_of', 'interacts_with']
['prevents']
['prevents', 'stimulates', 'associated_with', 'complicates']
['prevents', 'stimulates', 'compared_with', 'same_as']
['prevents', 'treats', 'disrupts', 'disrupts']
['prevents', 'associated_with', 'disrupts', 'treats']
['prevents', 'affects', 'affects', 'disrupts']
['prevents', 'treats', 'augments', 'location_of']
['prevents', 'prevents', 'isa', 'complicates']
['prevents', 'compared_with', 'associated_with', 'interacts_with']
['disrupts', 'causes', 'augments', 'coexists_with']
['disrupts', 'compared_with', 'same_as', 'occurs_in']
['disrupts', 'occurs_in', 'causes', 'disrupts']
['disrupts', 'produces', 'diagnoses', 'augments']
['disrupts', 'associated_with', 'augments', 'produces']
['disrupts', 'interacts_with', 'location_of', 'disrupts']
['disrupts', 'produces', 'augments', 'diagnoses']
['disrupts', 'diagnoses', 'treats', 'augments']
['disrupts', 'associated_with', 'inhibits', 'compared_with']
['disrupts', 'location_of', 'treats', 'same_as']
['disrupts', 'treats', 'augments', 'same_as']
['disrupts', 'causes', 'inhibits', 'diagnoses']
['disrupts', 'disrupts', 'associated_with', 'inhibits']
['disrupts', 'inhibits', 'part_of', 'disrupts']
['disrupts', 'compared_with', 'inhibits', 'inhibits']
['disrupts', 'produces', 'same_as', 'inhibits']
['disrupts', 'prevents', 'occurs_in', 'treats']
['disrupts', 'same_as', 'causes', 'augments']
['disrupts', 'interacts_with', 'diagnoses', 'coexists_with']
['disrupts', 'produces', 'location_of', 'coexists_with']
['disrupts', 'location_of', 'diagnoses', 'treats']
['disrupts', 'produces', 'augments', 'associated_with']
['disrupts', 'prevents', 'same_as', 'augments']
['disrupts', 'location_of', 'compared_with', 'affects']
['disrupts', 'affects', 'affects', 'causes']
['disrupts', 'diagnoses', 'stimulates', 'compared_with']
['disrupts', 'compared_with', 'produces', 'interacts_with']
['disrupts', 'compared_with', 'treats', 'occurs_in']
['disrupts', 'diagnoses', 'inhibits', 'stimulates']
['disrupts', 'same_as', 'compared_with', 'produces']
['disrupts', 'treats', 'interacts_with', 'inhibits']
['disrupts', 'occurs_in', 'part_of', 'produces']
['disrupts', 'diagnoses', 'occurs_in', 'associated_with']
['disrupts', 'produces', 'associated_with', 'causes']
['disrupts', 'occurs_in', 'inhibits', 'associated_with']
['disrupts', 'inhibits', 'diagnoses', 'same_as']
['disrupts', 'location_of', 'location_of', 'interacts_with']
['disrupts', 'location_of', 'prevents', 'causes']
['disrupts', 'affects', 'same_as', 'occurs_in']
['disrupts', 'occurs_in', 'associated_with', 'diagnoses']
['disrupts', 'compared_with', 'interacts_with', 'prevents']
['disrupts', 'affects', 'associated_with', 'produces']
['disrupts', 'augments', 'augments', 'augments']
['disrupts', 'occurs_in', 'compared_with', 'affects']
['disrupts', 'compared_with', 'compared_with', 'associated_with']
['disrupts', 'treats', 'produces', 'coexists_with']
['disrupts', 'affects', 'complicates', 'augments']
['disrupts', 'prevents', 'diagnoses', 'associated_with']
['disrupts', 'part_of', 'prevents', 'prevents']
['disrupts', 'location_of', 'produces', 'disrupts']
['disrupts', 'same_as', 'complicates', 'associated_with']
['disrupts', 'occurs_in', 'location_of', 'causes']
['disrupts', 'produces', 'affects', 'augments']
['disrupts', 'same_as', 'same_as', 'same_as']
['disrupts', 'interacts_with', 'causes', 'part_of']
['disrupts', 'location_of', 'produces', 'stimulates']
['disrupts', 'isa', 'compared_with', 'prevents']
['disrupts']
